,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD,AUDCAD
,0,1,2,3,4,5,6
2011-01-16,1.0043063,1.0075028,1.0012953,0.99996173,0.9954581,0.99809957,1.0020072
2011-01-17,1.0040071,0.9977514,0.99298376,0.9972518,0.99426955,0.9945338,1.000205
2011-01-18,0.99858624,0.99651515,0.9944605,0.9964038,0.9970511,0.99870056,0.99371934
2011-01-19,0.9938333,0.997596,1.0000631,0.9920944,0.9995199,0.99607146,0.9933285
2011-01-20,0.99610656,0.9921251,0.99456817,0.99422973,0.99550813,0.9953882,0.99337846
2011-01-21,1.0050384,0.99407446,0.99998945,0.9973216,0.99900264,0.9948241,0.99666685
2011-01-23,0.99923295,0.9945336,0.99954706,0.9983519,1.0026734,0.9941682,0.9851727
2011-01-24,0.9898553,0.99085426,0.99460846,0.98569846,0.9929492,0.99664015,0.99829197
2011-01-25,0.9954974,0.99493104,0.9932489,0.99307555,0.9947907,0.9998997,0.9950452
2011-01-26,0.9984362,1.000443,0.99549294,0.99561256,1.0099137,1.0067747,0.98993766
2011-01-27,0.992325,0.9896979,0.9906904,0.9964868,0.995358,0.9912299,1.000205
2011-01-28,1.0210241,1.0186049,1.0213315,1.0014533,1.001974,1.0285993,1.0183252
2011-01-30,0.9885465,0.98848283,0.98696846,0.9876547,0.99558204,0.9904784,0.98402333
2011-01-31,0.9973607,0.99279225,1.0028214,0.99613696,1.0008084,0.9976836,0.9990483
2011-02-01,0.99444747,0.99955124,0.9912089,0.99461037,0.98696405,0.9911891,0.9998949
2011-02-02,0.9853322,0.9870875,0.9865422,0.9907211,0.98635024,0.98481476,0.9877418
2011-02-03,0.99316365,1.0136002,0.98837566,0.99471664,0.99678993,1.0006305,0.9967422
2011-02-04,1.0081484,0.9978773,0.99585146,0.99473846,0.99629796,0.9961547,1.0036812
2011-02-06,1.0041331,1.0031024,0.999633,0.9978647,0.99292505,1.0010064,0.99621904
2011-02-07,0.9903245,0.99317586,0.99295163,0.9920238,0.99326086,0.99151856,0.99161595
2011-02-08,0.9940121,0.9913565,0.99415094,0.99460006,0.996134,0.9958892,0.9929945
2011-02-09,0.99582773,1.0023355,0.9973923,0.99270105,0.9946772,0.9944976,0.99561197
2011-02-10,0.98528147,0.9827085,0.9854939,0.98312944,0.9811499,0.98096913,0.9830929
2011-02-11,1.000473,0.9955548,0.99849683,0.99780744,0.9948314,0.9932394,0.99365807
2011-02-13,0.9934913,0.9907263,0.99106145,0.9942681,0.9924615,0.9899649,0.9919002
2011-02-14,0.9935181,0.994487,0.99477905,0.98722905,0.99193466,0.9869719,0.99271333
2011-02-15,0.9949106,0.99110216,0.991863,0.98925346,0.99287665,0.99099416,0.99693555
2011-02-16,0.9934212,0.9893683,0.9959935,0.99004173,0.9909927,0.9903924,0.9901147
2011-02-17,0.98472476,0.9811696,0.97905797,0.9816147,0.98176026,0.9827237,0.9838796
2011-02-18,0.9901467,0.989091,0.9904602,0.9888797,0.9896906,0.9917515,0.9915587
2011-02-20,0.9824134,0.9887964,0.9879776,0.99143445,0.99110234,0.9855701,0.99668807
2011-02-21,0.98741794,0.99092287,0.9919055,0.99319506,0.9894346,0.9904386,0.99069333
2011-02-22,0.98621184,0.99102473,0.99455756,0.99408525,0.99123424,0.9899032,0.9997426
2011-02-23,0.992476,0.99402535,1.0008054,0.9918141,0.9972395,0.99571836,0.9861873
2011-02-24,0.98452044,0.99088466,0.98622537,0.99088633,0.9851716,0.9876799,0.9896965
2011-02-25,0.9979898,0.99946994,0.9990926,1.000997,0.98130673,1.0002558,0.99653834
2011-02-27,0.9889891,0.9871768,0.9900402,0.9908615,1.0012312,0.98989147,0.98824865
2011-02-28,0.98790526,0.9966891,0.9901569,0.99181026,0.992423,0.99088657,0.9908484
2011-03-01,0.9966501,0.9958814,0.99781895,0.99679554,0.99103165,0.99769604,0.988723
2011-03-02,0.99572635,0.991321,0.9889394,0.99015796,0.9907888,0.9939158,0.9963117
2011-03-03,0.9924517,0.99482656,0.99274796,0.99430233,0.9959533,0.99331796,0.9915441
2011-03-04,0.9937442,0.9976929,0.99326885,0.99397415,0.99682176,0.9955362,0.9911546
2011-03-06,0.990844,0.9887015,0.9961151,0.98928946,0.9957862,0.99148273,0.9909693
2011-03-07,0.9885968,0.9912646,0.9899132,0.9912499,0.9867062,0.9878333,0.9875437
2011-03-08,0.9916905,0.9904336,0.99494886,0.9933238,0.9928372,0.994411,0.9915426
2011-03-09,0.99473894,0.99254215,0.99289995,0.9929923,0.9891829,0.99329895,0.9914876
2011-03-10,0.9882959,0.9932413,0.9865217,0.9941335,0.9908908,0.9877662,0.99179626
2011-03-11,0.9924627,0.99271977,0.9919404,0.9926324,0.9904965,0.9858029,0.9899258
2011-03-13,0.9932228,0.9895574,0.9948401,0.99365425,0.995245,0.9920271,0.98928356
2011-03-14,0.9937794,0.9940169,0.9919984,0.9911419,0.98977613,0.9930235,0.99438095
2011-03-15,0.99237293,0.99168587,0.98840225,0.99311924,0.9896188,0.98925567,0.984756
2011-03-16,0.9888172,0.9934293,0.9928541,0.9882885,0.9871819,0.98961556,0.98743147
2011-03-17,0.9921438,0.9914589,0.99047625,0.99014664,0.98939854,0.98927677,0.9908314
2011-03-18,0.9874429,0.99008995,0.98764724,0.9867394,0.987015,0.99008006,0.9901509
2011-03-20,0.9897243,0.9859059,0.9881826,0.9908667,0.98647285,0.98819804,0.988655
2011-03-21,0.9880782,0.98712873,0.9883192,0.9866595,0.98986185,0.99013346,0.98936564
2011-03-22,0.9859911,0.9879968,0.9900298,0.9892754,0.98217285,0.98302716,0.98811114
2011-03-23,0.9909108,0.99086785,0.99302787,0.9873147,0.993878,0.9910832,0.99252385
2011-03-24,0.98425275,0.9843882,0.9796082,0.988557,0.984931,0.9880371,0.98385656
2011-03-25,0.98484874,0.9841863,0.9829126,0.9858335,0.9890277,0.9891116,0.98980886
2011-03-27,0.9940642,0.98894423,0.9895454,0.99020636,0.9900596,0.9914396,0.9876472
2011-03-28,0.9848777,0.9859332,0.98477644,0.9880923,0.9898616,0.9893239,0.98938453
2011-03-29,0.9847086,0.98906124,0.9905177,0.9889772,0.9873845,0.9898708,0.9899796
2011-03-30,0.9873413,0.9851587,0.98716086,0.98690003,0.98821056,0.9862743,0.98609865
2011-03-31,0.9904796,0.9911918,0.98801017,0.9900534,0.988416,0.99255645,0.9883137
2011-04-01,0.9829292,0.9870336,0.9850452,0.9874905,0.99300474,0.987733,0.98690534
2011-04-03,0.99104095,0.9911461,0.9929673,0.989099,0.9902148,0.98762035,0.9914115
2011-04-04,0.9916903,0.98826575,0.98873496,0.98924696,0.9920943,0.9896008,0.99098235
2011-04-05,0.9866097,0.98903424,0.986629,0.98998326,0.99124825,0.9883268,0.98931974
2011-04-06,0.984033,0.9905324,0.9856842,0.9895084,0.9856516,0.9901288,0.9923889
2011-04-07,0.9852149,0.9876004,0.9892598,0.9902997,0.99113667,0.99182504,0.9889696
2011-04-08,0.9891132,0.9874259,0.9891013,0.99123293,0.9901977,0.9907298,0.99288344
2011-04-10,0.9896146,0.9911583,0.989312,0.9894235,0.9891081,0.99418163,0.9937628
2011-04-11,0.9894973,0.98451734,0.9871348,0.9907031,0.9910161,0.9933795,0.9959718
2011-04-12,0.9889817,0.98974985,0.9885335,0.99130255,0.99330014,0.998458,0.99768597
2011-04-13,0.9900332,0.9888097,0.9939612,0.9941256,0.9918828,0.9990268,1.0006164
2011-04-14,0.9907945,0.9924859,0.99250066,0.9984918,0.99311864,0.98985976,0.99479187
2011-04-15,0.9912908,0.9955421,0.99877876,0.9929351,0.9928923,0.99923825,0.99935955
2011-04-17,0.9947029,0.999503,0.9951928,1.0060596,1.0018392,1.0003445,1.0036476
2011-04-18,1.0039994,0.9950848,0.99894696,0.99811274,0.9963431,0.9990181,0.99819106
2011-04-19,0.9953462,0.9982401,0.99799395,1.0031948,1.0021477,0.99864346,1.002038
2011-04-20,0.99465674,0.9924708,0.9969276,0.9964438,0.9899646,1.0035269,0.99911296
2011-04-21,1.0009649,0.9971027,0.9990352,1.0021384,1.0035129,1.0048001,1.003487
2011-04-24,0.99835634,0.9967411,1.0058169,1.0040637,1.0058074,1.0043595,1.0060248
2011-04-25,1.0024455,1.005005,1.0068011,1.0031644,1.0036302,1.0086507,1.0082096
2011-04-26,1.0048981,1.0023843,1.0040603,1.0086488,1.0072328,1.009345,1.0117266
2011-04-27,1.001195,1.0024104,1.0064209,0.9995909,1.0068843,1.0101856,1.0067793
2011-04-28,1.0026661,1.0067556,1.0067241,1.0057511,1.0062388,1.0072792,1.0104659
2011-04-29,1.0027313,1.0042268,1.0060638,1.0023357,1.008315,1.004393,1.0077713
2011-05-01,1.0055783,1.0039178,1.0084714,1.0062162,1.0067862,1.0090019,1.0104197
2011-05-02,1.0065813,1.0082533,1.0072186,1.0075748,1.0076517,1.0096079,1.0120739
2011-05-03,1.0088248,1.0089668,1.0090604,1.0044508,1.0105312,1.0112842,1.0121303
2011-05-04,1.0045595,1.0063128,1.0084398,1.0074791,1.0064552,1.01032,1.0097541
2011-05-05,1.0105308,1.0089699,1.0085435,1.0084095,1.014818,1.0143026,1.0165321
2011-05-06,1.0104626,1.0114678,1.008997,1.0119672,1.0117546,1.0106689,1.0184703
2011-05-08,1.0123439,1.0111117,1.0108495,1.0145061,1.0131309,1.0141823,1.0163689
2011-05-09,1.0107325,1.0100392,1.0119622,1.0136861,1.0120381,1.0156212,1.0214508
2011-05-10,1.0178688,1.0130513,1.0179521,1.0149363,1.0161031,1.0201974,1.0190492
2011-05-11,1.0112708,1.011791,1.0109793,1.0148586,1.0180278,1.0235784,1.0199465
2011-05-12,1.0156777,1.0142775,1.0156813,1.0188584,1.0185323,1.024272,1.0221665
