,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF,AUDCHF
,0,1,2,3,4,5,6
2011-01-16,0.9621447,0.9622543,0.96097076,0.96118915,0.96102303,0.96010524,0.95747435
2011-01-17,0.95959425,0.96000963,0.95889866,0.9597304,0.95911574,0.95871645,0.9591471
2011-01-18,0.9595861,0.95947796,0.9592343,0.9590277,0.9590849,0.9585548,0.958145
2011-01-19,0.95972055,0.95922667,0.9590598,0.9591339,0.9587544,0.95781523,0.9574617
2011-01-20,0.95938003,0.9590117,0.9588117,0.95876646,0.9581207,0.95758176,0.9574429
2011-01-21,0.95940185,0.95890385,0.95851535,0.9578311,0.9575632,0.9571808,0.9572817
2011-01-23,0.9589214,0.95854765,0.95765775,0.957704,0.9573715,0.95720446,0.9570996
2011-01-24,0.9587238,0.95850396,0.9578476,0.95763797,0.9572899,0.95724446,0.9572443
2011-01-25,0.9579984,0.9576546,0.95745134,0.9569365,0.9570226,0.9566033,0.95735407
2011-01-26,0.9581815,0.95716316,0.9567059,0.95697767,0.95742095,0.9569213,0.9558853
2011-01-27,0.95732343,0.9575234,0.9571414,0.95767933,0.95708,0.95599985,0.9553062
2011-01-28,0.9573931,0.9569948,0.95722497,0.95691895,0.95610887,0.95598257,0.9539582
2011-01-30,0.95718896,0.9569093,0.95743537,0.9563667,0.9557631,0.95336723,0.9564234
2011-01-31,0.9570758,0.95756763,0.9562367,0.95469445,0.9534591,0.9555866,0.95584977
2011-02-01,0.9568688,0.9562297,0.95515645,0.9534911,0.9556094,0.9550425,0.95653945
2011-02-02,0.9558311,0.956296,0.9536813,0.95570815,0.95564944,0.9556123,0.9557759
2011-02-03,0.9550378,0.9537175,0.9558133,0.9559184,0.956064,0.9561606,0.9557444
2011-02-04,0.95363724,0.95514625,0.9564363,0.95582104,0.9555909,0.95589685,0.95567274
2011-02-06,0.9556655,0.9554274,0.95603216,0.95608664,0.9556341,0.9555509,0.9550943
2011-02-07,0.9560818,0.95608747,0.95576173,0.95537585,0.9560949,0.9562798,0.95738834
2011-02-08,0.95620066,0.9557426,0.9557384,0.9557111,0.95556945,0.95726144,0.95650834
2011-02-09,0.95552415,0.95551914,0.95536745,0.95594597,0.9570776,0.95812726,0.9579249
2011-02-10,0.9560408,0.9558145,0.9559711,0.9574863,0.9574657,0.9581574,0.95920545
2011-02-11,0.9560145,0.95584,0.95727485,0.9575465,0.9580523,0.9578545,0.95710963
2011-02-13,0.9560028,0.9566025,0.9568948,0.9578854,0.9583716,0.9600957,0.9585946
2011-02-14,0.9559303,0.9576278,0.9585439,0.95934874,0.95864856,0.9577721,0.95872104
2011-02-15,0.9566647,0.9585957,0.95776325,0.957352,0.95955735,0.9586664,0.9589618
2011-02-16,0.95830435,0.9581546,0.96034795,0.9602256,0.95936483,0.958827,0.95714736
2011-02-17,0.95837355,0.9588079,0.96078706,0.95975167,0.95884794,0.9570884,0.9574645
2011-02-18,0.9577177,0.9583849,0.9591033,0.9578647,0.9583275,0.9578496,0.9565121
2011-02-20,0.95933676,0.95902723,0.95903575,0.958337,0.9593964,0.957556,0.9566013
2011-02-21,0.9585114,0.95844364,0.95802057,0.95535463,0.95697707,0.95758456,0.9557639
2011-02-22,0.95867926,0.9575389,0.9587973,0.9574003,0.95592475,0.95601976,0.95564383
2011-02-23,0.9558657,0.9595463,0.9580496,0.9570543,0.9559725,0.95523274,0.95597404
2011-02-24,0.9564846,0.95621115,0.9578415,0.9560894,0.9558106,0.95615417,0.95146126
2011-02-25,0.9587558,0.9568979,0.955248,0.9555221,0.9548557,0.95164955,0.949878
2011-02-27,0.95609814,0.9559276,0.95561504,0.9549873,0.951382,0.9499127,0.9483579
2011-02-28,0.9562178,0.95482963,0.95645374,0.9515891,0.94991285,0.94871855,0.94646966
2011-03-01,0.9559721,0.9552405,0.9524384,0.950019,0.9503929,0.94751436,0.9472549
2011-03-02,0.95561594,0.9520209,0.950556,0.946676,0.94772863,0.94571275,0.94587463
2011-03-03,0.951731,0.9503614,0.94862664,0.94730896,0.9451383,0.9481675,0.94515777
2011-03-04,0.9507235,0.94828546,0.9465203,0.94655067,0.94652957,0.9450926,0.9436533
2011-03-06,0.94801056,0.94988245,0.9467573,0.9451906,0.94421864,0.9440674,0.94475555
2011-03-07,0.9459872,0.94639486,0.94691086,0.9444201,0.9451284,0.9438383,0.94412726
2011-03-08,0.9466276,0.94620633,0.9446555,0.9443511,0.94604737,0.9449355,0.9443463
2011-03-09,0.94574773,0.9432985,0.9443026,0.9443115,0.944208,0.9451797,0.9438441
2011-03-10,0.94464284,0.9459932,0.94466823,0.94428813,0.94488263,0.9440084,0.9447735
2011-03-11,0.9442656,0.9441098,0.9442904,0.9434995,0.9447997,0.9437485,0.94278455
2011-03-13,0.9432873,0.9447882,0.9446808,0.9443063,0.94631374,0.9442,0.94320273
2011-03-14,0.94634724,0.94401914,0.94427776,0.9448472,0.94441056,0.9436924,0.94325924
2011-03-15,0.9450667,0.9440903,0.9446942,0.9436577,0.9415718,0.94259834,0.9402591
2011-03-16,0.9438911,0.94483423,0.94344604,0.94289255,0.942957,0.94137937,0.94120157
2011-03-17,0.94362974,0.9434981,0.94369733,0.9417833,0.9414857,0.9403516,0.94064456
2011-03-18,0.94383866,0.94234127,0.9423725,0.9423349,0.9414683,0.9408293,0.93847907
2011-03-20,0.9423936,0.9426213,0.94219226,0.94121504,0.94072306,0.93990624,0.93935966
2011-03-21,0.9423169,0.9408107,0.9420069,0.9399949,0.94081044,0.9391759,0.93818635
2011-03-22,0.9405089,0.94085777,0.9403862,0.94085926,0.9394241,0.9386931,0.93793315
2011-03-23,0.9404249,0.93986404,0.939361,0.93887687,0.9396493,0.9386915,0.9385219
2011-03-24,0.9407679,0.94087344,0.9383117,0.9414296,0.93960667,0.9387291,0.9381891
2011-03-25,0.9407913,0.9416103,0.93960994,0.93760437,0.9402146,0.93872666,0.9379025
2011-03-27,0.93907857,0.9397521,0.93732846,0.93946576,0.93841165,0.9400969,0.93854785
2011-03-28,0.93742007,0.9384256,0.9383166,0.9387056,0.93829364,0.937982,0.93818337
2011-03-29,0.93756664,0.9381478,0.9381755,0.9382483,0.9400148,0.9388127,0.93787056
2011-03-30,0.93922776,0.9384777,0.9388231,0.93889475,0.93830335,0.9387361,0.93857485
2011-03-31,0.93757415,0.9381365,0.93824685,0.93794626,0.9389827,0.9379337,0.9381776
2011-04-01,0.93825096,0.93848866,0.9386853,0.93943304,0.9391767,0.93884575,0.93783766
2011-04-03,0.9399924,0.9381247,0.9386847,0.9390254,0.93824184,0.93876123,0.93800986
2011-04-04,0.93731284,0.93850017,0.9386765,0.93982816,0.93954456,0.9378082,0.9404408
2011-04-05,0.93948025,0.9381125,0.9389717,0.93925023,0.93702173,0.93980354,0.9393126
2011-04-06,0.9380048,0.93851256,0.9382265,0.9386285,0.9405464,0.9385975,0.9406195
2011-04-07,0.9378753,0.93810016,0.93751884,0.9411715,0.9401875,0.9404969,0.9391833
2011-04-08,0.9392925,0.941839,0.94100326,0.9402675,0.9392662,0.9407856,0.9399282
2011-04-10,0.9394909,0.93993723,0.9402796,0.93929315,0.9400568,0.9384689,0.9380276
2011-04-11,0.9397853,0.9402384,0.9392787,0.9398722,0.9406204,0.9411904,0.9409026
2011-04-12,0.9394668,0.94079435,0.94001746,0.9403675,0.9400166,0.9402042,0.9396346
2011-04-13,0.939797,0.94059324,0.9391707,0.93914276,0.94148165,0.94002795,0.9399101
2011-04-14,0.9394559,0.940239,0.94018954,0.93969905,0.9387451,0.94039947,0.9402902
2011-04-15,0.9398087,0.9387848,0.9408492,0.9408229,0.94046277,0.9411669,0.9408959
2011-04-17,0.939695,0.94046843,0.9406435,0.93988544,0.9409815,0.9416795,0.9418081
2011-04-18,0.93885344,0.9399835,0.9398313,0.9412354,0.9412856,0.94042397,0.93984914
2011-04-19,0.9398506,0.9397701,0.94077355,0.94140726,0.94133806,0.9426972,0.94187254
2011-04-20,0.9413058,0.9419291,0.9398934,0.9416923,0.9418822,0.94219244,0.94210494
2011-04-21,0.9398329,0.94144356,0.94129354,0.9426758,0.9423677,0.9426191,0.9446359
2011-04-24,0.94108397,0.9415912,0.94219303,0.94188744,0.94487953,0.9448709,0.9434771
2011-04-25,0.94191873,0.94190603,0.9436999,0.9452637,0.9451971,0.9437011,0.944921
2011-04-26,0.9423879,0.94225264,0.9427377,0.94504523,0.9450643,0.9453914,0.94577503
2011-04-27,0.94294345,0.9440414,0.9451266,0.9431689,0.94327134,0.9450599,0.94733155
2011-04-28,0.94420123,0.94290084,0.9437192,0.94520986,0.9455342,0.94782746,0.94863456
2011-04-29,0.94362444,0.9426889,0.94470286,0.9459378,0.9457363,0.94788235,0.9476406
2011-05-01,0.94459134,0.9437677,0.9456116,0.9474704,0.947615,0.94722015,0.9476072
2011-05-02,0.9450186,0.94690794,0.9458365,0.9483582,0.9479762,0.94783,0.94764805
2011-05-03,0.9460151,0.94524896,0.94694006,0.94650924,0.94554865,0.94767326,0.9476107
2011-05-04,0.94787216,0.9463491,0.9479949,0.9468634,0.9478795,0.94666547,0.9476539
2011-05-05,0.9478569,0.94866216,0.94647276,0.9470621,0.9478387,0.94748896,0.9474342
2011-05-06,0.947887,0.94787496,0.9474083,0.947961,0.9469178,0.9475084,0.94822043
2011-05-08,0.9464087,0.9472665,0.9476361,0.94774234,0.9474122,0.94733614,0.9486304
2011-05-09,0.94603646,0.9472018,0.9477393,0.9479226,0.94824827,0.9487795,0.94776934
2011-05-10,0.947528,0.94787353,0.9481624,0.9484948,0.94846946,0.94854033,0.948267
2011-05-11,0.9474135,0.9480477,0.9489704,0.9480227,0.947421,0.94746125,0.945136
2011-05-12,0.9483166,0.9475325,0.9481171,0.94865656,0.94734013,0.9461437,0.94313234
2011-05-13,0.94858193,0.9490271,0.9475335,0.94649065,0.94501966,0.94407606,0.9435736
2011-05-15,0.94806534,0.94869816,0.9469323,0.94491553,0.9438403,0.94480467,0.94433266
2011-05-16,0.9480882,0.9470213,0.9453299,0.94358575,0.94458747,0.942805,0.94420403
2011-05-17,0.9480916,0.9450054,0.94565046,0.94429594,0.9431374,0.94324523,0.94192815
2011-05-18,0.9460425,0.944702,0.94410586,0.9426249,0.94276804,0.94275606,0.9439269
2011-05-19,0.94240236,0.94438636,0.94443697,0.9433348,0.94415724,0.9420268,0.94034135
2011-05-20,0.9437233,0.94343364,0.9422041,0.9415794,0.9424268,0.94171804,0.94129485
2011-05-22,0.94306093,0.94243604,0.94284046,0.9421805,0.94222605,0.94205195,0.94110864
2011-05-23,0.94425875,0.9419151,0.94197214,0.94053686,0.9408788,0.94149005,0.9416563
2011-05-24,0.9421102,0.94039136,0.9414424,0.94197834,0.9409293,0.941038,0.94128656
2011-05-25,0.9411196,0.9418587,0.94215286,0.94066197,0.941013,0.9412861,0.94220006
2011-05-26,0.9410494,0.9412259,0.94176626,0.94196033,0.9409789,0.9410931,0.9389144
2011-05-27,0.9399618,0.94136065,0.94038033,0.94063145,0.9410807,0.9391665,0.93864983
2011-05-29,0.94135934,0.9415187,0.94079244,0.93992275,0.9405715,0.93967617,0.9397846
2011-05-30,0.94164133,0.94165355,0.94057477,0.9415057,0.9396523,0.9397664,0.938024
2011-05-31,0.94135267,0.9414976,0.9410175,0.9390464,0.9369865,0.9372968,0.9371588
2011-06-01,0.9420924,0.94012946,0.9397769,0.9377161,0.93974483,0.9366898,0.93530524
2011-06-02,0.9412378,0.9391588,0.9403975,0.93705267,0.93769795,0.9366007,0.93651026
2011-06-03,0.9394722,0.9391925,0.9390522,0.93518656,0.936086,0.93677205,0.93588114
2011-06-05,0.93925625,0.93725026,0.93709135,0.9348511,0.93538135,0.9335321,0.9319294
2011-06-06,0.93813956,0.93672884,0.9360825,0.93621916,0.93468696,0.9311424,0.9295338
2011-06-07,0.93779796,0.93554866,0.9367585,0.9348896,0.93244356,0.9294326,0.9289534
2011-06-08,0.93564135,0.9345391,0.9319636,0.9320076,0.92904776,0.9288492,0.9285803
2011-06-09,0.9347007,0.9325096,0.932114,0.92951167,0.9291139,0.92816615,0.9224243
2011-06-10,0.935316,0.93285084,0.9302246,0.9287352,0.9282557,0.92161036,0.9200334
2011-06-12,0.9321426,0.9295648,0.9279699,0.9277523,0.9224777,0.9204464,0.9191523
2011-06-13,0.9286219,0.92873484,0.92785877,0.92154926,0.9209406,0.91941446,0.91356975
