,AUDJPY,AUDJPY,AUDJPY,AUDJPY,AUDJPY,AUDJPY,AUDJPY
,0,1,2,3,4,5,6
2011-01-16,83.05935,83.07167,83.084435,83.08815,83.052826,83.08906,83.078545
2011-01-17,82.81589,82.824005,82.80632,82.81248,82.81004,82.810936,82.81434
2011-01-18,82.8129,82.80647,82.8087,82.816795,82.81043,82.80822,82.8066
2011-01-19,82.81077,82.8042,82.81031,82.80922,82.80469,82.8188,82.81086
2011-01-20,82.81666,82.81505,82.81774,82.81265,82.81348,82.808266,82.79608
2011-01-21,82.8136,82.81749,82.810974,82.81342,82.814896,82.79027,82.766335
2011-01-23,82.8116,82.805855,82.812325,82.80833,82.78612,82.765305,82.7553
2011-01-24,82.81679,82.8032,82.82025,82.79826,82.76882,82.75893,82.690575
2011-01-25,82.806755,82.81574,82.79611,82.7781,82.74283,82.69265,82.59838
2011-01-26,82.80876,82.78025,82.78666,82.74016,82.71475,82.597824,82.58647
2011-01-27,82.78953,82.76846,82.74458,82.705605,82.59231,82.55898,82.47632
2011-01-28,82.772736,82.75327,82.708015,82.59008,82.58174,82.484276,82.364845
2011-01-30,82.75961,82.68132,82.59797,82.58539,82.46422,82.36903,82.35193
2011-01-31,82.700066,82.59808,82.574974,82.464905,82.35658,82.35454,82.35805
2011-02-01,82.58558,82.58469,82.488045,82.361206,82.35323,82.36478,82.37184
2011-02-02,82.58561,82.47671,82.36154,82.35473,82.368866,82.37097,82.365295
2011-02-03,82.47172,82.38269,82.36265,82.34968,82.372375,82.348915,82.35048
2011-02-04,82.375175,82.36155,82.35298,82.36004,82.35558,82.35791,82.35752
2011-02-06,82.367676,82.35467,82.37493,82.3631,82.35183,82.35235,82.3734
2011-02-07,82.350746,82.37014,82.36609,82.36744,82.36987,82.36465,82.36582
2011-02-08,82.35881,82.36273,82.3682,82.375015,82.37391,82.372826,82.34876
2011-02-09,82.37697,82.36991,82.36502,82.362175,82.354576,82.35125,82.356865
2011-02-10,82.36833,82.360016,82.35677,82.36508,82.350235,82.34517,82.375145
2011-02-11,82.348854,82.35302,82.35835,82.356,82.37099,82.3645,82.36644
2011-02-13,82.358116,82.37146,82.34291,82.38858,82.37564,82.367836,82.34684
2011-02-14,82.37893,82.362656,82.36159,82.37715,82.3534,82.35823,82.35619
2011-02-15,82.36902,82.37117,82.36317,82.352646,82.348434,82.362854,82.377174
2011-02-16,82.346695,82.35941,82.3495,82.35892,82.372215,82.35348,82.36719
2011-02-17,82.35729,82.35114,82.38051,82.3736,82.37754,82.37459,82.49238
2011-02-18,82.381165,82.37299,82.36801,82.36252,82.35212,82.45969,82.55511
2011-02-20,82.36979,82.36258,82.37098,82.356064,82.465034,82.5813,82.553185
2011-02-21,82.344315,82.37263,82.36654,82.46707,82.58533,82.59697,82.71665
2011-02-22,82.35643,82.358765,82.49597,82.575066,82.613434,82.716324,82.75817
2011-02-23,82.383606,82.482666,82.59763,82.56864,82.74011,82.73165,82.84673
2011-02-24,82.47101,82.579895,82.58968,82.71657,82.74996,82.83892,82.93955
2011-02-25,82.592735,82.584946,82.74849,82.746864,82.83461,82.93139,82.9851
2011-02-27,82.60865,82.72175,82.766014,82.82581,82.93332,82.953674,83.002594
2011-02-28,82.7547,82.76357,82.85891,82.939575,82.97831,83.01983,83.14861
2011-03-01,82.7493,82.84372,82.907646,82.98223,82.98677,83.16311,83.209854
2011-03-02,82.863144,82.90475,82.98721,82.984535,83.17927,83.204445,83.21399
2011-03-03,82.9267,82.95029,83.00809,83.19668,83.25096,83.14783,83.22474
2011-03-04,82.984215,82.99813,83.185036,83.238594,83.20027,83.21142,83.32546
2011-03-06,83.02057,83.132744,83.19272,83.19711,83.2597,83.296524,83.30883
2011-03-07,83.157074,83.13928,83.26249,83.25728,83.29324,83.2946,83.29486
