,AUDNZD,AUDNZD,AUDNZD,AUDNZD,AUDNZD,AUDNZD,AUDNZD
,0,1,2,3,4,5,6
2011-01-16,1.331573,1.32405,1.3133162,1.3227997,1.287951,1.2954324,1.2875612
2011-01-17,1.314977,1.3144976,1.3146138,1.3142481,1.3153074,1.3136344,1.3144604
2011-01-18,1.3149151,1.3150014,1.3147522,1.3146852,1.314977,1.3140444,1.3137157
2011-01-19,1.3149173,1.3150804,1.3145683,1.3149924,1.3135797,1.3137548,1.312905
2011-01-20,1.3148754,1.314703,1.3148489,1.3143538,1.3135641,1.3130491,1.3133938
2011-01-21,1.3148382,1.314618,1.3139279,1.3130442,1.3130215,1.3127254,1.3112676
2011-01-23,1.3150358,1.3136909,1.3139143,1.3132195,1.312664,1.3124719,1.311137
2011-01-24,1.3142841,1.3133355,1.3128446,1.3131933,1.3126712,1.3112557,1.3101296
2011-01-25,1.3134463,1.313287,1.3126271,1.3124899,1.3111137,1.3101953,1.3085095
2011-01-26,1.3133185,1.3120514,1.3124734,1.3112713,1.3100405,1.3084246,1.3056693
2011-01-27,1.3131979,1.3124996,1.3112854,1.3104777,1.3084757,1.3059303,1.304408
2011-01-28,1.312781,1.3112506,1.3097391,1.3086683,1.3055348,1.3042829,1.3036804
2011-01-30,1.3112828,1.3096262,1.3086635,1.3064842,1.3040755,1.3036448,1.3038644
2011-01-31,1.3101597,1.30834,1.3057293,1.3045459,1.303788,1.3037438,1.3038889
2011-02-01,1.3083261,1.3056546,1.3044295,1.3037326,1.3041415,1.3040215,1.3042091
2011-02-02,1.3054514,1.304325,1.303648,1.3044679,1.3041092,1.3034173,1.3038434
2011-02-03,1.303926,1.3031204,1.3039937,1.3037109,1.3037643,1.3044214,1.3038764
2011-02-04,1.3041179,1.3029093,1.3040134,1.3040972,1.3041576,1.3035169,1.3042325
2011-02-06,1.3035803,1.3041017,1.3040283,1.304257,1.3041219,1.3039628,1.3038256
2011-02-07,1.3031253,1.3047314,1.3045703,1.3040838,1.3034266,1.3041011,1.303583
2011-02-08,1.3028913,1.3040553,1.3050827,1.3039426,1.303921,1.3043096,1.3044327
2011-02-09,1.303199,1.3042157,1.3036553,1.3045269,1.3043048,1.3040396,1.3035473
2011-02-10,1.3039448,1.3041569,1.3040854,1.3035145,1.3039575,1.3043249,1.3040705
2011-02-11,1.3036274,1.3036093,1.3042458,1.3035693,1.303954,1.3037491,1.304071
2011-02-13,1.3044536,1.3038806,1.303981,1.3044556,1.303952,1.3040926,1.3040732
2011-02-14,1.3042327,1.3042717,1.304246,1.3034098,1.3039505,1.3040422,1.3040766
2011-02-15,1.3036083,1.3036685,1.3042499,1.3041413,1.3039484,1.3040359,1.304081
2011-02-16,1.3041494,1.3040922,1.3043582,1.3034347,1.3039458,1.3040134,1.304083
2011-02-17,1.3036374,1.3039352,1.3039578,1.3043005,1.3039438,1.3039418,1.3040264
2011-02-18,1.3036448,1.3043399,1.3041127,1.3046782,1.3039412,1.3041246,1.3061563
2011-02-20,1.303689,1.3036313,1.304135,1.3044976,1.3045928,1.3059856,1.3094941
2011-02-21,1.3043302,1.3041123,1.3035605,1.3041862,1.305682,1.3080599,1.3097076
2011-02-22,1.3039535,1.3039346,1.3045598,1.3060966,1.309918,1.3099084,1.3110927
2011-02-23,1.3036453,1.3040965,1.3056064,1.3094383,1.3098698,1.3110424,1.3119746
2011-02-24,1.3041734,1.3060589,1.3087641,1.3100086,1.3110242,1.312347,1.3152019
2011-02-25,1.3052942,1.3098527,1.3106592,1.3111001,1.3118746,1.3136487,1.3159101
2011-02-27,1.3091981,1.3101939,1.3113753,1.3117777,1.3138189,1.3156836,1.3168536
2011-02-28,1.3113952,1.3119359,1.3127362,1.3135337,1.3156717,1.3165183,1.3178633
2011-03-01,1.3108989,1.311738,1.3153877,1.3154246,1.3167061,1.3171372,1.323638
2011-03-02,1.3112816,1.3136936,1.3155484,1.3153857,1.3166457,1.3232467,1.3251443
2011-03-03,1.3148521,1.3160039,1.3165134,1.3171955,1.3234235,1.324389,1.3251382
2011-03-04,1.3157,1.316723,1.3174626,1.3230662,1.3240231,1.3259399,1.3262537
2011-03-06,1.3167462,1.3176478,1.323864,1.323873,1.3259826,1.3260103,1.3272634
2011-03-07,1.3177599,1.3234903,1.3236772,1.3263489,1.3264166,1.327623,1.3281934
2011-03-08,1.3234591,1.3244497,1.3252975,1.3267202,1.3261462,1.3271152,1.3273627
2011-03-09,1.3247465,1.3242507,1.3262894,1.3261557,1.327022,1.3288271,1.3308196
2011-03-10,1.3242948,1.3255706,1.3275139,1.3270999,1.3278322,1.3312054,1.3370179
2011-03-11,1.3258022,1.3267214,1.3270053,1.3282418,1.330093,1.3365742,1.343173
2011-03-13,1.3272558,1.326581,1.3286,1.3301703,1.3360771,1.3420726,1.3460795
2011-03-14,1.3291804,1.328334,1.331173,1.3369349,1.3429791,1.3474033,1.3492954
2011-03-15,1.3279493,1.3303589,1.3371943,1.3434522,1.3482152,1.3496668,1.3509693
2011-03-16,1.3305285,1.3366913,1.3438736,1.3482513,1.3501439,1.3501458,1.3533006
2011-03-17,1.3371692,1.3431084,1.3470341,1.3501195,1.3519402,1.3518668,1.3528423
2011-03-18,1.3410472,1.3478054,1.3495188,1.3491259,1.3520604,1.3521869,1.3551793
2011-03-20,1.3476614,1.3493066,1.3513314,1.3524477,1.3525506,1.3538789,1.3559685
2011-03-21,1.3495766,1.3509654,1.3527892,1.352056,1.3559674,1.3562356,1.3606966
2011-03-22,1.351637,1.351462,1.3527341,1.3551306,1.3554232,1.355691,1.3587911
2011-03-23,1.3531672,1.3540441,1.3551039,1.3560891,1.3579903,1.3601778,1.3600761
2011-03-24,1.352402,1.3560722,1.3566511,1.3569494,1.358297,1.3610286,1.3598431
2011-03-25,1.3544344,1.3566101,1.3569796,1.3588531,1.3609089,1.3612005,1.3615913
2011-03-27,1.355397,1.358916,1.3588097,1.361227,1.3630638,1.3597053,1.3617184
