,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD,AUDUSD
,0,1,2,3,4,5,6
2011-01-16,0.9928636,0.99751,0.99836457,0.9992764,0.9990218,1.0004729,0.99630857
2011-01-17,0.9930732,0.99229056,0.9935837,0.9953245,0.9974564,0.9961749,0.9946861
2011-01-18,1.004752,1.0006145,1.0013605,1.0004243,1.0003653,0.9987221,1.0003666
2011-01-19,1.0029497,1.0017102,0.9997677,1.0019231,1.0023522,1.0013732,1.0007979
2011-01-20,0.99638563,0.99935853,0.99312395,0.9949139,0.9971174,0.9966186,0.99555176
2011-01-21,0.99422413,0.99762756,0.99571365,0.9942965,0.99440575,0.9950354,0.99635124
2011-01-23,0.9966147,0.99744165,1.0048476,0.9901598,0.993849,1.0004789,0.99405026
2011-01-24,0.9949012,0.99691933,0.993048,0.99318945,0.99567294,0.9936564,0.9980949
2011-01-25,0.99133384,0.9933106,0.9886021,0.9924879,0.9873846,0.9924966,0.9918557
2011-01-26,1.0046974,1.0054909,1.0028162,1.0008181,1.0068716,1.0022253,0.99882233
2011-01-27,0.997206,0.9972986,0.9916847,0.9949213,0.9958802,0.9949447,0.9955229
2011-01-28,1.0060942,1.0036635,1.0040644,1.0074337,1.0015193,1.0040236,1.0044477
2011-01-30,0.9890904,0.9922113,0.98986757,0.9890228,0.9907471,0.9917058,0.99358916
2011-01-31,0.9946538,0.9962454,0.9979346,0.9965883,0.9928889,0.9966633,0.9972373
2011-02-01,0.99098206,0.9893228,0.99177396,0.99057513,0.99352324,0.9918351,0.9910121
2011-02-02,0.99408114,0.9947499,0.9945786,0.9944246,0.9951951,0.99885,0.990259
2011-02-03,0.99705374,0.99770784,0.992417,0.9970002,0.99431765,0.9934169,1.0040296
2011-02-04,0.99557644,0.99475247,0.99556315,1.0006582,0.9967605,1.0001254,0.9951177
2011-02-06,0.9977167,0.9957719,0.9941508,0.99554884,0.9985539,0.99850583,0.9979795
2011-02-07,0.99410886,0.9986126,0.99082226,0.99449784,1.0041285,0.99529314,0.98996705
2011-02-08,0.9972769,0.9982377,0.9986387,0.9975058,0.9958702,0.992445,0.9967471
2011-02-09,0.9977864,1.0023868,1.0009211,0.9959502,0.99339306,0.99069273,0.9920657
2011-02-10,1.004751,1.0023355,1.0010829,1.0007135,0.9991932,1.0023085,1.0044193
2011-02-11,0.99629253,0.9990828,0.99480367,0.9997264,0.9976211,0.99829775,0.99696416
2011-02-13,1.000769,0.99701947,1.0006235,0.9965266,0.9977927,0.9973336,0.99231124
2011-02-14,0.99547446,0.9942722,0.99500847,0.99290186,0.99674547,0.9943627,0.9964721
2011-02-15,1.0030853,0.99194354,0.9988497,1.0051963,0.99430823,0.9920381,0.9961288
2011-02-16,0.99905366,0.9966116,1.000165,1.0007774,0.9999465,0.9979689,1.0002356
2011-02-17,0.99719644,0.9957542,0.9930832,0.9937134,0.9972143,0.99807703,0.99909455
2011-02-18,0.99447167,0.9932889,0.99714947,0.9980863,0.9984859,0.9974395,0.9992095
2011-02-20,1.0025192,0.99684495,1.0019329,1.0009323,1.0012362,0.992204,0.99847925
2011-02-21,1.0087177,1.0058055,1.0049163,1.0050124,1.0014472,1.0095273,1.0072501
2011-02-22,0.9988328,0.99913293,0.9981692,0.9979724,1.0020151,1.0036538,1.002076
2011-02-23,1.0001752,0.9993713,0.997941,1.0006319,1.0049775,1.0057933,1.0063205
2011-02-24,0.9988227,1.0021892,0.9991009,1.0010289,0.99822867,1.0018513,1.0046049
2011-02-25,1.0019954,1.0096712,1.0039561,1.0058602,1.006803,1.0053655,1.0187967
2011-02-27,1.0058719,1.0026277,1.0050521,1.0019239,1.0106359,1.0069396,1.006381
2011-02-28,0.99865824,0.9974336,0.9954182,0.9990139,1.0025333,1.0103722,1.0020641
2011-03-01,0.99901813,1.0034416,1.0007405,0.99968076,0.9976431,1.0037264,1.0061007
2011-03-02,1.0073735,1.0085245,1.0105652,1.0109054,1.004018,1.0100715,1.0084932
2011-03-03,1.0034459,0.99524015,1.0016145,0.98738915,0.9967991,1.006406,0.9976993
2011-03-04,1.015746,1.0105789,1.0128022,1.0192394,1.0098526,1.0132864,1.0226973
2011-03-06,1.0013875,1.0008764,1.00822,1.006769,1.0022497,1.009211,1.0156868
2011-03-07,1.0021509,1.0099409,1.0015078,1.0123307,1.0042018,1.0108305,1.0172924
2011-03-08,1.0131621,0.99881136,1.0082594,1.0144131,1.0127449,1.0061096,1.003002
2011-03-09,1.0096269,1.0035185,1.0057715,1.0122082,1.0064871,1.0113493,1.0061306
2011-03-10,1.012844,1.0150301,1.0114578,1.0144746,1.0171294,1.0145626,1.0154172
2011-03-11,1.0122461,1.0117799,1.0104413,1.0137333,1.012131,1.014674,1.0161458
2011-03-13,1.0062542,0.99845076,1.0074133,1.0066603,1.0047436,1.0004444,1.0129783
2011-03-14,1.0037198,0.9951378,1.0090387,1.0111468,1.0112581,1.0108972,1.0036234
