,AUXAUD,AUXAUD,AUXAUD,AUXAUD,AUXAUD,AUXAUD,AUXAUD
,0,1,2,3,4,5,6
2011-01-16,21.430965,21.675785,21.78106,22.14554,21.580713,22.076391,22.378109
2011-01-17,44.183807,44.435448,44.54395,44.911366,44.336277,44.843628,45.151825
2011-01-18,64.95822,65.21042,65.31883,65.68756,65.110176,65.619736,65.92852
2011-01-19,85.041885,85.29425,85.402626,85.77204,85.19337,85.70418,86.013145
2011-01-20,104.77217,105.024605,105.13296,105.50283,104.92326,105.43495,105.74398
2011-01-21,124.28765,124.540115,124.64845,125.01866,124.43844,124.950775,125.25984
2011-01-23,143.65894,143.9114,144.01974,144.3902,143.80943,144.32231,144.6314
2011-01-24,162.92686,163.17935,163.28769,163.65836,163.07718,163.59044,163.89957
2011-01-25,182.1173,182.36978,182.47812,182.84897,182.26744,182.78108,183.09018
2011-01-26,201.24762,201.5001,201.60843,201.97942,201.3976,201.91153,202.22063
2011-01-27,220.32999,220.58247,220.69081,221.06192,220.47983,220.99402,221.30313
2011-01-28,239.37338,239.62589,239.73422,240.10542,239.52312,240.03752,240.34665
2011-01-30,258.38455,258.63705,258.74536,259.11667,258.53412,259.04877,259.35788
2011-01-31,277.36862,277.62112,277.72943,278.10083,277.5181,278.03296,278.34204
2011-02-01,296.3297,296.5822,296.69052,297.06204,296.47916,296.9941,297.30325
2011-02-02,315.2711,315.52362,315.63193,316.00345,315.42044,315.93558,317.1321
2011-02-03,334.19547,334.44797,334.5563,334.9279,334.34476,335.74866,336.9621
2011-02-04,353.10498,353.3575,353.46585,353.83746,354.14407,355.56836,356.68048
2011-02-06,372.0015,372.25403,372.36237,373.62488,373.95465,375.28052,376.30237
2011-02-07,390.88657,391.1391,392.13913,393.4276,393.66116,394.89908,395.84027
2011-02-08,409.76147,410.90643,411.93475,413.12936,413.2767,414.4358,415.30447
2011-02-09,429.5205,430.6958,431.63208,432.74234,432.8123,433.90036,434.70383
2011-02-10,449.30423,450.38925,451.2427,452.27704,452.27713,453.30124,454.0457
2011-02-11,468.99423,469.9978,470.77652,471.74228,471.67926,472.64532,473.3364
2011-02-13,488.6008,489.53082,490.24203,491.14566,491.02536,491.93887,492.58145
2011-02-14,508.13315,508.99652,509.64642,510.49368,510.3214,511.18713,511.78555
2011-02-15,527.59906,528.40186,528.9961,529.79205,529.57245,530.39465,530.9529
2011-02-16,547.0054,547.7531,548.29663,549.0458,548.7831,549.5655,550.087
2011-02-17,566.3579,567.0555,567.55273,568.2592,567.9571,568.70325,569.1911
2011-02-18,585.66205,586.3137,586.7687,587.4363,587.0981,587.81104,588.2681
2011-02-20,604.92224,605.5321,605.94836,606.58026,606.20905,606.8916,607.3206
2011-02-21,624.1428,624.71423,625.0951,625.6943,625.29285,625.94745,626.3506
2011-02-22,643.32715,643.8634,644.2118,644.781,644.3518,644.9807,645.36017
2011-02-23,662.47864,662.98267,663.3012,663.8429,663.3881,663.9935,664.3511
2011-02-24,681.6001,682.07446,682.36566,682.882,682.4038,682.98755,683.3251
2011-02-25,700.6942,701.1413,701.40735,701.9004,701.40063,701.96436,702.2834
2011-02-27,719.76337,720.18536,720.42816,720.8998,720.3801,720.92554,721.22754
2011-02-28,738.8095,739.2085,739.43,739.8818,739.3438,739.8723,740.1586
2011-03-01,757.83466,758.21246,758.4142,758.8479,758.2929,758.80585,759.0777
2011-03-02,776.84064,777.19885,777.3824,777.79926,777.2288,777.72723,777.9857
2011-03-03,795.82886,796.16895,796.3359,796.7372,796.1523,796.6375,796.88367
2011-03-04,814.8009,815.1244,815.2758,815.66284,815.06464,815.53735,815.77234
2011-03-06,833.75793,834.0659,834.2031,834.5769,833.9667,834.42786,834.65247
2011-03-07,852.7013,852.99506,853.11914,853.4806,852.8589,853.3098,853.5246
2011-03-08,871.632,871.9127,872.02435,872.37476,871.7423,872.1837,872.3894
2011-03-09,890.5509,890.8194,890.92004,891.2598,890.6178,891.0502,891.2475
2011-03-10,909.4593,909.7163,909.80664,910.1366,909.48566,909.90967,910.0992
2011-03-11,928.3574,928.6044,928.6848,929.0059,928.3467,928.76294,928.9453
2011-03-13,947.2466,947.4841,947.5554,947.8683,947.20135,947.6106,947.78644
2011-03-14,966.1274,966.35583,966.41895,966.7243,966.05035,966.4531,966.62256
2011-03-15,985.0003,985.2205,985.2762,985.57446,984.8937,985.2898,985.4536
2011-03-16,1003.8659,1004.07837,1004.12683,1004.4183,1003.7313,1004.1225,1004.28186
2011-03-17,1022.7246,1022.9299,1022.9717,1023.25726,1022.5654,1022.95105,1023.1044
2011-03-18,1041.5771,1041.776,1041.8121,1042.0925,1041.3943,1041.775,1041.9253
2011-03-20,1060.4244,1060.6176,1060.6477,1060.9219,1060.2197,1060.5963,1060.7407
2011-03-21,1079.2668,1079.4534,1079.4781,1079.7487,1079.0413,1079.4133,1079.5549
2011-03-22,1098.103,1098.2848,1098.3058,1098.5703,1097.8597,1098.2275,1098.3658
2011-03-23,1116.9354,1117.113,1117.1278,1117.39,1116.6741,1117.0398,1117.1729
2011-03-24,1135.7638,1135.9357,1135.9486,1136.2045,1135.4874,1135.8473,1135.9799
2011-03-25,1154.5875,1154.757,1154.7634,1155.0186,1154.2954,1154.6542,1154.783
2011-03-27,1173.4088,1173.5725,1173.5775,1173.8273,1173.1023,1173.4589,1173.583
2011-03-28,1192.2255,1192.3867,1192.3876,1192.6343,1191.9081,1192.2592,1192.3828
2011-03-29,1211.0397,1211.1978,1211.1946,1211.4412,1210.7089,1211.0591,1211.1824
2011-03-30,1229.8519,1230.0052,1230.0016,1230.2424,1229.5087,1229.8589,1229.977
2011-03-31,1248.6592,1248.8121,1248.804,1249.0425,1248.3085,1248.655,1248.7698
2011-04-01,1267.4662,1267.6157,1267.604,1267.8423,1267.1062,1267.448,1267.5627
2011-04-03,1286.271,1286.4158,1286.4039,1286.641,1285.8993,1286.2408,1286.3553
2011-04-04,1305.0712,1305.2157,1305.2036,1305.4344,1304.6923,1305.0334,1305.1481
2011-04-05,1323.8712,1324.0155,1323.9976,1324.2273,1323.4851,1323.8262,1323.9374
2011-04-06,1342.6709,1342.8105,1342.7905,1343.0203,1342.2778,1342.617,1342.7231
2011-04-07,1361.467,1361.6034,1361.5835,1361.813,1361.0697,1361.4031,1361.5089
2011-04-08,1380.26,1380.3964,1380.3761,1380.6056,1379.8562,1380.1888,1380.2947
2011-04-10,1399.0529,1399.1893,1399.1688,1399.3931,1398.6421,1398.9746,1399.0804
2011-04-11,1417.8457,1417.9818,1417.9575,1418.1787,1417.4276,1417.7603,1417.8661
2011-04-12,1436.6384,1436.7719,1436.7433,1436.9645,1436.2135,1436.546,1436.6517
2011-04-13,1455.4294,1455.5576,1455.529,1455.7504,1454.9993,1455.3318,1455.4373
2011-04-14,1474.2153,1474.3435,1474.3148,1474.536,1473.7849,1474.1172,1474.2225
2011-04-15,1493.001,1493.1292,1493.1003,1493.3217,1492.5706,1492.9027,1493.0042
