,BCOUSD,BCOUSD,BCOUSD,BCOUSD,BCOUSD,BCOUSD,BCOUSD
,0,1,2,3,4,5,6
2011-01-16,97.36687,97.59676,97.914246,98.1529,98.333145,98.54407,98.7457
2011-01-17,93.56221,93.736946,93.91805,93.914566,93.94862,94.04115,94.12478
2011-01-18,93.80508,93.834526,93.92967,94.009636,94.044655,94.09694,94.11027
2011-01-19,93.83458,93.93863,94.0206,94.03441,94.11513,94.096344,94.155464
2011-01-20,93.93683,94.02441,94.042786,94.07729,94.13487,94.10496,94.11242
2011-01-21,94.010254,94.03588,94.096535,94.087036,94.13876,94.10726,94.27392
2011-01-23,94.05027,94.10891,94.09685,94.11995,94.1325,94.27044,94.77659
2011-01-24,94.0925,94.100075,94.11132,94.10322,94.27345,94.79442,94.882614
2011-01-25,94.08947,94.09443,94.137505,94.26779,94.77522,94.88574,94.92072
2011-01-26,94.08798,94.11837,94.27488,94.77498,94.879906,94.92695,95.30604
2011-01-27,94.09601,94.26801,94.788445,94.88138,94.93811,95.3313,95.63945
2011-01-28,94.2843,94.78561,94.88531,94.92249,95.33929,95.63241,96.66454
2011-01-30,94.78577,94.87528,94.929504,95.327,95.62267,96.644905,96.96042
2011-01-31,94.88458,94.91363,95.32712,95.62538,96.65895,96.95906,96.9994
2011-02-01,94.92211,95.33246,95.619316,96.6315,96.95447,96.985886,97.15543
2011-02-02,95.32587,95.62887,96.645935,96.95251,96.99806,97.158875,97.23922
2011-02-03,95.63678,96.637596,96.96135,97.00205,97.15984,97.23794,97.46096
2011-02-04,96.64666,96.94899,97.001495,97.173965,97.262566,97.48324,97.65006
2011-02-06,96.966835,96.997116,97.16646,97.25067,97.47044,97.65995,97.7054
2011-02-07,97.00685,97.132484,97.27005,97.464714,97.6308,97.71456,97.802826
2011-02-08,97.15527,97.23849,97.470955,97.66009,97.70674,97.81768,97.83912
2011-02-09,97.248924,97.465,97.65811,97.72318,97.81874,97.84746,97.886
2011-02-10,97.46299,97.66417,97.703255,97.81288,97.840355,97.87724,97.945274
2011-02-11,97.64657,97.7032,97.79963,97.842865,97.91213,97.93676,98.11424
2011-02-13,97.697,97.820816,97.91708,97.90179,97.944664,98.11956,98.33423
2011-02-14,97.81212,97.874374,97.89906,97.93324,98.124504,98.314476,98.48849
2011-02-15,97.85674,97.89826,97.9794,98.12221,98.3419,98.48717,99.49083
2011-02-16,97.89867,97.94617,98.112976,98.30887,98.502556,99.471344,99.657
2011-02-17,97.961494,98.103806,98.30391,98.5114,99.460754,99.66247,99.84997
2011-02-18,98.13292,98.31247,98.50786,99.49217,99.6595,99.809456,99.84008
2011-02-20,98.33227,98.498,99.48119,99.65609,99.83125,99.84694,100.323715
2011-02-21,98.49544,99.502075,99.67656,99.81499,99.90692,100.33685,101.10948
2011-02-22,99.46968,99.68347,99.81006,99.86447,100.33175,101.09644,101.20771
2011-02-23,99.65884,99.8257,99.853226,100.309074,101.10345,101.20156,101.20281
2011-02-24,99.846115,99.87769,100.31687,101.08962,101.18384,101.16702,101.568794
2011-02-25,99.87167,100.33281,101.14379,101.159836,101.246346,101.53637,101.72348
2011-02-27,100.33642,101.09133,101.20458,101.19205,101.59132,101.73674,101.98623
2011-02-28,101.078766,101.14031,101.173904,101.58988,101.72638,101.98606,102.08695
2011-03-01,101.17618,101.20853,101.63376,101.71301,101.98414,102.10637,102.4142
2011-03-02,101.19296,101.60717,101.73993,101.99904,102.10658,102.38747,102.59907
2011-03-03,101.569466,101.72017,101.968636,102.06738,102.37552,102.61471,102.660194
2011-03-04,101.70667,101.96695,102.08384,102.40666,102.59029,102.64179,102.72607
2011-03-06,101.98616,102.105736,102.38213,102.62299,102.64704,102.72743,103.014046
2011-03-07,102.101654,102.405975,102.58696,102.67698,102.73923,103.017876,103.435646
2011-03-08,102.41165,102.608665,102.64952,102.74872,103.019684,103.42043,103.52682
2011-03-09,102.5935,102.65179,102.73115,103.03413,103.39695,103.54905,105.39889
2011-03-10,102.7371,102.74564,103.01253,103.414536,103.524666,105.419334,106.797386
2011-03-11,102.761566,103.02491,103.40421,103.53855,105.40953,106.81149,109.66757
2011-03-13,103.07362,103.43939,103.53169,105.38099,106.83296,109.64521,109.95301
2011-03-14,103.433395,103.53627,105.35885,106.83699,109.659424,109.98378,110.20923
2011-03-15,103.544586,105.38373,106.86519,109.60072,110.017296,110.203995,112.122055
2011-03-16,105.326805,106.834526,109.669136,109.923225,110.19802,112.06988,112.28903
2011-03-17,106.831535,109.644295,109.981705,110.23346,111.97981,112.24984,112.52171
2011-03-18,109.643196,109.97258,110.22491,112.08482,112.26961,112.51499,112.73184
2011-03-20,110.000465,110.22249,112.11101,112.24614,112.49116,112.709885,113.45484
2011-03-21,110.211624,112.08846,112.25661,112.45718,112.71058,113.4768,113.50859
2011-03-22,112.053856,112.27392,112.46803,112.6643,113.49401,113.51152,113.52785
2011-03-23,112.26147,112.55411,112.76416,113.471825,113.49889,113.53525,113.726845
2011-03-24,112.51979,112.760414,113.441505,113.54512,113.54189,113.72972,113.80142
2011-03-25,112.73766,113.507935,113.544075,113.53194,113.73673,113.70163,113.81199
2011-03-27,113.483665,113.4928,113.534874,113.75459,113.7881,113.83553,114.67664
2011-03-28,113.509796,113.518234,113.74167,113.76143,113.82913,114.6681,114.72301
2011-03-29,113.543144,113.75739,113.76592,113.85248,114.6986,114.75516,114.973976
2011-03-30,113.64175,113.73413,113.82748,114.622284,114.813835,114.98409,115.04247
2011-03-31,113.76688,113.82243,114.80278,114.75849,115.00956,115.04179,115.039696
2011-04-01,113.847595,114.63611,114.94131,114.957306,114.997536,115.0275,115.04533
2011-04-03,114.48158,114.84474,115.03605,115.00344,115.06627,115.05886,115.072754
2011-04-04,114.77083,114.91849,115.05159,115.00587,115.04841,115.07189,115.235695
2011-04-05,115.05653,114.99336,115.04198,115.08345,115.12794,115.18297,115.27786
2011-04-06,115.04081,115.05537,115.065285,115.080795,115.22503,115.3404,115.53841
2011-04-07,115.057434,115.06852,115.07731,115.18131,115.31761,115.51973,115.605675
2011-04-08,115.059006,115.08428,115.22688,115.26603,115.48612,115.66221,115.59435
2011-04-10,115.11255,115.19546,115.271095,115.45654,115.57866,115.66076,115.65401
2011-04-11,115.19109,115.27839,115.54417,115.61442,115.653336,115.66491,115.64726
2011-04-12,115.32301,115.49983,115.55612,115.66071,115.69851,115.76849,115.65134
2011-04-13,115.514206,115.63183,115.61007,115.664345,115.6652,115.78105,115.79124
2011-04-14,115.59369,115.58456,115.599655,115.76224,115.65164,115.72669,115.72036
2011-04-15,115.6447,115.67422,115.7243,115.772514,115.79196,115.68753,115.80695
2011-04-17,115.691826,115.72286,115.70778,115.72507,115.72382,115.8188,116.78514
2011-04-18,115.74109,115.70726,115.740036,115.66411,115.81809,116.70732,117.839584
2011-04-19,115.79913,115.73077,115.65361,115.78289,116.67454,117.86329,119.09363
2011-04-20,115.78111,115.660995,115.827995,116.65475,117.7656,119.24662,119.97958
2011-04-21,115.68574,115.81882,116.67445,117.81788,119.15654,119.97565,120.87612
2011-04-24,115.81778,116.65579,117.806526,119.128555,119.93058,120.83847,121.34016
2011-04-25,116.70427,117.83868,119.153885,119.92645,120.854744,121.3275,121.846214
2011-04-26,117.835686,119.21653,119.9097,120.86835,121.3691,121.81148,122.002235
2011-04-27,119.16161,119.97034,120.88812,121.34395,121.83715,121.989334,122.102036
2011-04-28,119.93586,120.88602,121.34585,121.87339,121.9149,122.092766,122.20898
2011-04-29,120.89397,121.33234,121.88334,121.974525,122.07575,122.1422,122.18312
2011-05-01,121.35026,121.92189,121.94542,122.08292,122.19772,122.24844,122.170395
2011-05-02,121.86854,121.98349,122.09204,122.195816,122.23346,122.113045,122.185265
2011-05-03,121.97507,122.05899,122.12974,122.18708,122.231224,122.19246,122.195
2011-05-04,122.11304,122.25283,122.196175,122.183754,122.18764,122.21763,122.21353
2011-05-05,122.18508,122.19747,122.2486,122.18606,122.14856,122.20278,122.183556
2011-05-06,122.18154,122.20551,122.22367,122.18745,122.22844,122.15826,122.24143
2011-05-08,122.213356,122.21212,122.1693,122.19557,122.23291,122.18998,122.22477
2011-05-09,122.20639,122.17875,122.195045,122.14749,122.1635,122.2497,122.199554
2011-05-10,122.202,122.19038,122.25137,122.195854,122.1451,122.22841,122.166565
2011-05-11,122.19895,122.23579,122.22447,122.20012,122.205376,122.17603,122.1474
2011-05-12,122.18995,122.19698,122.16646,122.20242,122.215096,122.20623,122.2146
2011-05-13,122.18384,122.20555,122.19417,122.20369,122.18638,122.19192,122.22586
2011-05-15,122.18007,122.21309,122.25415,122.24953,122.20024,122.22047,122.195465
2011-05-16,122.21468,122.17669,122.22515,122.24961,122.20615,122.20282,122.091805
2011-05-17,122.1396,122.187935,122.162704,122.19885,122.18626,122.11488,121.99024
2011-05-18,122.21406,122.23596,122.1911,122.25332,122.097176,121.94839,121.77933
2011-05-19,122.18132,122.19246,122.251884,122.04046,121.962105,121.96489,121.611046
2011-05-20,122.24483,122.243454,122.06545,121.93862,121.83152,121.64677,120.89138
2011-05-22,122.21333,122.06073,122.005196,121.931946,121.619286,120.890785,116.18746
2011-05-23,122.07029,121.98513,121.84842,121.638374,120.89238,116.26667,115.484695
2011-05-24,121.90303,121.90765,121.644455,120.88429,116.16679,115.52423,115.303116
2011-05-25,121.931694,121.61469,120.85265,116.28919,115.52102,115.37948,115.09296
