,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF,CADCHF
,0,1,2,3,4,5,6
2011-01-16,0.96846527,0.9589152,0.9732042,0.96609074,0.9625946,0.9629351,0.96083474
2011-01-17,0.9610942,0.96037745,0.96081287,0.96346563,0.9606071,0.96037126,0.9610452
2011-01-18,0.9622492,0.96145123,0.96185786,0.96194965,0.96174544,0.96184623,0.9580313
2011-01-19,0.9624001,0.9628027,0.96078235,0.9581386,0.9614143,0.96328044,0.9594358
2011-01-20,0.963421,0.9603499,0.9600812,0.9622515,0.95732963,0.9611099,0.9569506
2011-01-21,0.96023804,0.96040946,0.961598,0.9644452,0.9609494,0.9568457,0.959095
2011-01-23,0.9601387,0.95561916,0.9528737,0.95962304,0.95602643,0.95606977,0.9544704
2011-01-24,0.95386523,0.9564786,0.95925,0.9524947,0.9531837,0.9506721,0.95021296
2011-01-25,0.9606115,0.9653741,0.9631183,0.9590281,0.96087193,0.95942044,0.9560384
2011-01-26,0.96100444,0.9610531,0.9626119,0.9641768,0.95463884,0.9494097,0.9723216
2011-01-27,0.9519273,0.94539535,0.9511895,0.94905365,0.95287067,0.94815195,0.9539696
2011-01-28,0.94861203,0.9439596,0.95363796,0.95567995,0.9403291,0.94844043,0.9472487
2011-01-30,0.95133495,0.9530618,0.9552945,0.9469447,0.9467942,0.9576366,0.949082
2011-01-31,0.9520931,0.9559655,0.959995,0.9513948,0.9596207,0.95145154,0.9464008
2011-02-01,0.9530855,0.9570688,0.9551565,0.9580877,0.95749587,0.95911664,0.96151507
2011-02-02,0.96158904,0.96286094,0.95831215,0.9622797,0.9615522,0.9530349,0.95851606
2011-02-03,0.958906,0.94782615,0.95093274,0.9529251,0.94907916,0.9582964,0.95799905
2011-02-04,0.9663566,0.9613011,0.96163476,0.95596886,0.96474904,0.96884906,0.9652165
2011-02-06,0.9529442,0.95836693,0.95812434,0.94093716,0.96244365,0.96320784,0.9529311
2011-02-07,0.95980364,0.9577118,0.9482796,0.9493321,0.9582197,0.95269316,0.9601093
2011-02-08,0.9587729,0.9634929,0.96060795,0.9596057,0.9648632,0.9606044,0.9664136
2011-02-09,0.9643277,0.9687454,0.972252,0.958795,0.96547276,0.9670894,0.9643914
2011-02-10,0.96377045,0.97295564,0.969723,0.96474606,0.9707286,0.96536636,0.9712277
2011-02-11,0.95585465,0.9659194,0.9632913,0.9689495,0.9613,0.9665797,0.96457237
2011-02-13,0.96605784,0.9604649,0.9560435,0.96308047,0.9659769,0.9607061,0.9758333
2011-02-14,0.9584735,0.9643247,0.96829295,0.9581114,0.96133,0.96053576,0.9630183
2011-02-15,0.9663919,0.9628871,0.9662589,0.9680649,0.9655926,0.9676304,0.9647871
2011-02-16,0.95584357,0.96398276,0.96048963,0.95917284,0.9671594,0.96091706,0.96359617
2011-02-17,0.9764481,0.9668547,0.97650707,0.97575384,0.97888243,0.9777747,0.96837026
2011-02-18,0.96000624,0.964767,0.96484935,0.9659207,0.9646326,0.9625571,0.95516896
