,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY,CADJPY
,0,1,2,3,4,5,6
2011-01-16,20.94977,22.216843,22.19396,21.868752,21.196457,22.395735,21.870724
2011-01-17,42.18876,43.46436,43.44166,43.11313,42.438557,43.643974,43.114967
2011-01-18,62.249416,63.526253,63.503613,63.17453,62.499615,63.706043,63.176453
2011-01-19,81.87191,82.98928,82.981766,82.724495,82.114296,83.12426,82.72643
2011-01-20,82.975395,82.98639,82.96494,82.92555,82.97667,82.99014,82.89638
2011-01-21,82.95945,82.94518,82.960144,83.0044,83.00317,82.90736,82.89202
2011-01-23,82.94388,82.95851,83.00313,83.0058,82.90715,82.89247,82.89407
2011-01-24,82.96099,83.00834,83.00532,82.90822,82.89432,82.89289,82.80618
2011-01-25,83.00503,83.002716,82.90735,82.890915,82.89136,82.808655,82.62475
2011-01-26,83.01094,82.90781,82.891525,82.88994,82.80534,82.61823,82.5743
2011-01-27,82.90729,82.89636,82.89225,82.802345,82.62401,82.57227,82.57389
2011-01-28,82.88958,82.890656,82.80862,82.622856,82.5759,82.57362,82.57648
2011-01-30,82.89122,82.803764,82.62236,82.57302,82.573265,82.572105,82.56914
2011-01-31,82.80842,82.626495,82.57267,82.572205,82.57804,82.573654,82.62085
2011-02-01,82.61986,82.568474,82.57395,82.56907,82.57022,82.62356,82.764465
2011-02-02,82.57409,82.57361,82.57567,82.5721,82.62054,82.76356,82.80329
2011-02-03,82.57422,82.5746,82.57068,82.626526,82.76808,82.811455,82.82416
2011-02-04,82.57446,82.57189,82.62206,82.767555,82.80388,82.83078,82.90087
2011-02-06,82.57052,82.624626,82.76716,82.80435,82.82126,82.90624,83.00457
2011-02-07,82.62002,82.771675,82.79896,82.81882,82.900826,83.00726,83.0552
2011-02-08,82.75537,82.80695,82.824165,82.90951,83.00351,83.06072,83.07944
2011-02-09,82.80557,82.82093,82.90705,83.00661,83.06157,83.093155,83.155655
2011-02-10,82.822655,82.9061,83.00257,83.058014,83.08534,83.15433,83.168335
2011-02-11,82.90109,83.012344,83.058044,83.08785,83.15067,83.17547,83.227234
2011-02-13,83.00633,83.06105,83.08035,83.15442,83.16732,83.23575,83.2633
2011-02-14,83.06885,83.08714,83.15758,83.16329,83.220604,83.263916,83.25888
2011-02-15,83.09069,83.15287,83.16279,83.224945,83.2613,83.26089,83.26387
2011-02-16,83.154045,83.18165,83.22674,83.25117,83.2612,83.25076,83.26353
2011-02-17,83.160995,83.228325,83.26084,83.25853,83.2677,83.269615,83.25785
2011-02-18,83.22841,83.262215,83.26313,83.26839,83.26023,83.24787,83.25911
2011-02-20,83.26248,83.265656,83.25718,83.26097,83.25882,83.2652,83.24095
2011-02-21,83.26604,83.25822,83.25837,83.26212,83.25826,83.234634,83.23295
2011-02-22,83.25835,83.253136,83.25997,83.25723,83.22353,83.21585,83.22808
