,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY,CHFJPY
,0,1,2,3,4,5,6
2011-01-16,22.078037,21.430712,21.434603,21.69342,21.811375,21.343195,22.21802
2011-01-17,43.074524,42.42464,42.42719,42.687794,42.807945,42.336,43.21653
2011-01-18,63.021835,62.371544,62.373882,62.63478,62.755283,62.282745,63.164158
2011-01-19,82.57512,81.924706,81.92696,82.18796,82.30857,81.835846,82.717545
2011-01-20,86.15539,86.16641,86.16926,86.15142,86.16855,86.20157,86.245224
2011-01-21,86.1833,86.18405,86.182434,86.186615,86.25638,86.276405,86.281525
2011-01-23,86.18106,86.18349,86.184326,86.25683,86.284294,86.28071,86.27618
2011-01-24,86.18455,86.18282,86.254654,86.28,86.28273,86.28074,86.28264
2011-01-25,86.19199,86.258385,86.27819,86.2786,86.27697,86.278755,86.27731
2011-01-26,86.2563,86.276985,86.28076,86.28138,86.27396,86.27904,86.27847
2011-01-27,86.27699,86.27643,86.280556,86.27927,86.27603,86.27931,86.282616
2011-01-28,86.27877,86.27869,86.277885,86.28318,86.28317,86.277084,86.27476
2011-01-30,86.28004,86.27664,86.281,86.28019,86.286804,86.28058,86.28402
2011-01-31,86.28047,86.28357,86.28073,86.28382,86.28425,86.28067,86.25617
2011-02-01,86.28284,86.28104,86.277534,86.27954,86.2757,86.25907,86.20489
2011-02-02,86.27447,86.28274,86.28122,86.27915,86.25395,86.17863,86.20166
2011-02-03,86.2779,86.2791,86.28089,86.25538,86.18477,86.1862,86.18608
2011-02-04,86.27999,86.27655,86.25652,86.19891,86.18822,86.19562,86.17307
2011-02-06,86.27604,86.248055,86.18285,86.18222,86.19208,86.17054,86.116135
2011-02-07,86.25915,86.19812,86.18345,86.18417,86.183395,86.11781,86.11141
2011-02-08,86.1909,86.22197,86.20037,86.16941,86.11978,86.10898,86.05403
2011-02-09,86.20303,86.20474,86.17573,86.11282,86.11551,86.05224,86.003105
2011-02-10,86.19297,86.182396,86.118454,86.108116,86.046776,85.99578,85.99784
2011-02-11,86.17172,86.11668,86.10861,86.056015,85.99971,86.003845,85.99828
2011-02-13,86.13084,86.09748,86.05415,86.00154,86.000656,86.0057,86.00345
2011-02-14,86.103645,86.05696,85.99881,85.995346,86.00648,85.99688,85.997475
2011-02-15,86.05767,86.00129,86.006775,85.999214,86.00065,85.99484,85.998
2011-02-16,85.99661,86.000755,86.00458,85.99743,86.00156,86.00443,86.057915
2011-02-17,85.99439,85.999115,86.00101,85.99553,86.002365,86.059525,86.12111
2011-02-18,86.00493,85.99794,85.99599,86.00106,86.05457,86.11697,86.16105
2011-02-20,86.00736,86.00323,86.00039,86.05741,86.11578,86.176636,86.36926
2011-02-21,85.99601,86.00294,86.05087,86.118866,86.18129,86.37478,86.435295
2011-02-22,85.99347,86.04803,86.115715,86.18181,86.36923,86.42843,86.657974
2011-02-23,86.052704,86.1171,86.18578,86.375626,86.42907,86.65183,86.844475
2011-02-24,86.11766,86.18542,86.3621,86.43135,86.66228,86.84369,86.877205
2011-02-25,86.18693,86.37399,86.4243,86.65271,86.84281,86.88552,86.90965
2011-02-27,86.38279,86.415306,86.65191,86.85255,86.880585,86.89682,87.05135
2011-02-28,86.431656,86.65619,86.84526,86.879654,86.897316,87.05195,87.06821
2011-03-01,86.65692,86.850204,86.8773,86.88278,87.058876,87.0735,87.097
2011-03-02,86.842545,86.87789,86.892494,87.069115,87.08119,87.11293,87.13109
2011-03-03,86.87387,86.918915,87.05006,87.07384,87.11608,87.142105,87.2437
2011-03-04,86.890076,87.05361,87.07788,87.09324,87.14251,87.241554,87.48841
2011-03-06,87.051865,87.07708,87.08186,87.14239,87.23528,87.46504,87.55064
2011-03-07,87.08411,87.1194,87.149704,87.24022,87.48119,87.5499,87.66619
2011-03-08,87.09806,87.14223,87.23372,87.48526,87.56295,87.67781,87.71101
2011-03-09,87.14233,87.2258,87.505394,87.560265,87.65358,87.73888,87.9001
2011-03-10,87.23614,87.485176,87.546745,87.65967,87.74202,87.89549,88.01433
2011-03-11,87.485115,87.55415,87.66016,87.745255,87.89338,88.02277,88.024445
2011-03-13,87.562416,87.66651,87.74691,87.896065,88.002014,88.01911,88.007774
2011-03-14,87.67124,87.738014,87.887375,88.019646,88.015976,88.00354,88.07562
2011-03-15,87.74121,87.89853,88.02564,88.01613,88.01448,88.08545,88.09899
2011-03-16,87.88762,88.01475,88.0073,87.99763,88.08015,88.10675,88.11554
2011-03-17,88.012764,88.01138,88.00657,88.061264,88.09506,88.1122,88.1684
