,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR,ETXEUR
,0,1,2,3,4,5,6
2011-01-16,20.981987,20.669962,21.224314,20.642986,20.5193,21.606848,21.168056
2011-01-17,42.800415,41.443184,43.980343,42.39143,42.265877,43.436142,42.956223
2011-01-18,61.819324,62.415302,64.8002,62.654896,62.529217,63.73569,61.958935
2011-01-19,81.879684,82.64934,84.78909,82.299,82.1734,82.037224,82.00693
2011-01-20,101.84146,102.56689,104.537834,101.79913,100.26731,101.80311,101.95993
2011-01-21,121.599785,122.29203,124.136406,119.77382,119.83822,121.58881,121.71192
2011-01-23,141.09578,141.76122,142.04648,139.10127,139.36778,141.1064,141.20258
2011-01-24,160.46422,159.63474,161.38727,158.5172,158.76361,160.49246,160.5666
2011-01-25,178.25691,178.9402,180.8271,177.83064,178.06021,179.78094,178.35587
2011-01-26,197.46811,198.34225,200.1513,197.04799,197.26326,197.49016,197.56381
2011-01-27,216.82805,217.67278,219.41522,216.21988,214.93184,216.65356,216.92096
2011-01-28,236.13246,236.95169,238.63664,233.86624,234.05756,235.98222,236.223
2011-01-30,255.35455,256.15143,256.2839,252.92915,253.31926,255.22556,255.44298
2011-01-31,274.5242,273.7948,275.36417,272.15527,272.52377,274.41388,274.61078
2011-02-01,292.14087,292.86948,294.60825,291.33066,291.68002,293.55576,293.73447
2011-02-02,311.17902,312.10168,313.7924,310.4537,310.78607,312.649,314.29474
2011-02-03,330.4027,331.2994,332.94727,329.55392,329.8711,333.20828,334.85608
2011-02-04,349.58228,350.45578,352.0652,348.6228,350.41382,353.76358,355.2205
2011-02-06,368.7169,369.56946,371.1443,369.1471,370.95374,374.12128,375.40994
2011-02-07,387.8169,388.65057,391.68686,389.68054,391.3072,394.31366,395.45334
2011-02-08,406.88626,409.19775,412.24103,410.03223,411.4994,414.3628,415.3698
2011-02-09,427.41937,429.75485,432.60928,430.22064,431.54575,434.28146,436.58395
2011-02-10,447.9808,450.14227,452.82874,450.27966,451.47763,455.51544,457.73624
2011-02-11,468.36786,470.37427,472.91052,470.21765,472.72006,476.6826,478.647
2011-02-13,488.59802,490.46548,492.86703,491.46515,493.89496,497.60632,499.3436
2011-02-14,508.69247,510.43515,514.1382,512.6511,514.83167,518.3201,519.8553
2011-02-15,528.6665,531.72144,535.3486,533.6006,535.5595,538.8495,538.84674
2011-02-16,549.95605,552.94507,556.3191,554.33887,556.10034,557.8534,558.99274
2011-02-17,571.1938,573.93805,577.0866,574.8992,575.12286,578.02094,579.1997
2011-02-18,592.1972,594.72345,597.6706,593.9351,595.30444,598.24426,599.27966
2011-02-20,612.9912,615.3225,616.72473,614.1277,615.5393,618.3378,619.24365
2011-02-21,633.60144,634.39185,636.93774,634.37573,635.6463,638.3169,639.1053
2011-02-22,652.6808,654.6202,657.2054,654.4954,655.63824,658.19293,657.54834
2011-02-23,672.91736,674.9008,677.3417,674.4978,675.5247,676.6463,677.1653
2011-02-24,693.2116,695.05475,697.3649,694.3995,693.9923,696.27905,696.89197
2011-02-25,713.3761,715.0923,717.2836,712.87787,713.63617,716.018,716.54065
2011-02-27,733.42206,735.02264,735.77515,732.5307,733.3841,735.6766,736.1169
2011-02-28,753.362,753.52545,755.44214,752.2886,753.0527,755.2636,755.6285
2011-03-01,771.873,773.2036,775.21356,771.9665,772.6489,774.7852,773.77203
2011-03-02,791.5579,792.9843,794.9027,791.5703,792.178,792.9359,793.096
2011-03-03,811.34875,812.6858,814.5205,811.11,810.33856,812.2707,812.55347
2011-03-04,831.05817,832.31366,834.0718,829.2783,829.6812,831.7366,831.95776
2011-03-06,850.6922,851.87286,852.24866,848.62726,849.1534,851.1475,851.3119
