,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD
,0,1,2,3,4,5,6
2011-01-16,1.3290863,1.3299866,1.3201828,1.3190002,1.3224945,1.3214874,1.327507
2011-01-17,1.3168106,1.318924,1.3217697,1.3186035,1.3221588,1.319252,1.3177643
2011-01-18,1.3159409,1.321579,1.3225708,1.3198395,1.3193817,1.317421,1.320755
2011-01-19,1.3186035,1.3183594,1.3170853,1.3170395,1.3207932,1.3216858,1.3219223
2011-01-20,1.3170242,1.3186798,1.3178711,1.3205719,1.3167343,1.3167343,1.3219299
2011-01-21,1.3200607,1.3218994,1.3218231,1.3134537,1.3158112,1.3184052,1.3168564
2011-01-23,1.3203964,1.3182297,1.312645,1.318924,1.3176117,1.3203049,1.3195038
2011-01-24,1.32061,1.3186798,1.3143234,1.3214188,1.3176956,1.3208466,1.3159943
2011-01-25,1.3172607,1.3221588,1.3290558,1.3235474,1.3212585,1.3219528,1.3166351
2011-01-26,1.3202972,1.3180313,1.3216095,1.3207245,1.3122635,1.3242111,1.3197784
2011-01-27,1.3214111,1.3166046,1.3211823,1.3147736,1.3147049,1.3238678,1.3222275
2011-01-28,1.3191528,1.3139648,1.3240967,1.320343,1.3232651,1.317543,1.3192902
2011-01-30,1.310852,1.3267288,1.3222809,1.3300858,1.3656006,1.3245697,1.3361893
2011-01-31,1.3244629,1.3136368,1.3291626,1.322319,1.3320618,1.3275375,1.3274612
2011-02-01,1.3180008,1.3269882,1.2905273,1.3233185,1.3291016,1.3333588,1.338562
2011-02-02,1.3288498,1.3133621,1.3262482,1.3288727,1.3365631,1.3441391,1.3370132
2011-02-03,1.3219833,1.3290558,1.3320236,1.3322983,1.3267136,1.338623,1.3221359
2011-02-04,1.3203964,1.3321152,1.3412399,1.3331223,1.341919,1.3460083,1.3529739
2011-02-06,1.3289032,1.3342133,1.3394241,1.3309708,1.3350143,1.3558655,1.3302002
2011-02-07,1.3427582,1.3332138,1.3339691,1.337143,1.347908,1.3470535,1.3613281
2011-02-08,1.3390579,1.3291473,1.3437347,1.3476639,1.3404083,1.3465195,1.3355408
2011-02-09,1.3312378,1.3106232,1.356926,1.3553467,1.3439178,1.3558121,1.3529053
2011-02-10,1.3444061,1.3505325,1.3591461,1.3417435,1.3528214,1.3529282,1.3449554
2011-02-11,1.3617401,1.3391571,1.3504944,1.320694,1.3498993,1.3619843,1.3719711
2011-02-13,1.3421555,1.3393097,1.3491211,1.3328629,1.3392715,1.3746262,1.3217621
2011-02-14,1.3450851,1.3224945,1.3319244,1.3472977,1.3243561,1.3560638,1.3421249
2011-02-15,1.3507767,1.330719,1.3417816,1.3505402,1.3681564,1.3523026,1.3538437
2011-02-16,1.3723907,1.3520966,1.353241,1.3481598,1.3334732,1.3386612,1.3348236
2011-02-17,1.3380051,1.34832,1.348053,1.3347626,1.3489532,1.359993,1.3508759
2011-02-18,1.3515244,1.3521271,1.3390808,1.3606873,1.3521423,1.3555603,1.3523102
2011-02-20,1.3494034,1.3455582,1.3657761,1.3572311,1.3635788,1.3437424,1.3554688
2011-02-21,1.3538895,1.3523865,1.3567429,1.3451233,1.3518524,1.3618851,1.3603897
2011-02-22,1.3662415,1.3770065,1.3497772,1.3642044,1.3450394,1.3623047,1.3575592
2011-02-23,1.3483505,1.3412399,1.3582993,1.3570175,1.3459625,1.3480072,1.3581314
2011-02-24,1.3641815,1.3588715,1.352005,1.3473358,1.3495255,1.361908,1.3657303
2011-02-25,1.3468323,1.3516312,1.3626328,1.3566284,1.3583145,1.3588028,1.3513412
2011-02-27,1.3538437,1.353981,1.3430557,1.3489075,1.3564224,1.3657608,1.3712006
2011-02-28,1.3588333,1.3617859,1.3628235,1.353363,1.3611984,1.3673782,1.3542175
2011-03-01,1.3460693,1.3434067,1.370842,1.3584518,1.3663101,1.3665466,1.3545303
2011-03-02,1.3473053,1.3628464,1.3627777,1.3606567,1.3578415,1.3647842,1.3615952
2011-03-03,1.3625793,1.3608704,1.3568344,1.3666153,1.3517609,1.3610611,1.3559113
2011-03-04,1.3627472,1.3536453,1.3555908,1.3496399,1.3559418,1.3458557,1.3681793
2011-03-06,1.351326,1.3666382,1.3511963,1.3550568,1.3454742,1.3560181,1.3620377
2011-03-07,1.3610687,1.3682098,1.3538055,1.3480911,1.3545532,1.3708038,1.3660507
2011-03-08,1.3544464,1.3520966,1.3536301,1.3518295,1.3539963,1.3697052,1.3599014
2011-03-09,1.3447189,1.3633652,1.3561935,1.3573303,1.3610992,1.3697357,1.3493881
2011-03-10,1.367073,1.3555527,1.3584595,1.3609924,1.3519974,1.3638763,1.3690109
2011-03-11,1.3618088,1.3566513,1.3555527,1.3607025,1.3688202,1.3466797,1.3558884
2011-03-13,1.3569717,1.3484955,1.3598099,1.3560638,1.3514633,1.3588257,1.3666992
2011-03-14,1.3524933,1.3641052,1.3598099,1.3567581,1.3572998,1.3410263,1.3786545
2011-03-15,1.3587341,1.3629456,1.360527,1.3580627,1.3544388,1.3618011,1.3409958
2011-03-16,1.3574295,1.3489456,1.3578033,1.3721085,1.35112,1.3591995,1.3788757
2011-03-17,1.3601456,1.3575287,1.3574219,1.3637924,1.351532,1.3604889,1.367569
2011-03-18,1.366127,1.3568726,1.385788,1.3607483,1.3652802,1.3653259,1.3683014
2011-03-20,1.3558121,1.3776932,1.3839111,1.3658524,1.3702087,1.3689041,1.3796768
2011-03-21,1.3765411,1.3734894,1.3650589,1.3599701,1.3688736,1.374527,1.3661499
2011-03-22,1.3594589,1.3591614,1.3660431,1.3721008,1.3732605,1.3724442,1.3702774
2011-03-23,1.3621597,1.367096,1.3720703,1.3722763,1.3676758,1.3707428,1.3749161
2011-03-24,1.3683395,1.3666763,1.3717728,1.3677216,1.366394,1.367981,1.3749161
2011-03-25,1.3685837,1.3722534,1.3827362,1.3650513,1.3857422,1.3976212,1.3749161
2011-03-27,1.3722153,1.371315,1.3654633,1.3947144,1.3649521,1.3814163,1.3749161
2011-03-28,1.3646774,1.3714294,1.3605499,1.3536148,1.3936157,1.375946,1.3749161
2011-03-29,1.365799,1.3710403,1.3807907,1.3657837,1.3612137,1.3867874,1.3749161
2011-03-30,1.3924332,1.3688278,1.3692551,1.3655701,1.3618088,1.364975,1.3749161
2011-03-31,1.3628922,1.4023743,1.3894653,1.3657608,1.3699112,1.3882446,1.3749161
2011-04-01,1.3916626,1.3654633,1.3702545,1.360199,1.3932953,1.3633347,1.3634644
2011-04-03,1.362297,1.3537369,1.3567581,1.3639603,1.4115372,1.377182,1.3772049
2011-04-04,1.3794937,1.3817291,1.4196625,1.3758774,1.3906937,1.3706894,1.3811646
2011-04-05,1.3869934,1.4031448,1.3838196,1.3755646,1.383606,1.3704834,1.4018173
2011-04-06,1.3729935,1.3635712,1.3509064,1.3752441,1.3758087,1.3792648,1.391159
2011-04-07,1.4136429,1.355423,1.3650436,1.3760223,1.3756104,1.3852081,1.3640442
2011-04-08,1.3947372,1.3553314,1.3491287,1.3760223,1.3745117,1.3647232,1.3714981
2011-04-10,1.4030151,1.3749771,1.3892975,1.3760223,1.3758545,1.3889923,1.3834991
2011-04-11,1.3942413,1.3761826,1.410286,1.3616714,1.3832626,1.3923416,1.3775177
2011-04-12,1.3619156,1.3740158,1.4015121,1.3840866,1.3632355,1.4152145,1.3855209
2011-04-13,1.359932,1.3764954,1.3776245,1.3888397,1.3851471,1.3965759,1.3653717
2011-04-14,1.3919907,1.3671341,1.3681107,1.3828201,1.3734055,1.3813248,1.375412
2011-04-15,1.404686,1.374443,1.3736572,1.3860779,1.3751297,1.3791656,1.3724289
2011-04-17,1.3615265,1.3839874,1.3806076,1.393074,1.3739777,1.3759155,1.3819427
2011-04-18,1.3790131,1.3836136,1.3709717,1.4023209,1.3832169,1.3696823,1.3755188
2011-04-19,1.3785934,1.3653336,1.3701782,1.3905334,1.381691,1.3688507,1.3703995
2011-04-20,1.3772888,1.3796539,1.3663101,1.3609467,1.3855591,1.3816376,1.375412
2011-04-21,1.3718491,1.3782806,1.3661423,1.3727798,1.3739243,1.367775,1.379425
2011-04-24,1.3822098,1.3782425,1.3651733,1.373497,1.3607864,1.3750763,1.3724365
2011-04-25,1.3762665,1.3686066,1.3690872,1.3750687,1.367096,1.3593826,1.3899994
2011-04-26,1.3727112,1.3706589,1.3747787,1.3825073,1.3728027,1.3652954,1.3544235
2011-04-27,1.3785629,1.3758087,1.3796921,1.3667603,1.3690033,1.3667984,1.3568802
2011-04-28,1.3787537,1.3735733,1.3883057,1.3744736,1.3638992,1.3682861,1.3642731
2011-04-29,1.3750992,1.375412,1.346756,1.3702545,1.3733902,1.3747864,1.3746414
2011-05-01,1.3574371,1.3836212,1.3830566,1.366394,1.3641815,1.3622818,1.3644409
2011-05-02,1.3483658,1.3632126,1.3669891,1.369278,1.3609695,1.3464127,1.3722763
2011-05-03,1.3809204,1.3638687,1.3686295,1.3593292,1.3573685,1.3858185,1.3528442
2011-05-04,1.3645782,1.3756638,1.3763885,1.3768845,1.3707886,1.3621292,1.3653564
