,EURCAD,EURCAD,EURCAD,EURCAD,EURCAD,EURCAD,EURCAD
,0,1,2,3,4,5,6
2011-01-16,1.3257654,1.3257898,1.3249929,1.3252133,1.3229392,1.3220696,1.322851
2011-01-17,1.3286563,1.3272032,1.3257383,1.3251722,1.3254875,1.3252984,1.325402
2011-01-18,1.3275657,1.3261286,1.3255178,1.3257129,1.3251859,1.3256758,1.3256371
2011-01-19,1.3260235,1.3255669,1.3251331,1.3256196,1.3257344,1.3254478,1.3255306
2011-01-20,1.3254064,1.3252656,1.3256692,1.3252662,1.3256378,1.3252798,1.325402
2011-01-21,1.3252265,1.3256099,1.3255236,1.3255548,1.325272,1.3256989,1.3254794
2011-01-23,1.3252239,1.3255785,1.3250968,1.3254806,1.325571,1.3254459,1.325238
2011-01-24,1.3250581,1.3252429,1.3256917,1.3258023,1.3254942,1.32526,1.3256811
2011-01-25,1.3251551,1.3256265,1.3257782,1.3252639,1.3251138,1.3257242,1.3257103
2011-01-26,1.3253887,1.3255917,1.3248961,1.3255284,1.3258219,1.325443,1.3250357
2011-01-27,1.3260149,1.3252174,1.325837,1.3257003,1.32535,1.3252363,1.325556
2011-01-28,1.3249321,1.3256451,1.3256491,1.3255035,1.3252999,1.325751,1.3259304
2011-01-30,1.325863,1.3251598,1.3256904,1.325682,1.3256564,1.3254393,1.3249995
2011-01-31,1.3248097,1.325072,1.3257773,1.3256847,1.3250979,1.3252107,1.3260739
2011-02-01,1.3253962,1.325544,1.3253897,1.3250694,1.3253888,1.3257849,1.3273154
2011-02-02,1.3258827,1.3255128,1.3249224,1.32532,1.3258033,1.3271093,1.3289977
2011-02-03,1.3256837,1.3255385,1.3249533,1.326055,1.3277231,1.3295627,1.332365
2011-02-04,1.3247977,1.3255124,1.3259369,1.3270926,1.3289512,1.3325022,1.3380408
2011-02-06,1.3258392,1.3259393,1.3269037,1.3289928,1.3322556,1.338092,1.3414453
2011-02-07,1.3257052,1.3270922,1.3287139,1.3324416,1.3376127,1.3410994,1.3425069
2011-02-08,1.3274149,1.3290262,1.3321637,1.3374953,1.3412513,1.343261,1.3424361
2011-02-09,1.3283594,1.3324084,1.3378743,1.3415941,1.342475,1.3417021,1.342864
2011-02-10,1.3327141,1.3380511,1.3415188,1.342079,1.34207,1.3434917,1.3421488
2011-02-11,1.3380677,1.3419498,1.3427705,1.3421332,1.3421258,1.3420753,1.3421197
2011-02-13,1.3415236,1.343357,1.3432707,1.3427151,1.3423768,1.3423835,1.3426447
2011-02-14,1.3423346,1.3421922,1.3425465,1.3420523,1.3425735,1.3433844,1.3425299
2011-02-15,1.3427292,1.3424826,1.3413585,1.3421136,1.3420615,1.3428134,1.3439059
2011-02-16,1.3425088,1.3423245,1.3427887,1.3427575,1.3428805,1.3437897,1.3445898
2011-02-17,1.3423183,1.3430902,1.343351,1.342025,1.3438402,1.3444176,1.3462782
2011-02-18,1.3427542,1.3427234,1.3425342,1.345104,1.3438625,1.3449081,1.3455784
2011-02-20,1.3425108,1.3416014,1.3436952,1.3438649,1.3450044,1.3444773,1.3475491
2011-02-21,1.3423004,1.3437917,1.3439922,1.3453003,1.3454942,1.3470633,1.3492565
2011-02-22,1.3439643,1.3444735,1.3436376,1.34413,1.3481848,1.348478,1.3490118
2011-02-23,1.3443336,1.3448689,1.3452744,1.3471805,1.3492388,1.3484644,1.3478911
2011-02-24,1.343886,1.344281,1.3468225,1.3483146,1.348495,1.3482189,1.3494143
2011-02-25,1.3468478,1.3475349,1.3480109,1.3487881,1.347725,1.3485323,1.3484945
2011-02-27,1.3475639,1.3476286,1.347658,1.3474777,1.348975,1.348821,1.3503721
2011-02-28,1.3491027,1.3484979,1.3494903,1.3478316,1.3488135,1.3497154,1.3488959
2011-03-01,1.3478523,1.3491637,1.3480209,1.3483096,1.3485388,1.3519061,1.3518503
2011-03-02,1.348627,1.3483487,1.3476585,1.3510647,1.3499213,1.3513323,1.3528893
