,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF,EURCHF
,0,1,2,3,4,5,6
2011-01-16,1.8201631,1.767907,1.8249618,1.9930722,1.965251,1.8606585,1.9119349
2011-01-17,1.2643046,1.2635896,1.2638506,1.2667654,1.266832,1.264523,1.2642831
2011-01-18,1.2666297,1.2666682,1.2665433,1.266395,1.2663741,1.2668402,1.2666787
2011-01-19,1.266793,1.26665,1.2668259,1.2665269,1.2665325,1.266762,1.2666636
2011-01-20,1.2665985,1.2664608,1.2666913,1.2668183,1.2663575,1.2665249,1.2664652
2011-01-21,1.266575,1.2666748,1.2663916,1.26668,1.2664922,1.2665317,1.2666905
2011-01-23,1.267063,1.2666558,1.2665361,1.2663658,1.2665983,1.2663852,1.266671
2011-01-24,1.266806,1.2664483,1.266859,1.2665164,1.2664859,1.2666509,1.2664514
2011-01-25,1.2667855,1.2666907,1.2667105,1.2668614,1.2670542,1.266905,1.2667079
2011-01-26,1.2668996,1.2666651,1.2663596,1.2666957,1.2664081,1.2664483,1.2666812
2011-01-27,1.2665298,1.2664309,1.2665222,1.2663273,1.2665112,1.2665038,1.2664329
2011-01-28,1.2664888,1.266703,1.2669032,1.2665081,1.2666472,1.2668568,1.2673546
2011-01-30,1.2667125,1.2667207,1.2667668,1.2669438,1.2664435,1.2678096,1.279866
2011-01-31,1.2667433,1.2667673,1.2667346,1.2665923,1.267488,1.2796386,1.2825793
2011-02-01,1.2666746,1.266364,1.26658,1.2676334,1.279564,1.2824563,1.2833741
2011-02-02,1.266236,1.2665468,1.2674179,1.2796717,1.2819101,1.2826616,1.2863339
2011-02-03,1.2668284,1.2673041,1.2796897,1.2825435,1.2836913,1.2865832,1.2876395
2011-02-04,1.2671986,1.2799684,1.282617,1.2826122,1.2868118,1.2876847,1.2883689
2011-02-06,1.2797731,1.2825532,1.2836611,1.2864449,1.2879245,1.2879175,1.2892096
2011-02-07,1.2823179,1.2827483,1.2865602,1.287485,1.2880578,1.2896997,1.2904259
2011-02-08,1.2828959,1.2866532,1.2874043,1.2884885,1.2888496,1.2888027,1.28926
2011-02-09,1.2870545,1.2874569,1.2886791,1.2894632,1.2894984,1.2905785,1.2904935
2011-02-10,1.2877667,1.28938,1.2890205,1.2891136,1.2894605,1.2904541,1.2918068
2011-02-11,1.2889129,1.2893534,1.2893486,1.2900696,1.2902162,1.291562,1.2934201
2011-02-13,1.2894685,1.2894739,1.290579,1.2905202,1.2914381,1.2932613,1.2942024
2011-02-14,1.2899994,1.2899,1.290995,1.2917078,1.2935256,1.2937162,1.2942222
2011-02-15,1.2903199,1.2903687,1.2923146,1.2932491,1.2946514,1.2944099,1.2942399
2011-02-16,1.290425,1.291178,1.2936639,1.2945622,1.2942649,1.294377,1.2942513
2011-02-17,1.2914119,1.2932929,1.2941613,1.2938416,1.2941363,1.2939378,1.2942611
2011-02-18,1.2933255,1.2941266,1.2941166,1.2955505,1.2939931,1.2947056,1.2942771
2011-02-20,1.2946329,1.2943377,1.2943044,1.2930712,1.294351,1.2948838,1.2942797
2011-02-21,1.2938412,1.2941856,1.2943741,1.294733,1.2941513,1.294457,1.294285
2011-02-22,1.2946508,1.2960383,1.2945426,1.2947382,1.2939881,1.2944243,1.2942996
2011-02-23,1.2932142,1.2934268,1.2939359,1.2948372,1.2943724,1.2939421,1.2942913
2011-02-24,1.2934965,1.293997,1.292771,1.2943509,1.2941537,1.2948452,1.294299
2011-02-25,1.293933,1.2946006,1.2944527,1.2940013,1.2939698,1.2944682,1.2943124
2011-02-27,1.2945639,1.2957203,1.2940332,1.294247,1.2944181,1.294442,1.294326
2011-02-28,1.29495,1.2938437,1.2943556,1.2940009,1.2941672,1.2939435,1.2943256
2011-03-01,1.2941406,1.2950764,1.2952673,1.294273,1.2952622,1.2949996,1.2951015
2011-03-02,1.2944185,1.2939608,1.2943274,1.2940054,1.2945049,1.2939726,1.2950442
2011-03-03,1.2942218,1.2952565,1.293694,1.2942808,1.2955278,1.2929492,1.2932413
2011-03-04,1.2940621,1.2948865,1.2940938,1.2954946,1.295294,1.2941513,1.2934748
2011-03-06,1.2940679,1.29516,1.295091,1.2944186,1.2946136,1.2953603,1.2949066
2011-03-07,1.2943337,1.2937676,1.295949,1.2947881,1.2942508,1.2938521,1.2935855
2011-03-08,1.294521,1.294182,1.2931669,1.2945286,1.2938777,1.2931373,1.2933075
2011-03-09,1.2945329,1.2945313,1.2933543,1.2943497,1.2938279,1.2955195,1.2945912
2011-03-10,1.2939333,1.2949362,1.2940187,1.2929641,1.2955297,1.2941936,1.2943139
2011-03-11,1.2944549,1.2940463,1.2946182,1.2936698,1.2946986,1.2935046,1.2942876
2011-03-13,1.2945658,1.2932531,1.2949532,1.2940431,1.294356,1.2939897,1.293945
2011-03-14,1.2947595,1.2953471,1.2944841,1.2933935,1.2938029,1.2947572,1.2946234
2011-03-15,1.293218,1.2946941,1.2936627,1.2933276,1.2929261,1.2931422,1.2932973
2011-03-16,1.2939407,1.2956504,1.2934887,1.2936149,1.2943852,1.2936934,1.2937521
