,EURCZK,EURCZK,EURCZK,EURCZK,EURCZK,EURCZK,EURCZK
,0,1,2,3,4,5,6
2011-01-16,20.376556,23.924759,22.557922,24.439606,24.363846,23.221733,21.21592
2011-01-17,25.103569,25.144814,25.08213,25.132858,25.111313,25.079979,25.123657
2011-01-18,25.076752,25.079033,25.07721,25.08149,25.080414,25.078804,25.076973
2011-01-19,25.079338,25.076035,25.080055,25.078056,25.08155,25.07434,25.041092
2011-01-20,25.080048,25.078804,25.078445,25.078194,25.076538,25.041939,24.91748
2011-01-21,25.077332,25.08303,25.07811,25.077835,25.042412,24.91401,24.841362
2011-01-23,25.077576,25.082886,25.072754,25.042732,24.916817,24.840881,24.72065
2011-01-24,25.079758,25.075775,25.041473,24.917053,24.84346,24.717796,24.606651
2011-01-25,25.070587,25.040596,24.915108,24.843697,24.720818,24.610641,24.590515
2011-01-26,25.043106,24.916328,24.84156,24.71775,24.606804,24.589485,24.563698
2011-01-27,24.914856,24.843887,24.720596,24.605019,24.587936,24.566124,24.511833
2011-01-28,24.840904,24.718567,24.604889,24.586945,24.564354,24.511238,24.390388
2011-01-30,24.720032,24.606422,24.59092,24.565811,24.519241,24.390938,24.38491
2011-01-31,24.609512,24.589706,24.56511,24.511452,24.393211,24.381355,24.374207
2011-02-01,24.588745,24.56881,24.515884,24.39061,24.381187,24.376724,24.373245
2011-02-02,24.562225,24.510849,24.391243,24.379807,24.37413,24.368706,24.32991
2011-02-03,24.514107,24.391312,24.382828,24.37004,24.367867,24.329277,24.318161
2011-02-04,24.39293,24.381493,24.380196,24.370438,24.328651,24.318184,24.307945
2011-02-06,24.378807,24.376984,24.376617,24.326828,24.318718,24.308311,24.303062
2011-02-07,24.380226,24.374107,24.33059,24.31501,24.306717,24.294823,24.282738
2011-02-08,24.371452,24.329643,24.316124,24.305893,24.303474,24.283592,24.277687
2011-02-09,24.326889,24.3191,24.308914,24.303284,24.284042,24.273758,24.26912
2011-02-10,24.32061,24.311104,24.302841,24.285233,24.268715,24.271713,24.275826
2011-02-11,24.306435,24.29818,24.282448,24.269989,24.269798,24.266548,24.269066
2011-02-13,24.299675,24.290977,24.27787,24.274109,24.275543,24.265625,24.274971
