,EURDKK,EURDKK,EURDKK,EURDKK,EURDKK,EURDKK,EURDKK
,0,1,2,3,4,5,6
2011-01-16,145.79617,145.78697,145.72449,145.71997,145.65201,145.61806,145.55829
2011-01-17,143.49683,143.48747,143.42482,143.42015,143.35194,143.31804,143.25818
2011-01-18,141.69458,141.68517,141.62236,141.61765,141.5494,141.51549,141.45558
2011-01-19,140.14595,140.1365,140.07365,140.06891,140.00063,139.96672,139.90681
2011-01-20,138.7564,138.74689,138.68402,138.67924,138.61096,138.57706,138.51715
2011-01-21,137.47768,137.46815,137.40526,137.40045,137.33215,137.29825,137.23834
2011-01-23,136.28102,136.27148,136.20856,136.20372,136.13542,136.10152,136.04161
2011-01-24,135.14795,135.1384,135.07547,135.07063,135.00232,134.96841,134.90851
2011-01-25,134.06564,134.05608,133.99315,133.98831,133.92,133.8861,133.82619
2011-01-26,133.02486,133.01529,132.95235,132.9475,132.87917,132.84526,132.78535
2011-01-27,132.01862,132.00905,131.94608,131.94122,131.87288,131.83897,131.77907
2011-01-28,131.04153,131.03195,130.96898,130.96413,130.89578,130.86188,130.80197
2011-01-30,130.08943,130.07983,130.01685,130.01198,129.94363,129.90973,129.84982
2011-01-31,129.1588,129.1492,129.08621,129.08134,129.013,128.9791,128.91919
2011-02-01,128.24696,128.23737,128.17438,128.16948,128.10112,128.06721,128.00731
2011-02-02,127.35152,127.341896,127.27891,127.274,127.20564,127.17175,127.111855
2011-02-03,126.47056,126.46094,126.39795,126.39304,126.32468,126.29079,126.23089
2011-02-04,125.60242,125.5928,125.52981,125.5249,125.456535,125.422646,125.36275
2011-02-06,124.74572,124.73609,124.6731,124.6682,124.59983,124.56594,124.50604
2011-02-07,123.89924,123.88961,123.82662,123.82171,123.75334,123.71945,123.65955
2011-02-08,123.06191,123.052284,122.989296,122.98438,122.916016,122.882126,122.82223
2011-02-09,122.23285,122.22322,122.16023,122.15532,122.08695,122.05306,121.993164
2011-02-10,121.41124,121.40161,121.33862,121.33371,121.265335,121.231445,121.17155
2011-02-11,120.59637,120.58674,120.52375,120.51884,120.45046,120.41657,120.356674
2011-02-13,119.78759,119.777954,119.714966,119.71005,119.64168,119.60779,119.54789
2011-02-14,118.9844,118.97476,118.91177,118.90686,118.838486,118.804596,118.7447
2011-02-15,118.18624,118.176605,118.11362,118.1087,118.04033,118.00644,117.94654
2011-02-16,117.392715,117.38308,117.32009,117.31518,117.2468,117.21291,117.153015
2011-02-17,116.60339,116.59376,116.53077,116.525856,116.45748,116.42359,116.36369
2011-02-18,115.817924,115.80829,115.7453,115.74039,115.67201,115.63812,115.578224
2011-02-20,115.03599,115.02635,114.96336,114.95845,114.890076,114.856186,114.79629
2011-02-21,114.25728,114.24764,114.184654,114.17974,114.11137,114.07748,114.01758
2011-02-22,113.481544,113.47191,113.40892,113.40401,113.33563,113.30174,113.241844
2011-02-23,112.70854,112.698906,112.63592,112.631004,112.56263,112.52874,112.46884
2011-02-24,111.93803,111.92839,111.8654,111.86049,111.792114,111.758224,111.698326
2011-02-25,111.16983,111.160194,111.097206,111.09229,111.02392,110.99003,110.93013
2011-02-27,110.403755,110.39412,110.33113,110.32622,110.25784,110.22395,110.164055
2011-02-28,109.639626,109.62999,109.567,109.56209,109.49371,109.45982,109.399925
2011-03-01,108.877304,108.86767,108.80468,108.79977,108.73139,108.6975,108.6376
2011-03-02,108.11665,108.10702,108.04403,108.039116,107.97074,107.93685,107.87695
2011-03-03,107.35751,107.34788,107.28489,107.279976,107.21159,107.177704,107.117805
2011-03-04,106.599815,106.59018,106.52719,106.52228,106.453896,106.420006,106.36011
2011-03-06,105.8434,105.83376,105.770775,105.76586,105.69748,105.66359,105.60369
2011-03-07,105.088196,105.07856,105.01557,105.01066,104.942276,104.90839,104.84849
2011-03-08,104.33413,104.32449,104.261505,104.256584,104.1882,104.15431,104.09441
2011-03-09,103.58109,103.57146,103.50847,103.50355,103.435165,103.401276,103.34138
2011-03-10,102.82899,102.81935,102.75636,102.75144,102.68306,102.64917,102.58927
2011-03-11,102.0778,102.06816,102.00517,102.00025,101.93187,101.89798,101.83808
2011-03-13,101.32738,101.31774,101.25475,101.24983,101.18145,101.14756,101.08766
2011-03-14,100.57778,100.568146,100.50516,100.50024,100.431854,100.397964,100.338066
2011-03-15,99.82886,99.81922,99.75623,99.75131,99.68293,99.64904,99.58914
2011-03-16,99.080574,99.07094,99.00795,99.00303,98.93465,98.90076,98.84086
2011-03-17,98.33289,98.32326,98.26027,98.25535,98.186966,98.153076,98.09318
2011-03-18,97.58578,97.57614,97.51315,97.50823,97.43985,97.40596,97.34606
2011-03-20,96.83918,96.829544,96.766556,96.761635,96.69325,96.65936,96.599464
2011-03-21,96.09305,96.08341,96.020424,96.0155,95.94712,95.91323,95.85333
2011-03-22,95.34731,95.33768,95.27469,95.26977,95.201385,95.167496,95.1076
2011-03-23,94.60207,94.59244,94.52945,94.52453,94.45615,94.42226,94.36236
2011-03-24,93.85722,93.84759,93.7846,93.77968,93.711296,93.67741,93.61751
2011-03-25,93.112595,93.10296,93.03997,93.03505,92.96667,92.93278,92.87288
2011-03-27,92.368484,92.35885,92.29586,92.29094,92.22256,92.18867,92.12877
2011-03-28,91.62451,91.614876,91.55189,91.54697,91.478584,91.444695,91.384796
2011-03-29,90.88097,90.87133,90.80834,90.80342,90.73504,90.70115,90.64125
2011-03-30,90.13748,90.127846,90.06486,90.05994,89.991554,89.957664,89.897766
2011-03-31,89.3945,89.384865,89.32188,89.316956,89.24857,89.21468,89.154785
2011-04-01,88.65152,88.641884,88.578896,88.573975,88.50559,88.4717,88.411804
2011-04-03,87.90887,87.89923,87.83624,87.83132,87.76294,87.72905,87.66915
2011-04-04,87.16645,87.156815,87.09383,87.088905,87.02052,86.98663,86.926735
2011-04-05,86.424034,86.4144,86.35141,86.34649,86.27811,86.24422,86.18432
2011-04-06,85.68188,85.67224,85.60925,85.60433,85.53595,85.50206,85.44216
2011-04-07,84.940025,84.93039,84.8674,84.86248,84.7941,84.76021,84.70031
2011-04-08,84.19817,84.18854,84.12555,84.12063,84.052246,84.01836,83.95846
2011-04-10,83.45632,83.446686,83.3837,83.37878,83.310394,83.276505,83.216606
2011-04-11,82.714676,82.70504,82.64205,82.63713,82.56875,82.53486,82.47496
2011-04-12,81.97339,81.96375,81.900764,81.89584,81.82746,81.79357,81.73367
2011-04-13,81.2321,81.222466,81.15948,81.15456,81.086174,81.052284,80.992386
2011-04-14,80.490814,80.48118,80.41819,80.41327,80.34489,80.311,80.2511
2011-04-15,79.74953,79.73989,79.6769,79.67198,79.6036,79.56971,79.50981
2011-04-17,79.00824,78.998604,78.935616,78.930695,78.86231,78.82842,78.768524
2011-04-18,78.26721,78.257576,78.19459,78.18967,78.121284,78.087395,78.0275
2011-04-19,77.52649,77.51685,77.453865,77.448944,77.38056,77.34667,77.28677
2011-04-20,76.78577,76.77613,76.71314,76.70822,76.63984,76.60595,76.54605
2011-04-21,76.045044,76.03541,75.97242,75.9675,75.89912,75.86523,75.80533
2011-04-24,75.30432,75.294685,75.2317,75.226776,75.158394,75.124504,75.064606
2011-04-25,74.5636,74.55396,74.490974,74.48605,74.41767,74.38378,74.32388
2011-04-26,73.822876,73.81324,73.75025,73.74533,73.67695,73.64306,73.58316
2011-04-27,73.08215,73.07252,73.00953,73.00461,72.936226,72.902336,72.84244
2011-04-28,72.34143,72.331795,72.26881,72.263885,72.1955,72.16161,72.101715
2011-04-29,71.60071,71.59107,71.52808,71.52316,71.45478,71.42089,71.36099
2011-05-01,70.859985,70.85035,70.78736,70.78244,70.71406,70.68017,70.62027
2011-05-02,70.119644,70.11001,70.04702,70.04209,69.97372,69.93983,69.87992
2011-05-03,69.379486,69.36985,69.30686,69.30193,69.23356,69.19967,69.13976
2011-05-04,68.63933,68.62969,68.5667,68.561775,68.4934,68.45951,68.399605
2011-05-05,67.89917,67.889534,67.826546,67.82162,67.75324,67.71935,67.65945
2011-05-06,67.15901,67.149376,67.08639,67.08146,67.013084,66.979195,66.91929
2011-05-08,66.41885,66.40922,66.34623,66.3413,66.27293,66.23904,66.17913
2011-05-09,65.678696,65.66906,65.60607,65.60114,65.53277,65.49888,65.43897
2011-05-10,64.93854,64.9289,64.86591,64.860985,64.79261,64.75872,64.698814
2011-05-11,64.19838,64.18874,64.125755,64.12083,64.05245,64.01856,63.958656
2011-05-12,63.45822,63.448586,63.385597,63.38067,63.312294,63.278404,63.2185
2011-05-13,62.718063,62.708427,62.64544,62.64051,62.572136,62.538246,62.47834
2011-05-15,61.977905,61.96827,61.90528,61.900352,61.831978,61.798088,61.738182
2011-05-16,61.237747,61.22811,61.165123,61.160194,61.09182,61.05793,60.998024
2011-05-17,60.49759,60.487953,60.424965,60.420036,60.35166,60.317772,60.257866
2011-05-18,59.75743,59.747795,59.684807,59.67988,59.611504,59.577614,59.517708
2011-05-19,59.017273,59.007637,58.94465,58.93972,58.871346,58.837456,58.77755
2011-05-20,58.277115,58.26748,58.20449,58.199562,58.131187,58.097298,58.03739
2011-05-22,57.536957,57.52732,57.464333,57.459404,57.39103,57.35714,57.297234
2011-05-23,56.7968,56.787163,56.724174,56.719246,56.65087,56.61698,56.557076
2011-05-24,56.05664,56.047005,55.984016,55.979088,55.910713,55.876823,55.816917
2011-05-25,55.316483,55.306847,55.24386,55.23893,55.170555,55.136665,55.07676
2011-05-26,54.576324,54.56669,54.5037,54.49877,54.430397,54.396507,54.3366
2011-05-27,53.836166,53.82653,53.763542,53.758614,53.69024,53.65635,53.596443
2011-05-29,53.09601,53.086372,53.023384,53.018456,52.95008,52.91619,52.856285
2011-05-30,52.35585,52.346214,52.283226,52.278297,52.209923,52.176033,52.116127
2011-05-31,51.615692,51.606056,51.543068,51.53814,51.469765,51.435875,51.37597
2011-06-01,50.875534,50.8659,50.80291,50.79798,50.729607,50.695717,50.63581
2011-06-02,50.135376,50.12574,50.06275,50.057823,49.98945,49.95556,49.895653
2011-06-03,49.395218,49.385582,49.322594,49.317665,49.24929,49.2154,49.155495
2011-06-05,48.65506,48.645424,48.582436,48.577507,48.509132,48.475243,48.415337
2011-06-06,47.9149,47.905266,47.842278,47.83735,47.768974,47.735085,47.67518
2011-06-07,47.174744,47.165108,47.10212,47.09719,47.028816,46.994926,46.93502
2011-06-08,46.434586,46.42495,46.36196,46.357033,46.28866,46.25477,46.194862
2011-06-09,45.694427,45.68479,45.621803,45.616875,45.5485,45.51461,45.454704
2011-06-10,44.95427,44.944633,44.881645,44.876717,44.808342,44.774452,44.714546
2011-06-12,44.21436,44.204723,44.141735,44.136806,44.06843,44.034542,43.974636
2011-06-13,43.474483,43.464848,43.40186,43.39693,43.328556,43.294666,43.23476
2011-06-14,42.734608,42.72497,42.661983,42.657055,42.58868,42.55479,42.494884
2011-06-15,41.99473,41.985096,41.922108,41.91718,41.848804,41.814915,41.75501
2011-06-16,41.254856,41.24522,41.18223,41.177303,41.10893,41.07504,41.015133
2011-06-17,40.51498,40.505344,40.442356,40.437428,40.369053,40.335163,40.275257
2011-06-19,39.775105,39.76547,39.70248,39.69755,39.629177,39.595287,39.53538
2011-06-20,39.03523,39.025593,38.962605,38.957676,38.8893,38.85541,38.795506
2011-06-21,38.295353,38.285717,38.22273,38.2178,38.149426,38.115536,38.05563
2011-06-22,37.555477,37.54584,37.482853,37.477924,37.40955,37.37566,37.315754
2011-06-23,36.8156,36.805965,36.742977,36.73805,36.669674,36.635784,36.57588
2011-06-24,36.075726,36.06609,36.0031,35.998173,35.9298,35.89591,35.836002
2011-06-26,35.33585,35.326214,35.263226,35.258297,35.189922,35.156033,35.096127
2011-06-27,34.595974,34.586338,34.52335,34.51842,34.450047,34.416157,34.35625
2011-06-28,33.8561,33.846462,33.783474,33.778545,33.71017,33.67628,33.616375
2011-06-29,33.116222,33.106586,33.0436,33.03867,32.970295,32.936405,32.8765
2011-06-30,32.376347,32.36671,32.303722,32.298794,32.23042,32.19653,32.136623
2011-07-01,31.6364,31.626762,31.563763,31.558832,31.490446,31.456549,31.396631
2011-07-03,30.896383,30.886745,30.823746,30.818815,30.75043,30.716532,30.656614
2011-07-04,30.156366,30.146729,30.083729,30.078798,30.010412,29.976515,29.916597
2011-07-05,29.41635,29.406712,29.343712,29.338781,29.270395,29.236498,29.17658
2011-07-06,28.676332,28.666695,28.603695,28.598764,28.530378,28.49648,28.436563
2011-07-07,27.936316,27.926678,27.863678,27.858747,27.790361,27.756464,27.696547
2011-07-08,27.196299,27.18666,27.123661,27.11873,27.050344,27.016447,26.95653
2011-07-10,26.456282,26.446644,26.383644,26.378714,26.310328,26.27643,26.216513
