,EURGBP,EURGBP,EURGBP,EURGBP,EURGBP,EURGBP,EURGBP
,0,1,2,3,4,5,6
2011-01-16,0.85444146,0.8508672,0.84855634,0.855258,0.84724635,0.84811443,0.85230815
2011-01-17,0.84622276,0.84445345,0.8411142,0.84844023,0.8499754,0.84123945,0.8393245
2011-01-18,0.85253906,0.85041755,0.851494,0.85148823,0.85085535,0.85208035,0.84489614
2011-01-19,0.8465497,0.8475172,0.8484811,0.84601706,0.8512488,0.848997,0.8488438
2011-01-20,0.84111035,0.8427239,0.84357417,0.83487517,0.8443455,0.8402885,0.83932436
2011-01-21,0.84594595,0.8417897,0.84678745,0.83938944,0.8414656,0.84684527,0.8439985
2011-01-23,0.85209507,0.8545904,0.8551306,0.8577265,0.856439,0.8566061,0.8622624
2011-01-24,0.850523,0.84439033,0.85589224,0.84884775,0.84961975,0.84716344,0.85243994
2011-01-25,0.8553797,0.8489479,0.85382324,0.8511077,0.85985947,0.8473097,0.8639018
2011-01-26,0.84494174,0.84356457,0.8446747,0.84140646,0.8457184,0.8465331,0.85072756
2011-01-27,0.8457662,0.8536493,0.84851134,0.84138805,0.85167193,0.84640396,0.84530884
2011-01-28,0.8458047,0.84077454,0.8464634,0.8485147,0.8399748,0.8478983,0.8487788
2011-01-30,0.85359204,0.85513765,0.84759384,0.8574599,0.8556546,0.8570699,0.85933197
2011-01-31,0.8450627,0.85104644,0.85143054,0.84154606,0.8418319,0.84831357,0.8445089
2011-02-01,0.84938204,0.8491483,0.8453772,0.8496177,0.8448735,0.84518325,0.8477003
2011-02-02,0.84980917,0.84598064,0.8523246,0.8456183,0.848476,0.8485738,0.85054857
2011-02-03,0.8501229,0.8521354,0.8524637,0.8511987,0.8459472,0.8529254,0.85159034
2011-02-04,0.84857976,0.84821135,0.85127866,0.8500575,0.8501382,0.8460914,0.84766847
2011-02-06,0.8492334,0.84947646,0.8490449,0.85028744,0.8488853,0.8486498,0.84895134
2011-02-07,0.84717774,0.8500058,0.84829116,0.8470979,0.8485455,0.84536445,0.84632367
2011-02-08,0.84819174,0.8509167,0.84750974,0.8504935,0.8480399,0.8486375,0.8471345
2011-02-09,0.8534147,0.85037005,0.8505138,0.847075,0.8472619,0.84717774,0.8432075
2011-02-10,0.8477348,0.84819394,0.8446715,0.84268004,0.84146947,0.8436651,0.84378505
2011-02-11,0.8493963,0.84802586,0.84998655,0.84507805,0.85288763,0.84478694,0.8467231
2011-02-13,0.84640026,0.84815276,0.8444853,0.83974713,0.8406842,0.85292864,0.85109776
2011-02-14,0.84531814,0.8538308,0.84737176,0.84767807,0.8474301,0.84904873,0.8446853
2011-02-15,0.8478581,0.8498198,0.84189963,0.8422113,0.857123,0.83879554,0.84686834
2011-02-16,0.84652674,0.8442298,0.8429693,0.8409245,0.8384244,0.8459633,0.84541214
2011-02-17,0.84918565,0.84835887,0.84847254,0.8522105,0.8490987,0.8491324,0.85344106
2011-02-18,0.8393409,0.8383191,0.83935994,0.8358119,0.83653116,0.8378912,0.83626264
2011-02-20,0.8495328,0.84462196,0.84603065,0.84851456,0.8492039,0.85004413,0.85008943
2011-02-21,0.8440899,0.847985,0.84822315,0.8513529,0.8466329,0.8504975,0.85054624
2011-02-22,0.84976566,0.8455044,0.8455913,0.8474941,0.84721166,0.84608185,0.84757584
2011-02-23,0.84550655,0.8452709,0.8438184,0.851505,0.8447899,0.8459791,0.84516037
2011-02-24,0.8496557,0.8519584,0.85086143,0.8518032,0.8526718,0.8504776,0.8539981
2011-02-25,0.8450568,0.84654605,0.8470093,0.84709,0.8473515,0.84654796,0.84884083
2011-02-27,0.84457546,0.8464369,0.84767926,0.84459805,0.846772,0.84896994,0.84807765
2011-02-28,0.8515339,0.850114,0.8465172,0.84653115,0.8487499,0.8492199,0.84856594
2011-03-01,0.8435806,0.84881747,0.8452654,0.84674513,0.84925044,0.8497092,0.85002685
2011-03-02,0.8472791,0.84785795,0.84983134,0.85009885,0.8502124,0.85125554,0.8515194
2011-03-03,0.84867036,0.84798944,0.8474909,0.84799105,0.8491939,0.8498266,0.8486022
2011-03-04,0.8484015,0.85042375,0.8505885,0.849728,0.85067195,0.8496243,0.8501935
2011-03-06,0.8485452,0.8518295,0.84966964,0.8482544,0.8482085,0.84628737,0.84896874
2011-03-07,0.84832215,0.8494614,0.84799033,0.85268915,0.85005826,0.85064787,0.8530011
2011-03-08,0.8506577,0.85120875,0.851228,0.85262746,0.8491977,0.84750533,0.8509835
2011-03-09,0.85105664,0.8491691,0.8433468,0.85205376,0.8477248,0.8476876,0.84722996
2011-03-10,0.8501383,0.85145485,0.855981,0.8496661,0.8508885,0.8523922,0.85556376
2011-03-11,0.84917504,0.851985,0.8491858,0.8493092,0.84914553,0.85491705,0.85077655
2011-03-13,0.84815794,0.84717625,0.8480083,0.8457248,0.8485471,0.8478335,0.8493064
2011-03-14,0.8504141,0.8456728,0.84842944,0.8452604,0.8531203,0.8498769,0.84937257
2011-03-15,0.85177827,0.85173976,0.85232306,0.8509484,0.849199,0.8537763,0.8543993
2011-03-16,0.85236394,0.8517669,0.84893394,0.8501758,0.8501758,0.8538481,0.8558439
2011-03-17,0.8481997,0.8456034,0.84795964,0.8476447,0.8523472,0.8520988,0.85444945
2011-03-18,0.8480918,0.84869826,0.85151404,0.85163677,0.8532218,0.85441864,0.85472494
2011-03-20,0.8490906,0.8482678,0.84986633,0.84962165,0.8515698,0.8526819,0.8539559
2011-03-21,0.849847,0.8498867,0.8494692,0.85520506,0.8544225,0.8566975,0.85583603
2011-03-22,0.84817654,0.85413814,0.8507183,0.8530462,0.8556637,0.85816056,0.86060655
2011-03-23,0.85245985,0.8555704,0.856151,0.8570163,0.85319626,0.8586751,0.85861063
2011-03-24,0.85171825,0.8549688,0.8494642,0.8575984,0.8579438,0.85863733,0.8595994
2011-03-25,0.85377264,0.85914254,0.8557468,0.8584471,0.8606427,0.8570121,0.8616514
2011-03-27,0.8562213,0.85401493,0.85586655,0.86584234,0.85580474,0.8572508,0.863315
2011-03-28,0.8568584,0.85285306,0.855065,0.85851914,0.8632876,0.8655373,0.8595077
2011-03-29,0.8590368,0.86345977,0.85606354,0.8616128,0.8635735,0.86348325,0.8638265
2011-03-30,0.85618126,0.8606874,0.86117744,0.86527026,0.86296654,0.86359346,0.8681858
2011-03-31,0.8639977,0.85620505,0.8631147,0.86710525,0.86770487,0.8645672,0.8667172
2011-04-01,0.8571137,0.8598012,0.8617803,0.8638104,0.86298174,0.86413157,0.85687065
2011-04-03,0.86280847,0.865262,0.8698041,0.8681413,0.868917,0.8704386,0.86850065
2011-04-04,0.8643373,0.86047435,0.8623276,0.86519843,0.86804354,0.8677492,0.8639436
2011-04-05,0.8688658,0.8722981,0.8650682,0.86591583,0.8668178,0.8704419,0.8700314
2011-04-06,0.86806697,0.8678179,0.8660611,0.8704282,0.8652316,0.8669579,0.87575495
2011-04-07,0.8647279,0.87152684,0.8709179,0.86795187,0.86355156,0.87273,0.86918855
2011-04-08,0.8645958,0.86517876,0.8694991,0.86629784,0.8738346,0.87093896,0.8739311
2011-04-10,0.87315553,0.8704232,0.86641586,0.872193,0.8780227,0.8761772,0.8793522
2011-04-11,0.8703332,0.8749327,0.8662373,0.8685504,0.8747867,0.8769336,0.8747889
2011-04-12,0.8634694,0.8722906,0.87130696,0.86709434,0.87409425,0.8757527,0.8715737
2011-04-13,0.8720312,0.8729079,0.8740195,0.87529606,0.8749607,0.8771517,0.87559265
2011-04-14,0.8723199,0.87245023,0.8731029,0.8736184,0.875564,0.8771689,0.8777132
2011-04-15,0.87158906,0.8750683,0.87294626,0.8749507,0.87689537,0.8775053,0.877662
2011-04-17,0.87543666,0.8776513,0.8778649,0.87849575,0.88063824,0.8783089,0.88052595
2011-04-18,0.8712197,0.8734743,0.8733026,0.8697149,0.8726423,0.8797132,0.86984783
2011-04-19,0.87486875,0.87800515,0.8792809,0.87561655,0.8793967,0.8752122,0.8816742
2011-04-20,0.873292,0.87486315,0.8794135,0.8802272,0.87430835,0.8806857,0.87479055
2011-04-21,0.8749801,0.8767135,0.8787984,0.87432593,0.87400985,0.8749224,0.8765333
2011-04-24,0.8767137,0.8771563,0.8753966,0.881109,0.8766231,0.8755015,0.8774027
2011-04-25,0.87600803,0.8734776,0.8760495,0.87903893,0.87548023,0.87955844,0.8788885
2011-04-26,0.88532877,0.8816682,0.8824797,0.8843665,0.8862535,0.88518953,0.88858634
2011-04-27,0.87756455,0.88103664,0.8805212,0.88092965,0.88347065,0.87917876,0.8815046
2011-04-28,0.87823105,0.87822294,0.87629086,0.8816807,0.88093436,0.88200915,0.8837037
2011-04-29,0.8857739,0.88114655,0.8870677,0.8859383,0.8861973,0.8834369,0.8856923
2011-05-01,0.8821064,0.8800955,0.88268447,0.8840238,0.8834452,0.88494927,0.8828632
2011-05-02,0.88435346,0.88474846,0.8846396,0.8871351,0.88580084,0.88309574,0.8849715
2011-05-03,0.8789425,0.87847996,0.8752091,0.8832546,0.87920326,0.88071644,0.8798293
2011-05-04,0.88520706,0.8780411,0.8783785,0.88256955,0.8880928,0.8872726,0.88633704
2011-05-05,0.8808409,0.88775504,0.8865182,0.8815208,0.8865595,0.882365,0.8848363
2011-05-06,0.8755654,0.87736976,0.87939876,0.8764811,0.8792331,0.87903965,0.87500405
2011-05-08,0.8835366,0.87873995,0.88058245,0.8808532,0.8818811,0.8805436,0.88117796
2011-05-09,0.8823025,0.8813443,0.8869167,0.89027256,0.88463056,0.88706446,0.88694704
