,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF,EURHUF
,0,1,2,3,4,5,6
2011-01-16,21.466284,21.332655,21.885883,20.962612,21.92888,22.127079,21.451883
2011-01-17,42.19491,42.061047,42.6167,41.6893,42.6597,42.857796,42.17974
2011-01-18,62.001453,61.86759,62.423626,61.495506,62.466614,62.66472,61.9862
2011-01-19,81.462006,81.328156,81.88431,80.955956,81.9273,82.125404,81.44675
2011-01-20,100.74107,100.60722,101.16342,100.23497,101.206406,101.40452,100.725784
2011-01-21,119.9084,119.77454,120.33078,119.402275,120.373764,120.57187,119.89311
2011-01-23,139.00015,138.86632,139.42256,138.49402,139.46555,139.66365,138.98488
2011-01-24,158.03749,157.90364,158.45988,157.53137,158.50288,158.70099,158.0222
2011-01-25,177.03387,176.90004,177.45628,176.52774,177.49928,177.69739,177.01859
2011-01-26,195.99838,195.86452,196.42079,195.49223,196.46378,196.6619,195.98308
2011-01-27,214.93741,214.80356,215.35983,214.43126,215.4028,215.60094,214.92212
2011-01-28,233.85571,233.72186,234.27812,233.34956,234.32112,234.51923,233.84042
2011-01-30,252.75682,252.62296,253.17923,252.25067,253.22223,253.42032,252.74153
2011-01-31,271.64343,271.5096,272.0659,271.1373,272.04532,272.16412,271.5176
2011-02-01,276.05988,276.05576,276.06778,275.96927,275.84665,275.77374,275.60196
2011-02-02,276.04785,276.04733,275.98495,275.90714,275.78763,275.3303,274.9546
2011-02-03,276.04895,275.983,275.90988,275.79205,275.25555,274.93457,274.83395
2011-02-04,275.98404,275.90756,275.78992,275.23618,274.94073,274.83258,274.74335
2011-02-06,275.91107,275.7877,275.22318,274.9448,274.83383,274.74176,274.60806
2011-02-07,275.78864,275.18875,274.94208,274.8306,274.73962,274.6083,274.55505
2011-02-08,275.15814,274.934,274.83536,274.7482,274.60736,274.55374,274.53925
2011-02-09,274.9423,274.83405,274.74347,274.6059,274.55475,274.539,274.20587
2011-02-10,274.8366,274.7436,274.6095,274.5581,274.5405,274.2093,273.50085
2011-02-11,274.7382,274.60934,274.55655,274.53973,274.2088,273.45282,273.12866
2011-02-13,274.60983,274.55374,274.53625,274.19928,273.432,273.1336,272.95322
2011-02-14,274.5536,274.53934,274.20898,273.41196,273.13202,272.95633,272.84955
2011-02-15,274.54138,274.21036,273.3455,273.12967,272.95508,272.85614,272.7459
2011-02-16,274.20267,273.3114,273.1343,272.95358,272.8526,272.74377,272.4007
2011-02-17,273.3107,273.13333,272.9586,272.85065,272.74783,272.39774,272.39746
2011-02-18,273.12863,272.95166,272.85052,272.74933,272.39218,272.39655,272.39893
2011-02-20,272.95718,272.8536,272.75183,272.3893,272.38867,272.39166,272.3944
2011-02-21,272.8465,272.7501,272.40002,272.39294,272.39215,272.40073,272.3939
2011-02-22,272.7475,272.39246,272.39316,272.39404,272.3982,272.39026,272.3916
2011-02-23,272.38712,272.3999,272.3931,272.39478,272.397,272.39865,272.28244
2011-02-24,272.39474,272.39514,272.39285,272.39267,272.39276,272.28735,272.10822
2011-02-25,272.3947,272.39474,272.39276,272.3939,272.28293,272.103,271.99768
2011-02-27,272.39352,272.3982,272.38815,272.28217,272.10507,271.9964,271.6338
2011-02-28,272.39572,272.39026,272.28476,272.10132,271.98895,271.6339,271.63596
2011-03-01,272.39896,272.2839,272.10648,271.99554,271.6399,271.6382,271.64206
2011-03-02,272.28836,272.10626,271.98672,271.64114,271.63464,271.63916,271.60312
2011-03-03,272.10358,271.9917,271.63278,271.6401,271.63885,271.60834,271.6067
2011-03-04,271.98947,271.639,271.6364,271.63983,271.60587,271.602,271.60028
2011-03-06,271.6341,271.63986,271.63748,271.5972,271.59634,271.60196,271.60376
2011-03-07,271.6382,271.63397,271.607,271.60458,271.6044,271.60736,271.60187
2011-03-08,271.6374,271.60556,271.60876,271.60645,271.60626,271.60025,271.60098
2011-03-09,271.60574,271.60068,271.60007,271.59772,271.59747,271.59937,271.60403
2011-03-10,271.60074,271.60678,271.59802,271.59576,271.59552,271.59644,271.60733
2011-03-11,271.60703,271.6062,271.60742,271.60522,271.605,271.60693,271.63644
2011-03-13,271.60645,271.60028,271.60953,271.6074,271.60715,271.6362,271.70447
2011-03-14,271.60022,271.6071,271.59937,271.59723,271.63568,271.69897,271.9994
2011-03-15,271.60733,271.6065,271.59708,271.63806,271.69278,271.9971,272.08807
2011-03-16,271.60666,271.59985,271.6289,271.70642,272.00735,272.08194,272.09042
2011-03-17,271.5998,271.6392,271.7148,271.99573,272.084,272.08978,272.0836
2011-03-18,271.62817,271.7093,271.99664,272.09222,272.09012,272.08908,272.08582
2011-03-20,271.71063,271.99548,272.09146,272.08694,272.09012,272.08157,272.07993
2011-03-21,272.0013,272.08597,272.08676,272.08817,272.09058,272.09012,271.9947
2011-03-22,272.09515,272.08514,272.07974,272.07806,272.08264,271.98993,271.69342
2011-03-23,272.0888,272.09207,272.08173,272.0813,271.9986,271.70267,271.71432
2011-03-24,272.09177,272.08136,272.0859,271.99734,271.71222,271.7037,271.7098
2011-03-25,272.08463,272.08118,271.99826,271.70953,271.6982,271.70422,271.69504
2011-03-27,272.08588,271.98956,271.7008,271.6993,271.70554,271.70453,271.72235
2011-03-28,271.99146,271.6903,271.68985,271.7002,271.71075,271.71515,271.69095
2011-03-29,271.7032,271.71954,271.7033,271.71017,271.69702,271.6964,271.71585
2011-03-30,271.7144,271.68597,271.70447,271.69876,271.70358,271.70657,271.7104
2011-03-31,271.70383,271.71262,271.69452,271.69977,271.69714,271.70764,271.69272
2011-04-01,271.6844,271.70682,271.717,271.71082,271.706,271.70834,271.62842
2011-04-03,271.68973,271.688,271.70795,271.69815,271.72302,271.6634,271.572
2011-04-04,271.7174,271.72287,271.71008,271.69934,271.64023,271.5763,271.481
2011-04-05,271.72885,271.6829,271.70688,271.65823,271.56714,271.49896,271.34457
2011-04-06,271.71423,271.71463,271.6216,271.57465,271.49896,271.34723,271.2985
2011-04-07,271.68948,271.6288,271.57013,271.4853,271.33594,271.30167,270.42664
2011-04-08,271.63776,271.5639,271.50674,271.37616,271.29944,270.45105,269.53708
2011-04-10,271.58603,271.4967,271.34787,271.3102,270.4269,269.52713,267.83795
2011-04-11,271.49808,271.33508,271.30084,270.41467,269.53445,267.7711,267.77805
2011-04-12,271.3419,271.29916,270.42667,269.53345,267.84695,267.77927,267.1711
2011-04-13,271.26874,270.4359,269.5539,267.79312,267.77267,267.1894,267.19672
2011-04-14,270.47614,269.55447,267.7975,267.75525,267.20148,267.1925,267.019
2011-04-15,269.5475,267.78983,267.73605,267.19293,267.2068,267.01965,267.00507
2011-04-17,267.76135,267.70596,267.19473,267.20697,267.00903,267.00677,266.9313
2011-04-18,267.7331,267.19864,267.19785,267.04047,267.0094,266.9205,266.82993
2011-04-19,267.20496,267.2045,267.04294,267.02017,266.911,266.82898,266.76746
2011-04-20,267.17288,267.02814,267.02155,266.89792,266.8185,266.76398,266.57172
2011-04-21,267.06332,267.021,266.8997,266.82034,266.74463,266.57446,266.50275
2011-04-24,267.03998,266.90924,266.79947,266.75323,266.54468,266.50446,266.41562
2011-04-25,266.93033,266.84433,266.7708,266.56396,266.5042,266.42175,266.3214
2011-04-26,266.85043,266.7308,266.55316,266.51343,266.4273,266.33716,266.09445
2011-04-27,266.76178,266.52982,266.5031,266.40707,266.34753,266.13364,265.8739
2011-04-28,266.57358,266.5223,266.42075,266.35455,266.12192,265.88318,265.53156
2011-04-29,266.5168,266.40698,266.3238,266.10855,265.89838,265.52283,265.4858
2011-05-01,266.40738,266.28738,266.09506,265.85727,265.49963,265.4687,265.39813
2011-05-02,266.33234,266.1115,265.8745,265.5345,265.49045,265.3764,265.27884
2011-05-03,266.14072,265.9203,265.50745,265.47928,265.3776,265.1861,265.1611
2011-05-04,265.8867,265.53333,265.48145,265.37952,265.19748,265.1935,264.97647
2011-05-05,265.59195,265.48962,265.41342,265.1962,265.17252,264.99396,264.90616
2011-05-06,265.47485,265.35608,265.18604,265.19937,264.99222,264.91815,264.789
2011-05-08,265.392,265.217,265.15582,265.02966,264.8813,264.74518,264.78387
2011-05-09,265.18063,265.147,264.96542,264.90793,264.76324,264.7703,264.75403
2011-05-10,265.16977,265.00226,264.8896,264.77905,264.78244,264.75067,264.78363
2011-05-11,264.9923,264.85324,264.79593,264.80386,264.77225,264.78162,264.7791
2011-05-12,264.91943,264.7912,264.78275,264.77243,264.7982,264.76718,264.77524
2011-05-13,264.76724,264.7649,264.75693,264.80322,264.78336,264.79465,264.80316
2011-05-15,264.84912,264.77396,264.8045,264.7955,264.77292,264.78348,264.8872
2011-05-16,264.7924,264.81064,264.78708,264.75644,264.80142,264.8868,264.99078
2011-05-17,264.82294,264.7792,264.78964,264.78094,264.87735,265.00662,265.1605
2011-05-18,264.78558,264.7863,264.78296,264.84476,264.9697,265.1628,265.1946
2011-05-19,264.74503,264.7922,264.87918,265.01526,265.1938,265.1891,265.3965
2011-05-20,264.7764,264.9052,264.95966,265.18265,265.19357,265.37732,266.15646
2011-05-22,264.89816,264.96295,265.18967,265.2124,265.36407,266.2113,266.17505
2011-05-23,264.97153,265.12692,265.20847,265.34302,266.17535,266.24304,266.1557
2011-05-24,265.16275,265.2782,265.4108,266.23126,266.14444,266.2013,266.1754
2011-05-25,265.21234,265.3684,266.15912,266.1559,266.19122,266.13315,266.15533
2011-05-26,265.37878,266.12756,266.19553,266.1303,266.19272,266.14703,266.17584
2011-05-27,266.1631,266.1496,266.18625,266.18097,266.15955,266.19293,266.15503
2011-05-29,266.22617,266.20157,266.14005,266.18475,266.16672,266.15787,266.0021
