,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY
,0,1,2,3,4,5,6
2011-01-16,22.602697,22.082258,22.343523,22.436405,21.526192,21.601192,23.59017
2011-01-17,44.482433,43.953934,44.220455,44.31499,43.39286,43.469517,45.483234
2011-01-18,64.85069,64.32113,64.58838,64.68312,63.759277,63.836212,65.85333
2011-01-19,84.67331,84.14341,84.41089,84.50569,83.581314,83.658325,85.67654
2011-01-20,104.214195,103.68416,103.95174,104.04656,103.12196,103.199005,105.21767
2011-01-21,109.45952,109.46453,109.45894,109.45094,109.4773,109.46376,109.479385
2011-01-23,109.55424,109.55635,109.55386,109.557945,109.55276,109.5529,109.55786
2011-01-24,109.555855,109.5538,109.556465,109.55658,109.55843,109.557236,109.55358
2011-01-25,109.55556,109.555046,109.55499,109.55653,109.55372,109.55628,109.55454
2011-01-26,109.55697,109.55815,109.55577,109.55409,109.554756,109.55287,109.558
2011-01-27,109.55515,109.55669,109.55418,109.55404,109.5584,109.55938,109.55143
2011-01-28,109.55372,109.55313,109.555176,109.551476,109.55146,109.5517,109.559204
2011-01-30,109.55423,109.554855,109.55847,109.55538,109.55967,109.557976,109.906975
2011-01-31,109.55394,109.5589,109.55623,109.55511,109.55308,109.90742,109.91006
2011-02-01,109.5513,109.55708,109.55644,109.55757,109.89484,109.9115,110.500916
2011-02-02,109.55631,109.55269,109.55745,109.90288,109.9075,110.50147,110.602646
2011-02-03,109.55758,109.55491,109.90705,109.90818,110.50446,110.59999,110.637856
2011-02-04,109.55222,109.9049,109.90684,110.5061,110.60231,110.633224,110.703995
2011-02-06,109.90485,109.91518,110.49433,110.603004,110.632484,110.70553,111.34041
2011-02-07,109.91512,110.48856,110.61071,110.63342,110.702705,111.33425,111.35787
2011-02-08,110.49376,110.60203,110.62818,110.70443,111.343475,111.3554,111.573685
2011-02-09,110.600395,110.63064,110.70647,111.33584,111.357796,111.57318,111.74871
2011-02-10,110.63016,110.70192,111.34234,111.35048,111.5712,111.74831,111.76607
2011-02-11,110.70604,111.34817,111.35854,111.57692,111.74601,111.75985,111.770424
2011-02-13,111.34782,111.356476,111.57401,111.75121,111.76442,111.77138,112.087875
2011-02-14,111.35193,111.57011,111.74811,111.76479,111.75892,112.085335,112.11906
2011-02-15,111.57324,111.74692,111.75825,111.78708,112.096466,112.10685,112.26086
