,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK,EURNOK
,0,1,2,3,4,5,6
2011-01-16,7.820586,7.897143,7.850621,7.8171287,7.8401146,7.8012133,7.7641377
2011-01-17,7.8396072,7.8373594,7.8295746,7.8208957,7.8260083,7.8250275,7.825627
2011-01-18,7.833567,7.829303,7.8229094,7.826368,7.823786,7.828004,7.8256907
2011-01-19,7.82598,7.829474,7.8266525,7.8248453,7.8278847,7.821138,7.825045
2011-01-20,7.822681,7.827056,7.825614,7.8257184,7.82092,7.8221,7.825063
2011-01-21,7.822046,7.826588,7.8221817,7.825933,7.8240404,7.828219,7.827563
2011-01-23,7.827502,7.826202,7.8220925,7.8226705,7.8252425,7.8248343,7.8288126
2011-01-24,7.822738,7.8197546,7.8248982,7.8288674,7.823997,7.8257895,7.832353
2011-01-25,7.825113,7.8237205,7.8245792,7.824646,7.825783,7.8267117,7.8221993
2011-01-26,7.823153,7.82684,7.8192587,7.825833,7.830551,7.822625,7.8266964
2011-01-27,7.8312864,7.830701,7.825859,7.829785,7.819762,7.830011,7.8249893
2011-01-28,7.825287,7.8242683,7.82538,7.825917,7.8192115,7.812883,7.8297386
2011-01-30,7.831933,7.806713,7.8339458,7.8112197,7.832389,7.825257,7.8243494
2011-01-31,7.8115473,7.8364134,7.82022,7.821768,7.8161173,7.842455,7.8272133
2011-02-01,7.834561,7.8133783,7.828398,7.829268,7.8217854,7.8230267,7.809164
2011-02-02,7.809637,7.8084617,7.819583,7.833023,7.8215804,7.8167014,7.8151593
2011-02-03,7.8336415,7.842309,7.8228097,7.8182564,7.840319,7.8220406,7.828069
2011-02-04,7.8354383,7.8105416,7.8235807,7.8300967,7.838806,7.8267784,7.814964
2011-02-06,7.822962,7.816053,7.822022,7.8208866,7.8273077,7.8339615,7.833768
2011-02-07,7.817032,7.8221693,7.819633,7.819192,7.8346233,7.833903,7.837983
2011-02-08,7.814923,7.8263154,7.831628,7.853404,7.8339195,7.830934,7.84912
2011-02-09,7.8284545,7.8294334,7.8351297,7.82255,7.840597,7.849416,7.8460903
2011-02-10,7.819756,7.8383517,7.8231244,7.8410535,7.838743,7.852658,7.868565
2011-02-11,7.8418922,7.838409,7.8327603,7.8425817,7.8604302,7.862651,7.850453
2011-02-13,7.8353786,7.8398533,7.8386745,7.862597,7.848219,7.837856,7.848616
2011-02-14,7.830603,7.834661,7.8604894,7.8496246,7.863158,7.848732,7.839033
2011-02-15,7.8380446,7.8628182,7.8794994,7.865127,7.8475223,7.8518143,7.8788147
2011-02-16,7.849573,7.858997,7.8887405,7.8493953,7.863208,7.8375573,7.8718266
2011-02-17,7.8543105,7.878181,7.867542,7.865772,7.8461924,7.8622828,7.857963
2011-02-18,7.8631167,7.873299,7.867712,7.8492637,7.8626146,7.8543134,7.8535824
2011-02-20,7.8432193,7.847627,7.8387227,7.866385,7.8449306,7.8404503,7.853715
2011-02-21,7.857526,7.868065,7.8492293,7.849029,7.862456,7.8718414,7.8537016
2011-02-22,7.8483214,7.8539824,7.8369303,7.8668976,7.84416,7.8598466,7.8536625
2011-02-23,7.856316,7.8679914,7.862337,7.8487687,7.8622255,7.8470078,7.8536763
2011-02-24,7.8413687,7.852948,7.8644996,7.867438,7.8431993,7.868678,7.853686
2011-02-25,7.868097,7.8678575,7.8718524,7.8484855,7.8621655,7.837494,7.8536105
2011-02-27,7.8541303,7.852063,7.8331923,7.8678083,7.8423605,7.8551908,7.8535585
2011-02-28,7.839378,7.867564,7.841819,7.8481593,7.8619003,7.833195,7.86224
2011-03-01,7.833143,7.851091,7.855537,7.8681884,7.84144,7.8429723,7.844968
2011-03-02,7.8564715,7.867042,7.838574,7.847761,7.810083,7.835188,7.829106
2011-03-03,7.8320885,7.849967,7.869402,7.868104,7.856729,7.8221593,7.8428392
2011-03-04,7.859401,7.8661337,7.857415,7.819155,7.822912,7.8148847,7.8548074
2011-03-06,7.850716,7.894381,7.838852,7.8358436,7.79532,7.797239,7.7860065
2011-03-07,7.8452034,7.847057,7.819834,7.833539,7.8253202,7.7796836,7.788385
2011-03-08,7.8508534,7.8149395,7.7983074,7.786212,7.7457237,7.7862883,7.7812657
2011-03-09,7.8260894,7.820439,7.807754,7.765933,7.800911,7.7819486,7.7939625
2011-03-10,7.8182325,7.8472967,7.8330755,7.8114266,7.7844186,7.797395,7.7968807
2011-03-11,7.811247,7.795228,7.82737,7.8062406,7.795499,7.7963543,7.771519
2011-03-13,7.7587295,7.8109307,7.790366,7.7927756,7.780048,7.767342,7.798194
2011-03-14,7.815543,7.7893844,7.800498,7.786114,7.775371,7.7783504,7.7952657
2011-03-15,7.7878036,7.8165274,7.796335,7.794378,7.782769,7.7801275,7.8198924
2011-03-16,7.7961464,7.785311,7.7897563,7.776996,7.764315,7.783855,7.7730246
2011-03-17,7.798263,7.770118,7.7754803,7.7917085,7.7840953,7.7873745,7.801919
2011-03-18,7.798039,7.7771063,7.7940125,7.784026,7.84991,7.781012,7.771781
2011-03-20,7.775226,7.797299,7.7814755,7.7773075,7.7848406,7.796532,7.791966
2011-03-21,7.8091106,7.7938285,7.774689,7.801179,7.8035927,7.7890654,7.7724
2011-03-22,7.7967534,7.7935658,7.7879014,7.806667,7.7782493,7.7989807,7.8451734
2011-03-23,7.7902446,7.759184,7.780787,7.7990994,7.7811375,7.7658324,7.774742
2011-03-24,7.7804055,7.7876954,7.7941837,7.788205,7.7938023,7.8012657,7.790469
2011-03-25,7.7737856,7.7939067,7.7899036,7.8024845,7.7818747,7.8037157,7.7953787
2011-03-27,7.7669697,7.779718,7.771095,7.840398,7.778957,7.763605,7.788935
2011-03-28,7.7881775,7.7951164,7.7806025,7.7869277,7.7761683,7.7726145,7.796711
2011-03-29,7.7763743,7.779182,7.7989316,7.783378,7.813188,7.804985,7.788385
2011-03-30,7.7889977,7.795306,7.7765703,7.7892036,7.77266,7.806854,7.791549
2011-03-31,7.7919445,7.7787333,7.779936,7.785401,7.816632,7.8158364,7.814421
2011-04-01,7.805665,7.795972,7.7959538,7.8037577,7.8025484,7.804243,7.8101034
2011-04-03,7.7759223,7.777046,7.794603,7.800862,7.799497,7.8128037,7.8047776
2011-04-04,7.7772226,7.7993617,7.8046365,7.810421,7.8090525,7.8054833,7.8213563
2011-04-05,7.808624,7.8046007,7.802472,7.8128796,7.8088255,7.8023047,7.8173046
2011-04-06,7.812761,7.8086386,7.794917,7.8136463,7.8107433,7.812762,7.885761
2011-04-07,7.797229,7.8117666,7.829365,7.8132706,7.8001447,7.814971,7.821488
2011-04-08,7.803522,7.810916,7.8091946,7.810284,7.8090167,7.8157163,7.824787
2011-04-10,7.783935,7.809509,7.8115296,7.8441086,7.831036,7.8322515,7.8379083
2011-04-11,7.8113,7.8156023,7.8126388,7.8308983,7.8180585,7.8475976,7.8421307
2011-04-12,7.781516,7.8166833,7.817369,7.8236017,7.815585,7.835616,7.8332596
2011-04-13,7.8084207,7.8263235,7.830732,7.852433,7.8115144,7.8493676,7.8274493
2011-04-14,7.81757,7.834494,7.822317,7.8320932,7.8304205,7.858438,7.8439665
2011-04-15,7.8230205,7.828699,7.8417087,7.836686,7.855629,7.8393655,7.8338604
2011-04-17,7.823606,7.8041716,7.8292427,7.854097,7.827523,7.822569,7.82679
2011-04-18,7.8317122,7.838479,7.835721,7.8333235,7.8482447,7.821327,7.85207
2011-04-19,7.8463283,7.8365016,7.8176603,7.82761,7.8591604,7.8347387,7.826373
2011-04-20,7.845588,7.8556094,7.828968,7.828866,7.8145185,7.825031,7.831236
2011-04-21,7.844025,7.8441567,7.8129325,7.8453817,7.8176837,7.8220468,7.8333335
2011-04-24,7.828266,7.8342266,7.8306394,7.8316703,7.827646,7.83045,7.827078
2011-04-25,7.840058,7.846085,7.8528395,7.840019,7.8344665,7.822479,7.8199015
2011-04-26,7.8291726,7.832557,7.779632,7.8343515,7.810909,7.811754,7.8030844
2011-04-27,7.8218226,7.8461795,7.849021,7.9042215,7.8176956,7.7735524,7.821784
2011-04-28,7.8424873,7.828718,7.8250227,7.8274946,7.806348,7.7693486,7.798654
2011-04-29,7.8104753,7.8269544,7.8079023,7.876154,7.8398056,7.788045,7.8331094
2011-05-01,7.826039,7.809249,7.813845,7.8318806,7.8293915,7.811972,7.782415
2011-05-02,7.8110895,7.8215184,7.827551,7.813705,7.811667,7.8234735,7.8229666
2011-05-03,7.8200254,7.8557096,7.7960205,7.8068624,7.8261867,7.818012,7.8270273
2011-05-04,7.8117933,7.7698417,7.7905817,7.8073115,7.8024774,7.8003535,7.7864823
2011-05-05,7.809152,7.8305907,7.8126917,7.794731,7.8145013,7.794264,7.8212748
2011-05-06,7.8224115,7.801508,7.794748,7.7961464,7.7815967,7.822114,7.8016696
2011-05-08,7.8158884,7.807659,7.8271174,7.791466,7.815309,7.8124595,7.79682
2011-05-09,7.8111095,7.8197665,7.7990365,7.8258734,7.7975864,7.8122907,7.801464
2011-05-10,7.8233604,7.8107424,7.8148108,7.8186765,7.800139,7.8105793,7.804719
2011-05-11,7.8240347,7.8129287,7.8293424,7.81644,7.8100452,7.801178,7.7896395
2011-05-12,7.818409,7.816512,7.804088,7.806739,7.80625,7.783911,7.820443
2011-05-13,7.7840405,7.777744,7.818908,7.8013,7.8167243,7.7997937,7.8057895
2011-05-15,7.8053303,7.8291883,7.8238273,7.8166366,7.8077564,7.8255954,7.8152175
2011-05-16,7.811038,7.7875466,7.808809,7.8122454,7.8020906,7.824767,7.822752
2011-05-17,7.8112535,7.814572,7.816524,7.8128347,7.815656,7.8182983,7.813299
2011-05-18,7.8055863,7.81104,7.826498,7.784778,7.820744,7.820219,7.8193836
2011-05-19,7.8098044,7.8066454,7.809762,7.8281236,7.8280697,7.8259764,7.831327
2011-05-20,7.803567,7.8147373,7.80498,7.81884,7.8317785,7.8399625,7.832199
2011-05-22,7.8096247,7.8218884,7.825879,7.8352156,7.8276873,7.8385243,7.8195515
2011-05-23,7.8150864,7.8265934,7.8334866,7.8211446,7.8349576,7.827496,7.8206506
2011-05-24,7.8235674,7.828132,7.8258,7.8310494,7.8192067,7.8235183,7.823616
2011-05-25,7.8241515,7.8244066,7.8463535,7.8238144,7.8160257,7.8015504,7.8294196
2011-05-26,7.830121,7.8288345,7.828828,7.8212605,7.80975,7.8006845,7.8369927
2011-05-27,7.833329,7.823903,7.8237634,7.8266783,7.8105373,7.815573,7.8086166
2011-05-29,7.82768,7.8169065,7.8177557,7.816494,7.8078804,7.807064,7.8024607
2011-05-30,7.8195815,7.805338,7.804908,7.811025,7.8104153,7.820252,7.82139
2011-05-31,7.815251,7.8116927,7.801907,7.8074703,7.8143473,7.8050723,7.808866
2011-06-01,7.802871,7.810972,7.815647,7.8064494,7.813077,7.788808,7.8010187
2011-06-02,7.802165,7.804217,7.8211536,7.817985,7.8593674,7.818935,7.831997
