,EURNZD,EURNZD,EURNZD,EURNZD,EURNZD,EURNZD,EURNZD
,0,1,2,3,4,5,6
2011-01-16,1.740539,1.7445754,1.7442683,1.7652736,1.7294778,1.760768,1.7256091
2011-01-17,1.748706,1.7468313,1.7454681,1.7398822,1.7412934,1.7392358,1.7464653
2011-01-18,1.7487507,1.7464939,1.7434494,1.7410631,1.7422593,1.7423135,1.7367643
2011-01-19,1.7511613,1.7419205,1.746121,1.7421008,1.7417148,1.7407197,1.7396203
2011-01-20,1.7420713,1.745523,1.7408156,1.7373959,1.7435638,1.7420138,1.7414424
2011-01-21,1.7467914,1.7429123,1.7421795,1.7413168,1.7394725,1.7403779,1.7437811
2011-01-23,1.7443526,1.7415757,1.7438548,1.7416582,1.7451406,1.7439454,1.7410526
2011-01-24,1.7393186,1.7416532,1.743324,1.7406538,1.7433343,1.7366805,1.7432498
2011-01-25,1.7406671,1.7450407,1.7402235,1.7419714,1.7471117,1.7420309,1.7402841
2011-01-26,1.7420394,1.7421849,1.7436205,1.741493,1.7379438,1.7485765,1.7395262
2011-01-27,1.7411212,1.7492296,1.7427223,1.7426026,1.7410041,1.7406374,1.7415446
2011-01-28,1.7435749,1.7456228,1.7424686,1.7442046,1.7470899,1.7462407,1.7441514
2011-01-30,1.7422762,1.7460715,1.7423666,1.7433637,1.7395275,1.7455722,1.7437507
2011-01-31,1.7435071,1.7410831,1.7418294,1.7389619,1.7359613,1.7334998,1.7405491
2011-02-01,1.7482176,1.7428646,1.7411523,1.7433263,1.7430079,1.7431563,1.7473679
2011-02-02,1.7428056,1.7434566,1.7394779,1.7424608,1.7428958,1.7442071,1.7447622
2011-02-03,1.740994,1.7486595,1.7407578,1.74527,1.7367527,1.7377911,1.7426405
2011-02-04,1.747742,1.7369806,1.7415953,1.7420776,1.7487695,1.7420341,1.7517828
2011-02-06,1.7345164,1.742378,1.7414057,1.7429469,1.7353458,1.7455432,1.7540927
2011-02-07,1.7571994,1.7581502,1.7406151,1.7407151,1.7569737,1.7873048,1.7752242
2011-02-08,1.7522418,1.7473463,1.7375674,1.7439702,1.7258644,1.7500578,1.7435782
2011-02-09,1.7462653,1.73492,1.7449114,1.7565713,1.7584251,1.7513264,1.7586719
2011-02-10,1.7484252,1.7356848,1.7344352,1.7536612,1.7515702,1.782461,1.7867482
2011-02-11,1.755525,1.7617254,1.7613614,1.7520651,1.7495694,1.7597721,1.7611581
2011-02-13,1.7413492,1.7525315,1.7680889,1.7236726,1.7698498,1.7799606,1.7828037
2011-02-14,1.7491585,1.7635182,1.7576551,1.7491535,1.7710601,1.7622104,1.7756101
2011-02-15,1.751998,1.762779,1.7602466,1.7652867,1.7685658,1.7621897,1.7696774
2011-02-16,1.7676646,1.7699686,1.7672043,1.7608638,1.763153,1.7734888,1.7507098
2011-02-17,1.7104151,1.7709389,1.7637327,1.7767104,1.7708452,1.7670603,1.7751089
2011-02-18,1.7675538,1.7691859,1.7751036,1.7773838,1.7670355,1.7635732,1.7792567
2011-02-20,1.7700773,1.7789292,1.7681783,1.7706208,1.7747173,1.7927234,1.7796456
2011-02-21,1.7702699,1.7717274,1.773479,1.768291,1.775706,1.7762643,1.7684598
2011-02-22,1.778251,1.7668134,1.7688353,1.7763377,1.7732756,1.7717997,1.7852111
2011-02-23,1.7695603,1.7660931,1.7768695,1.7703524,1.7722057,1.772912,1.7749556
2011-02-24,1.7730764,1.7764423,1.7766702,1.7743129,1.7805327,1.7865602,1.7782854
2011-02-25,1.7662491,1.7653193,1.7771716,1.7963852,1.7748082,1.7837822,1.7813021
2011-02-27,1.7733146,1.7805533,1.7793162,1.7767868,1.7896209,1.787833,1.7886815
2011-02-28,1.7820823,1.7795732,1.7771939,1.7808284,1.7841423,1.7753406,1.7765291
2011-03-01,1.7682906,1.77948,1.7784462,1.7841034,1.7824222,1.7740257,1.7893654
2011-03-02,1.7791687,1.7814595,1.7861307,1.7911254,1.7929084,1.7743399,1.7801319
2011-03-03,1.782323,1.7836711,1.7964758,1.7860405,1.7874411,1.7858628,1.783909
2011-03-04,1.7839088,1.7794163,1.7872974,1.7768148,1.7898085,1.7875843,1.7889953
2011-03-06,1.7982767,1.7826759,1.7950609,1.7938274,1.7887089,1.78026,1.7960912
2011-03-07,1.7893248,1.7857193,1.7879019,1.787008,1.7844255,1.7904756,1.7874212
2011-03-08,1.7923733,1.7761064,1.7926625,1.7944417,1.7856882,1.8002386,1.7970539
2011-03-09,1.7798805,1.7890065,1.7914768,1.7892439,1.7985785,1.793683,1.8098285
2011-03-10,1.7906643,1.7885872,1.8068389,1.7904657,1.7971427,1.8116711,1.8163352
2011-03-11,1.785438,1.8051323,1.8027449,1.8033639,1.8123221,1.8338187,1.8329015
2011-03-13,1.7880949,1.7877195,1.7868679,1.8196157,1.821935,1.8299466,1.8365514
2011-03-14,1.7990028,1.8048153,1.8019242,1.8199669,1.8233696,1.8398911,1.8274221
2011-03-15,1.7987529,1.8144481,1.820599,1.8273687,1.8273737,1.8265814,1.8330709
2011-03-16,1.802869,1.8230951,1.8290479,1.8280641,1.8388258,1.8452599,1.8436769
2011-03-17,1.8281434,1.8287172,1.8355397,1.8373008,1.8416768,1.8445706,1.8478785
2011-03-18,1.8215292,1.830028,1.8368468,1.8439175,1.8338274,1.8505645,1.8547727
2011-03-20,1.8343565,1.8423698,1.8449192,1.8751311,1.8687484,1.8608042,1.8683321
2011-03-21,1.8392721,1.838388,1.8370029,1.8485591,1.8628095,1.8635436,1.8706435
2011-03-22,1.8466924,1.8444965,1.8511595,1.843272,1.8801819,1.860517,1.8768933
2011-03-23,1.8578566,1.8636537,1.8604819,1.8651338,1.8775042,1.8747572,1.8781028
2011-03-24,1.8434367,1.8605894,1.8728579,1.8676784,1.8695291,1.8834623,1.8759179
2011-03-25,1.8593731,1.8701915,1.8526983,1.8712854,1.8678268,1.8605778,1.8725663
2011-03-27,1.8693521,1.8679165,1.8806024,1.861628,1.8644874,1.8685462,1.884964
2011-03-28,1.8777701,1.8760535,1.8651001,1.8717288,1.8736137,1.877635,1.8782915
2011-03-29,1.8740509,1.8723948,1.856497,1.8756891,1.8706548,1.8694255,1.8946792
2011-03-30,1.8782778,1.8787268,1.8531737,1.8733089,1.8747697,1.8661714,1.8775669
2011-03-31,1.8776647,1.8670515,1.8727171,1.8693926,1.8609549,1.8682218,1.8675526
2011-04-01,1.8874764,1.8816388,1.8821658,1.8820432,1.8847806,1.8776829,1.869931
2011-04-03,1.8797146,1.8734543,1.8668442,1.8918477,1.8778325,1.8714501,1.8762965
2011-04-04,1.8814265,1.8716035,1.8571146,1.8719372,1.8718505,1.8789208,1.8730538
2011-04-05,1.8727814,1.8692935,1.8699601,1.8851796,1.8779362,1.8810704,1.8699622
2011-04-06,1.863038,1.8881869,1.8744596,1.8653191,1.8752072,1.8727741,1.8766531
2011-04-07,1.8799903,1.8645297,1.8784813,1.8857706,1.8916671,1.875945,1.8731465
2011-04-08,1.8594874,1.8672808,1.8695023,1.8713009,1.8706795,1.8764395,1.8647916
2011-04-10,1.8798696,1.8904902,1.8703163,1.8716091,1.8717737,1.8636959,1.8839399
2011-04-11,1.875592,1.8724791,1.8788557,1.8709735,1.8785095,1.8629662,1.8799853
2011-04-12,1.8722057,1.8607259,1.862581,1.8788127,1.8688275,1.8755238,1.8667446
2011-04-13,1.8750069,1.8772721,1.8820226,1.8732404,1.8771335,1.8614116,1.8584192
2011-04-14,1.8650918,1.8799736,1.8750252,1.880172,1.8659132,1.8625041,1.8508887
2011-04-15,1.8820883,1.8756311,1.8685541,1.8708947,1.870307,1.8645782,1.8459853
