,EURPLN,EURPLN,EURPLN,EURPLN,EURPLN,EURPLN,EURPLN
,0,1,2,3,4,5,6
2011-01-16,3.9775503,4.00237,3.9994802,3.9895716,3.9910817,3.951562,3.9655032
2011-01-17,3.975907,3.9770954,3.9770274,3.9669445,3.965567,3.96182,3.9608178
2011-01-18,3.9714265,3.970703,3.964935,3.9622586,3.964699,3.9634476,3.9572902
2011-01-19,3.9715877,3.973145,3.963865,3.96388,3.9597435,3.959425,3.9534147
2011-01-20,3.9735367,3.969748,3.9672334,3.9574382,3.960585,3.9547687,3.9237359
2011-01-21,3.975816,3.9641037,3.958344,3.9619765,3.950558,3.9232671,3.9029045
2011-01-23,3.9690876,3.9537895,3.9522538,3.9530883,3.9264944,3.8998806,3.894337
2011-01-24,3.9600558,3.9609082,3.9556236,3.9214594,3.8997936,3.9013238,3.893398
2011-01-25,3.9619145,3.9523556,3.9183397,3.9040961,3.894538,3.8978517,3.8978646
2011-01-26,3.9351454,3.9262455,3.8987768,3.8984106,3.8989246,3.9036233,3.9011202
2011-01-27,3.9246342,3.904352,3.892238,3.9020324,3.90572,3.8902411,3.8968096
2011-01-28,3.8995326,3.8976314,3.894541,3.8990524,3.898393,3.8948922,3.9046805
2011-01-30,3.8965602,3.8993108,3.8985307,3.8880253,3.894165,3.900033,3.897016
2011-01-31,3.9066296,3.8923542,3.9005427,3.8983672,3.901253,3.8973823,3.8966362
2011-02-01,3.903446,3.901057,3.9104717,3.9035814,3.9077587,3.8973265,3.9418118
2011-02-02,3.8919125,3.905478,3.9058917,3.8930266,3.8799305,3.8928962,3.9167323
2011-02-03,3.9096594,3.8882828,3.8950922,3.8647044,3.9010873,3.9117408,3.9020014
2011-02-04,3.897067,3.895271,3.8899274,3.888702,3.9041624,3.9952528,3.8797388
2011-02-06,3.902089,3.8972368,3.8881774,3.887055,3.9247973,3.8763683,3.8816502
2011-02-07,3.8989027,3.8895586,3.917394,3.9083214,3.8829057,3.9031727,3.8826108
2011-02-08,3.9189339,3.986794,3.9115307,3.8899775,3.8784764,3.8710206,3.9074814
2011-02-09,3.9225926,3.9078736,3.8944538,3.8946261,3.9109275,3.9043987,3.9128735
2011-02-10,3.8834383,3.8934207,3.89411,3.8841703,3.8864071,3.8991148,3.8935916
2011-02-11,3.8862114,3.8893604,3.8913486,3.8862665,3.8912988,3.887843,3.8845937
2011-02-13,3.8856049,3.8831556,3.8873198,3.8885465,3.885559,3.8894339,3.889092
2011-02-14,3.8781552,3.880803,3.8762972,3.8842602,3.8623827,3.8805358,3.8837142
2011-02-15,3.8973775,3.8866029,3.8857346,3.8701718,3.8949637,3.8889441,3.8871953
2011-02-16,3.9022856,3.8841395,3.8919687,3.8878896,3.8942993,3.889149,3.9038897
2011-02-17,3.8864336,3.8923604,3.886714,3.8952355,3.899175,3.8945994,3.8984933
2011-02-18,3.8857665,3.8894322,3.886166,3.8902066,3.9020572,3.9033518,3.9125934
2011-02-20,3.887598,3.8947031,3.8954391,3.8996408,3.8998964,3.9055452,3.9064333
2011-02-21,3.894692,3.8971198,3.8947089,3.8980956,3.893367,3.8981235,3.8984017
2011-02-22,3.893721,3.9017444,3.9107022,3.9043722,3.9032564,3.899493,3.905893
2011-02-23,3.8978896,3.898918,3.901516,3.8965616,3.8989336,3.9231799,3.9362617
2011-02-24,3.9041874,3.900713,3.9038339,3.9037552,3.9044542,3.9149168,3.921472
2011-02-25,3.9089801,3.8967981,3.905469,3.8900194,3.9057157,3.9033985,3.9181514
2011-02-27,3.8979077,3.9055185,3.901948,3.922389,3.904364,3.9094014,3.90453
2011-02-28,3.9030292,3.9269717,3.9150684,3.908509,3.9210083,3.9285905,3.9224715
2011-03-01,3.900166,3.923426,3.9168487,3.9115849,3.9169936,3.9219472,3.919864
2011-03-02,3.9102235,3.9124186,3.9159946,3.9075313,3.9223588,3.9222403,3.9270077
2011-03-03,3.911181,3.9115002,3.930087,3.9182782,3.919263,3.9152114,3.9358268
2011-03-04,3.911769,3.9098947,3.9166584,3.9169564,3.9257562,3.9229543,3.9293725
2011-03-06,3.911286,3.91211,3.9161053,3.9319081,3.9331093,3.9347205,3.933239
2011-03-07,3.9113698,3.9301698,3.9264855,3.9337838,3.9278667,3.9321635,3.9347336
2011-03-08,3.9213686,3.9159617,3.9324496,3.918471,3.923253,3.9415762,3.9353414
2011-03-09,3.925226,3.9252877,3.9169855,3.9305296,3.9294958,3.9385676,3.9432704
2011-03-10,3.9291203,3.9287903,3.9271562,3.9361277,3.9368422,3.93603,3.957184
2011-03-11,3.9226034,3.9342234,3.9312296,3.9377742,3.9354863,3.9530537,3.9668272
2011-03-13,3.9289618,3.9335296,3.93881,3.9390836,3.9598787,3.9660587,3.9674714
2011-03-14,3.9344223,3.946143,3.9448085,3.9552267,3.9620543,3.9690163,3.9751453
2011-03-15,3.936541,3.9333634,3.9571228,3.972081,3.9589615,3.9646416,3.931766
2011-03-16,3.950041,3.9552553,3.9621131,3.9669976,3.9889488,4.007941,3.9723165
2011-03-17,3.9404476,3.9594707,3.9366603,3.9496868,3.969325,3.9580858,4.0089145
2011-03-18,3.971547,3.9888282,3.994899,3.944897,3.947844,3.9600677,4.0057096
2011-03-20,3.9759412,3.9443545,3.9385717,4.0070453,3.945527,3.9829526,3.9617324
2011-03-21,3.9524884,3.9619064,3.9490614,3.9930618,3.9594486,3.947661,3.958085
2011-03-22,3.9636912,3.9636033,3.999003,3.958096,4.000744,3.9623752,4.014521
2011-03-23,3.9850721,3.967447,3.9833298,3.9464667,3.961422,3.9640005,3.962697
2011-03-24,3.9772534,3.959857,3.9646432,4.000113,3.9905891,3.9771535,3.9733565
2011-03-25,3.9838626,3.9893105,3.976958,3.9692576,3.963156,3.9808416,3.9851296
2011-03-27,3.9685817,3.9836032,3.983967,3.9803548,3.9829888,3.990519,3.992124
2011-03-28,3.9903462,3.9662607,3.9836974,3.9899068,3.9860377,3.9912004,3.9987206
2011-03-29,3.9830115,3.986088,3.9815283,3.977105,3.9965107,3.9954147,3.9959784
2011-03-30,4.0075927,3.980942,3.983212,3.9945707,3.9860063,3.998509,4.0017433
2011-03-31,3.9902954,3.987257,3.9902978,3.996888,4.001129,3.986026,4.0088983
2011-04-01,4.010427,3.9966068,4.005054,3.9901185,4.0095534,4.0060654,4.0153503
2011-04-03,4.0186334,3.9967382,4.010868,3.9976606,4.0112495,4.0118895,4.0063596
2011-04-04,4.0000763,3.9977674,4.002246,4.011982,4.011606,4.0036263,4.0099053
2011-04-05,4.004928,4.0036955,4.003205,4.0091505,4.0113263,3.9834158,4.009561
2011-04-06,3.9985013,4.009718,4.0113583,4.0095067,4.003645,4.0130687,3.9937463
2011-04-07,3.9992285,4.030117,3.9824855,3.9839895,3.974356,4.016248,4.004687
2011-04-08,4.026213,4.001918,4.006137,4.0152073,4.0210843,3.9973986,4.029807
2011-04-10,4.007385,4.015264,4.0159755,4.009271,4.0042067,4.0089455,4.0092487
2011-04-11,3.9895601,4.002911,4.011122,4.0033994,4.021328,4.011975,4.005029
2011-04-12,4.0087037,3.9936855,4.0056415,4.011031,4.0214114,4.0099206,4.0277567
2011-04-13,4.0107813,4.00898,3.9865277,4.0114827,4.002301,4.007337,4.0120425
2011-04-14,4.013479,3.9910712,3.982415,3.9841287,4.017251,4.0160885,4.003384
2011-04-15,4.0052543,4.0195518,4.030823,4.0331507,4.0034523,4.0103335,3.9877424
2011-04-17,4.030601,4.003242,4.0061707,4.0072584,4.0122075,4.004379,4.0088606
2011-04-18,4.0031104,4.001592,3.9893098,3.9826705,4.007513,4.0089154,3.9678292
2011-04-19,3.9934134,4.009414,4.0146427,4.0210876,4.001637,4.003068,3.9982693
2011-04-20,4.0069776,3.9982736,4.012744,4.010425,4.00808,3.999842,3.9901247
2011-04-21,3.9974627,3.9980078,4.013524,3.9970188,4.007045,3.9992435,3.998578
2011-04-24,4.0065346,4.0112314,4.0200562,3.9785733,3.9863026,3.9899828,3.9831707
2011-04-25,4.007005,4.012689,4.015891,3.99806,3.9985552,3.9795196,3.9843512
2011-04-26,3.999341,3.9883173,3.9998066,3.9932365,3.982861,3.9814866,3.9963388
2011-04-27,4.015463,3.9954798,3.98915,3.9835994,3.9936702,3.98254,3.962134
2011-04-28,3.9959137,3.9794588,3.9816914,3.9819481,3.9634848,3.973853,3.9821317
2011-04-29,3.9956558,3.9787493,3.9869125,3.9947963,3.9791136,3.977439,3.9778345
2011-05-01,3.987727,4.015834,3.9950483,3.974929,3.9800515,3.9675786,3.9723296
2011-05-02,3.9790113,3.9774861,3.975544,3.9597468,3.9699407,3.96137,3.9656007
2011-05-03,3.9723413,3.9767492,3.9778035,3.9704053,3.9826152,3.9701538,3.9600742
2011-05-04,3.9889674,3.9875875,3.9722693,3.9676604,3.949537,3.9606738,3.9695778
2011-05-05,3.9643676,3.9630969,3.9575646,3.976608,3.9613857,3.9653008,3.9577215
2011-05-06,3.9725163,3.965134,3.9665163,3.9709473,3.9473317,3.9667742,3.944291
2011-05-08,3.9707053,3.9603524,3.9624953,3.9421458,3.9465065,3.9653463,3.9644237
2011-05-09,3.9724672,3.965169,3.9525838,3.9656692,3.9590747,3.96063,3.9502802
2011-05-10,3.958881,3.9422245,3.9361107,3.9371603,3.9526749,3.962377,3.9470575
2011-05-11,3.9672527,3.9683242,3.962963,3.9516268,3.9371238,3.9551075,3.940027
2011-05-12,3.9606295,3.9707973,3.9588132,3.9412084,3.9491153,3.9586673,3.9545357
2011-05-13,3.9630368,3.962139,3.9547334,3.9649372,3.947878,3.9497743,3.9557
2011-05-15,3.962034,3.9633453,3.9505143,3.9575534,3.9466841,3.9397976,3.9354618
2011-05-16,3.955262,3.9552367,3.9442282,3.945557,3.9549959,3.9481566,3.9403572
2011-05-17,3.946536,3.9470031,3.9326355,3.9380658,3.9450338,3.940437,3.9531307
2011-05-18,3.9405537,3.9507957,3.9535105,3.9713724,3.9330149,3.952945,3.940294
2011-05-19,3.9370248,3.9606855,3.9356828,3.938416,3.943487,3.964748,3.9482105
2011-05-20,3.949912,3.9569893,3.9445217,3.9388616,3.9438672,3.9409497,3.9435787
2011-05-22,3.9461691,3.9350164,3.9414644,3.952219,3.9404466,3.9500299,3.9409597
2011-05-23,3.9474378,3.9413188,3.9385257,3.9388757,3.9375894,3.9358118,3.9379923
2011-05-24,3.9390864,3.9453735,3.930103,3.9363644,3.9360235,3.9380171,3.9476728
2011-05-25,3.9428172,3.9437737,3.9462345,3.9488418,3.9421797,3.941415,3.935144
2011-05-26,3.926991,3.9428568,3.9263148,3.9394112,3.9393318,3.930922,3.941848
2011-05-27,3.9363122,3.936326,3.941868,3.9464366,3.936131,3.9416018,3.9357219
2011-05-29,3.947007,3.9244375,3.933975,3.937306,3.9396324,3.9447596,3.9361944
2011-05-30,3.9467895,3.940332,3.9302225,3.9461963,3.9464798,3.93072,3.9272528
2011-05-31,3.939991,3.944806,3.9461412,3.948701,3.942419,3.945998,3.941014
2011-06-01,3.94203,3.941138,3.9414535,3.933809,3.9367654,3.9504204,3.9426575
2011-06-02,3.9438329,3.9388423,3.9341078,3.9474986,3.935033,3.9427094,3.9348528
2011-06-03,3.9403584,3.9411163,3.9471695,3.9528437,3.946451,3.9340832,3.9399228
2011-06-05,3.9444094,3.950828,3.9407787,3.94176,3.9505608,3.9426172,3.9419405
2011-06-06,3.9467041,3.9461894,3.9389133,3.9424613,3.943296,3.941316,3.9325762
2011-06-07,3.9314632,3.930368,3.9193013,3.9407215,3.9540699,3.9381847,3.9347782
2011-06-08,3.9470239,3.9448316,3.9478254,3.936808,3.947042,3.9522495,3.9483895
2011-06-09,3.9447846,3.940008,3.9337215,3.9508195,3.9464672,3.9371493,3.9462001
2011-06-10,3.944606,3.9493942,3.9358382,3.9367504,3.9366283,3.9491646,3.9515035
2011-06-12,3.9370968,3.94714,3.9382803,3.948556,3.939202,3.9371002,3.9351974
2011-06-13,3.9508657,3.9434114,3.943284,3.9367266,3.9465227,3.9402463,3.9374673
2011-06-14,3.9354808,3.9362276,3.9496887,3.942644,3.9486887,3.9376705,3.9515646
2011-06-15,3.9329145,3.9271781,3.9343073,3.9372118,3.9382467,3.953118,3.9433763
2011-06-16,3.9488864,3.9334965,3.9526346,3.949788,3.9491444,3.9542568,3.949237
2011-06-17,3.9313197,3.9485128,3.941812,3.94152,3.956322,3.9441223,3.9347334
2011-06-19,3.9572804,3.9494457,3.94531,3.9505694,3.9441423,3.9445584,3.9490902
2011-06-20,3.942208,3.9265058,3.9449694,3.9471848,3.9490602,3.9533353,3.9496593
2011-06-21,3.9450204,3.9381344,3.9467297,3.965554,3.9549851,3.9495325,3.9687307
2011-06-22,3.9495552,3.9461792,3.9438412,3.9457757,3.9551082,3.9492276,3.9577944
2011-06-23,3.9595149,3.957927,3.9505312,3.948536,3.9537325,3.9549687,3.9613981
2011-06-24,3.954914,3.947461,3.9430704,3.9571133,3.9484794,3.9604616,3.9643452
2011-06-26,3.9498634,3.9568913,3.9531932,3.9550333,3.961279,3.9585829,3.9653163
2011-06-27,3.9602473,3.9681067,3.945443,3.974917,3.9574883,3.9547217,3.9692001
2011-06-28,3.9584131,3.9608538,3.958875,3.959511,3.976506,3.9696221,3.975911
2011-06-29,3.9469764,3.9506195,3.9628177,3.9555416,3.955906,3.9691775,3.962738
2011-06-30,3.954383,3.9597926,3.9669185,3.970086,3.977478,3.9606624,3.9774244
2011-07-01,3.9693754,3.9675703,3.9631464,3.9701154,3.9731176,3.978502,3.97348
2011-07-03,3.9618275,3.9688506,3.958186,3.957618,3.9550364,3.96015,3.9629488
2011-07-04,3.9546018,3.9613013,3.9587522,3.9584167,3.9707336,3.9635718,3.9632783
2011-07-05,3.9682262,3.9560776,3.960414,3.954621,3.9548106,3.962874,3.9557345
2011-07-06,3.96942,3.949395,3.9602733,3.9558997,3.9516745,3.9645042,3.96489
2011-07-07,3.9785306,3.961436,3.969213,3.966072,3.9711459,3.9553268,3.958959
2011-07-08,3.9694414,3.9601114,3.9644165,3.9536748,3.9594922,3.9331524,3.96461
2011-07-10,3.9643328,3.9602797,3.9620602,3.964768,3.9626782,3.9694827,3.972994
2011-07-11,3.962115,3.9727988,3.9617677,3.9304812,3.9600017,3.9591944,3.9820523
2011-07-12,3.9528704,3.9724967,3.9514327,3.9626262,3.9547677,3.9723506,3.971221
2011-07-13,3.9526968,3.9325898,3.9443305,3.9636774,3.9644117,3.963597,3.9650543
2011-07-14,3.968825,3.9734635,3.9632325,3.9529307,3.9528801,3.9782448,3.9673572
2011-07-15,3.9409997,3.9595528,3.9704003,3.9689033,3.9772246,3.991043,3.98428
2011-07-17,3.9633708,3.9651546,3.9722316,3.9772103,3.9730284,3.991413,3.9774258
2011-07-18,3.9739656,3.9738262,3.9629717,3.9810448,4.0064263,3.970858,3.9889688
2011-07-19,3.9749074,3.9779606,3.9900792,3.9855535,3.984979,4.000573,3.9723456
2011-07-20,3.9749212,3.9791436,3.9743447,3.981787,3.987906,3.9882655,4.004516
2011-07-21,3.9697561,3.9901102,3.9785404,3.9718626,3.98355,4.0060415,3.992829
2011-07-22,4.001841,3.978789,3.987411,3.9624763,3.9998012,3.9956403,3.9886932
2011-07-24,3.9908652,3.9759219,3.987104,3.9543095,3.9927025,3.97438,3.9853
2011-07-25,3.981453,3.9808967,3.9740696,3.9797,3.9867094,3.9894478,3.994059
2011-07-26,3.9665067,3.9948626,3.9821692,3.9838061,3.9884567,3.9885914,3.9935362
2011-07-27,3.9638417,4.0171165,3.9853892,3.9875112,3.990911,3.9981174,3.981637
2011-07-28,3.98712,3.9974174,3.9843616,3.9894285,3.9888773,4.0147505,3.9875743
2011-07-29,3.9922042,3.990674,3.9887366,3.989097,3.9802518,4.004336,3.9989676
2011-07-31,3.9949489,3.9935563,3.9814255,3.960968,4.000902,3.988207,4.0233536
2011-08-01,3.9925768,3.9954128,3.9468246,3.9951656,3.9979043,3.9980755,3.9961743
2011-08-02,3.9892538,3.9935157,3.9920588,3.9963536,3.9836366,3.9984372,3.998908
2011-08-03,3.9839125,3.9890308,4.0057826,3.9986749,4.002407,4.00036,4.009687
2011-08-04,3.9807658,4.0082393,4.0022593,3.9935045,4.000231,4.005562,3.9938762
2011-08-05,3.990197,3.994589,3.996707,3.994062,3.9902914,4.001175,4.009858
2011-08-07,3.9976666,3.9921646,4.0006795,3.9951472,4.001029,4.0061216,4.0049233
2011-08-08,4.001911,3.998184,3.9884684,3.9985368,3.9985502,4.0081124,4.005466
2011-08-09,4.0002303,4.0085006,3.9980202,4.006798,3.9974833,4.0120983,4.014678
2011-08-10,3.9989698,4.003479,4.0046177,4.0052595,4.016612,4.022309,4.007033
2011-08-11,4.001495,4.010244,4.00904,4.0098805,4.017143,4.0138144,4.0414605
2011-08-12,3.9993038,4.0042963,4.0005846,4.0213943,4.016229,4.026104,4.019704
2011-08-14,4.0031285,4.007816,4.0230865,4.014176,4.023564,4.0099893,4.0137606
2011-08-15,4.0107174,4.013936,4.015585,4.016412,4.010056,4.028934,4.035942
2011-08-16,4.009669,4.018725,4.022019,4.0262575,4.019937,4.0145416,4.0145106
2011-08-17,4.0242968,4.021967,4.0286927,4.0184865,4.0391693,4.016493,4.030702
2011-08-18,4.02032,4.029066,4.0301394,4.002529,4.0215993,4.016122,4.0309634
2011-08-19,4.018225,4.0273414,4.0247593,4.026303,4.0038843,4.033334,4.0377283
2011-08-21,4.033269,4.0325546,4.0256343,4.031478,4.040179,4.0429196,4.051544
2011-08-22,4.0281305,4.0346713,4.0624886,4.0412865,4.0336165,4.0372615,4.0322113
2011-08-23,4.0405006,4.0394983,4.033883,4.0293665,4.03635,4.0379157,4.045633
2011-08-24,4.0293975,4.0376477,4.0379753,4.0458264,4.0390606,4.0423803,4.05295
2011-08-25,4.0252624,4.0194364,4.033378,4.0401125,4.0418873,4.059529,4.0928664
2011-08-26,4.0384097,4.036785,4.0442348,4.0445194,4.059632,4.0909524,4.111939
2011-08-28,4.0466695,4.0359178,4.045211,4.0535154,4.088142,4.1195717,4.1301513
2011-08-29,4.0395145,4.0545793,4.051939,4.093373,4.119742,4.116999,4.142401
2011-08-30,4.0368967,4.0589194,4.094632,4.111567,4.141811,4.131231,4.113484
2011-08-31,4.0584145,4.091792,4.1127963,4.147296,4.095261,4.128473,4.151725
2011-09-01,4.0962596,4.116763,4.130768,4.069064,4.1425233,4.1548133,4.1491933
2011-09-02,4.1236753,4.126051,4.136243,4.158025,4.1408224,4.142475,4.136402
2011-09-04,4.138297,4.141607,4.1322217,4.128037,4.1504292,4.1380253,4.1404195
2011-09-05,4.0935984,4.1409893,4.1355414,4.159937,4.1426373,4.143365,4.167026
2011-09-06,4.1467,4.173717,4.160487,4.1372404,4.145768,4.149616,4.151159
2011-09-07,4.143513,4.1344624,4.1462636,4.1492767,4.1475143,4.1497836,4.1605487
2011-09-08,4.14,4.144102,4.1604505,4.1564083,4.163045,4.1670775,4.159347
2011-09-09,4.1613536,4.1641517,4.1553354,4.154865,4.1598225,4.1657624,4.1619215
2011-09-11,4.1437583,4.147692,4.1501107,4.1535416,4.153138,4.1601696,4.1629987
2011-09-12,4.154927,4.1367235,4.156358,4.1692505,4.159756,4.1660695,4.1658645
2011-09-13,4.151493,4.1644034,4.162688,4.1762633,4.161889,4.162546,4.171259
2011-09-14,4.1655188,4.1729913,4.1585917,4.1618843,4.167626,4.1642065,4.171897
