,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK,EURSEK
,0,1,2,3,4,5,6
2011-01-16,9.021089,9.033436,9.063553,9.0587,9.017931,8.980487,9.053497
2011-01-17,8.990475,8.986987,8.985126,8.979976,8.974462,8.969096,8.970293
2011-01-18,8.984347,8.978164,8.974113,8.974725,8.971739,8.974852,8.970799
2011-01-19,8.97912,8.972802,8.976341,8.971129,8.962345,8.975691,8.967881
2011-01-20,8.981336,8.970188,8.970487,8.972263,8.956521,8.95246,8.966683
2011-01-21,8.967819,8.961062,8.953967,8.9735565,8.980999,8.964371,8.958969
2011-01-23,8.967007,8.971471,8.972277,8.948801,8.950777,8.955125,8.931948
2011-01-24,8.952672,8.960961,8.972287,8.966984,8.94097,8.942073,8.940783
2011-01-25,8.942046,8.944947,8.9599285,8.959879,8.948982,8.95451,8.949786
2011-01-26,8.975078,8.968282,8.954102,8.945869,8.94371,8.955401,8.961202
2011-01-27,8.964042,8.973673,8.957371,8.943536,8.948169,8.93823,8.930627
2011-01-28,8.9441185,8.947853,8.956731,8.956846,8.912691,8.940329,8.932217
2011-01-30,8.945357,8.939228,8.939488,8.918209,8.935416,8.91272,8.921911
2011-01-31,8.94284,8.969618,8.938898,8.94378,8.930183,8.950777,8.926275
2011-02-01,8.946991,8.925244,8.938551,8.929832,8.966909,8.933035,8.919575
2011-02-02,8.943933,8.938852,8.948041,8.92928,8.940078,8.919607,8.936227
2011-02-03,8.942093,8.933917,8.934074,8.925357,8.951281,8.908501,8.912549
2011-02-04,8.920057,8.919644,8.950001,8.927217,8.91475,8.926014,8.897555
2011-02-06,8.911908,8.915002,8.916695,8.922724,8.923554,8.925837,8.920488
2011-02-07,8.939666,8.925571,8.921406,8.919556,8.940143,8.907283,8.895975
2011-02-08,8.95227,8.923543,8.910689,8.917363,8.896193,8.895858,8.876814
2011-02-09,8.9265375,8.924317,8.869951,8.927756,8.891447,8.86375,8.882278
2011-02-10,8.923888,8.897517,8.916089,8.907009,8.874804,8.879274,8.872325
2011-02-11,8.912217,8.898691,8.90295,8.910161,8.882732,8.880197,8.871784
2011-02-13,8.905583,8.884122,8.885893,8.879533,8.870453,8.869816,8.867126
2011-02-14,8.888088,8.884208,8.885437,8.875824,8.871098,8.863231,8.852952
2011-02-15,8.8956,8.879844,8.878357,8.876782,8.870455,8.867039,8.848249
2011-02-16,8.880974,8.875405,8.877127,8.865346,8.857401,8.846449,8.853344
2011-02-17,8.867536,8.871719,8.86473,8.864551,8.848311,8.851289,8.840945
2011-02-18,8.867765,8.881157,8.849047,8.848064,8.84143,8.846827,8.831318
2011-02-20,8.85875,8.854297,8.851907,8.8493,8.850087,8.836477,8.783125
2011-02-21,8.858441,8.847069,8.857484,8.846484,8.845179,8.811609,8.829396
2011-02-22,8.852361,8.850343,8.840684,8.827247,8.825281,8.813889,8.824335
2011-02-23,8.85574,8.843099,8.823763,8.871101,8.824569,8.833387,8.821954
2011-02-24,8.824562,8.835898,8.863696,8.804719,8.824327,8.815816,8.801198
2011-02-25,8.831157,8.864588,8.786052,8.833014,8.838941,8.798956,8.823518
2011-02-27,8.826378,8.818439,8.83246,8.826804,8.816443,8.840098,8.789128
2011-02-28,8.82414,8.813092,8.814377,8.825636,8.806834,8.790966,8.812547
2011-03-01,8.800027,8.781105,8.802954,8.8055105,8.810629,8.78535,8.807646
2011-03-02,8.82255,8.809507,8.794795,8.819086,8.784553,8.810266,8.811579
2011-03-03,8.8020735,8.796693,8.82915,8.795932,8.814717,8.796695,8.80197
