,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY,EURTRY
,0,1,2,3,4,5,6
2011-01-16,2.0487213,2.022293,2.0537415,1.9903488,2.0511093,2.1689682,2.1738205
2011-01-17,2.0346146,2.028267,2.0612106,2.0392532,2.0404587,2.025055,2.0407639
2011-01-18,2.0278473,2.0315628,2.0357666,2.0365067,2.032814,2.031639,2.0469894
2011-01-19,2.0315475,2.0462418,2.040741,2.050415,2.0449142,2.0387497,2.049446
2011-01-20,2.0315704,2.0474854,2.0404816,2.0429459,2.0469208,2.0400543,2.0438995
2011-01-21,2.0366898,2.0444412,2.0463333,2.0533829,2.0388412,2.0508347,2.0457916
2011-01-23,2.0294647,2.0521393,2.0369873,2.0297775,2.0462189,2.0545197,2.051651
2011-01-24,2.0487823,2.047409,2.0545502,2.0377045,2.0354004,2.05439,2.0578537
2011-01-25,2.0549698,2.0345154,2.0574188,2.063942,2.045639,2.049942,2.0590057
2011-01-26,2.0540924,2.0435562,2.0537796,2.0728836,2.0546875,2.0522385,2.0590057
2011-01-27,2.0467072,2.0457,2.052681,2.0495834,2.0545425,2.0485916,2.0588608
2011-01-28,2.045807,2.0463943,2.0527344,2.0666733,2.0640564,2.0556107,2.0678558
2011-01-30,2.0544739,2.065384,2.057434,2.0570068,2.070633,2.067009,2.0727234
2011-01-31,2.0622482,2.054535,2.0563583,2.0598373,2.0672073,2.072876,2.0663986
2011-02-01,2.04702,2.0550232,2.0700455,2.0663452,2.060379,2.0656586,2.0690994
2011-02-02,2.0601883,2.0481262,2.0597153,2.0591202,2.0644073,2.0630188,2.0679092
2011-02-03,2.0751495,2.0708923,2.0613785,2.0668793,2.0741272,2.0717392,2.0743408
2011-02-04,2.0551987,2.0629807,2.0720901,2.0763779,2.0652237,2.07576,2.078476
2011-02-06,2.0802612,2.0712204,2.0708694,2.0723572,2.0737305,2.081833,2.1262817
2011-02-07,2.066246,2.0620193,2.065979,2.077568,2.0850449,2.1197433,2.1314392
2011-02-08,2.067665,2.0749893,2.0867538,2.0877533,2.1175995,2.1251297,2.1315079
2011-02-09,2.0734558,2.075508,2.0771713,2.1200256,2.128006,2.1244583,2.1363907
2011-02-10,2.0857086,2.0951157,2.120102,2.1248016,2.1339722,2.1375122,2.1378403
2011-02-11,2.0751648,2.1111069,2.1260452,2.1362,2.1160126,2.1399918,2.142067
2011-02-13,2.1152802,2.1250305,2.1388397,2.1233444,2.1420898,2.1487732,2.1468735
2011-02-14,2.127365,2.1334991,2.1306763,2.132225,2.15036,2.137001,2.1299896
2011-02-15,2.1315536,2.137146,2.1417542,2.1523285,2.1384506,2.132431,2.143959
2011-02-16,2.129242,2.138939,2.140358,2.1449966,2.1408844,2.1347427,2.1499786
2011-02-17,2.1393204,2.1454544,2.1420364,2.1389618,2.1445084,2.1386414,2.1633835
2011-02-18,2.137413,2.128685,2.1421585,2.1406403,2.1408768,2.1568604,2.153473
2011-02-20,2.16288,2.1606216,2.1633987,2.1528244,2.1500626,2.1522064,2.1594315
2011-02-21,2.1367264,2.1417084,2.1573944,2.149681,2.162712,2.154747,2.1610641
2011-02-22,2.1564636,2.1659622,2.1531525,2.1362915,2.1608734,2.1511383,2.1676865
2011-02-23,2.1429977,2.1360931,2.1521149,2.1566772,2.1663513,2.158287,2.1532211
2011-02-24,2.1447754,2.1645126,2.159668,2.1611786,2.1618729,2.1599426,2.170166
