,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD
,0,1,2,3,4,5,6
2011-01-16,1.325907,1.3200155,1.322397,1.3223504,1.316762,1.3186597,1.3270807
2011-01-17,1.3177536,1.322944,1.3195082,1.3249311,1.3203228,1.3199676,1.3194686
2011-01-18,1.3248107,1.3262064,1.3259985,1.3230307,1.3192924,1.3273,1.31958
2011-01-19,1.3215498,1.3217126,1.3197626,1.3294168,1.3297302,1.3218622,1.3318403
2011-01-20,1.3259033,1.3177705,1.3188275,1.3180388,1.320427,1.3214331,1.3201445
2011-01-21,1.3282648,1.3207743,1.3248696,1.327693,1.3255675,1.3256172,1.3333356
2011-01-23,1.323893,1.3272078,1.3219472,1.3209529,1.3271223,1.3241105,1.3293111
2011-01-24,1.3266398,1.3171586,1.3226128,1.3241122,1.322308,1.3267453,1.3243105
2011-01-25,1.316342,1.3316739,1.3227447,1.3260149,1.3282907,1.321046,1.3282912
2011-01-26,1.3131001,1.330703,1.3301954,1.3250272,1.326915,1.322541,1.3460706
2011-01-27,1.3240062,1.32213,1.3267376,1.3224623,1.314421,1.3226806,1.3375385
2011-01-28,1.3071072,1.3166448,1.3167505,1.3202467,1.3262551,1.3231796,1.317549
2011-01-30,1.3254853,1.3236775,1.3290107,1.3369195,1.3297298,1.3278272,1.3339921
2011-01-31,1.3274271,1.3275609,1.3236609,1.3333205,1.3398908,1.325142,1.3473948
2011-02-01,1.313229,1.323686,1.3203878,1.3271575,1.324667,1.3209982,1.3225486
2011-02-02,1.327109,1.3148395,1.3272059,1.3281091,1.3297901,1.3364401,1.3288124
2011-02-03,1.3201456,1.327924,1.318153,1.3324542,1.3346597,1.3337449,1.3535817
2011-02-04,1.3322875,1.3417456,1.3308811,1.3379848,1.3400346,1.3492334,1.341443
2011-02-06,1.3257122,1.3276256,1.3338828,1.3378465,1.3355784,1.345649,1.3549997
2011-02-07,1.3289739,1.3312175,1.3394052,1.3367281,1.3452657,1.3491,1.3610654
2011-02-08,1.3577659,1.3594246,1.3419621,1.3530885,1.3727597,1.3698734,1.3631091
2011-02-09,1.3382645,1.3429964,1.349972,1.3538188,1.3507904,1.3508927,1.355743
2011-02-10,1.3402767,1.3477476,1.3445836,1.3542073,1.3390695,1.3493303,1.3438845
2011-02-11,1.3522162,1.3421166,1.344711,1.351968,1.3631351,1.3547958,1.3528086
2011-02-13,1.3664522,1.3636079,1.3678759,1.3572851,1.3512137,1.3495562,1.3692018
2011-02-14,1.3419826,1.3606706,1.354503,1.3648033,1.34706,1.3578454,1.3626949
2011-02-15,1.3446323,1.3478048,1.3584213,1.3464152,1.349234,1.3655779,1.3511308
2011-02-16,1.342885,1.3582311,1.3417939,1.3422475,1.3450441,1.354166,1.3466215
2011-02-17,1.3587493,1.3573763,1.3544189,1.3433447,1.3547437,1.3578211,1.3518533
2011-02-18,1.3527036,1.3546232,1.3555533,1.3557001,1.3555794,1.3568462,1.3686675
2011-02-20,1.3507569,1.3467867,1.35879,1.3518679,1.3459748,1.3567202,1.3561081
2011-02-21,1.3493513,1.3584659,1.3557888,1.3544874,1.3514895,1.3564237,1.3583641
2011-02-22,1.368367,1.363488,1.3713226,1.3689933,1.3738983,1.369833,1.3670555
2011-02-23,1.3560495,1.3542209,1.3580176,1.3635116,1.3703511,1.3637719,1.3633752
2011-02-24,1.3546938,1.3568602,1.3638251,1.3651783,1.3655255,1.3631309,1.3677316
2011-02-25,1.3589823,1.3562126,1.3621407,1.357944,1.3615769,1.3543192,1.3558348
2011-02-27,1.3606725,1.3614967,1.3629856,1.3628848,1.3553984,1.3591199,1.3610997
2011-02-28,1.364077,1.3622879,1.3654573,1.369098,1.3705546,1.3661692,1.3696446
2011-03-01,1.3631707,1.3588793,1.3600142,1.358722,1.3620855,1.3664236,1.3581913
2011-03-02,1.3638564,1.3642367,1.364009,1.3648942,1.3687017,1.3701618,1.3667719
2011-03-03,1.366528,1.3642846,1.3640275,1.3637797,1.3644589,1.3604652,1.3677528
2011-03-04,1.3649749,1.3703592,1.3659983,1.3652955,1.3623989,1.3649635,1.3701811
2011-03-06,1.3649478,1.3690413,1.370753,1.3669145,1.3674767,1.3651583,1.3709292
2011-03-07,1.3654747,1.3658586,1.3652874,1.3646848,1.3681158,1.3673912,1.3709649
2011-03-08,1.3688743,1.3669825,1.3678305,1.3748302,1.3693572,1.3642251,1.3712206
2011-03-09,1.3655255,1.3648425,1.3704752,1.368887,1.3685315,1.3656312,1.3718567
2011-03-10,1.3692694,1.3671751,1.3685017,1.3677936,1.3731823,1.36584,1.3754467
2011-03-11,1.3644881,1.3704988,1.3666959,1.3692112,1.3705696,1.3728584,1.3720328
2011-03-13,1.3658059,1.3714346,1.3687049,1.3771856,1.376486,1.3748513,1.3765721
2011-03-14,1.372925,1.3715669,1.3773822,1.3778938,1.3763795,1.3744928,1.3793551
2011-03-15,1.3712066,1.3754212,1.3730057,1.3693467,1.3768505,1.3781488,1.3815718
2011-03-16,1.3713094,1.3738701,1.3781022,1.3749545,1.3764274,1.3818579,1.381084
2011-03-17,1.3768376,1.3752927,1.3756262,1.3767674,1.3795153,1.3815844,1.3844178
2011-03-18,1.3724428,1.3755796,1.3796147,1.3756645,1.3812649,1.3833451,1.38334
2011-03-20,1.3753263,1.3754877,1.378321,1.3763369,1.3861194,1.3793503,1.379718
2011-03-21,1.3667245,1.3779652,1.3783185,1.381394,1.3819404,1.3867573,1.3878534
2011-03-22,1.3730586,1.377902,1.3776271,1.3747433,1.3825388,1.3859948,1.3820977
2011-03-23,1.3752557,1.3738134,1.3843327,1.3808546,1.3781333,1.3887976,1.3876462
