,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR,FRXEUR
,0,1,2,3,4,5,6
2011-01-16,14.329308,11.368851,15.149284,14.3088455,10.566772,10.1238785,14.735138
2011-01-17,29.334763,22.464836,32.28753,29.482857,21.598755,20.899399,30.342041
2011-01-18,43.231194,34.412323,49.239136,44.538956,32.76998,31.830978,44.75392
2011-01-19,57.9766,46.569878,65.87891,59.489685,44.081978,42.148346,60.00242
2011-01-20,72.77254,58.83043,82.24416,74.33181,54.74254,53.293938,75.25994
2011-01-21,87.48485,71.17572,98.36326,88.0966,66.24144,64.679405,90.38344
2011-01-23,102.12096,83.60152,113.206726,102.71339,77.9687,76.19122,105.39523
2011-01-24,116.681725,95.260605,128.87247,117.39233,89.807755,87.83071,120.30095
2011-01-25,130.197,107.778465,144.51202,131.99786,101.76191,99.582985,134.11455
2011-01-26,144.57071,120.48512,159.97897,146.52496,113.815025,110.63979,148.77914
2011-01-27,159.02208,133.25323,175.30241,160.98816,125.14173,122.5464,163.50104
2011-01-28,173.41805,146.07904,190.48651,174.4267,137.32181,134.66544,178.14569
2011-01-30,187.76328,158.96826,204.54356,188.72284,149.70532,146.88351,192.7162
2011-01-31,202.06131,171.0324,219.44563,203.10403,162.16742,159.19376,207.21228
2011-02-01,215.34682,183.95895,234.3888,217.43588,174.71011,171.58664,220.68018
2011-02-02,229.5007,197.0535,249.22244,231.72182,187.33029,183.21083,235.00449
2011-02-03,243.7519,210.18655,263.96942,245.9656,199.15118,195.69815,249.41171
2011-02-04,257.95236,223.35696,278.637,259.20364,211.8334,208.37668,263.76715
2011-02-06,272.11475,236.56638,292.24313,273.30865,224.6979,221.11801,278.07477
2011-02-07,286.24316,248.91531,306.7118,287.50378,237.625,233.9189,292.33884
2011-02-08,299.39136,262.12878,321.24646,301.66193,250.6012,246.77835,305.5938
2011-02-09,313.40045,275.49585,335.71555,315.7875,263.62378,258.82092,319.71725
2011-02-10,327.51404,288.8852,350.12717,329.88263,275.8023,271.7267,333.93396
2011-02-11,341.5979,302.29532,364.48715,343.00067,288.84354,284.80112,348.10757
2011-02-13,355.65488,315.72443,377.83484,356.98062,302.0504,297.91595,362.24628
2011-02-14,369.68634,328.2618,392.0421,371.0672,315.29828,311.0683,376.35364
2011-02-15,382.74997,341.66248,406.34198,385.12653,328.57614,324.25623,389.483
2011-02-16,396.6756,355.2109,420.59848,399.15994,341.88208,336.5907,403.47443
2011-02-17,410.71143,368.77673,434.8061,413.17017,354.30945,349.78943,417.57074
2011-02-18,424.72336,382.3519,448.97266,426.21436,367.6018,363.1424,431.63947
2011-02-20,438.71368,395.93695,462.1542,440.12018,381.0415,376.5191,445.6814
2011-02-21,452.68405,408.6088,476.19705,454.13892,394.4985,389.9173,459.6998
2011-02-22,465.69406,422.14398,490.34094,468.13565,407.97235,403.33557,472.75226
2011-02-23,479.56607,435.8171,504.45285,482.1117,421.46042,415.8629,486.66663
2011-02-24,493.5528,449.49258,518.5352,496.06827,434.05075,429.25388,500.69138
2011-02-25,507.51926,463.16818,532.59064,509.06042,447.51215,442.78683,514.6935
2011-02-27,521.4677,476.84384,545.6752,522.92114,461.11707,456.3399,528.67487
2011-02-28,535.39954,489.59796,559.62146,536.8966,474.7283,469.9075,542.6366
2011-03-01,548.3658,503.21582,573.6759,550.8533,488.34393,483.4842,555.6367
2011-03-02,562.2038,516.9614,587.7057,564.7925,501.96948,496.14886,569.501
2011-03-03,576.15894,530.7072,601.7128,578.7161,514.67566,509.6784,583.4808
2011-03-04,590.09644,544.449,615.6983,591.6752,528.24615,523.3441,597.4411
2011-03-06,604.0188,558.1848,628.7212,605.5052,541.952,537.0095,611.3845
2011-03-07,617.925,570.9922,642.60583,619.45337,555.65765,550.6796,625.3101
2011-03-08,630.8697,584.6626,656.6046,633.3852,569.36334,564.35504,638.2727
2011-03-09,644.685,598.45856,670.58276,647.30084,583.06903,577.10455,652.105
2011-03-10,658.6201,612.2478,684.54095,661.20276,595.8452,590.71875,666.05615
2011-03-11,672.53955,626.03326,698.48236,674.1427,609.4845,604.4647,679.99036
2011-03-13,686.445,639.80884,711.4571,687.95374,623.2503,618.20404,693.90607
2011-03-14,700.3293,652.651,725.3018,701.8838,637.01624,631.93964,707.81085
2011-03-15,713.2591,666.3578,739.26526,715.7976,650.77295,645.6754,720.75195
2011-03-16,727.06,680.1855,753.211,729.69916,664.52875,658.48065,734.56635
2011-03-17,740.9835,694.00256,767.14105,743.5795,677.3503,672.1493,748.49725
2011-03-18,754.8933,707.8184,781.0516,756.5072,691.0375,685.9451,762.41327
2011-03-20,768.7817,721.6174,794.0018,770.307,704.8531,699.7356,776.3166
2011-03-21,782.6491,734.48254,807.8232,784.22687,718.64984,713.5116,790.1983
2011-03-22,795.57117,748.212,821.7634,798.13416,732.4456,727.2875,803.12646
2011-03-23,809.3652,762.0637,835.6885,812.0185,746.23987,740.13025,816.9268
2011-03-24,823.27765,775.8998,849.5985,825.8827,759.0908,753.83606,830.848
2011-03-25,837.178,789.73157,863.4894,838.8025,772.80414,767.66394,844.75653
2011-03-27,851.0576,803.54767,876.4228,852.5943,786.64,781.47986,858.6419
2011-03-28,864.91455,816.4277,890.2264,866.50415,800.4694,795.29517,872.5074
2011-03-29,877.82983,830.17255,904.15393,880.402,814.2854,809.0914,885.4281
2011-03-30,891.61316,844.0325,918.0638,894.27844,828.1013,821.9556,899.22107
2011-03-31,905.52295,857.88745,931.9586,908.1347,840.97174,835.6837,913.132
2011-04-01,919.4147,871.7233,945.8303,921.0486,854.70496,849.53357,927.0307
2011-04-03,933.28485,885.5584,958.7558,934.8313,868.561,863.3694,940.90894
2011-04-04,947.1408,898.44617,972.5519,948.7412,882.40283,877.1996,954.76514
2011-04-05,960.052,912.2025,986.46716,962.6302,896.2388,891.0155,967.6796
2011-04-06,973.8334,926.0775,1000.37024,976.49866,910.0606,903.8949,981.4629
2011-04-07,987.74194,939.93353,1014.2516,990.35474,922.94507,917.6384,995.37274
