,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD,GBPAUD
,0,1,2,3,4,5,6
2011-01-16,1.564871,1.5502863,1.5480248,1.5605253,1.552239,1.5604762,1.5489713
2011-01-17,1.5656631,1.5700037,1.5680568,1.5665517,1.5685287,1.5684237,1.564964
2011-01-18,1.5665649,1.5675099,1.5678847,1.5662293,1.5646125,1.568186,1.5673081
2011-01-19,1.5647157,1.5681367,1.5674361,1.5657438,1.5692084,1.5706167,1.5681134
2011-01-20,1.5665427,1.5644962,1.5679194,1.5672246,1.5668912,1.5670397,1.5641924
2011-01-21,1.5708632,1.5680815,1.5631312,1.566515,1.5659316,1.5603994,1.5650536
2011-01-23,1.5737004,1.5664593,1.5643662,1.5677469,1.5692704,1.5705428,1.5661508
2011-01-24,1.5688574,1.5735321,1.5724107,1.5715353,1.5669279,1.5624256,1.5655692
2011-01-25,1.566187,1.5688454,1.566128,1.5698555,1.5604191,1.5712419,1.5709794
2011-01-26,1.5630798,1.5668015,1.5674982,1.5615067,1.5658282,1.5771669,1.5626669
2011-01-27,1.5593408,1.566081,1.5622299,1.5728543,1.5672269,1.5639256,1.5779814
2011-01-28,1.5654775,1.569827,1.568261,1.5694145,1.5693274,1.5743121,1.5783818
2011-01-30,1.5722259,1.5756242,1.5638142,1.574327,1.5802379,1.5886953,1.5871872
2011-01-31,1.5843643,1.6085675,1.5818689,1.583681,1.5670286,1.5811914,1.5894208
2011-02-01,1.5683813,1.5606558,1.5744708,1.5859606,1.5642054,1.5802779,1.5736734
2011-02-02,1.5672795,1.5872878,1.5881869,1.5529615,1.5622642,1.5868468,1.5885959
2011-02-03,1.5605133,1.5742059,1.590957,1.5761544,1.5892047,1.5927892,1.5740477
2011-02-04,1.5737782,1.5526124,1.5666986,1.5545588,1.567297,1.5594344,1.5716871
2011-02-06,1.5939382,1.5846411,1.6027727,1.5826186,1.578097,1.5994229,1.5987182
2011-02-07,1.5760902,1.5780437,1.5947533,1.5883725,1.5897025,1.5894161,1.5965538
2011-02-08,1.5888138,1.5855151,1.5946821,1.5949614,1.5899514,1.6000816,1.6026472
2011-02-09,1.5921184,1.5761687,1.6007324,1.5923299,1.5860574,1.5813655,1.5939137
2011-02-10,1.5866368,1.6038463,1.587914,1.6028934,1.6024059,1.5995827,1.6007596
2011-02-11,1.5834013,1.5805619,1.5885087,1.5864259,1.5977632,1.5982938,1.5969455
