,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD,GBPCAD
,0,1,2,3,4,5,6
2011-01-16,1.5492325,1.6781616,1.5957336,1.5420914,1.6019745,1.5735779,1.491539
2011-01-17,1.5685654,1.5848007,1.5647964,1.5759888,1.5669403,1.5459213,1.5333481
2011-01-18,1.5641632,1.5590439,1.5606613,1.589508,1.5602341,1.5738602,1.5588074
2011-01-19,1.5604858,1.546669,1.5618286,1.5627289,1.5630112,1.5664673,1.5639954
2011-01-20,1.5601501,1.5628433,1.5616379,1.5616989,1.5630112,1.564537,1.561615
2011-01-21,1.5603943,1.5601501,1.5616379,1.5636292,1.5630112,1.5574951,1.5638123
2011-01-23,1.5611115,1.5603943,1.5616379,1.5683594,1.5632019,1.5575638,1.5612946
2011-01-24,1.5606537,1.5597534,1.5616379,1.5643082,1.5632019,1.5580215,1.5634842
2011-01-25,1.5598755,1.5596237,1.5616379,1.5590897,1.5632019,1.5638275,1.5615616
2011-01-26,1.5603104,1.562973,1.5616379,1.5596085,1.5632706,1.5578842,1.5621033
2011-01-27,1.5607605,1.5597534,1.5616379,1.5590057,1.5632706,1.5641403,1.5645981
2011-01-28,1.5604401,1.5620117,1.5616379,1.5668869,1.5632706,1.5578766,1.5586319
2011-01-30,1.5604401,1.5622025,1.5616379,1.5615082,1.5632706,1.564331,1.559555
2011-01-31,1.5596848,1.5622025,1.5616379,1.5639572,1.5634003,1.5548859,1.5696564
2011-02-01,1.5573807,1.5622025,1.5616379,1.5605392,1.5634003,1.5656815,1.5639343
2011-02-02,1.5640564,1.5622025,1.5616379,1.5635147,1.5632706,1.5701294,1.5736771
2011-02-03,1.5614777,1.5620117,1.5616379,1.5670242,1.5735855,1.573082,1.5752792
2011-02-04,1.5609894,1.5620117,1.567276,1.5717468,1.5719376,1.6224442,1.5399551
2011-02-06,1.5528641,1.5640182,1.5662918,1.5838852,1.5781708,1.5671616,1.5860748
2011-02-07,1.5727234,1.5697937,1.5552979,1.5660477,1.5808029,1.5679855,1.5953522
2011-02-08,1.5741272,1.5749588,1.5755081,1.5810089,1.5563354,1.5927887,1.5672455
2011-02-09,1.5447922,1.538002,1.5730667,1.6117401,1.5782394,1.6028976,1.5927124
2011-02-10,1.5889511,1.5512848,1.597374,1.5769806,1.5784073,1.5681,1.5624237
2011-02-11,1.5750198,1.562439,1.5690155,1.5864487,1.5912628,1.5874557,1.5784225
2011-02-13,1.5775146,1.6388321,1.5608063,1.5769424,1.5621033,1.5972214,1.5767593
2011-02-14,1.5811768,1.5740204,1.5952911,1.5767059,1.5782547,1.5800095,1.5784912
2011-02-15,1.5792542,1.58535,1.5720749,1.5789261,1.5792999,1.5789185,1.5735931
2011-02-16,1.5743408,1.5770798,1.579567,1.5831757,1.5801468,1.5732422,1.6041489
2011-02-17,1.5810242,1.5936508,1.5804214,1.5959244,1.5927505,1.5811005,1.6010361
2011-02-18,1.581604,1.5661926,1.5955734,1.5818481,1.6276093,1.5830994,1.5972595
2011-02-20,1.5714569,1.5985184,1.5979614,1.6057816,1.6193695,1.5872345,1.5699921
2011-02-21,1.5916061,1.5852432,1.5972214,1.5686951,1.602768,1.5642014,1.5706177
2011-02-22,1.573288,1.6214066,1.5993271,1.5927582,1.5705338,1.6069336,1.5954514
2011-02-23,1.5437393,1.562439,1.5830231,1.5870972,1.6056595,1.5664368,1.584938
2011-02-24,1.5839844,1.6019211,1.585823,1.5903473,1.5928345,1.5847931,1.5929337
2011-02-25,1.60569,1.5866089,1.5840149,1.5841827,1.5893936,1.5914841,1.5943146
2011-02-27,1.5394669,1.5867386,1.5907593,1.5930634,1.5941391,1.5980759,1.5924606
2011-02-28,1.6142883,1.5866089,1.5801468,1.5928879,1.5969696,1.5848923,1.5955658
2011-03-01,1.6039658,1.5960846,1.5939941,1.585022,1.5854111,1.5879135,1.5811539
2011-03-02,1.5508118,1.592308,1.5826874,1.5874405,1.593216,1.5810776,1.5849991
2011-03-03,1.6070328,1.5851669,1.5943604,1.5966339,1.5825119,1.58535,1.5951614
2011-03-04,1.576767,1.5900116,1.5859909,1.5894318,1.5887833,1.588562,1.587616
2011-03-06,1.5955124,1.5789871,1.5992813,1.5870209,1.5857468,1.5914841,1.5870438
2011-03-07,1.5892029,1.5927353,1.5883331,1.5858154,1.5881348,1.5841522,1.5886993
2011-03-08,1.5888672,1.5850601,1.582016,1.5887604,1.5896225,1.5878754,1.5841446
2011-03-09,1.5925522,1.5890503,1.5900421,1.5877533,1.5824661,1.587944,1.5807495
2011-03-10,1.5907745,1.5916977,1.5865707,1.5899582,1.5920181,1.5882034,1.588089
2011-03-11,1.5838013,1.5924149,1.5913773,1.5884094,1.5886612,1.5890503,1.5833054
2011-03-13,1.5906754,1.5903015,1.583931,1.5905151,1.587944,1.5829163,1.586174
2011-03-14,1.5874481,1.5851974,1.586647,1.5875473,1.5865707,1.5775833,1.5856628
2011-03-15,1.5883636,1.5895691,1.5880737,1.588234,1.5858688,1.5815353,1.5857315
2011-03-16,1.5843201,1.5959702,1.5937119,1.5857697,1.5884552,1.589035,1.5861206
2011-03-17,1.5866852,1.5865555,1.5856628,1.586029,1.5860672,1.583107,1.55233
2011-03-18,1.5883636,1.5864868,1.5872116,1.586029,1.5860672,1.5652084,1.5874023
2011-03-20,1.5870514,1.5865555,1.5831299,1.586029,1.5860672,1.60466,1.587616
2011-03-21,1.5840378,1.5866852,1.5772018,1.586029,1.5860672,1.5888748,1.5831909
2011-03-22,1.5854492,1.5866852,1.5868454,1.586029,1.6252441,1.586853,1.5885239
2011-03-23,1.588028,1.5866852,1.5908661,1.5844803,1.5558167,1.5831146,1.5831299
2011-03-24,1.5854492,1.5868759,1.5647202,1.5479355,1.6004944,1.5847092,1.5783081
2011-03-25,1.5880966,1.60672,1.596611,1.5851974,1.5786133,1.580307,1.5816574
2011-03-27,1.5900269,1.5733185,1.5853424,1.5747681,1.5803757,1.5765533,1.5837097
