,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF
,0,1,2,3,4,5,6
2011-01-16,1.4894936,1.4907242,1.4938933,1.4975358,1.4943014,1.4976826,1.50037
2011-01-17,1.5017775,1.5014023,1.5040355,1.5022153,1.5015473,1.500799,1.5018797
2011-01-18,1.502076,1.5008445,1.5008843,1.500017,1.5028259,1.5010421,1.4986745
2011-01-19,1.4973437,1.4981261,1.4990828,1.4991971,1.4997026,1.5032244,1.5086839
2011-01-20,1.4990611,1.502522,1.5023787,1.5039976,1.5025321,1.5011251,1.4950705
2011-01-21,1.5032935,1.503006,1.5013338,1.5018708,1.5010192,1.4982095,1.4960178
2011-01-23,1.5049597,1.4960341,1.4990278,1.5030828,1.4930203,1.4976246,1.494084
2011-01-24,1.4986044,1.5009949,1.4971645,1.4960952,1.5002367,1.4995978,1.4986119
2011-01-25,1.5088047,1.5023229,1.5033342,1.5003256,1.5015475,1.4977055,1.4865185
2011-01-26,1.5034046,1.4980152,1.5105212,1.5021847,1.4922891,1.4948757,1.4981517
2011-01-27,1.5014304,1.5077143,1.5064318,1.48756,1.4869097,1.4960545,1.495256
2011-01-28,1.4985802,1.5031847,1.5063362,1.495705,1.5026405,1.5013889,1.5029069
2011-01-30,1.500406,1.5092845,1.5024861,1.4910147,1.4989314,1.5078425,1.5150013
2011-01-31,1.500089,1.5003997,1.5047854,1.5026834,1.4914937,1.5103573,1.4982374
2011-02-01,1.5017698,1.5024205,1.5011356,1.4999429,1.4998729,1.5001382,1.499204
2011-02-02,1.4883394,1.4875437,1.488173,1.4963334,1.4898299,1.5007536,1.5032539
2011-02-03,1.5019939,1.5034635,1.5010281,1.5016459,1.5134966,1.5049803,1.5144604
2011-02-04,1.4979542,1.5078506,1.5058014,1.5037858,1.5139949,1.5127205,1.5150537
2011-02-06,1.4971294,1.5111816,1.4922836,1.5004803,1.5091891,1.5124202,1.5194557
2011-02-07,1.4940598,1.5109234,1.507474,1.5067395,1.5070628,1.5168564,1.5211892
2011-02-08,1.5166078,1.5333835,1.517518,1.5366627,1.5363036,1.5297576,1.536035
2011-02-09,1.5044485,1.5065234,1.5175279,1.5192962,1.5238662,1.533633,1.5395342
2011-02-10,1.5040905,1.5151896,1.51553,1.5128136,1.535735,1.5109718,1.5231279
2011-02-11,1.5150244,1.5198694,1.5276182,1.512874,1.5141122,1.5105735,1.5271474
