,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY,GBPJPY
,0,1,2,3,4,5,6
2011-01-16,22.154812,21.581484,23.06052,21.427658,21.6269,21.820816,22.281605
2011-01-17,43.589283,43.01235,44.49924,42.858795,43.060204,43.253788,43.717125
2011-01-18,63.73882,63.1613,64.64943,63.007786,63.20946,63.403057,63.866806
2011-01-19,83.42048,82.842766,84.3313,82.68927,82.89103,83.084625,83.548515
2011-01-20,102.859505,102.28172,103.77042,102.12822,102.33002,102.52361,102.987564
2011-01-21,122.15015,121.57233,123.061104,121.41883,121.620636,121.81424,122.27822
2011-01-23,129.86752,129.89871,129.8275,129.9065,129.85245,129.8561,129.8354
2011-01-24,129.66719,129.6634,129.66507,129.66801,129.66711,129.66724,129.66719
2011-01-25,129.66763,129.66858,129.6678,129.66806,129.66798,129.66768,129.66797
2011-01-26,129.66919,129.66673,129.66827,129.66623,129.669,129.66942,129.66833
2011-01-27,129.66783,129.6689,129.6669,129.66838,129.66785,129.66779,129.66908
2011-01-28,129.6682,129.66872,129.6676,129.66821,129.66911,129.66338,130.07454
2011-01-30,129.66539,129.66652,129.66617,129.666,129.6699,130.06477,130.27008
2011-01-31,129.6663,129.66914,129.66954,129.66862,130.06407,130.27127,130.45291
2011-02-01,129.6666,129.66895,129.67003,130.06137,130.2693,130.45753,130.4646
2011-02-02,129.6674,129.66632,130.06032,130.2718,130.45735,130.46364,130.74998
2011-02-03,129.66339,130.06215,130.27592,130.44972,130.46445,130.74904,130.95404
2011-02-04,130.06885,130.26958,130.45758,130.46475,130.75273,130.95064,131.0198
2011-02-06,130.27032,130.46104,130.46663,130.75514,130.95117,131.02307,131.2473
2011-02-07,130.4528,130.46689,130.75294,130.95108,131.02705,131.25276,131.25554
2011-02-08,130.46988,130.7564,130.94824,131.02223,131.25131,131.25717,131.40869
2011-02-09,130.75291,130.9529,131.02235,131.249,131.25664,131.40483,131.42088
2011-02-10,130.95038,131.02318,131.24896,131.26662,131.40907,131.42169,131.46812
2011-02-11,131.0199,131.24933,131.26,131.4065,131.41405,131.47101,131.63304
2011-02-13,131.25127,131.25693,131.40955,131.41257,131.4637,131.63387,131.75237
2011-02-14,131.25627,131.40791,131.4134,131.46587,131.62839,131.748,131.81827
2011-02-15,131.40392,131.41359,131.46843,131.634,131.74554,131.82108,131.87013
2011-02-16,131.42429,131.46808,131.62936,131.75262,131.81851,131.86324,131.9741
2011-02-17,131.47145,131.6302,131.75092,131.8201,131.86789,131.97394,131.97769
2011-02-18,131.63158,131.74875,131.82237,131.86974,131.96709,131.97644,131.98077
2011-02-20,131.75446,131.82002,131.86899,131.96771,131.98407,131.9796,131.99149
2011-02-21,131.81451,131.86017,131.97276,131.9742,131.9802,131.98888,131.99608
2011-02-22,131.86642,131.96852,131.96657,131.98425,131.98665,131.98466,131.98836
2011-02-23,131.97186,131.97836,131.97722,131.98598,131.98167,131.987,132.09138
2011-02-24,131.982,131.97707,131.98892,131.98799,131.9958,132.08849,132.22498
2011-02-25,131.97862,131.98366,131.98003,131.9828,132.07855,132.23116,132.27051
2011-02-27,131.99718,131.99196,131.98746,132.0674,132.2221,132.27312,132.46065
2011-02-28,131.98735,131.99217,132.09583,132.22784,132.26509,132.4645,132.62485
2011-03-01,131.97566,132.09001,132.23335,132.27502,132.46997,132.6289,132.72125
2011-03-02,132.08063,132.24055,132.2689,132.46184,132.62715,132.72386,132.80424
2011-03-03,132.23477,132.25073,132.46165,132.62437,132.7278,132.80505,133.40192
2011-03-04,132.25175,132.46417,132.63388,132.74109,132.78783,133.41364,133.41702
2011-03-06,132.45888,132.62395,132.72325,132.78781,133.39763,133.41513,133.43533
2011-03-07,132.62042,132.7214,132.78465,133.38614,133.4096,133.4242,133.42563
2011-03-08,132.72519,132.7905,133.40364,133.41125,133.43329,133.43327,133.42377
2011-03-09,132.78731,133.40884,133.4189,133.43163,133.43343,133.42299,133.43207
2011-03-10,133.42104,133.42145,133.42816,133.41978,133.43373,133.42395,133.4299
2011-03-11,133.42226,133.42444,133.41982,133.42725,133.42471,133.43404,133.42955
2011-03-13,133.43005,133.42635,133.43279,133.42493,133.42482,133.42252,133.4131
2011-03-14,133.42902,133.42801,133.43304,133.43636,133.42471,133.42355,133.44086
2011-03-15,133.41785,133.4192,133.42294,133.43451,133.40898,133.4348,133.45348
2011-03-16,133.43059,133.43394,133.43674,133.42159,133.43884,133.42197,133.44196
2011-03-17,133.42944,133.43454,133.43642,133.43263,133.42613,133.42313,133.4326
2011-03-18,133.417,133.42369,133.42473,133.42787,133.43648,133.43565,133.42229
2011-03-20,133.4312,133.42607,133.42642,133.42557,133.43622,133.42136,133.4455
2011-03-21,133.42987,133.42812,133.42792,133.43704,133.4171,133.42267,133.40862
2011-03-22,133.41606,133.41719,133.41643,133.43585,133.42851,133.40239,133.40535
2011-03-23,133.43181,133.43542,133.43427,133.41621,133.41444,133.40088,132.78287
2011-03-24,133.43031,133.4361,133.41563,133.40298,133.39632,132.79152,132.45624
2011-03-25,133.41498,133.4227,133.40991,133.39499,132.79843,132.4437,132.44609
2011-03-27,133.42299,133.41028,133.40277,132.79991,132.42188,132.44472,132.44037
2011-03-28,133.4352,133.39679,132.79749,132.44133,132.43916,132.44551,132.4315
2011-03-29,133.4041,132.772,132.45045,132.46361,132.44348,132.43051,132.4193
2011-03-30,132.78195,132.44244,132.45108,132.43495,132.43587,132.4262,132.44684
2011-03-31,132.46278,132.44623,132.43524,132.42857,132.43343,132.45056,132.43916
2011-04-01,132.41353,132.4532,132.43869,132.4591,132.42017,132.43199,132.42853
2011-04-03,132.39029,132.43997,132.44168,132.4659,132.46707,132.43294,132.43393
2011-04-04,132.40788,132.44308,132.426,132.43333,132.44366,132.4334,132.82469
2011-04-05,132.46202,132.44925,132.4522,132.42616,132.44586,132.78273,133.21413
2011-04-06,132.48755,132.43744,132.45325,132.46083,132.78644,133.20825,133.35698
2011-04-07,132.46822,132.42023,132.43417,132.7839,133.1807,133.38638,133.40044
2011-04-08,132.4089,132.42503,132.80817,133.2426,133.38455,133.42014,133.43663
2011-04-10,132.38104,132.79207,133.22382,133.35793,133.37369,133.40904,133.37039
2011-04-11,132.77324,133.21364,133.352,133.41617,133.42213,133.44397,133.42232
2011-04-12,133.19183,133.35922,133.40268,133.41875,133.44467,133.43771,133.45801
2011-04-13,133.3808,133.37347,133.39386,133.44456,133.40547,133.38841,133.39513
2011-04-14,133.3941,133.43834,133.40755,133.40088,133.39688,133.39438,133.45952
2011-04-15,133.3842,133.4179,133.44965,133.40182,133.43839,133.46358,133.44142
2011-04-17,133.43327,133.4324,133.4349,133.40144,133.45601,133.4552,133.45247
2011-04-18,133.3877,133.41754,133.39854,133.44078,133.4495,133.47237,134.4117
2011-04-19,133.4008,133.4329,133.467,133.48079,133.4242,134.39796,134.5345
2011-04-20,133.42924,133.4887,133.44757,133.46178,134.36832,134.5934,134.5853
2011-04-21,133.50143,133.46564,133.46002,134.37993,134.5609,134.60013,134.80025
2011-04-24,133.4091,133.47093,134.396,134.56898,134.59868,134.78078,135.14513
2011-04-25,133.48174,134.37796,134.57542,134.57591,134.77791,135.15169,135.24919
2011-04-26,134.43048,134.57742,134.58987,134.80356,135.15009,135.23302,135.33818
2011-04-27,134.60559,134.54071,134.8589,135.15648,135.20142,135.34587,135.37952
2011-04-28,134.58911,134.77988,135.16405,135.27147,135.3294,135.45616,135.36598
2011-04-29,134.8008,135.14731,135.30818,135.29709,135.45993,135.44406,135.45935
2011-05-01,135.15927,135.31282,135.26895,135.4085,135.4208,135.40767,135.43755
2011-05-02,135.18985,135.28964,135.4084,135.3697,135.4192,135.39961,135.35051
2011-05-03,135.27353,135.4103,135.44919,135.36055,135.44048,135.424,135.39598
2011-05-04,135.41249,135.40416,135.36674,135.4461,135.42815,135.42653,135.44322
2011-05-05,135.38931,135.45972,135.3644,135.42497,135.41849,135.40779,135.40198
2011-05-06,135.43237,135.41245,135.4075,135.42723,135.44037,135.44324,135.38698
2011-05-08,135.44447,135.40611,135.44742,135.42714,135.4282,135.37276,135.39497
2011-05-09,135.41109,135.46213,135.3662,135.42705,135.41792,135.42665,135.40451
2011-05-10,135.38762,135.41855,135.35954,135.42694,135.44116,135.41696,135.44235
2011-05-11,135.43256,135.4419,135.4127,135.42686,135.42824,135.42729,135.41295
2011-05-12,135.43555,135.42813,135.4527,135.42677,135.41737,135.43698,135.30713
2011-05-13,135.40706,135.42067,135.37256,135.42665,135.44188,135.28651,135.19582
2011-05-15,135.35693,135.44164,135.36592,135.42654,135.34032,135.29138,135.16148
2011-05-16,135.42401,135.4288,135.41833,135.3813,135.34108,135.16537,134.54697
