,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD,GBPNZD
,0,1,2,3,4,5,6
2011-01-16,2.0476675,2.0456393,2.0533843,2.059047,2.049797,2.0585868,2.050982
2011-01-17,2.0607407,2.0521042,2.059549,2.0763555,2.059437,2.060188,2.0589252
2011-01-18,2.047309,2.0702827,2.0689285,2.0496438,2.0602486,2.0576167,2.0675917
2011-01-19,2.0697086,2.06881,2.0610127,2.0641475,2.0768437,2.076737,2.0603516
2011-01-20,2.074079,2.0701783,2.0665298,2.0667474,2.0777674,2.0707927,2.0729008
2011-01-21,2.0556152,2.0536757,2.0581622,2.0586522,2.056228,2.0684195,2.0597937
2011-01-23,2.0708544,2.0719395,2.0735786,2.068918,2.0773444,2.0698738,2.0672202
2011-01-24,2.0494924,2.0570614,2.0502703,2.0647347,2.058173,2.0472982,2.053166
2011-01-25,2.074585,2.065416,2.0719075,2.0582476,2.0423281,2.0544486,2.0570846
2011-01-26,2.076047,2.069952,2.073457,2.0625863,2.0578706,2.0701213,2.0704792
2011-01-27,2.0705445,2.0633802,2.0601594,2.0564182,2.0607717,2.0664537,2.0667603
2011-01-28,2.0761666,2.076176,2.0666068,2.0561988,2.0370457,2.057259,2.064409
2011-01-30,2.0632606,2.065025,2.0591488,2.061804,2.0576768,2.0528293,2.0423303
2011-01-31,2.0669067,2.0489235,2.0811205,2.0627973,2.0636928,2.061662,2.0670717
2011-02-01,2.0600686,2.065132,2.0635772,2.0665498,2.0575225,2.0439937,2.0545273
2011-02-02,2.0744565,2.0733206,2.0726895,2.062015,2.0670137,2.0691173,2.072029
2011-02-03,2.063493,2.0542216,2.0604897,2.058157,2.0588298,2.059738,2.0639722
2011-02-04,2.0659165,2.0555456,2.0520601,2.0600681,2.05873,2.061489,2.0604424
2011-02-06,2.0532653,2.0530002,2.0612369,2.0557108,2.0637374,2.056857,2.0775154
2011-02-07,2.0460315,2.058853,2.060063,2.062844,2.0676076,2.0593555,2.065877
