,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD
,0,1,2,3,4,5,6
2011-01-16,1.5547087,1.5601631,1.5629307,1.5600032,1.5655982,1.5610063,1.5587667
2011-01-17,1.5553788,1.5557922,1.553494,1.5575291,1.5535809,1.5485077,1.5562232
2011-01-18,1.5567582,1.5570024,1.5601838,1.553589,1.55532,1.5559845,1.5562762
2011-01-19,1.5555531,1.5507141,1.5516125,1.5454541,1.5596405,1.5590001,1.5510039
2011-01-20,1.5597898,1.5532017,1.5674578,1.5541757,1.563556,1.5581214,1.5586891
2011-01-21,1.5635012,1.5480218,1.5500994,1.5648704,1.5481288,1.5665865,1.5574644
2011-01-23,1.5550277,1.570467,1.5840217,1.5566344,1.5543445,1.5586641,1.5664623
2011-01-24,1.5686414,1.5685236,1.5484278,1.5632391,1.555744,1.5652474,1.5588028
2011-01-25,1.5595915,1.5475161,1.5525529,1.5573573,1.5435866,1.5569897,1.55868
2011-01-26,1.5726663,1.5585966,1.5572127,1.5537269,1.5588177,1.5619212,1.5663738
2011-01-27,1.5473392,1.5556413,1.5796201,1.551271,1.556112,1.5600159,1.5743216
2011-01-28,1.5526687,1.5610315,1.5537348,1.5646358,1.5488138,1.5560583,1.5679421
2011-01-30,1.5628915,1.5603234,1.5620365,1.5891159,1.5597284,1.5769855,1.587852
2011-01-31,1.5566313,1.5557814,1.5585449,1.5647497,1.5657084,1.5726721,1.5770102
2011-02-01,1.565395,1.5562768,1.5616643,1.5758408,1.5791688,1.578327,1.5822867
2011-02-02,1.5665792,1.560592,1.5723114,1.586651,1.5922927,1.5903124,1.5834272
2011-02-03,1.5591286,1.5675037,1.5808972,1.5863813,1.5795207,1.5809296,1.5913513
2011-02-04,1.5670488,1.5610644,1.5867785,1.5852932,1.579871,1.5648812,1.5875099
2011-02-06,1.5701524,1.5608332,1.5785007,1.5808834,1.5761167,1.5929526,1.599408
2011-02-07,1.5850221,1.5777322,1.5911274,1.5904232,1.5906395,1.5817561,1.5871263
2011-02-08,1.5794399,1.595936,1.5696818,1.5849446,1.5644524,1.5828621,1.5951829
2011-02-09,1.5672673,1.5888236,1.55785,1.5529503,1.5920006,1.579947,1.5632269
2011-02-10,1.5772243,1.5911973,1.6009562,1.5760436,1.5821358,1.5856699,1.5976474
2011-02-11,1.5638444,1.587656,1.5802795,1.5891261,1.5867188,1.5895103,1.5898116
2011-02-13,1.5898687,1.5837123,1.5886717,1.5923903,1.593057,1.5902842,1.5956442
2011-02-14,1.5905423,1.5965031,1.5987259,1.5957544,1.596575,1.6069236,1.5998554
2011-02-15,1.591009,1.5893413,1.5942119,1.5945541,1.5978001,1.6005232,1.6011235
2011-02-16,1.5910197,1.5895092,1.5948629,1.5972579,1.5975362,1.5860918,1.5951179
2011-02-17,1.602257,1.6029165,1.6024119,1.5977906,1.6002567,1.6036751,1.6075001
2011-02-18,1.5904515,1.5942395,1.5833204,1.5932529,1.5985159,1.6046376,1.5925417
2011-02-20,1.5880039,1.59402,1.5853322,1.5970802,1.5948787,1.6007284,1.5957884
2011-02-21,1.6116325,1.6186976,1.6092128,1.6167665,1.6185087,1.6080507,1.619394
2011-02-22,1.5964104,1.6039135,1.6102741,1.597128,1.5997525,1.5983783,1.6028321
2011-02-23,1.594298,1.5939171,1.6003485,1.6020534,1.6047819,1.6032786,1.5953472
2011-02-24,1.590715,1.6020347,1.6026769,1.6193557,1.5930278,1.5966283,1.6104338
2011-02-25,1.6074593,1.6114969,1.6048737,1.6257476,1.6089795,1.6162097,1.6144278
2011-02-27,1.6111138,1.6013997,1.613827,1.6131382,1.6227598,1.6229482,1.6107228
2011-02-28,1.5956025,1.618062,1.6090045,1.6043937,1.6010958,1.6119077,1.600287
2011-03-01,1.5849985,1.6024872,1.606687,1.6076068,1.6140158,1.612857,1.6072283
2011-03-02,1.6087395,1.6105282,1.6127367,1.625951,1.6085607,1.6253307,1.6149493
2011-03-03,1.6043719,1.6096363,1.6079538,1.6023656,1.613973,1.6279148,1.6177061
2011-03-04,1.6163841,1.6209172,1.6051482,1.6126249,1.6170352,1.6161649,1.6197282
2011-03-06,1.6195959,1.6053784,1.6174695,1.6098661,1.614686,1.6170563,1.6187773
2011-03-07,1.6221719,1.6113652,1.6198252,1.6214536,1.6224056,1.6211615,1.62327
2011-03-08,1.6088527,1.6155431,1.6206574,1.6154718,1.6134795,1.6108928,1.614803
2011-03-09,1.6145244,1.620919,1.6122425,1.6075165,1.6101959,1.6221548,1.6091928
2011-03-10,1.6030738,1.5875118,1.6064123,1.6069834,1.6121807,1.6032463,1.6103282
2011-03-11,1.6164979,1.6161127,1.6165951,1.6141343,1.6156288,1.6163362,1.6140158
2011-03-13,1.6088501,1.608562,1.6113045,1.6139607,1.6098008,1.6107196,1.6125844
2011-03-14,1.6191754,1.6171464,1.6130636,1.6165714,1.6136248,1.6108291,1.6144419
2011-03-15,1.6121943,1.6137323,1.615628,1.6108409,1.6094788,1.6104441,1.6167753
2011-03-16,1.6193067,1.6186072,1.6201156,1.6178491,1.622855,1.6250556,1.6117435
2011-03-17,1.6168135,1.6155119,1.6174667,1.6122983,1.6122998,1.6144617,1.614769
2011-03-18,1.6145627,1.6170673,1.6193318,1.6166763,1.6163033,1.6113456,1.6175294
2011-03-20,1.6122634,1.6192234,1.6215786,1.613017,1.6144484,1.6170561,1.6109936
2011-03-21,1.618165,1.615849,1.6122661,1.6189775,1.6196803,1.6197221,1.6152537
2011-03-22,1.6108035,1.6116807,1.6122596,1.6146348,1.6093671,1.615025,1.6141983
2011-03-23,1.6145711,1.616996,1.6165142,1.6123788,1.6137503,1.6210194,1.6142237
2011-03-24,1.6159722,1.6146017,1.61199,1.6170951,1.6189939,1.6136564,1.6126323
2011-03-25,1.6120354,1.6212034,1.6133552,1.6168727,1.6140922,1.6223419,1.6145972
2011-03-27,1.6140021,1.6150293,1.6155174,1.6186018,1.6157427,1.6132288,1.613728
2011-03-28,1.6117864,1.6157815,1.6155685,1.6121243,1.6134187,1.612606,1.6192216
2011-03-29,1.6203074,1.6109235,1.6170205,1.6137716,1.6186564,1.619318,1.6090975
2011-03-30,1.6178908,1.6150317,1.6062881,1.6172992,1.6148608,1.617379,1.6139909
2011-03-31,1.6185158,1.613774,1.6172221,1.6125499,1.6159799,1.6171143,1.6165155
2011-04-01,1.6183925,1.6196451,1.6127654,1.6230109,1.6122311,1.6170679,1.6148922
2011-04-03,1.6193665,1.6169721,1.617897,1.610853,1.6182203,1.6166899,1.6146803
2011-04-04,1.6166154,1.610064,1.6118046,1.6051345,1.6110117,1.6196641,1.6154492
2011-04-05,1.61787,1.616214,1.6148797,1.6147574,1.6179194,1.6166809,1.6183195
2011-04-06,1.6121799,1.6166948,1.6147757,1.6154804,1.6152412,1.6140578,1.6187711
2011-04-07,1.6137911,1.6164912,1.612638,1.6167563,1.6177773,1.6179644,1.6158748
2011-04-08,1.6086137,1.6141411,1.6129104,1.6172467,1.6230743,1.6194504,1.6205957
2011-04-10,1.6030116,1.6270635,1.6131312,1.6210601,1.615872,1.608988,1.6107565
2011-04-11,1.6185147,1.6177503,1.6216495,1.6232046,1.6160654,1.6170627,1.6233916
2011-04-12,1.6135181,1.6149869,1.6179184,1.6157944,1.6166781,1.6156158,1.6180134
2011-04-13,1.6184778,1.6156468,1.6194104,1.6159071,1.6157212,1.6150013,1.6201591
2011-04-14,1.6182454,1.6196457,1.6150361,1.6225514,1.6169506,1.6175685,1.6146351
2011-04-15,1.6133988,1.6150874,1.6105638,1.6116393,1.611368,1.6144524,1.6315582
2011-04-17,1.615629,1.614167,1.6170971,1.6153805,1.6102674,1.6184729,1.62197
2011-04-18,1.61933,1.6187232,1.623222,1.6210847,1.6195196,1.6234249,1.6189532
2011-04-19,1.6098309,1.6137381,1.6129645,1.615885,1.6168871,1.6126525,1.619062
2011-04-20,1.611351,1.6088591,1.609114,1.6185448,1.6017748,1.612397,1.622251
2011-04-21,1.6134349,1.6055825,1.6274719,1.6206657,1.6271876,1.6118737,1.6180174
2011-04-24,1.6140924,1.6158203,1.6250725,1.6133828,1.6150953,1.62896,1.6249294
2011-04-25,1.6229079,1.6270645,1.6293324,1.6269455,1.6404952,1.6309186,1.6346158
2011-04-26,1.6264292,1.6267296,1.6317102,1.6289115,1.6369903,1.6268562,1.6350406
2011-04-27,1.611661,1.6318624,1.6294254,1.6289784,1.6286793,1.6329081,1.6242322
2011-04-28,1.6264777,1.6318252,1.6272764,1.628263,1.627446,1.6295649,1.6330695
2011-04-29,1.624831,1.6255931,1.628608,1.6332366,1.6255366,1.6298885,1.6335528
2011-05-01,1.6270071,1.6237487,1.6235847,1.6256775,1.631298,1.6295893,1.6338885
2011-05-02,1.6290399,1.6249486,1.6278719,1.6319499,1.6314448,1.6331972,1.6318744
2011-05-03,1.6323078,1.6260952,1.6280173,1.6293705,1.6325991,1.6300958,1.6351858
2011-05-04,1.626548,1.6280453,1.6329731,1.6310046,1.6339678,1.6327026,1.6294746
2011-05-05,1.6316646,1.6287644,1.6348202,1.6277905,1.633256,1.6342754,1.624982
2011-05-06,1.6348549,1.628698,1.6329566,1.6377504,1.6309026,1.6400182,1.6349974
2011-05-08,1.6353848,1.6323888,1.6298891,1.6320678,1.6374112,1.6335655,1.6357
2011-05-09,1.6348855,1.6347663,1.6345744,1.6378193,1.6402192,1.6373653,1.6342784
2011-05-10,1.6382425,1.6299356,1.6454182,1.632825,1.631968,1.6341128,1.6352934
2011-05-11,1.6325568,1.6269602,1.6311864,1.6394241,1.6342485,1.6373904,1.6390681
2011-05-12,1.6340944,1.6481447,1.6481067,1.6364704,1.6365805,1.6359292,1.6374017
2011-05-13,1.6295631,1.6396468,1.6414561,1.6364505,1.6275184,1.6382588,1.6403918
2011-05-15,1.6405503,1.6361111,1.642733,1.6404023,1.6393645,1.642087,1.6405754
2011-05-16,1.6452284,1.6365986,1.6293199,1.635601,1.6380461,1.6384488,1.641686
2011-05-17,1.642162,1.6324123,1.6431519,1.6314408,1.6334903,1.6296258,1.6456108
2011-05-18,1.6412547,1.63378,1.6344033,1.6435331,1.641234,1.6356848,1.6377572
2011-05-19,1.6336172,1.6375732,1.6429614,1.6386015,1.6465133,1.6329958,1.6300755
2011-05-20,1.6415503,1.6422106,1.6405263,1.6331514,1.6406015,1.6398258,1.6348324
2011-05-22,1.637355,1.633762,1.6371226,1.6359701,1.6338189,1.6349572,1.6336828
2011-05-23,1.6321689,1.6407692,1.6363461,1.6402787,1.6334211,1.6346307,1.6356028
2011-05-24,1.6416717,1.6386435,1.634862,1.6337509,1.6371056,1.636152,1.6399932
2011-05-25,1.6303899,1.6354098,1.6353029,1.6356633,1.6342434,1.6391027,1.6398019
2011-05-26,1.6358789,1.6346468,1.6368854,1.6357218,1.6386348,1.6391734,1.6376222
2011-05-27,1.6340193,1.6372373,1.6342394,1.632029,1.6335293,1.637881,1.6355116
2011-05-29,1.636805,1.6381581,1.6317295,1.6325464,1.6403209,1.631591,1.6378007
2011-05-30,1.6400441,1.6369076,1.6404532,1.6348872,1.6450512,1.6456,1.629437
2011-05-31,1.6385075,1.6386383,1.6362069,1.6318026,1.6356227,1.6424556,1.6383573
2011-06-01,1.6424294,1.6446078,1.6405668,1.6444526,1.6485145,1.6454488,1.6374614
2011-06-02,1.6365192,1.6346109,1.6275277,1.6490258,1.6405723,1.6472477,1.6454984
2011-06-03,1.6305083,1.6281447,1.6236691,1.6327431,1.6374319,1.6326082,1.6335349
2011-06-05,1.6459584,1.6469952,1.6428691,1.6386013,1.6432816,1.6343809,1.6387198
2011-06-06,1.6355368,1.6259158,1.6350619,1.6358232,1.642972,1.6393138,1.6349485
2011-06-07,1.6370386,1.6315962,1.6440984,1.6286509,1.641799,1.6273053,1.6124461
2011-06-08,1.6366799,1.6461661,1.6403897,1.6372534,1.6352048,1.6423922,1.6301574
2011-06-09,1.6329352,1.6428354,1.6369951,1.6336441,1.6205529,1.6301259,1.6327404
2011-06-10,1.6467164,1.6470397,1.6399986,1.6402694,1.6432564,1.6506845,1.6411428
2011-06-12,1.6381797,1.6309814,1.6222088,1.6369443,1.6370134,1.6405544,1.638051
2011-06-13,1.6466546,1.6349374,1.633466,1.6433432,1.6308486,1.6271144,1.6311582
2011-06-14,1.6364987,1.6307557,1.6251347,1.6314327,1.6257778,1.6271346,1.6315658
2011-06-15,1.639575,1.6343269,1.6355685,1.6299111,1.6289569,1.6308415,1.6299095
2011-06-16,1.6334538,1.6353602,1.6242654,1.6307881,1.6306183,1.6276548,1.6276233
2011-06-17,1.6292255,1.6335204,1.6303447,1.6347562,1.6274517,1.6273899,1.6284684
2011-06-19,1.6313479,1.6340079,1.6338379,1.6273326,1.6257048,1.6366469,1.6301554
2011-06-20,1.6382773,1.632186,1.6295508,1.6269437,1.6236582,1.6243452,1.6227293
2011-06-21,1.6322688,1.6297191,1.628746,1.6256769,1.6259954,1.6251364,1.6243949
2011-06-22,1.627775,1.6271889,1.6232979,1.6232,1.6284266,1.6178708,1.6267567
