,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR,GRXEUR
,0,1,2,3,4,5,6
2011-01-16,11.599617,10.789612,9.759506,12.692818,12.681358,12.979332,13.110008
2011-01-17,23.050217,20.653046,20.03437,25.334923,25.375603,26.036812,26.152176
2011-01-18,33.68637,31.468185,30.591782,38.042046,38.13208,39.135452,38.18363
2011-01-19,45.302406,42.55011,41.30391,50.81054,50.947334,51.216476,51.23269
2011-01-20,57.166183,53.77413,52.16832,63.636925,62.780502,64.32143,64.47584
2011-01-21,69.14162,65.13206,63.1811,75.47999,75.6346,77.61166,77.74937
2011-01-23,81.21511,76.614746,73.41926,88.344345,88.684006,90.92918,91.05086
2011-01-24,93.38328,87.28187,84.62769,101.403145,101.77502,104.27166,104.37962
2011-01-25,104.648384,98.92672,96.09181,114.50351,114.90542,117.638275,116.64934
2011-01-26,116.91948,110.822174,107.68784,127.64237,128.07236,129.9433,129.94833
2011-01-27,129.41049,122.82368,119.399704,140.81674,140.21277,143.2764,143.41719
2011-01-28,141.98615,134.9222,131.22116,152.96414,153.37978,156.77722,156.90256
2011-01-30,154.6319,147.11777,142.1843,166.1383,166.72697,170.292,170.40085
2011-01-31,167.34302,158.40573,154.14145,179.49147,180.0976,183.81863,183.91345
2011-02-01,179.08418,170.69899,166.33362,192.86804,193.48996,197.35858,197.43845
2011-02-02,191.84207,183.21252,178.62283,206.26636,206.90294,210.92087,212.06104
2011-02-03,204.80338,195.80942,190.99522,219.68463,220.33513,225.56766,226.75647
2011-02-04,217.81158,208.4736,203.4471,233.12135,234.86438,240.28526,241.37726
2011-02-06,230.86432,221.20166,215.97794,247.65538,249.4744,254.92593,255.92102
2011-02-07,243.95854,233.98965,229.59547,262.27002,264.00656,269.49182,270.39685
2011-02-08,257.09152,247.87212,243.35127,276.80737,278.4734,283.98456,284.8152
2011-02-09,271.32138,261.87946,257.10724,291.278,292.88364,298.41833,300.21738
2011-02-10,285.6532,275.86523,270.857,305.69177,307.24176,313.83472,315.6161
2011-02-11,299.93912,289.83105,284.60287,320.0529,322.58456,329.24738,330.8749
2011-02-13,314.18277,303.77826,298.34854,335.39856,337.92975,344.51996,345.99976
2011-02-14,328.3742,317.7091,313.0869,350.74664,353.13516,359.65607,361.01285
2011-02-15,342.52988,332.6303,327.8763,365.9551,368.21613,374.6792,374.91473
2011-02-16,357.68433,347.5907,342.58255,381.03857,383.18936,388.5905,389.66562
2011-02-17,372.84827,362.44275,357.21317,396.01376,397.05762,403.35278,404.46655
2011-02-18,387.8957,377.20404,371.7679,409.88287,411.77545,418.16168,419.1836
2011-02-20,402.83807,391.88498,385.28027,424.60242,426.54596,432.88583,433.82416
2011-02-21,417.67166,405.5021,399.64902,439.37436,441.235,447.53275,448.38962
2011-02-22,431.42993,419.9821,414.09686,454.06506,455.85004,462.10562,461.91013
2011-02-23,446.04083,434.52884,428.48932,468.6812,470.3875,475.6296,476.28577
2011-02-24,460.71442,449.00668,442.8314,483.22052,483.88745,490.01172,490.7405
2011-02-25,475.31458,463.427,457.12692,496.72122,498.2432,504.4711,505.13937
2011-02-27,489.83618,477.7946,470.4098,511.07843,512.67957,518.87415,519.48706
2011-02-28,504.29492,491.1497,484.56036,525.51575,527.06177,533.2259,533.7879
2011-03-01,517.7311,505.36285,498.80923,539.8986,541.3941,547.5302,547.07587
2011-03-02,532.02386,519.66864,513.00665,554.2322,555.68054,560.8225,561.232
2011-03-03,546.40173,533.9309,527.1668,568.51904,568.95575,574.98157,575.48486
2011-03-04,560.7301,548.1454,541.2936,581.7947,583.09955,589.2377,589.68787
2011-03-06,575.0132,562.317,554.4403,595.9391,597.3404,603.4444,603.8517
2011-03-07,589.25366,575.5036,568.4485,610.1808,611.53,617.6106,617.98193
2011-03-08,602.4883,589.5507,582.56055,624.37103,625.6843,631.7433,631.13153
2011-03-09,616.59094,603.6979,596.64294,638.5259,639.80597,644.8947,645.14197
2011-03-10,630.78314,617.8133,610.6983,652.64795,652.9482,658.9083,659.2564
2011-03-11,644.9394,631.89905,624.72876,665.7904,666.95197,673.02484,673.3415
2011-03-13,659.06305,645.9579,637.79193,679.7951,681.0595,687.1106,687.4
2011-03-14,673.1565,659.0443,651.7169,693.90247,695.1385,701.1702,701.4339
2011-03-15,686.2744,672.9922,665.75165,707.9816,709.19116,715.205,714.4965
2011-03-16,700.2558,687.0492,679.7629,722.0353,723.217,728.26935,728.4228
2011-03-17,714.3397,701.0827,693.7535,736.0614,736.27765,742.1959,742.4599
2011-03-18,728.39795,715.0907,707.7236,749.12195,750.20087,756.234,756.4736
2011-03-20,742.43207,729.078,720.73126,763.0453,764.23413,770.24854,770.4653
2011-03-21,756.4409,742.1009,734.59937,777.0789,778.2422,784.2412,784.43616
2011-03-22,769.4834,755.9866,748.5851,791.0874,792.22955,798.2129,797.4452
2011-03-23,783.3893,769.9867,762.5515,805.0748,806.1973,811.2228,811.3137
2011-03-24,797.40735,783.96594,776.50085,819.04297,819.204,825.0951,825.3005
2011-03-25,811.4033,797.92596,790.4308,832.0495,833.07056,839.0826,839.268
2011-03-27,825.37854,811.86865,803.39954,845.9164,847.0545,853.051,853.218
2011-03-28,839.3346,824.8447,817.2389,859.9009,861.01953,867.00104,867.1483
2011-03-29,852.32825,838.6903,831.19336,873.86597,874.9671,880.9321,880.1173
2011-03-30,866.18994,852.6546,845.1304,887.8135,888.89685,893.90137,893.9572
2011-03-31,880.16504,866.6012,859.0521,901.7435,901.86444,907.74146,907.9126
2011-04-01,894.1211,880.5311,872.9615,914.7112,915.702,921.697,921.85034
2011-04-03,908.0597,894.4426,885.9081,928.54956,929.6551,935.63544,935.7728
2011-04-04,921.98285,907.39325,899.7252,942.5028,943.591,949.5586,949.68286
2011-04-05,934.9416,921.21497,913.6594,956.43866,957.5114,963.4684,962.6295
2011-04-06,948.7681,935.1562,927.57855,970.35956,971.41956,976.4155,976.44763
2011-04-07,962.7174,949.0823,941.48486,984.2675,984.36426,990.23376,990.3822
2011-04-08,976.64734,962.99194,955.36865,997.2129,998.1801,1004.16907,1004.3019
2011-04-10,990.5617,976.884,968.29846,1011.02893,1012.11334,1018.0888,1018.20886
2011-04-11,1004.46313,989.8174,982.09937,1024.962,1026.0315,1031.9961,1032.093
2011-04-12,1017.40265,1003.6209,996.02264,1038.8802,1039.937,1045.8807,1045.0228
2011-04-13,1031.2128,1017.5491,1009.9326,1052.786,1053.8203,1058.8105,1058.8237
2011-04-14,1045.1426,1031.4589,1023.8203,1066.6692,1066.7499,1072.6116,1072.7477
2011-04-15,1059.0564,1045.3541,1037.6879,1079.5988,1080.5505,1086.5358,1086.6575
2011-04-17,1072.9574,1059.2267,1050.6099,1093.3995,1094.4731,1100.4456,1100.5455
2011-04-18,1086.8376,1072.1522,1064.4034,1107.3219,1108.3832,1114.3342,1113.4773
2011-04-19,1099.7655,1085.9484,1078.316,1121.2319,1122.27,1127.2661,1125.3822
2011-04-20,1113.5653,1099.8641,1092.2162,1135.1188,1135.2015,1139.171,1138.2277
2011-04-21,1127.485,1113.7672,1106.0958,1148.0504,1147.1062,1152.0167,1151.2563
2011-04-24,1141.3922,1127.649,1119.0232,1159.9551,1159.9515,1165.0458,1164.3281
2011-04-25,1155.2766,1140.5769,1130.9232,1172.8003,1172.9799,1178.1176,1177.4407
2011-04-26,1168.2063,1152.4784,1143.7631,1185.829,1186.0513,1191.2302,1189.6218
2011-04-27,1180.11,1165.3203,1156.7872,1198.9,1199.1635,1203.4116,1201.762
2011-04-28,1192.9534,1178.3455,1169.8542,1212.0123,1211.345,1215.5518,1214.986
2011-04-29,1205.9802,1191.4141,1182.962,1224.194,1223.4846,1228.7759,1228.3733
2011-05-01,1219.0505,1204.523,1195.141,1236.3334,1236.7083,1242.1632,1241.7811
2011-05-02,1232.161,1216.7025,1207.277,1249.557,1250.0952,1255.5713,1255.2085
2011-05-03,1244.3418,1228.8397,1220.4952,1262.9443,1263.503,1268.9983,1267.6661
