,HKXHKD,HKXHKD,HKXHKD,HKXHKD,HKXHKD,HKXHKD,HKXHKD
,0,1,2,3,4,5,6
2011-01-16,1061.6262,1061.7501,1061.948,1062.1444,1062.7264,1063.0718,1062.8608
2011-01-17,1119.7625,1119.89,1120.0776,1120.2793,1120.8898,1121.2366,1120.9971
2011-01-18,1165.3983,1165.528,1165.7109,1165.9148,1166.5378,1166.8851,1166.6333
2011-01-19,1204.6366,1204.767,1204.9474,1205.1527,1205.783,1206.1307,1205.8715
2011-01-20,1239.8555,1239.9862,1240.1654,1240.3713,1241.0067,1241.3546,1241.0905
2011-01-21,1272.2748,1272.4058,1272.5835,1272.7904,1273.4287,1273.7767,1273.5099
2011-01-23,1302.6163,1302.7474,1302.9244,1303.1318,1303.7726,1304.1207,1303.8513
2011-01-24,1331.3484,1331.4799,1331.656,1331.8641,1332.5065,1332.8549,1332.5834
2011-01-25,1358.7947,1358.9261,1359.1018,1359.3102,1359.9546,1360.3027,1360.0297
2011-01-26,1385.1903,1385.322,1385.497,1385.7056,1386.3517,1386.7001,1386.4253
2011-01-27,1410.7112,1410.843,1411.0175,1411.2263,1411.874,1412.2224,1411.946
2011-01-28,1435.4933,1435.6252,1435.7991,1436.0083,1436.6567,1437.0051,1436.7283
2011-01-30,1459.6437,1459.7758,1459.9492,1460.1584,1460.8079,1461.1562,1460.8787
2011-01-31,1483.2491,1483.3818,1483.5541,1483.7638,1484.4146,1484.763,1484.4841
2011-02-01,1506.3796,1506.5122,1506.6843,1506.8943,1507.5455,1507.8939,1507.6145
2011-02-02,1529.094,1529.2268,1529.3986,1529.6089,1530.2605,1530.6088,1531.5298
2011-02-03,1551.4417,1551.5745,1551.7458,1551.9565,1552.6086,1554.1416,1556.2512
2011-02-04,1573.4641,1573.5969,1573.7682,1573.9789,1575.801,1578.5131,1580.4998
2011-02-06,1595.1965,1595.3293,1595.5005,1596.8678,1599.8599,1602.4584,1604.1901
2011-02-07,1616.6705,1616.8035,1618.1185,1620.6471,1623.5326,1625.8851,1627.3949
2011-02-08,1637.9117,1639.1782,1641.6467,1644.0752,1646.7224,1648.8597,1651.242
2011-02-09,1660.0679,1662.4796,1664.8547,1667.051,1669.4889,1672.4962,1674.7223
2011-02-10,1683.1656,1685.4885,1687.6375,1689.6293,1692.9346,1695.7916,1697.7429
2011-02-11,1705.9944,1708.0961,1710.0448,1712.902,1716.062,1718.6511,1720.3611
2011-02-13,1728.4429,1730.3486,1733.16,1735.8767,1738.7742,1741.1266,1742.6238
2011-02-14,1750.5548,1753.32,1755.9958,1758.4545,1761.1193,1763.2625,1764.5706
2011-02-15,1773.396,1776.0293,1778.4504,1780.6809,1783.14,1785.0967,1786.2358
2011-02-16,1795.9889,1798.3724,1800.5681,1802.596,1804.8713,1806.661,1807.6493
2011-02-17,1818.229,1820.3909,1822.3859,1824.2327,1826.3436,1827.9844,1828.8363
2011-02-18,1840.1562,1842.1194,1843.9359,1845.6201,1847.5836,1849.09,1849.8193
2011-02-20,1861.8041,1863.5903,1865.2455,1866.7842,1868.615,1869.9998,1870.618
2011-02-21,1883.2014,1884.8284,1886.3394,1887.7463,1889.457,1890.7325,1891.2506
2011-02-22,1904.3741,1905.8584,1907.2383,1908.5266,1910.1289,1911.3048,1911.7317
2011-02-23,1925.3448,1926.7,1927.9615,1929.1418,1930.6456,1931.7312,1932.0754
2011-02-24,1946.132,1947.3706,1948.5255,1949.6074,1951.0217,1952.0255,1952.2938
2011-02-25,1966.7539,1967.8862,1968.9438,1969.937,1971.2698,1972.1984,1972.3983
2011-02-27,1987.2258,1988.2611,1989.2305,1990.1428,1991.4009,1992.2607,1992.3982
2011-02-28,2007.5607,2008.508,2009.397,2010.2354,2011.4254,2012.2227,2012.3024
2011-03-01,2027.7709,2028.6387,2029.4536,2030.2246,2031.3522,2032.0922,2032.1193
2011-03-02,2047.868,2048.6624,2049.41,2050.119,2051.1895,2051.8777,2051.8555
2011-03-03,2067.8613,2068.588,2069.2747,2069.9265,2070.9453,2071.5847,2071.5186
2011-03-04,2087.7593,2088.425,2089.055,2089.655,2090.6257,2091.2212,2091.1138
2011-03-06,2107.5706,2108.1804,2108.7578,2109.31,2110.2366,2110.7915,2110.647
2011-03-07,2127.302,2127.86,2128.3901,2128.8984,2129.7847,2130.3018,2130.1226
2011-03-08,2146.9604,2147.471,2147.9573,2148.425,2149.2742,2149.7573,2149.5461
2011-03-09,2166.5518,2167.019,2167.4644,2167.8953,2168.7097,2169.1606,2168.921
2011-03-10,2186.0806,2186.508,2186.9167,2187.313,2188.0964,2188.5178,2188.2507
2011-03-11,2205.5532,2205.9434,2206.318,2206.683,2207.4368,2207.8313,2207.5396
2011-03-13,2224.9727,2225.3296,2225.6729,2226.0085,2226.735,2227.1055,2226.7903
2011-03-14,2244.3447,2244.67,2244.9841,2245.2925,2245.995,2246.3418,2246.0056
2011-03-15,2263.6719,2263.9678,2264.255,2264.5396,2265.2185,2265.5447,2265.1885
2011-03-16,2282.9578,2283.2275,2283.4902,2283.751,2284.4097,2284.7153,2284.3413
2011-03-17,2302.2065,2302.4507,2302.6907,2302.9307,2303.57,2303.8577,2303.4668
2011-03-18,2321.4194,2321.641,2321.8599,2322.08,2322.701,2322.9727,2322.5667
2011-03-20,2340.6,2340.8013,2341.0005,2341.2026,2341.8066,2342.062,2341.6414
2011-03-21,2359.751,2359.9324,2360.1147,2360.3,2360.8882,2361.1296,2360.696
2011-03-22,2378.8745,2379.0374,2379.2024,2379.3726,2379.947,2380.1746,2379.7283
2011-03-23,2397.973,2398.119,2398.2683,2398.424,2398.986,2399.2014,2398.743
2011-03-24,2417.0464,2417.1775,2417.3125,2417.455,2418.0042,2418.2092,2417.7407
2011-03-25,2436.099,2436.216,2436.3389,2436.468,2437.0051,2437.1992,2436.7222
2011-03-27,2455.1306,2455.2344,2455.3447,2455.464,2455.9902,2456.174,2455.688
2011-03-28,2474.1445,2474.235,2474.334,2474.4438,2474.96,2475.1348,2474.6401
2011-03-29,2493.141,2493.2202,2493.3083,2493.4084,2493.915,2494.0825,2493.5784
2011-03-30,2512.1216,2512.1897,2512.268,2512.3586,2512.857,2513.0178,2512.5056
2011-03-31,2531.0867,2531.1448,2531.2144,2531.2957,2531.7876,2531.9397,2531.4226
2011-04-01,2550.0376,2550.087,2550.1497,2550.2214,2550.7083,2550.851,2550.3298
2011-04-03,2568.975,2569.0173,2569.0713,2569.1365,2569.6155,2569.7546,2569.2246
2011-04-04,2587.9014,2587.9375,2587.9817,2588.0442,2588.5137,2588.6477,2588.1135
2011-04-05,2606.8171,2606.8452,2606.8843,2606.9373,2607.4062,2607.5312,2606.9924
2011-04-06,2625.7246,2625.7432,2625.7776,2625.8247,2626.2852,2626.4102,2625.8652
2011-04-07,2644.6184,2644.6357,2644.6604,2644.7036,2645.1614,2645.277,2644.7297
2011-04-08,2663.5066,2663.5142,2663.5393,2663.5745,2664.0256,2664.1416,2663.5898
2011-04-10,2682.3855,2682.3904,2682.4055,2682.4392,2682.8896,2682.9963,2682.44
2011-04-11,2701.257,2701.2546,2701.27,2701.2976,2701.7395,2701.8467,2701.2903
2011-04-12,2720.1216,2720.1187,2720.124,2720.148,2720.59,2720.6948,2720.13
2011-04-13,2738.981,2738.9688,2738.9739,2738.998,2739.4326,2739.5308,2738.9656
2011-04-14,2757.831,2757.8188,2757.8213,2757.8362,2758.2683,2758.3665,2757.8013
2011-04-15,2776.6812,2776.6616,2776.6575,2776.6719,2777.1045,2777.2021,2776.6287
2011-04-17,2795.5195,2795.4976,2795.4932,2795.5078,2795.935,2796.0242,2795.4502
2011-04-18,2814.3555,2814.3333,2814.3286,2814.3335,2814.7566,2814.846,2813.4119
2011-04-19,2833.1914,2833.1643,2833.1501,2833.155,2833.5784,2832.806,2831.3127
2011-04-20,2852.0176,2851.9856,2851.9714,2851.9766,2851.5374,2850.7056,2849.271
2011-04-21,2870.8394,2870.8071,2870.793,2869.9348,2869.4355,2868.663,2867.2844
2011-04-24,2889.661,2889.6284,2888.7505,2887.832,2887.3923,2886.6755,2885.3494
2011-04-25,2908.4822,2907.5847,2906.6465,2905.7874,2905.404,2904.7395,2903.4622
2011-04-26,2926.4375,2925.48,2924.6013,2923.7983,2923.4666,2922.8513,2920.7415
2011-04-27,2944.332,2943.434,2942.6113,2941.86,2941.578,2940.13,2937.996
2011-04-28,2962.2852,2961.4434,2960.6726,2959.9707,2958.8555,2957.384,2955.3474
2011-04-29,2980.294,2979.504,2978.7822,2977.2478,2976.1094,2974.7346,2972.7898
2011-05-01,2998.3533,2997.6125,2996.0588,2994.5005,2993.4587,2992.1763,2990.3176
2011-05-02,3016.462,3014.889,3013.311,3011.8496,3010.9,3009.7034,3007.9268
2011-05-03,3033.7373,3032.1406,3030.6594,3029.29,3028.4268,3027.3118,3025.6116
2011-05-04,3050.9885,3049.4885,3048.099,3046.816,3046.035,3044.996,3043.368
2011-05-05,3068.336,3066.928,3065.625,3064.4233,3063.7185,3062.752,3061.1912
2011-05-06,3085.7747,3084.4531,3083.232,3082.1067,3081.4736,3080.5747,3079.078
2011-05-08,3103.2996,3102.0596,3100.9148,3099.8616,3099.2957,3098.4614,3097.024
2011-05-09,3120.9058,3119.742,3118.6692,3117.6833,3117.182,3116.4067,3115.025
2011-05-10,3138.588,3137.496,3136.4907,3135.5693,3135.127,3134.4075,3133.0784
2011-05-11,3156.3416,3155.3174,3154.376,3153.514,3153.1274,3152.461,3151.1804
2011-05-12,3174.1626,3173.2024,3172.32,3171.5137,3171.1802,3170.5623,3169.328
2011-05-13,3192.0469,3191.1465,3190.3196,3189.5664,3189.281,3188.7095,3187.5186
2011-05-15,3209.9907,3209.146,3208.3718,3207.6675,3207.4282,3206.8997,3205.7488
2011-05-16,3227.9897,3227.198,3226.4724,3225.814,3225.618,3225.1304,3224.0156
2011-05-17,3246.0417,3245.2986,3244.619,3244.004,3243.8477,3243.3967,3242.3186
2011-05-18,3264.141,3263.4453,3262.8076,3262.234,3262.114,3261.698,3260.6514
2011-05-19,3282.2878,3281.6328,3281.038,3280.4998,3280.414,3280.0325,3279.0164
2011-05-20,3300.4756,3299.8638,3299.3035,3298.7998,3298.7478,3298.3975,3297.409
2011-05-22,3318.7058,3318.129,3317.6033,3317.133,3317.1125,3316.7898,3315.8293
2011-05-23,3336.9714,3336.429,3335.9365,3335.498,3335.505,3335.2102,3334.276
2011-05-24,3355.2712,3354.7612,3354.3005,3353.89,3353.9253,3353.656,3352.7444
2011-05-25,3373.6038,3373.1257,3372.6926,3372.3103,3372.3713,3372.1248,3371.2314
2011-05-26,3391.9678,3391.5176,3391.1128,3390.7559,3390.8394,3390.612,3389.738
2011-05-27,3410.3596,3409.938,3409.5583,3409.2236,3409.3267,3409.1184,3408.2693
2011-05-29,3428.7795,3428.3833,3428.0264,3427.711,3427.8328,3427.6492,3426.81
2011-05-30,3447.2249,3446.851,3446.5127,3446.2175,3446.3638,3446.19,3445.3738
2011-05-31,3465.692,3465.3374,3465.0193,3464.7476,3464.904,3464.7537,3462.9958
