,JPXJPY,JPXJPY,JPXJPY,JPXJPY,JPXJPY,JPXJPY,JPXJPY
,0,1,2,3,4,5,6
2011-01-16,21.869234,22.025457,21.882645,20.515034,22.211351,21.527514,21.698732
2011-01-17,43.19988,43.35584,43.211094,41.832363,43.541477,42.85285,43.027428
2011-01-18,63.298084,63.454094,63.30895,61.928814,63.639904,62.950348,63.125317
2011-01-19,82.94635,83.10239,82.95711,81.57654,83.288246,82.598404,82.77348
2011-01-20,102.361115,102.517166,102.37182,100.99107,102.70305,102.01307,102.188194
2011-01-21,121.632996,121.789055,121.643684,120.26284,121.97495,121.28491,121.46007
2011-01-23,140.8086,140.96466,140.81927,139.43837,141.15057,140.46048,140.63565
2011-01-24,159.91505,160.0711,159.9257,158.54478,160.25702,159.56693,159.74208
2011-01-25,178.96954,179.12558,178.9802,177.59924,179.3115,178.62138,178.79657
2011-01-26,197.98363,198.1397,197.9943,196.61331,198.3256,197.63548,197.81067
2011-01-27,216.96553,217.12157,216.97617,215.59521,217.3075,216.61739,216.79257
2011-01-28,235.9212,236.07727,235.93184,234.55087,236.26318,235.57304,235.74825
2011-01-30,254.85521,255.01126,254.86586,253.48486,255.19719,254.50705,254.68225
2011-01-31,273.771,273.92703,273.7816,272.40063,274.11298,273.42282,273.59802
2011-02-01,292.6713,292.82733,292.68192,291.3009,293.01328,292.32312,292.49832
2011-02-02,311.5583,311.71436,311.56894,310.18793,311.90027,311.21014,311.38528
2011-02-03,330.4338,330.58984,330.44446,329.06345,330.77576,330.08566,330.26083
2011-02-04,349.29935,349.4554,349.30997,347.929,349.6413,348.95114,349.12637
2011-02-06,368.15607,368.31216,368.16675,366.78574,368.49805,367.80792,367.9831
2011-02-07,387.0051,387.16116,387.01575,385.63477,387.34708,386.65692,386.83212
2011-02-08,405.84726,406.00333,405.85794,404.47693,406.18924,405.4991,405.67432
2011-02-09,424.68332,424.83942,424.694,423.31305,425.02536,424.3352,424.5104
2011-02-10,443.51398,443.67007,443.52463,442.14365,443.856,443.16586,443.34106
2011-02-11,462.33975,462.49585,462.3504,460.9694,462.68176,461.9916,462.1668
2011-02-13,481.16113,481.31726,481.1718,479.79083,481.50314,480.81302,480.9882
2011-02-14,499.97855,500.13467,499.98923,498.60825,500.32056,499.63043,499.8056
2011-02-15,518.79236,518.9485,518.80304,517.42206,519.1344,518.4443,518.61945
2011-02-16,537.60297,537.7591,537.61365,536.2326,537.94495,537.2549,537.43005
2011-02-17,556.41077,556.56683,556.4214,555.0404,556.75275,556.0627,556.2378
2011-02-18,575.21576,575.3719,575.22644,573.8454,575.55774,574.8676,575.04285
2011-02-20,594.0182,594.1744,594.029,592.64795,594.3603,593.6701,593.84534
2011-02-21,612.8187,612.97485,612.8294,611.4484,613.16077,612.4706,612.64575
2011-02-22,631.617,631.77313,631.6277,630.2467,631.959,631.2689,631.4441
2011-02-23,650.41345,650.5696,650.4242,649.0432,650.7555,650.06537,650.2406
2011-02-24,669.2084,669.36444,669.219,667.838,669.55035,668.86017,669.03546
2011-02-25,688.0015,688.1576,688.01215,686.63116,688.34357,687.65344,687.82855
2011-02-27,706.7932,706.94934,706.8039,705.42285,707.13525,706.44507,706.6203
2011-02-28,725.5838,725.7399,725.5945,724.2135,725.92584,725.2357,725.4109
2011-03-01,744.3731,744.52924,744.3837,743.00275,744.71515,744.02496,744.20013
2011-03-02,763.16113,763.3172,763.1718,761.79083,763.5031,762.81305,762.98816
2011-03-03,781.9482,782.10425,781.95886,780.5778,782.29016,781.6001,781.77527
2011-03-04,800.7347,800.89087,800.74536,799.3644,801.0767,800.3866,800.56177
2011-03-06,819.52045,819.6766,819.5312,818.15015,819.8625,819.1724,819.3475
2011-03-07,838.3061,838.46216,838.3167,836.9357,838.6481,837.95795,838.133
2011-03-08,857.0908,857.247,857.10156,855.7205,857.43286,856.74274,856.9178
2011-03-09,875.87384,876.0301,875.8846,874.5036,876.2158,875.5257,875.7008
2011-03-10,894.6552,894.8114,894.66595,893.28485,894.9972,894.30707,894.48224
2011-03-11,913.4357,913.592,913.4465,912.0654,913.7777,913.08765,913.2627
2011-03-13,932.216,932.3722,932.2268,930.8457,932.558,931.8679,932.04297
