,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD,NSXUSD
,0,1,2,3,4,5,6
2011-01-16,331.6285,331.20374,331.5304,331.87408,331.8282,331.5766,331.43317
2011-01-17,374.0824,373.6288,373.9662,374.30786,374.20374,373.94604,373.8104
2011-01-18,407.4004,406.93292,407.27563,407.61755,407.48712,407.22614,407.09406
2011-01-19,436.04385,435.56927,435.91547,436.2569,436.11032,435.84772,435.71756
2011-01-20,461.75204,461.27292,461.62048,461.9615,461.80542,461.5418,461.41275
2011-01-21,485.41467,484.93265,485.28098,485.62183,485.45935,485.1942,485.06668
2011-01-23,507.56174,507.07663,507.42575,507.76627,507.59885,507.33246,507.20618
2011-01-24,528.533,528.0458,528.39594,528.736,528.5642,528.2973,528.17163
2011-01-25,548.5666,548.0783,548.429,548.76874,548.5923,548.3249,548.1997
2011-01-26,567.83264,567.34344,567.6946,568.03406,567.8543,567.5864,567.4619
2011-01-27,586.45917,585.96875,586.3204,586.65967,586.47766,586.2091,586.0855
2011-01-28,604.5472,604.0557,604.40784,604.7469,604.5625,604.2941,604.1703
2011-01-30,622.1731,621.6805,622.0331,622.3722,622.18567,621.91736,621.7936
2011-01-31,639.4012,638.90796,639.2607,639.5999,639.41235,639.14404,639.0202
2011-02-01,656.28296,655.78937,656.1421,656.4814,656.293,656.02405,656.6907
2011-02-02,672.8616,672.3671,672.7203,673.059,672.86975,673.378,674.05743
2011-02-03,689.1737,688.678,689.03186,689.3703,689.94305,690.4703,691.06067
2011-02-04,705.2462,704.75006,705.10425,706.2003,706.7905,707.2327,707.74677
2011-02-06,721.1067,720.6099,721.7148,722.83105,723.3387,723.7051,724.15076
2011-02-07,736.78174,737.0208,738.1496,739.19006,739.6231,739.9221,740.3063
2011-02-08,753.0204,753.2814,754.333,755.3024,755.6731,755.9145,756.2444
2011-02-09,769.1212,769.3116,770.2953,771.20074,771.5126,771.69995,771.98376
2011-02-10,785.0095,785.1317,786.0548,786.907,787.16956,787.3082,787.547
2011-02-11,800.70746,800.772,801.6386,802.4386,802.65173,802.74927,802.9503
2011-02-13,816.2303,816.23956,817.05945,817.8158,817.9887,818.04974,818.2141
2011-02-14,831.60126,831.564,832.3408,833.0531,833.186,833.2101,833.3431
2011-02-15,846.83215,846.7479,847.4835,848.16034,848.26074,848.2545,848.3603
2011-02-16,861.934,861.8119,862.51196,863.1577,863.2279,863.1937,863.2706
2011-02-17,876.92554,876.76953,877.4352,878.0473,878.0875,878.025,878.0787
2011-02-18,891.81067,891.6184,892.25323,892.8395,892.854,892.7689,892.8018
2011-02-20,906.59784,906.3772,906.9862,907.5481,907.54016,907.43445,907.4486
2011-02-21,921.3027,921.05615,921.64026,922.17993,922.1517,922.0269,922.0199
2011-02-22,935.9314,935.66187,936.22205,936.7373,936.68585,936.5399,936.51685
2011-02-23,950.4849,950.1884,950.72644,951.22327,951.1544,950.99207,950.95483
2011-02-24,964.9675,964.65155,965.1707,965.6502,965.5657,965.38947,965.3387
2011-02-25,979.392,979.05756,979.5595,980.02405,979.92596,979.7351,979.6722
2011-02-27,993.7631,993.4122,993.89966,994.3491,994.2366,994.03485,993.9595
2011-02-28,1008.0857,1007.7189,1008.192,1008.62915,1008.5038,1008.2912,1008.2051
2011-03-01,1022.36383,1021.9823,1022.44226,1022.8653,1022.72473,1022.4972,1022.3989
2011-03-02,1036.5973,1036.1984,1036.6423,1037.0508,1036.9014,1036.6628,1036.5576
2011-03-03,1050.7815,1050.3711,1050.8035,1051.202,1051.0424,1050.7961,1050.6805
2011-03-04,1064.9308,1064.5101,1064.9312,1065.3212,1065.152,1064.8972,1064.7758
2011-03-06,1079.049,1078.6158,1079.0297,1079.4095,1079.232,1078.9716,1078.8403
2011-03-07,1093.1351,1092.6943,1093.0983,1093.4703,1093.2872,1093.017,1092.8806
2011-03-08,1107.1953,1106.7461,1107.1406,1107.5067,1107.315,1107.0387,1106.8973
2011-03-09,1121.2305,1120.7714,1121.1597,1121.5198,1121.3201,1121.0383,1120.8917
2011-03-10,1135.2422,1134.7747,1135.1565,1135.5105,1135.3042,1135.0168,1134.8654
2011-03-11,1149.2314,1148.7568,1149.1326,1149.4806,1149.2689,1148.9766,1148.8196
2011-03-13,1163.2012,1162.7197,1163.0894,1163.4315,1163.2166,1162.9186,1162.7565
2011-03-14,1177.151,1176.6654,1177.0287,1177.3647,1177.1466,1176.8453,1176.6783
2011-03-15,1191.0835,1190.5955,1190.9528,1191.2827,1191.0587,1190.7552,1190.5874
2011-03-16,1205.0006,1204.5059,1204.8627,1205.1882,1204.9585,1204.6489,1204.4731
2011-03-17,1218.905,1218.4034,1218.7516,1219.0715,1218.8376,1218.52,1218.3394
2011-03-18,1232.7876,1232.28,1232.6201,1232.9337,1232.6942,1232.3762,1232.1953
2011-03-20,1246.6492,1246.1361,1246.476,1246.7898,1246.5457,1246.2222,1246.0363
2011-03-21,1260.5051,1259.9856,1260.3191,1260.6268,1260.3816,1260.0582,1259.8722
2011-03-22,1274.3412,1273.8217,1274.1549,1274.463,1274.213,1273.884,1273.6996
2011-03-23,1288.1771,1287.6511,1287.9783,1288.2803,1288.0288,1287.7058,1287.5222
2011-03-24,1301.9934,1301.467,1301.7942,1302.0963,1301.8447,1301.526,1301.3374
2011-03-25,1315.8092,1315.283,1315.6047,1315.9006,1315.6493,1315.3286,1315.1401
2011-03-27,1329.6127,1329.0798,1329.4005,1329.6967,1329.449,1329.1265,1328.9363
2011-03-28,1343.4084,1342.876,1343.1964,1343.4926,1343.2448,1342.9174,1342.7222
2011-03-29,1357.2045,1356.6704,1356.9849,1357.2749,1357.0214,1356.6932,1356.4979
2011-03-30,1370.9857,1370.4463,1370.7605,1371.0508,1370.7972,1370.469,1370.274
2011-03-31,1384.7616,1384.2224,1384.5365,1384.8265,1384.5731,1384.245,1384.0497
2011-04-01,1398.5374,1397.9983,1398.3123,1398.6023,1398.3436,1398.0098,1397.8098
2011-04-03,1412.3126,1411.7667,1412.0745,1412.3586,1412.0996,1411.7657,1411.5656
2011-04-04,1426.0687,1425.5227,1425.8303,1426.1144,1425.8555,1425.5214,1425.3214
2011-04-05,1439.8243,1439.2783,1439.5862,1439.8704,1439.6111,1439.2772,1439.0774
