,NZDCAD,NZDCAD,NZDCAD,NZDCAD,NZDCAD,NZDCAD,NZDCAD
,0,1,2,3,4,5,6
2011-01-16,0.7577389,0.7612855,0.7640914,0.7600053,0.7582036,0.7625073,0.75470394
2011-01-17,0.7642472,0.76448697,0.76321757,0.7665936,0.7639656,0.7672025,0.7663182
2011-01-18,0.74733806,0.74764764,0.7521719,0.74999976,0.75507134,0.748609,0.7488924
2011-01-19,0.75749993,0.758306,0.7529194,0.75698805,0.7561405,0.7565521,0.755132
2011-01-20,0.7576618,0.7593657,0.75442743,0.75541943,0.7515596,0.7597893,0.7599862
2011-01-21,0.7570211,0.7547213,0.75937486,0.7549204,0.75758916,0.757018,0.76034534
2011-01-23,0.7482947,0.7599198,0.75045377,0.7488253,0.7507429,0.7515927,0.75168186
2011-01-24,0.7564564,0.7630941,0.75880456,0.75730586,0.75890887,0.7576369,0.7617426
2011-01-25,0.7585093,0.7568846,0.75611687,0.75879145,0.7510663,0.7562162,0.7543761
2011-01-26,0.75697255,0.7596816,0.75586325,0.7552924,0.76120806,0.7570541,0.7601087
2011-01-27,0.75760925,0.7548967,0.75665134,0.7566899,0.7591101,0.7571062,0.75712734
2011-01-28,0.7527101,0.7525029,0.7546201,0.75498277,0.75485486,0.75628614,0.7561825
2011-01-30,0.7509239,0.7480168,0.75452334,0.7571723,0.7545738,0.74803954,0.74817324
2011-01-31,0.75909066,0.75733817,0.7628518,0.7613933,0.7628319,0.7637076,0.7669693
2011-02-01,0.7588631,0.7590988,0.75960183,0.7591046,0.7605231,0.7606467,0.7583921
2011-02-02,0.75787383,0.7622077,0.76097554,0.76203287,0.7650221,0.76409453,0.7630138
2011-02-03,0.7620076,0.76023006,0.7650734,0.76415026,0.76192397,0.7637818,0.76584274
2011-02-04,0.7596116,0.7603434,0.7629646,0.76186275,0.7606316,0.7618843,0.7613872
2011-02-06,0.7595897,0.7619219,0.76262295,0.7600336,0.75886965,0.7602857,0.7585257
2011-02-07,0.7573477,0.76018393,0.75710934,0.7604907,0.75771546,0.7581718,0.7585709
2011-02-08,0.7639396,0.76323617,0.76328695,0.7623074,0.76254565,0.7635121,0.76492286
2011-02-09,0.761942,0.7656861,0.76600957,0.7653418,0.7632521,0.763074,0.76503676
2011-02-10,0.76142985,0.762751,0.7599589,0.7648772,0.759982,0.7582732,0.7555111
2011-02-11,0.7649512,0.7604189,0.76247954,0.7638796,0.757033,0.7608373,0.76171947
2011-02-13,0.76047266,0.76048386,0.76188046,0.7601545,0.7567102,0.75764185,0.75457
2011-02-14,0.75936043,0.7609602,0.7595773,0.75881433,0.7598303,0.75770164,0.75758195
2011-02-15,0.76070917,0.7589378,0.75667876,0.75997984,0.7549362,0.7572228,0.75661945
2011-02-16,0.75770783,0.7563087,0.7575934,0.757888,0.7553901,0.7573809,0.7555105
2011-02-17,0.76364815,0.7639326,0.7624868,0.76351756,0.76035917,0.7611944,0.7636233
2011-02-18,0.759341,0.7600015,0.76080555,0.7596158,0.7567578,0.7600304,0.7544592
2011-02-20,0.7569302,0.75738525,0.75991535,0.76053625,0.758891,0.7624591,0.76087034
2011-02-21,0.76180696,0.763651,0.7590609,0.76190275,0.76330453,0.76232207,0.76386076
2011-02-22,0.76162946,0.76618505,0.7620435,0.7592325,0.76478106,0.7637942,0.7560402
2011-02-23,0.75753295,0.75519204,0.7557207,0.757126,0.75766975,0.74962556,0.7522865
2011-02-24,0.7568778,0.75850034,0.7568052,0.7592566,0.7553842,0.7511203,0.7533367
2011-02-25,0.75915927,0.75985277,0.7574878,0.7584989,0.75957996,0.7558969,0.75623
2011-02-27,0.76266664,0.7596042,0.75707793,0.7570539,0.75834167,0.75430346,0.75215405
2011-02-28,0.76114106,0.7576412,0.75694805,0.7531872,0.75211287,0.75645685,0.75629485
2011-03-01,0.7576624,0.7558311,0.75698864,0.75387514,0.7499983,0.7484045,0.7503332
2011-03-02,0.7566738,0.758109,0.7540678,0.7546165,0.75800496,0.7524876,0.75284564
2011-03-03,0.7565274,0.7540202,0.75496006,0.749751,0.7500936,0.75076795,0.7482417
2011-03-04,0.7524816,0.7514053,0.75325453,0.75013214,0.748959,0.7464376,0.74551547
2011-03-06,0.75326216,0.75287104,0.7495641,0.75230294,0.7493626,0.7469568,0.74976325
2011-03-07,0.75106895,0.7522001,0.75146264,0.75093174,0.7477533,0.7481084,0.7476148
2011-03-08,0.752619,0.7489166,0.74962175,0.7474811,0.7452932,0.74787384,0.74236417
2011-03-09,0.75102854,0.74814546,0.7488293,0.7459483,0.7453678,0.74508125,0.7423519
2011-03-10,0.7483016,0.745733,0.7469159,0.7415974,0.7430921,0.73804146,0.73879886
2011-03-11,0.7511153,0.7464687,0.7435602,0.7448296,0.742214,0.7378045,0.74274814
2011-03-13,0.7475029,0.74592125,0.74398565,0.7406931,0.74134505,0.73815227,0.7384723
2011-03-14,0.7462925,0.7471705,0.741509,0.744207,0.7377511,0.7396398,0.7359686
2011-03-15,0.746382,0.74364924,0.7406935,0.7379872,0.736282,0.7367182,0.7324644
2011-03-16,0.74216306,0.74319124,0.7364805,0.7341525,0.7340802,0.73279285,0.73143935
2011-03-17,0.74077404,0.7352909,0.7386861,0.7355275,0.73703754,0.7331457,0.7272548
2011-03-18,0.7363596,0.73262006,0.73872113,0.7357394,0.7341027,0.7277174,0.72784376
2011-03-20,0.7364987,0.7304223,0.7374246,0.731208,0.7273687,0.7296593,0.7291688
2011-03-21,0.737887,0.73807895,0.7351634,0.73088527,0.7300751,0.72983944,0.73076975
2011-03-22,0.7352993,0.7343446,0.72364783,0.751944,0.7431123,0.7303169,0.73529595
2011-03-23,0.73380125,0.72677463,0.7289063,0.7244646,0.72800815,0.7277696,0.72381365
2011-03-24,0.7274388,0.72859466,0.72759795,0.7264687,0.7264521,0.72700834,0.728943
2011-03-25,0.72937644,0.72658944,0.72576785,0.72706836,0.7282127,0.726688,0.72878116
2011-03-27,0.72705156,0.72600734,0.7249311,0.72579277,0.72634864,0.7267435,0.72713965
2011-03-28,0.7270479,0.728343,0.7277665,0.7262713,0.7258365,0.72642756,0.7267481
2011-03-29,0.72745943,0.72697496,0.72761774,0.7265594,0.7295257,0.72886574,0.726482
2011-03-30,0.7262436,0.7242644,0.72611415,0.7290064,0.7283991,0.72532564,0.72576827
2011-03-31,0.7274138,0.7256806,0.7275706,0.72635245,0.72771865,0.72689545,0.7274131
2011-04-01,0.7282673,0.7242713,0.72632766,0.72678053,0.72628284,0.72727954,0.72478753
2011-04-03,0.72750604,0.72818685,0.7285087,0.72820467,0.7277867,0.72632074,0.7270232
2011-04-04,0.72804713,0.73128796,0.7242149,0.72815657,0.72341275,0.7253808,0.72941875
2011-04-05,0.726799,0.7285408,0.7278714,0.72797143,0.7277111,0.7284387,0.72676814
2011-04-06,0.72700334,0.7282301,0.72678685,0.7246991,0.7288046,0.7271282,0.72654843
2011-04-07,0.7248585,0.72932005,0.7267517,0.7284987,0.7289428,0.7259411,0.72842014
2011-04-08,0.72538865,0.727923,0.72936004,0.7298819,0.7283366,0.72624755,0.7323212
2011-04-10,0.7276852,0.7267269,0.7279257,0.72938395,0.7288959,0.7286832,0.73389786
2011-04-11,0.7276598,0.72469896,0.72768396,0.72783804,0.727893,0.7314625,0.73349154
