,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF,NZDCHF
,0,1,2,3,4,5,6
2011-01-16,0.73146915,0.730322,0.7223762,0.73235106,0.7271427,0.7300734,0.7282599
2011-01-17,0.7289697,0.7298898,0.7250048,0.7272257,0.72591877,0.7245898,0.72790956
2011-01-18,0.7271131,0.72508544,0.7234582,0.72565997,0.7248758,0.7284893,0.7282802
2011-01-19,0.72539556,0.72931474,0.7194673,0.7290932,0.7244453,0.7243359,0.7252042
2011-01-20,0.72372246,0.7310222,0.72993565,0.73026603,0.72924334,0.7372619,0.7248875
2011-01-21,0.7192179,0.72915787,0.7275135,0.72332495,0.72460556,0.71868724,0.7259016
2011-01-23,0.7259114,0.72694016,0.72405684,0.72246915,0.7224278,0.725043,0.7280079
2011-01-24,0.72701776,0.72592336,0.7190274,0.720848,0.7258879,0.727161,0.7247814
2011-01-25,0.73017997,0.72581154,0.7202488,0.72891146,0.72328556,0.7301786,0.7337662
2011-01-26,0.7240387,0.7218431,0.72040397,0.7218084,0.7239535,0.7259453,0.7260262
2011-01-27,0.7273015,0.72046345,0.7228192,0.7257856,0.7234405,0.7225525,0.72385794
2011-01-28,0.732873,0.7184082,0.7263926,0.7300786,0.73139143,0.73336643,0.722609
2011-01-30,0.7272488,0.7291982,0.73059124,0.72645426,0.73035717,0.72854537,0.72703975
2011-01-31,0.73145926,0.72812283,0.73083836,0.73024726,0.7297665,0.7305413,0.7324753
2011-02-01,0.7279556,0.7368393,0.7286535,0.73677194,0.72747445,0.74175715,0.73658955
2011-02-02,0.7356838,0.7335456,0.73075557,0.7346906,0.7305908,0.72997993,0.7338364
2011-02-03,0.72313833,0.7229556,0.72484773,0.72633755,0.72787756,0.7241293,0.73037386
2011-02-04,0.7273793,0.72603595,0.7291207,0.7308512,0.72752595,0.7297098,0.7328141
2011-02-06,0.7252544,0.7246236,0.72902465,0.72964823,0.73089457,0.7284471,0.7311175
2011-02-07,0.7339284,0.72901744,0.731784,0.7302775,0.7300189,0.7330765,0.7331695
2011-02-08,0.7319552,0.73518485,0.73348385,0.7328652,0.73411536,0.734613,0.7338526
2011-02-09,0.7288015,0.72927153,0.7328098,0.72913814,0.7330303,0.7323041,0.73327947
2011-02-10,0.73204523,0.7306995,0.73631513,0.7315986,0.7337892,0.73571646,0.7327198
2011-02-11,0.7381077,0.73643386,0.73825777,0.73250115,0.73694956,0.7378243,0.7383356
2011-02-13,0.7289205,0.7319221,0.7272244,0.72954416,0.73412585,0.7263024,0.73250854
2011-02-14,0.73127985,0.7359707,0.7337495,0.73323005,0.7314899,0.73239607,0.73033106
2011-02-15,0.73242056,0.73026335,0.73129046,0.73124593,0.7329189,0.7292845,0.72733784
2011-02-16,0.7322494,0.7344361,0.73551655,0.73725307,0.7331257,0.7313899,0.7307165
2011-02-17,0.7341628,0.7316906,0.7319586,0.7274898,0.73035884,0.7277357,0.7295412
2011-02-18,0.7331731,0.732793,0.73202324,0.7264569,0.7323224,0.7306843,0.7347261
2011-02-20,0.7289578,0.72900087,0.72770524,0.7272059,0.7302185,0.7279037,0.7229817
