,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY,NZDJPY
,0,1,2,3,4,5,6
2011-01-16,22.081425,21.779514,21.030193,21.27204,22.077318,21.688765,22.326256
2011-01-17,43.847706,43.542126,42.788956,43.032436,43.844776,43.451744,44.098843
2011-01-18,63.5144,63.431393,62.971127,63.152622,63.53808,63.366535,63.60611
2011-01-19,62.915314,62.87187,62.862885,62.813026,62.8159,62.81489,62.952026
2011-01-20,62.89237,62.89478,62.793087,62.794346,62.793957,62.945477,62.94132
2011-01-21,62.895084,62.793438,62.79534,62.79607,62.93958,62.940887,62.956455
2011-01-23,62.791264,62.793846,62.79291,62.93689,62.941204,62.954784,62.9891
2011-01-24,62.80196,62.7925,62.94214,62.94352,62.956207,62.988308,63.009323
2011-01-25,62.79068,62.941166,62.940376,62.953598,62.98649,63.004765,63.01194
2011-01-26,62.931293,62.940838,62.958046,62.986145,63.003983,63.01271,63.020287
2011-01-27,62.94612,62.950943,62.992554,63.005817,63.014374,63.020283,63.06148
2011-01-28,62.955814,62.98892,63.001793,63.014492,63.022415,63.065994,63.07646
2011-01-30,62.98833,63.010414,63.011265,63.02546,63.06465,63.08173,63.07722
2011-01-31,62.998543,63.007263,63.028587,63.06965,63.073925,63.07523,63.093845
2011-02-01,63.01148,63.02148,63.064526,63.081882,63.08024,63.094437,63.13231
2011-02-02,63.019356,63.065655,63.081505,63.079094,63.09398,63.12916,63.160965
2011-02-03,63.059513,63.07852,63.082615,63.09841,63.12516,63.164875,63.176003
2011-02-04,63.082573,63.076237,63.09754,63.13528,63.168095,63.179874,63.202766
2011-02-06,63.076523,63.095894,63.11877,63.165302,63.16387,63.200787,63.21147
2011-02-07,63.09914,63.12872,63.156914,63.168915,63.202827,63.19253,63.207764
2011-02-08,63.120728,63.160583,63.16385,63.199833,63.201473,63.216354,63.216667
2011-02-09,63.165173,63.179634,63.18208,63.20546,63.214497,63.2154,63.218765
2011-02-10,63.165142,63.180183,63.221077,63.21569,63.210495,63.215164,63.20247
2011-02-11,63.198605,63.202763,63.214016,63.215004,63.217068,63.20376,63.210114
2011-02-13,63.208042,63.20974,63.216373,63.22119,63.20327,63.204285,63.199112
2011-02-14,63.22515,63.219025,63.211624,63.21,63.203323,63.204777,63.22971
2011-02-15,63.2046,63.213585,63.195415,63.19219,63.203377,63.23763,63.295208
2011-02-16,63.228397,63.19413,63.208706,63.21078,63.24204,63.29028,63.288883
2011-02-17,63.19699,63.20805,63.219555,63.229053,63.278347,63.28841,63.298668
2011-02-18,63.200603,63.21942,63.231575,63.292034,63.2929,63.281555,63.29912
