,NZDUSD,NZDUSD,NZDUSD,NZDUSD,NZDUSD,NZDUSD,NZDUSD
,0,1,2,3,4,5,6
2011-01-16,0.7536576,0.7581927,0.7538279,0.7556885,0.7592403,0.7579952,0.75872314
2011-01-17,0.7569072,0.7577846,0.7579808,0.7565693,0.75711244,0.7597265,0.7579148
2011-01-18,0.75725776,0.7582034,0.75673723,0.75777847,0.7599534,0.75686204,0.76051575
2011-01-19,0.7542692,0.7487027,0.75781,0.75305915,0.7524095,0.75424063,0.755749
2011-01-20,0.7597111,0.7596686,0.74737465,0.7617874,0.7630924,0.7543712,0.75449324
2011-01-21,0.7547139,0.75798845,0.7610265,0.7584038,0.7594512,0.7624888,0.75451744
2011-01-23,0.7515483,0.75512767,0.7502107,0.7495637,0.7499557,0.75682765,0.75504583
2011-01-24,0.74787563,0.7545569,0.7479361,0.7552543,0.74141693,0.75483376,0.7522476
2011-01-25,0.75190806,0.7582271,0.76130813,0.76070833,0.7642839,0.7652645,0.76657295
2011-01-26,0.7545335,0.76599485,0.766019,0.76496804,0.7613678,0.76412696,0.76353043
2011-01-27,0.76087743,0.75806487,0.7631087,0.7594506,0.7662251,0.765411,0.7648811
2011-01-28,0.7567061,0.7627646,0.76759815,0.76381356,0.7713461,0.7628539,0.7620893
2011-01-30,0.7638502,0.76729727,0.7716618,0.7662895,0.76724917,0.76776457,0.76898456
2011-01-31,0.76620656,0.7668024,0.76649356,0.77038497,0.7669822,0.77108896,0.77252984
2011-02-01,0.76229084,0.7591376,0.76156145,0.7607171,0.7660368,0.76484656,0.7655899
2011-02-02,0.7568039,0.7594213,0.76025957,0.75707966,0.7632416,0.7600054,0.7602521
2011-02-03,0.76522505,0.7604864,0.7640627,0.76540095,0.7654494,0.76663494,0.7667659
2011-02-04,0.7661791,0.7702283,0.7729238,0.77246517,0.76534843,0.769748,0.76534235
2011-02-06,0.77092683,0.7726218,0.77164716,0.7772415,0.7735032,0.7753021,0.778967
2011-02-07,0.76086444,0.7668029,0.76081663,0.76116645,0.7648957,0.7668522,0.7684716
2011-02-08,0.76364565,0.76190937,0.7677961,0.7706522,0.7669769,0.7643983,0.7751521
2011-02-09,0.7648565,0.76524305,0.766168,0.7661402,0.76789856,0.760927,0.76437885
2011-02-10,0.76792777,0.7666836,0.7700709,0.764724,0.76911366,0.76560926,0.77031773
2011-02-11,0.770401,0.7704075,0.7696627,0.7678328,0.7672097,0.7682318,0.76472014
2011-02-13,0.7673873,0.7685238,0.76790303,0.7670791,0.76726043,0.7676588,0.7667148
2011-02-14,0.7681155,0.7677146,0.76621956,0.76602143,0.7677856,0.76838785,0.76618564
2011-02-15,0.76772076,0.76640874,0.7665814,0.7656106,0.76427245,0.764542,0.7640952
2011-02-16,0.76883256,0.76720756,0.76774776,0.7681595,0.7686462,0.7671013,0.7670404
2011-02-17,0.7664187,0.76588684,0.7671887,0.76778543,0.76746666,0.7679872,0.7666844
