,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY,SGDJPY
,0,1,2,3,4,5,6
2011-01-16,21.954973,21.899712,22.116032,21.570345,21.521065,21.477633,21.310757
2011-01-17,43.153893,43.099613,43.31494,42.768032,42.71708,42.674168,42.50619
2011-01-18,63.183846,63.129715,63.34493,62.797783,62.746605,62.70379,62.535633
2011-01-19,63.879654,63.889065,63.91007,63.934635,63.977146,63.991127,64.00083
2011-01-20,63.914413,63.92,63.94836,63.960377,63.96035,63.96359,63.95984
2011-01-21,63.921673,63.948376,63.958355,63.96259,63.96208,63.961597,63.962593
2011-01-23,63.949833,63.962807,63.962753,63.960564,63.961533,63.964275,64.00496
2011-01-24,63.962807,63.96377,63.961033,63.961082,63.958782,64.00683,64.09426
2011-01-25,63.960594,63.959587,63.964874,63.96157,64.009766,64.09053,64.09184
2011-01-26,63.958717,63.958538,63.962475,64.00937,64.092964,64.09093,64.09132
2011-01-27,63.95715,63.96342,64.009476,64.09289,64.09758,64.09354,64.09369
2011-01-28,63.960247,64.01579,64.086586,64.09225,64.0901,64.09299,64.09307
2011-01-30,64.00944,64.08782,64.09498,64.091644,64.09248,64.092476,64.09311
2011-01-31,64.094055,64.09092,64.09316,64.0948,64.09441,64.09536,64.10092
2011-02-01,64.09205,64.093925,64.086876,64.09375,64.08878,64.10429,64.14824
2011-02-02,64.094284,64.09313,64.09872,64.08909,64.10956,64.14485,64.17513
2011-02-03,64.09195,64.09258,64.08493,64.10521,64.148125,64.17578,64.21588
2011-02-04,64.094444,64.09139,64.10727,64.14876,64.17937,64.213066,64.229385
2011-02-06,64.09186,64.10633,64.14549,64.17836,64.21864,64.22934,64.2396
2011-02-07,64.10358,64.15164,64.173775,64.21737,64.23069,64.23655,64.23391
2011-02-08,64.146545,64.17974,64.21241,64.2275,64.2356,64.25056,64.24595
2011-02-09,64.17514,64.20909,64.21203,64.238045,64.24058,64.24624,64.25363
2011-02-10,64.21997,64.22307,64.23247,64.23935,64.24879,64.25645,64.25804
2011-02-11,64.223434,64.23107,64.23942,64.25068,64.25513,64.2565,64.27727
2011-02-13,64.238594,64.2459,64.25194,64.25777,64.26005,64.26064,64.280655
2011-02-14,64.24397,64.25735,64.24991,64.26613,64.26528,64.27855,64.31523
2011-02-15,64.250465,64.24151,64.25703,64.25938,64.28837,64.30736,64.36569
2011-02-16,64.2665,64.26252,64.265526,64.29775,64.311195,64.358795,64.38875
2011-02-17,64.25197,64.27054,64.28857,64.308136,64.36854,64.387405,64.398346
2011-02-18,64.27634,64.28056,64.31166,64.34711,64.39087,64.39482,64.43506
2011-02-20,64.28013,64.31439,64.36945,64.395874,64.40357,64.440254,64.39696
2011-02-21,64.30672,64.360374,64.38366,64.404625,64.433754,64.40205,64.389145
2011-02-22,64.36723,64.38601,64.38983,64.43026,64.39903,64.3927,64.39865
2011-02-23,64.38717,64.39511,64.44344,64.39469,64.39424,64.39356,64.4007
2011-02-24,64.389626,64.44307,64.40431,64.40388,64.398865,64.40279,64.44519
2011-02-25,64.43987,64.39626,64.39062,64.3934,64.39408,64.44018,64.447845
2011-02-27,64.39501,64.401245,64.398895,64.394356,64.45822,64.43714,64.46787
2011-02-28,64.40328,64.39614,64.40504,64.46499,64.44853,64.47314,64.48465
2011-03-01,64.391174,64.401474,64.444016,64.441376,64.47353,64.48649,64.56482
2011-03-02,64.40084,64.45093,64.45646,64.47319,64.47927,64.55727,64.56394
2011-03-03,64.45369,64.445724,64.467834,64.479355,64.56468,64.57498,64.61562
2011-03-04,64.456566,64.48571,64.47992,64.56803,64.57937,64.61113,64.67953
2011-03-06,64.47382,64.48882,64.56806,64.5827,64.61413,64.672905,64.695595
2011-03-07,64.48269,64.571,64.58625,64.64213,64.6657,64.69171,64.71155
2011-03-08,64.53852,64.582504,64.62166,64.67283,64.70706,64.720406,64.71724
2011-03-09,64.56678,64.60923,64.684326,64.69857,64.725006,64.735916,64.72238
2011-03-10,64.61553,64.68637,64.74234,64.71985,64.71152,64.72188,64.72523
2011-03-11,64.664474,64.692406,64.69922,64.72117,64.7201,64.69614,64.73078
2011-03-13,64.68038,64.71534,64.709404,64.708954,64.71042,64.703255,64.72031
2011-03-14,64.71995,64.724,64.73257,64.72844,64.7294,64.73994,64.72279
2011-03-15,64.723404,64.71506,64.72155,64.72944,64.72121,64.75512,64.727715
2011-03-16,64.72633,64.724304,64.69677,64.713646,64.70799,64.735695,64.71824
2011-03-17,64.71147,64.71472,64.70856,64.71688,64.71407,64.70292,64.70437
2011-03-18,64.71657,64.72462,64.73505,64.71912,64.72278,64.7107,64.70815
2011-03-20,64.73768,64.71441,64.72244,64.720634,64.72837,64.71613,64.716156
2011-03-21,64.71947,64.724945,64.69416,64.72539,64.71313,64.738396,64.62291
2011-03-22,64.72357,64.714035,64.7076,64.728745,64.72497,64.63045,64.57864
2011-03-23,64.72713,64.72526,64.73771,64.73115,64.643616,64.55625,64.60547
2011-03-24,64.70907,64.71362,64.723335,64.63943,64.59991,64.573685,64.58777
2011-03-25,64.715225,64.72555,64.59515,64.564644,64.57881,64.558334,64.5526
2011-03-27,64.74072,64.587326,64.58456,64.586815,64.596436,64.60987,64.56573
2011-03-28,64.61582,64.59397,64.61568,64.56147,64.5589,64.59091,64.59815
2011-03-29,64.555725,64.53481,64.56544,64.563805,64.58533,64.60263,64.593735
2011-03-30,64.54729,64.56193,64.53981,64.58812,64.60109,64.57734,64.580666
2011-03-31,64.58786,64.56834,64.595116,64.5605,64.57902,64.56046,64.5886
2011-04-01,64.59673,64.53763,64.57212,64.56307,64.58276,64.58801,64.59525
2011-04-03,64.55385,64.59595,64.59571,64.589516,64.58941,64.56632,64.61239
2011-04-04,64.54447,64.57174,64.55501,64.55953,64.570045,64.57162,64.67307
2011-04-05,64.589775,64.59659,64.59714,64.56239,64.57933,64.728004,64.71963
2011-04-06,64.59965,64.55391,64.55899,64.591,64.76929,64.73896,64.77581
2011-04-07,64.55208,64.5981,64.57735,64.739586,64.69897,64.86016,64.94082
2011-04-08,64.541794,64.55816,64.68757,64.72161,64.75507,64.92476,64.958405
2011-04-10,64.591896,64.70963,64.76896,64.749245,64.894844,64.93921,65.05554
2011-04-11,64.68902,64.70177,64.77473,64.91685,64.984535,65.029945,65.13598
2011-04-12,64.76183,64.75926,64.92874,64.95112,65.06486,65.17189,65.151535
2011-04-13,64.77886,64.92967,64.96042,65.031975,65.14183,65.11506,65.19198
2011-04-14,64.947235,64.93875,65.076385,65.11823,65.113976,65.29162,65.23503
2011-04-15,64.960915,65.07519,65.14067,65.10879,65.16993,65.24081,65.729645
2011-04-17,65.0677,65.10583,65.139694,65.173256,65.26631,65.753204,65.81832
2011-04-18,65.1685,65.166176,65.20378,65.2368,65.73141,65.81027,66.26621
2011-04-19,65.16977,65.15234,65.234314,65.72386,65.85367,66.22626,66.222824
2011-04-20,65.18785,65.22655,65.76059,65.8458,66.267685,66.300705,66.27978
2011-04-21,65.26884,65.64912,65.83206,66.21051,66.28641,66.28249,66.29963
2011-04-24,65.745094,65.82877,66.24188,66.266884,66.27773,66.31002,66.46855
2011-04-25,65.84159,66.20886,66.260895,66.271454,66.32891,66.307785,66.3809
2011-04-26,66.2349,66.26611,66.32355,66.325134,66.34941,66.39705,66.44593
2011-04-27,66.28507,66.313866,66.307915,66.446625,66.39151,66.43668,66.44333
2011-04-28,66.26358,66.30309,66.303246,66.42058,66.40941,66.43648,66.378914
2011-04-29,66.33154,66.33123,66.39233,66.45308,66.37417,66.43827,66.402306
2011-05-01,66.32202,66.41051,66.427376,66.45016,66.445984,66.44823,66.45157
2011-05-02,66.3727,66.38882,66.44474,66.42638,66.400536,66.43225,66.46846
2011-05-03,66.37632,66.48777,66.417404,66.452446,66.4858,66.43625,66.49294
