,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD,SPXUSD
,0,1,2,3,4,5,6
2011-01-16,22.6062,22.275066,22.30945,22.031029,21.72808,22.488634,21.96455
2011-01-17,45.109653,44.763153,44.801907,44.523556,44.209095,44.98471,44.451015
2011-01-18,65.75049,65.4031,65.44202,65.162346,64.84614,65.62527,65.08973
2011-01-19,85.74454,85.39691,85.435844,85.155365,84.83818,85.61925,85.08273
2011-01-20,105.40839,105.06065,105.099625,104.81856,104.50071,105.28307,104.74593
2011-01-21,124.87183,124.52405,124.56302,124.28153,123.963165,124.746506,124.2089
2011-01-23,144.20087,143.85306,143.89204,143.6102,143.29144,144.07555,143.53758
2011-01-24,163.4337,163.08589,163.12486,162.84273,162.52365,163.30838,162.77013
2011-01-25,182.5944,182.2466,182.28557,182.00322,181.68385,182.4691,181.93059
2011-01-26,201.6992,201.35135,201.39034,201.10779,200.78818,201.57387,201.03517
2011-01-27,220.75943,220.41159,220.45056,220.16785,219.84804,220.63408,220.09521
2011-01-28,239.78345,239.4356,239.47455,239.19167,238.8717,239.6581,239.11903
2011-01-30,258.77747,258.42963,258.4686,258.18558,257.86545,258.65213,258.11295
2011-01-31,277.74637,277.3985,277.43747,277.15433,276.83408,277.62103,277.08167
2011-02-01,296.6939,296.34604,296.385,296.10175,295.7814,296.56854,296.91443
2011-02-02,315.62317,315.2753,315.31427,315.03094,314.71045,316.3847,316.74356
2011-02-03,334.5366,334.18875,334.22775,333.9443,334.5119,336.2034,336.45786
2011-02-04,353.43628,353.0884,353.12738,353.7333,354.32126,355.91177,356.07355
2011-02-06,372.3239,371.97604,372.90543,373.53467,374.02414,375.52466,375.6038
2011-02-07,391.20087,391.74435,392.69977,393.23294,393.6344,395.05444,395.05954
2011-02-08,410.96048,411.53235,412.39392,412.84106,413.16364,414.51138,414.44992
2011-02-09,430.74292,431.22287,432.00015,432.36993,432.6215,433.9041,433.78265
2011-02-10,450.4301,450.82727,451.5287,451.82874,452.01617,453.24,453.06427
2011-02-11,470.033,470.3555,470.98834,471.2253,471.35477,472.52527,472.30032
2011-02-13,489.5609,489.8159,490.38663,490.56644,490.64325,491.76535,491.4957
2011-02-14,509.0219,509.21567,509.73007,509.8579,509.8869,510.96494,510.65454
2011-02-15,528.4231,528.56116,529.0243,529.10486,529.0902,530.1281,529.78064
2011-02-16,547.77045,547.8578,548.27423,548.31165,548.25726,549.2585,548.87714
2011-02-17,567.0692,567.1104,567.48413,567.48224,567.3915,568.3593,567.94684
2011-02-18,586.32434,586.3232,586.65796,586.62006,586.49603,587.4331,586.9923
2011-02-20,605.53973,605.49994,605.7991,605.7281,605.5736,606.4826,606.0158
2011-02-21,624.7191,624.6439,624.91034,624.80914,624.62665,625.5099,625.0191
2011-02-22,643.86584,643.7582,643.99457,643.86566,643.65753,644.5171,644.0043
2011-02-23,662.9827,662.8453,663.05414,662.8997,662.66797,663.50574,662.9728
2011-02-24,682.0725,681.90765,682.0912,681.9133,681.6599,682.4776,681.926
2011-02-25,701.1375,700.94745,701.1076,700.9082,700.6348,701.4341,700.8654
2011-02-27,720.1797,719.9665,720.1052,719.8859,719.5941,720.37634,719.79193
2011-02-28,739.2012,738.96655,739.08563,738.848,738.53925,739.3058,738.70685
2011-03-01,758.2037,757.94934,758.0502,757.7956,757.47125,758.22345,757.61096
2011-03-02,777.1886,776.91614,777.0001,776.7301,776.3913,777.13,776.5052
2011-03-03,796.1574,795.8683,795.93677,795.65234,795.3002,796.0266,795.39044
2011-03-04,815.11176,814.8071,814.8614,814.5634,814.19885,814.91425,814.2671
2011-03-06,834.0522,833.73315,833.7742,833.4645,833.0883,833.7933,833.13617
2011-03-07,852.9801,852.6482,852.67706,852.3555,851.96924,852.6644,851.99835
2011-03-08,871.8971,871.5524,871.5701,871.23804,870.8423,871.52826,870.85406
2011-03-09,890.80273,890.4474,890.4542,890.1127,889.7078,890.3857,889.70386
2011-03-10,909.699,909.3332,909.3302,908.9798,908.5665,909.23645,908.54736
2011-03-11,928.5864,928.2105,928.1987,927.83997,927.4188,928.08167,927.3859
2011-03-13,947.46533,947.0804,947.06036,946.6939,946.2657,946.9221,946.2209
2011-03-14,966.3364,965.94336,965.9158,965.54236,965.10785,965.758,965.0498
2011-03-15,985.2005,984.8001,984.7655,984.3853,983.94385,984.5881,983.87585
2011-03-16,1004.0579,1003.6503,1003.60876,1003.2223,1002.77576,1003.4159,1002.6974
2011-03-17,1022.9088,1022.4945,1022.4472,1022.0557,1021.6044,1022.23773,1021.51636
2011-03-18,1041.7543,1041.3344,1041.2821,1040.8844,1040.4274,1041.0585,1040.3308
2011-03-20,1060.5952,1060.1699,1060.1108,1059.709,1059.2487,1059.8732,1059.1448
2011-03-21,1079.4312,1078.9995,1078.937,1078.5304,1078.0647,1078.6873,1077.9526
2011-03-22,1098.2616,1097.8268,1097.7584,1097.3481,1096.8788,1097.4971,1096.7598
