,UDXUSD,UDXUSD,UDXUSD,UDXUSD,UDXUSD,UDXUSD,UDXUSD
,0,1,2,3,4,5,6
2011-01-16,21.15515,20.699205,20.7582,20.902977,21.274738,20.982567,20.742327
2011-01-17,42.89749,42.40962,42.44822,42.647366,43.138634,42.6878,42.465714
2011-01-18,63.12646,62.63821,62.67684,62.87635,63.36809,62.916637,62.694157
2011-01-19,82.844444,82.35609,82.39473,82.59434,83.08623,82.6346,82.41199
2011-01-20,102.30547,101.81706,101.85571,102.055374,102.54731,102.095604,101.87295
2011-01-21,121.61128,121.12285,121.1615,121.36118,121.853134,121.40141,121.17872
2011-01-23,140.81323,140.32478,140.36343,140.56313,141.0551,140.60336,140.38063
2011-01-24,159.9409,159.45244,159.4911,159.69078,160.18277,159.731,159.5083
2011-01-25,179.01291,178.52443,178.56308,178.7628,179.25478,178.80302,178.5803
2011-01-26,198.04176,197.5533,197.59196,197.79167,198.28368,197.8319,197.60918
2011-01-27,217.03632,216.54785,216.58649,216.78621,217.27821,216.82643,216.6037
2011-01-28,236.00293,235.51445,235.55313,235.75284,236.24483,235.79305,235.57033
2011-01-30,254.94646,254.458,254.49664,254.69637,255.18837,254.73659,254.51385
2011-01-31,273.8706,273.3821,273.4208,273.6205,274.1125,273.66074,273.43802
2011-02-01,292.77835,292.28983,292.32852,292.5282,293.0202,292.56845,292.3457
2011-02-02,311.67194,311.18344,311.22214,311.42184,311.91382,311.46204,311.2393
2011-02-03,330.55334,330.06488,330.10358,330.30325,330.79526,330.34344,330.12073
2011-02-04,349.42416,348.9357,348.97437,349.17407,349.66608,349.2143,348.99155
2011-02-06,368.2857,367.79724,367.83588,368.03558,368.52762,368.0758,367.8531
2011-02-07,387.13904,386.65057,386.6892,386.88895,387.38095,386.92917,386.70642
2011-02-08,405.9851,405.49667,405.5353,405.73502,406.227,405.77524,405.55252
2011-02-09,424.82474,424.33624,424.37494,424.57465,425.06662,424.61487,424.39215
2011-02-10,443.65863,443.17017,443.20883,443.40854,443.9005,443.4488,443.226
2011-02-11,462.48737,461.9989,462.0376,462.23727,462.72922,462.27747,462.05475
2011-02-13,481.3114,480.82294,480.86157,481.06128,481.55328,481.1015,480.87878
2011-02-14,500.1313,499.64282,499.6815,499.8812,500.3732,499.9214,499.6987
2011-02-15,518.9474,518.4589,518.49756,518.6973,519.1893,518.73755,518.5148
