,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP,UKXGBP
,0,1,2,3,4,5,6
2011-01-16,42.111557,44.21202,40.870605,43.173134,44.200058,45.30107,45.898117
2011-01-17,73.30695,74.447556,73.29592,74.913734,76.51385,78.25334,79.111565
2011-01-18,98.711395,102.96719,101.65336,102.61127,104.56057,106.68235,105.68279
2011-01-19,123.76731,128.82639,127.16936,127.677376,129.86668,130.38077,131.61893
2011-01-20,147.17758,152.59952,150.69308,150.87338,151.49133,154.10167,155.67296
2011-01-21,169.13141,174.82935,172.73373,171.00789,173.5109,176.50925,178.11392
2011-01-23,189.95026,195.86572,192.02368,191.75064,194.58861,197.68481,199.31787
2011-01-24,209.86035,214.40369,212.01927,211.7977,214.70706,217.88243,219.53796
2011-01-25,227.53673,233.72571,231.45108,231.07535,234.0437,237.28424,237.45343
2011-01-26,246.07388,252.59364,250.21808,249.7114,252.73012,254.56708,256.2113
2011-01-27,264.2721,270.88416,268.42456,267.80792,269.4483,272.7404,274.59744
2011-01-28,281.99304,288.68634,286.15308,284.05737,287.09534,290.62402,292.4798
2011-01-30,299.3025,306.06662,302.10522,301.26334,304.5233,308.07587,309.93115
2011-01-31,316.25598,321.73654,319.02963,318.3012,321.57877,325.15198,327.00616
2011-02-01,331.57904,338.39008,335.81964,335.01718,338.3089,341.90024,342.429
2011-02-02,347.89902,354.94077,352.3161,351.44714,354.75305,357.05905,358.8452
2011-02-03,364.15268,371.22864,368.555,367.627,369.66022,373.22116,375.1857
2011-02-04,380.17685,387.28064,384.5663,382.3143,385.57864,389.32727,392.54047
2011-02-06,395.99063,403.1216,399.11377,398.01685,401.46878,406.46515,409.69754
2011-02-07,411.62573,417.53116,414.68176,413.7158,418.39923,423.42902,426.51645
2011-02-08,425.8579,432.96396,430.25452,430.45898,435.1793,440.07965,441.8437
2011-02-09,441.1169,448.41046,446.88028,447.07587,451.66724,455.27048,458.0657
2011-02-10,456.4126,464.91855,463.38922,463.42273,466.7221,471.35455,475.36633
2011-02-11,472.76462,481.32132,479.63922,478.358,482.6789,488.5286,492.46066
2011-02-13,489.03314,497.4758,494.4969,494.203,499.72638,505.51035,509.22485
2011-02-14,505.06946,512.2578,510.2625,511.14307,516.5999,522.1769,525.6987
2011-02-15,519.7462,527.94574,527.1306,527.91846,533.17065,538.56464,540.8394
2011-02-16,535.33954,544.7396,543.8423,544.40295,549.4759,553.63226,556.78986
2011-02-17,552.0375,561.3866,560.2683,560.6303,564.4708,569.5159,572.68274
2011-02-18,568.6007,577.758,576.4445,575.56165,580.28674,585.3446,588.3843
2011-02-20,584.8992,593.88293,591.3347,591.30994,596.0537,600.9923,603.911
2011-02-21,600.96027,608.73114,607.0432,607.0243,611.645,616.46655,619.28455
2011-02-22,615.755,624.4009,622.7225,622.56415,627.07196,631.7967,633.4954
2011-02-23,631.3735,640.0443,638.2275,637.9482,642.3592,645.9706,648.54767
2011-02-24,646.96735,655.51465,653.5831,653.1926,656.4957,660.9871,663.62683
2011-02-25,662.3968,670.8414,668.7991,667.29584,671.477,676.0333,678.59827
2011-02-27,677.68616,686.0284,682.8803,682.2447,686.49084,690.97424,693.4619
2011-02-28,692.83594,700.0868,697.8082,697.2291,701.39905,705.80743,708.23267
2011-03-01,706.86316,714.99286,712.7728,712.1067,716.20465,720.55304,721.9389
2011-03-02,721.7382,729.9381,727.6302,726.888,730.9261,734.2321,736.49634
2011-03-03,736.6548,744.7748,742.39514,741.5872,744.5826,748.7688,751.1217
2011-03-04,751.4675,759.52374,757.0794,755.22284,759.09845,763.37476,765.66943
2011-03-06,766.19507,774.1932,770.69867,769.71924,773.6837,777.9013,780.14856
