,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD
,0,1,2,3,4,5,6
2011-01-16,1.0027786,0.9992909,0.99568754,1.0058453,0.99918485,1.0023633,0.9971668
2011-01-17,1.0055193,1.0017923,1.0002065,1.0018418,1.0010864,1.000327,0.9994326
2011-01-18,1.0000848,1.0017731,1.0021142,1.0011748,0.9985882,0.99972737,0.9948614
2011-01-19,0.99951255,1.0004297,1.0035716,0.9986474,0.99601954,0.99623984,0.9905642
2011-01-20,1.0084664,0.997928,1.0007341,0.99772614,0.9931923,0.9935837,0.99276227
2011-01-21,0.99829286,0.998704,0.99374074,0.9982103,0.9967271,0.9910491,1.0000728
2011-01-23,1.0013926,1.0055921,1.003002,0.9970653,1.0053159,1.0001173,0.99632967
2011-01-24,1.010756,1.0123854,1.0043637,1.0012909,1.005744,1.0107955,0.99667734
2011-01-25,0.9966708,0.9964004,0.99096155,0.99610126,0.9940931,0.98770523,0.99254847
2011-01-26,1.0033839,1.0098549,0.9998037,0.99930453,0.9977252,1.003303,1.0226614
2011-01-27,0.9882663,0.9926146,0.9862445,0.9856601,0.9922772,0.98369825,1.0061772
2011-01-28,0.9922129,0.99545527,1.018136,1.0049353,0.9955372,0.99504113,0.9985481
2011-01-30,0.9944202,0.9892187,0.9886741,0.9967532,0.9912005,0.98470086,0.99475193
2011-01-31,1.0057179,0.994256,0.98673266,0.989709,0.9999472,0.99756795,0.99551475
2011-02-01,1.0032339,1.0000954,0.9962693,1.0040407,0.99025315,1.0118108,1.0077187
2011-02-02,0.9947388,0.9900306,1.0069399,0.99080604,0.9985489,1.0040549,1.0042367
2011-02-03,0.9973035,0.999646,1.0025811,0.99162865,0.9952202,0.9908528,0.98785025
2011-02-04,0.98485655,0.9866663,0.98912585,0.9928493,0.9832674,0.9840122,0.9808627
2011-02-06,0.99493784,0.9905024,0.9992491,0.9896245,0.99475765,0.98686326,0.9907956
2011-02-07,0.99594736,0.99240994,0.99321914,0.9943139,0.98579687,0.986896,0.99101543
2011-02-08,0.9954392,0.9956208,0.99534106,0.9962542,0.9929719,0.9915168,0.9932562
2011-02-09,1.0009449,0.9923477,1.0006732,0.9904041,0.9958046,0.98939,0.99106497
2011-02-10,0.99015826,0.9913731,1.0029204,1.0017097,0.989831,1.0008416,0.9945481
2011-02-11,0.99417317,0.99248564,0.9947274,0.9998738,0.99165547,0.9956691,0.99466807
2011-02-13,0.99140126,0.99026304,0.99010104,0.9905472,0.9945029,0.9926259,0.9945629
2011-02-14,0.9896595,0.98964924,1.0019364,0.9820721,0.9885193,0.99280626,0.99871385
2011-02-15,0.99695885,0.99095297,0.9925629,0.9924505,0.99319094,0.9907614,0.99154097
