,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF
,0,1,2,3,4,5,6
2011-01-16,5.5900865,5.7027645,5.8714,5.631959,5.622578,5.860588,5.657641
2011-01-17,3.8658013,4.038756,4.324095,3.9225912,3.9090712,4.301881,3.9639
2011-01-18,2.3637767,2.5741613,2.9353907,2.4297175,2.413651,2.9055617,2.4806926
2011-01-19,1.005795,1.2420534,1.6571947,1.0780175,1.0602008,1.6218688,1.1356591
2011-01-20,0.96307236,0.96282965,0.95114714,0.96382815,0.962679,0.95653504,0.96266854
2011-01-21,0.96380585,0.9636475,0.96191734,0.9620071,0.9619362,0.96155334,0.9609134
2011-01-23,0.96361816,0.96210796,0.9619062,0.96183765,0.9614297,0.9609457,0.96081483
2011-01-24,0.9621246,0.9619631,0.9617741,0.96147716,0.9609858,0.96068585,0.9601064
2011-01-25,0.9619288,0.9617787,0.961587,0.9609221,0.9607207,0.9601695,0.95991
2011-01-26,0.9617685,0.9615503,0.96111387,0.96072733,0.9601454,0.959875,0.95904654
2011-01-27,0.9615236,0.9610256,0.96086824,0.9602138,0.9599445,0.9594306,0.9588402
2011-01-28,0.9609025,0.9609031,0.96022445,0.9600404,0.95910203,0.9587739,0.9574859
2011-01-30,0.96076155,0.9601911,0.9601065,0.95923364,0.95881116,0.9572768,0.9575534
2011-01-31,0.96011424,0.9599474,0.959022,0.95876586,0.9575085,0.957491,0.9574834
2011-02-01,0.96008545,0.95907575,0.9588084,0.95727694,0.9573674,0.95778817,0.95442253
2011-02-02,0.9593226,0.95879686,0.95750886,0.95749485,0.95741904,0.95422506,0.95419765
2011-02-03,0.95868003,0.957635,0.95761704,0.95746005,0.95435274,0.9542745,0.9541472
2011-02-04,0.95749104,0.9575828,0.9575214,0.9541383,0.9541943,0.9544102,0.95623475
2011-02-06,0.9576884,0.9574003,0.9543415,0.95419556,0.954209,0.95618844,0.95745105
2011-02-07,0.9575492,0.95418173,0.9543381,0.9542881,0.95637816,0.9574682,0.9582919
2011-02-08,0.9541134,0.9543583,0.9542994,0.9562047,0.95755774,0.9583263,0.9587641
2011-02-09,0.95427036,0.9543422,0.95625085,0.95735145,0.9581639,0.95877033,0.9598805
2011-02-10,0.9539979,0.95621014,0.95760804,0.9583143,0.9587832,0.960228,0.96092486
2011-02-11,0.9562661,0.95749635,0.95828176,0.9586936,0.96023256,0.96071655,0.9610171
2011-02-13,0.95782137,0.9580231,0.9586521,0.96016234,0.9606997,0.96092016,0.9609877
2011-02-14,0.95819455,0.9587332,0.96013904,0.9603096,0.96111363,0.9609724,0.9606167
2011-02-15,0.9586571,0.9597005,0.960711,0.9611134,0.96114385,0.9606745,0.9588261
2011-02-16,0.95992976,0.9608258,0.9608579,0.9608793,0.96074593,0.95864815,0.95809746
2011-02-17,0.96076727,0.96102184,0.9610427,0.9602452,0.9586963,0.9585412,0.95718724
2011-02-18,0.9610038,0.96096534,0.96053433,0.95888525,0.9579951,0.9575035,0.95617455
2011-02-20,0.96088135,0.96080536,0.95885825,0.95843834,0.9576564,0.9565326,0.95440644
2011-02-21,0.9605849,0.95889854,0.95825464,0.95731187,0.9564878,0.9542984,0.95369387
2011-02-22,0.9589019,0.9582088,0.9573921,0.9561992,0.95471555,0.95349264,0.953042
2011-02-23,0.9581769,0.95738894,0.956158,0.95490104,0.95282155,0.9532149,0.9519262
2011-02-24,0.9577193,0.95626444,0.954509,0.95367557,0.95333785,0.9519141,0.94955134
2011-02-25,0.9561151,0.9543214,0.95361614,0.95291346,0.9517744,0.94949186,0.9470896
2011-02-27,0.95430714,0.9530476,0.95231646,0.9515504,0.9497134,0.9472437,0.94535154
2011-02-28,0.9527357,0.9527029,0.9520547,0.949567,0.9474766,0.94513303,0.9449578
2011-03-01,0.95214343,0.9518355,0.94974387,0.947534,0.9469871,0.9447579,0.9451168
2011-03-02,0.95119494,0.94961107,0.9473304,0.9453581,0.94484943,0.9452957,0.94467604
2011-03-03,0.9496747,0.9474997,0.94528854,0.94438165,0.9453083,0.94418675,0.94408876
2011-03-04,0.94702166,0.94518924,0.944758,0.94501257,0.9445652,0.9436604,0.9434025
2011-03-06,0.9450187,0.94512784,0.9443002,0.94419944,0.94374067,0.94337195,0.9416477
2011-03-07,0.9458022,0.9443582,0.94505847,0.94335586,0.9436449,0.94232893,0.9415891
2011-03-08,0.9441249,0.9445186,0.9439113,0.9434072,0.9417785,0.94130623,0.9406161
2011-03-09,0.94418854,0.9438724,0.9437059,0.9421641,0.94140744,0.94051087,0.93912154
2011-03-10,0.9435763,0.9433491,0.94244933,0.9413032,0.94069743,0.9383963,0.93727154
2011-03-11,0.94302016,0.94180745,0.9415937,0.9398704,0.9385248,0.93774855,0.93374145
2011-03-13,0.9424772,0.9413968,0.9405949,0.93885297,0.9382569,0.9334035,0.93338174
2011-03-14,0.9418576,0.93990874,0.93881273,0.93888485,0.93413806,0.9337223,0.93233234
2011-03-15,0.9404366,0.9388913,0.9380805,0.93407905,0.9333892,0.9323204,0.9315042
2011-03-16,0.93854326,0.938433,0.934306,0.9328334,0.93204665,0.93110245,0.9301239
2011-03-17,0.9377886,0.9351526,0.9335892,0.9320609,0.931115,0.92956007,0.9300881
2011-03-18,0.9343003,0.93354565,0.93221503,0.9305301,0.93012434,0.92919993,0.9296211
2011-03-20,0.93319154,0.93213814,0.93154997,0.92972684,0.9298679,0.9290208,0.9289959
2011-03-21,0.9327171,0.9313135,0.93079466,0.9289895,0.92918456,0.92843837,0.92846924
2011-03-22,0.930766,0.93076795,0.92966557,0.9294854,0.92840946,0.9282225,0.92838633
2011-03-23,0.9306023,0.9294829,0.9289675,0.92855555,0.928054,0.9284954,0.92805314
2011-03-24,0.92970556,0.92862487,0.92894316,0.9283482,0.92779016,0.9273251,0.92699397
2011-03-25,0.9295867,0.9282366,0.9281105,0.92776364,0.9278697,0.92684305,0.9269871
2011-03-27,0.9295304,0.928603,0.928071,0.92797464,0.9276717,0.92634153,0.92564845
2011-03-28,0.9281223,0.9279297,0.92775863,0.92708355,0.9266764,0.92618006,0.9263772
2011-03-29,0.92788774,0.9275618,0.9278093,0.92580765,0.9261811,0.9261795,0.9256992
2011-03-30,0.9286032,0.9275138,0.92564726,0.9285824,0.92503804,0.9253858,0.92543435
2011-03-31,0.92700124,0.9268025,0.92594033,0.9249017,0.9255575,0.92450607,0.92365205
2011-04-01,0.92654294,0.9249992,0.9254514,0.925321,0.92461544,0.92475086,0.9236231
2011-04-03,0.92701614,0.9235267,0.92668366,0.9252602,0.92493623,0.92419016,0.9250891
2011-04-04,0.92535764,0.9248007,0.9250077,0.92464656,0.9243106,0.924124,0.922957
2011-04-05,0.925071,0.9246067,0.9241622,0.92386925,0.9239801,0.9237766,0.9213806
2011-04-06,0.9239356,0.9241677,0.92355,0.9224074,0.9236547,0.92087835,0.9207905
2011-04-07,0.9241505,0.9240819,0.9241081,0.9226645,0.92093956,0.91986567,0.92038435
2011-04-08,0.92441726,0.92349046,0.9227995,0.9221499,0.92102325,0.9194662,0.91991645
2011-04-10,0.9232084,0.92242074,0.9209636,0.92017245,0.9194877,0.9192833,0.9184951
2011-04-11,0.92211944,0.9211834,0.92064303,0.92014396,0.9191655,0.9186186,0.9180635
2011-04-12,0.92085737,0.9200168,0.91951704,0.9191559,0.91913056,0.91793305,0.9164971
2011-04-13,0.9203792,0.9192123,0.91895497,0.9183749,0.9183394,0.9160018,0.9173242
2011-04-14,0.91984797,0.9191715,0.91915333,0.9171369,0.9179112,0.91638416,0.9138348
2011-04-15,0.9182811,0.91826326,0.9181962,0.91669977,0.9153489,0.9139109,0.9116744
2011-04-17,0.9177936,0.9167303,0.91845274,0.9163405,0.91320896,0.91019017,0.9086465
2011-04-18,0.9177508,0.9163361,0.9154521,0.9150802,0.9115961,0.91074497,0.908151
2011-04-19,0.9170805,0.915856,0.9136729,0.91162914,0.9108421,0.9069256,0.90786666
2011-04-20,0.9152067,0.91434973,0.9114704,0.91039395,0.90934473,0.9080135,0.9064477
2011-04-21,0.9150108,0.91134083,0.91115284,0.90803164,0.9068719,0.9066918,0.9041077
2011-04-24,0.9118956,0.9100948,0.90862113,0.9090327,0.9074179,0.90387416,0.90494996
2011-04-25,0.9110386,0.9095205,0.90706134,0.9071892,0.90466285,0.90521514,0.90342927
2011-04-26,0.90855014,0.9071479,0.9080022,0.9049649,0.90497714,0.9029541,0.90432924
2011-04-27,0.9088553,0.9075254,0.9058067,0.90506595,0.90227926,0.904593,0.9036088
2011-04-28,0.90649056,0.9048594,0.9052037,0.904847,0.904329,0.9043648,0.9043973
2011-04-29,0.9045746,0.90428776,0.9023966,0.9038522,0.9019511,0.90194917,0.8980391
2011-05-01,0.9051188,0.90327346,0.90436137,0.9033109,0.9034731,0.89770895,0.8976221
2011-05-02,0.9022732,0.9046085,0.90468913,0.90240514,0.8996286,0.8981054,0.8958089
2011-05-03,0.9028323,0.9038617,0.9038011,0.8989993,0.8989351,0.89649975,0.8955572
2011-05-04,0.9042317,0.9025367,0.8989452,0.89911294,0.89669055,0.89580625,0.89372003
2011-05-05,0.9041946,0.8999029,0.89841753,0.89824086,0.89579564,0.8943174,0.89146507
2011-05-06,0.9003094,0.89800566,0.8977158,0.894469,0.89375335,0.89558524,0.89178354
2011-05-08,0.89868224,0.89618266,0.8958033,0.8932561,0.89320594,0.8923293,0.89147997
2011-05-09,0.89685684,0.8967208,0.8935236,0.8936186,0.8928633,0.891165,0.8860826
2011-05-10,0.8964172,0.8955326,0.89443535,0.8921935,0.89035,0.8871308,0.88637197
2011-05-11,0.8936664,0.89542854,0.89199543,0.89037836,0.88603467,0.8891053,0.8864072
