,USDCZK,USDCZK,USDCZK,USDCZK,USDCZK,USDCZK,USDCZK
,0,1,2,3,4,5,6
2011-01-16,19.81952,19.718628,19.822092,19.631258,19.685919,19.669058,19.78629
2011-01-17,18.947992,18.947407,18.94741,18.95256,18.946163,18.94498,18.955688
2011-01-18,18.93531,18.938791,18.937037,18.93807,18.943537,18.93744,18.910261
2011-01-19,18.936928,18.938208,18.938269,18.93886,18.937193,18.913452,18.895529
2011-01-20,18.938528,18.937449,18.933973,18.93699,18.91448,18.900686,18.900871
2011-01-21,18.936888,18.93832,18.940308,18.913939,18.898922,18.8969,18.902384
2011-01-23,18.93899,18.939692,18.91013,18.895992,18.898317,18.899998,18.839247
2011-01-24,18.936428,18.915031,18.896929,18.89271,18.896086,18.8427,18.831339
2011-01-25,18.91276,18.893778,18.897501,18.897717,18.841074,18.83026,18.777735
2011-01-26,18.89854,18.902119,18.906452,18.841879,18.834433,18.776743,18.768707
2011-01-27,18.89836,18.903992,18.839424,18.838055,18.780058,18.76715,18.688519
2011-01-28,18.896235,18.836157,18.83409,18.77956,18.765678,18.692232,18.651915
2011-01-30,18.838087,18.82915,18.77524,18.762907,18.688917,18.661524,18.37881
2011-01-31,18.829912,18.77291,18.767124,18.685282,18.66038,18.38226,18.30521
2011-02-01,18.7948,18.757376,18.685968,18.65928,18.384823,18.295288,18.260307
2011-02-02,18.770868,18.694832,18.662899,18.380205,18.310759,18.252552,18.22431
2011-02-03,18.677717,18.65025,18.369684,18.30246,18.248491,18.265257,18.139523
2011-02-04,18.65425,18.369469,18.296307,18.253813,18.239515,18.146025,18.07527
2011-02-06,18.374506,18.29363,18.280107,18.256023,18.148506,18.061216,18.022938
2011-02-07,18.31606,18.283257,18.238274,18.146427,18.088032,18.035011,17.941788
2011-02-08,18.240444,18.232182,18.137753,18.044724,18.026474,17.930857,17.89329
2011-02-09,18.223434,18.145489,18.048037,18.02856,17.952784,17.88042,17.8938
2011-02-10,18.1374,18.032417,18.011059,17.936068,17.87453,17.89514,17.903898
2011-02-11,18.048155,18.026043,17.939478,17.922321,17.886839,17.893,17.891468
2011-02-13,18.001204,17.918573,17.90517,17.908539,17.913809,17.907406,17.890015
2011-02-14,17.932255,17.886599,17.885756,17.906998,17.902267,17.886965,17.893673
2011-02-15,17.904335,17.900196,17.881342,17.91336,17.907293,17.912712,17.88631
2011-02-16,17.901758,17.898806,17.90199,17.88477,17.887726,17.856974,17.876467
2011-02-17,17.904865,17.885422,17.87794,17.923008,17.854298,17.874973,17.867043
2011-02-18,17.900301,17.90361,17.907148,17.87805,17.898546,17.888134,17.861975
2011-02-20,17.892584,17.882475,17.876942,17.917751,17.858341,17.85838,17.866558
