,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK,USDDKK
,0,1,2,3,4,5,6
2011-01-16,5.6988573,5.701254,5.69065,5.6862717,5.6872034,5.687126,5.6873846
2011-01-17,5.6318555,5.6336336,5.630739,5.6305985,5.631815,5.631821,5.630571
2011-01-18,5.6307344,5.6314955,5.6300354,5.631948,5.632994,5.6304297,5.627553
2011-01-19,5.6320105,5.6330614,5.630965,5.6286383,5.63071,5.627643,5.624432
2011-01-20,5.6297865,5.630459,5.6317525,5.632308,5.628443,5.6242123,5.6259003
2011-01-21,5.6336374,5.6306586,5.631623,5.6268806,5.6249332,5.626785,5.6251483
2011-01-23,5.630108,5.6315594,5.630518,5.6254487,5.6231327,5.6259537,5.626214
2011-01-24,5.63183,5.6283503,5.6258793,5.623994,5.629612,5.6271267,5.6175857
2011-01-25,5.628701,5.626565,5.625965,5.6248355,5.6251554,5.6172347,5.612447
2011-01-26,5.6244226,5.6259866,5.625701,5.626525,5.6152325,5.6106763,5.6018515
2011-01-27,5.6272473,5.6291995,5.6234684,5.6162033,5.6154156,5.6054554,5.599134
2011-01-28,5.6247516,5.6244197,5.6162333,5.6134024,5.603157,5.5983057,5.588543
2011-01-30,5.6238866,5.6167827,5.6165676,5.607229,5.5968657,5.5958295,5.5861206
2011-01-31,5.6178703,5.614725,5.606988,5.600583,5.5909986,5.5901804,5.580899
2011-02-01,5.616171,5.603174,5.599328,5.5910444,5.588394,5.5819645,5.579155
2011-02-02,5.602423,5.599925,5.5906115,5.582755,5.5805483,5.579141,5.5705247
2011-02-03,5.601487,5.5909324,5.5845013,5.5782585,5.5776663,5.5754786,5.565814
2011-02-04,5.5889144,5.5857,5.5767317,5.57675,5.5706577,5.5628705,5.5286307
2011-02-06,5.5881443,5.578527,5.582689,5.5738835,5.562966,5.530452,5.531088
2011-02-07,5.5799503,5.57898,5.5715714,5.566245,5.533524,5.5225697,5.509198
2011-02-08,5.579599,5.57307,5.5659475,5.5349374,5.525859,5.5058565,5.506007
2011-02-09,5.57256,5.5595684,5.5330544,5.534915,5.505166,5.502866,5.506078
2011-02-10,5.567472,5.533989,5.526132,5.5100193,5.50766,5.506748,5.5050125
2011-02-11,5.534152,5.5330935,5.5063705,5.507391,5.507253,5.506602,5.5020857
2011-02-13,5.524855,5.5080395,5.5025334,5.5110683,5.5077763,5.503233,5.4974265
2011-02-14,5.5014,5.505607,5.507995,5.506215,5.4998074,5.4988494,5.4899306
2011-02-15,5.5030737,5.505075,5.5056095,5.499762,5.4993005,5.4871674,5.4815483
2011-02-16,5.5085483,5.5099235,5.5054464,5.5030675,5.4936676,5.48499,5.488884
2011-02-17,5.5091267,5.509641,5.5016813,5.489881,5.490755,5.4877443,5.482188
2011-02-18,5.4958296,5.4896154,5.483288,5.480332,5.4799414,5.477309,5.4714327
2011-02-20,5.501139,5.493552,5.492272,5.4908857,5.4872646,5.4821224,5.48429
2011-02-21,5.5028534,5.4923186,5.4951777,5.4938717,5.4903755,5.4840384,5.4843345
2011-02-22,5.4892826,5.4861946,5.482612,5.4794025,5.482686,5.4777703,5.472556
2011-02-23,5.4866223,5.4810863,5.4789743,5.48152,5.4743276,5.47174,5.465726
2011-02-24,5.4773507,5.475686,5.4751077,5.467374,5.469186,5.4643764,5.460819
2011-02-25,5.48044,5.4715157,5.473799,5.472765,5.466857,5.4659076,5.4572926
2011-02-27,5.471583,5.461019,5.4577656,5.459881,5.4522367,5.453246,5.446595
2011-02-28,5.4789715,5.4730687,5.4781656,5.4740224,5.4648895,5.4656587,5.458036
2011-03-01,5.4730434,5.475332,5.472022,5.4658246,5.4614105,5.459699,5.4586124
2011-03-02,5.4721622,5.4689403,5.4609814,5.4608326,5.4550333,5.453313,5.4531813
2011-03-03,5.4628167,5.4629235,5.4577594,5.4578066,5.4505277,5.4434156,5.447731
2011-03-04,5.4622955,5.463034,5.460682,5.4496827,5.453163,5.4507217,5.4469967
2011-03-06,5.463191,5.460787,5.4593115,5.450699,5.4455585,5.450644,5.448263
2011-03-07,5.452064,5.4499946,5.432953,5.4441752,5.4337144,5.4363365,5.4394426
2011-03-08,5.4376783,5.436222,5.438366,5.4337387,5.434039,5.4349165,5.417448
2011-03-09,5.451639,5.4475327,5.4463844,5.4422584,5.447122,5.4329977,5.430502
2011-03-10,5.449039,5.441586,5.4431963,5.4422326,5.439084,5.43784,5.4243655
2011-03-11,5.442558,5.439617,5.444707,5.433717,5.4237905,5.420183,5.415247
2011-03-13,5.4411716,5.446235,5.432022,5.423108,5.4235487,5.4196405,5.417432
2011-03-14,5.4469786,5.430961,5.425927,5.4231434,5.424084,5.4200644,5.4149637
2011-03-15,5.4398103,5.430628,5.4292984,5.429729,5.423892,5.415381,5.411085
2011-03-16,5.432794,5.4301934,5.4272313,5.4310484,5.416343,5.4068527,5.406672
2011-03-17,5.4268374,5.4201202,5.424524,5.4160137,5.408206,5.406594,5.4012704
2011-03-18,5.4190826,5.4259424,5.407278,5.4085193,5.4010606,5.4010987,5.392919
2011-03-20,5.4176974,5.4093027,5.4038687,5.40069,5.398199,5.3966494,5.3914375
2011-03-21,5.413269,5.4088917,5.4036975,5.3991585,5.3972387,5.3919044,5.3885508
2011-03-22,5.403133,5.4053245,5.3943243,5.3934016,5.3924046,5.3901267,5.363362
2011-03-23,5.393846,5.396092,5.3894234,5.384342,5.381253,5.361162,5.354074
2011-03-24,5.3950233,5.394245,5.393187,5.3856096,5.3609395,5.3622093,5.3572254
2011-03-25,5.3908625,5.387185,5.386264,5.365552,5.355077,5.3564453,5.351169
2011-03-27,5.3969965,5.3870616,5.365361,5.3641872,5.358819,5.3531523,5.3466897
2011-03-28,5.3778543,5.3599815,5.3503633,5.3462586,5.34618,5.342507,5.3419323
2011-03-29,5.3650074,5.3532066,5.352477,5.352688,5.352145,5.344718,5.340151
2011-03-30,5.35709,5.360881,5.358366,5.354585,5.3457985,5.340516,5.3385754
2011-03-31,5.3631725,5.358517,5.3508034,5.352533,5.343733,5.341728,5.333579
2011-04-01,5.3539863,5.3463655,5.338305,5.3353443,5.3320527,5.333166,5.326926
2011-04-03,5.3469152,5.3456593,5.3454447,5.34153,5.338519,5.334997,5.326557
2011-04-04,5.342949,5.344518,5.335408,5.339799,5.3384695,5.329039,5.3104057
2011-04-05,5.341597,5.33845,5.3337064,5.3276834,5.3209887,5.311823,5.300193
2011-04-06,5.3411226,5.334064,5.3299284,5.3278646,5.3114276,5.2994175,5.2873216
2011-04-07,5.3370004,5.335446,5.331377,5.31219,5.299784,5.2898135,5.287822
2011-04-08,5.3258247,5.328742,5.3054233,5.29636,5.285278,5.285153,5.281997
2011-04-10,5.322793,5.308553,5.2980127,5.28345,5.28286,5.2777963,5.2863297
2011-04-11,5.297783,5.2901874,5.2757826,5.2714663,5.2823696,5.266341,5.2658296
2011-04-12,5.2927237,5.2850657,5.2788982,5.271385,5.270422,5.258897,5.26718
2011-04-13,5.284994,5.2806425,5.279503,5.27227,5.269333,5.2607207,5.26548
2011-04-14,5.290785,5.2866454,5.2796826,5.277756,5.285001,5.27162,5.267812
2011-04-15,5.275271,5.265892,5.268647,5.259431,5.2550483,5.253605,5.251477
2011-04-17,5.274009,5.2759485,5.2587943,5.2621775,5.2556915,5.252836,5.2475853
2011-04-18,5.2814665,5.2853117,5.273844,5.2739563,5.26117,5.262609,5.24947
2011-04-19,5.2568364,5.2562733,5.2488537,5.246927,5.2459297,5.236598,5.238459
2011-04-20,5.2671204,5.2508764,5.25011,5.250084,5.2428036,5.243001,5.234619
2011-04-21,5.2577043,5.2564297,5.2495284,5.253808,5.242189,5.2421637,5.235864
2011-04-24,5.2571287,5.244684,5.250475,5.2361813,5.2337976,5.2393713,5.225994
2011-04-25,5.2454596,5.242373,5.2403574,5.2347236,5.23435,5.217179,5.204131
2011-04-26,5.253954,5.248053,5.242453,5.242682,5.23122,5.2215905,5.220957
2011-04-27,5.2461004,5.2409782,5.2353687,5.2262306,5.2199144,5.206387,5.208442
2011-04-28,5.2450004,5.241836,5.23005,5.221534,5.2099543,5.2157755,5.186917
2011-04-29,5.2426486,5.234121,5.220087,5.2278504,5.218561,5.18957,5.1784277
2011-05-01,5.2255483,5.2175255,5.2097464,5.198867,5.174318,5.1695027,5.1566873
2011-05-02,5.214402,5.2176056,5.1946692,5.1836,5.1697283,5.1695514,5.1585236
2011-05-03,5.2095995,5.2056828,5.1836805,5.1735287,5.169492,5.158094,5.165852
2011-05-04,5.2014947,5.184722,5.1810412,5.17727,5.159101,5.162274,5.161939
2011-05-05,5.1797523,5.165004,5.1593466,5.154175,5.1600695,5.1578465,5.158625
2011-05-06,5.1714406,5.1321883,5.154331,5.1518555,5.1506863,5.156251,5.159649
2011-05-08,5.1752834,5.1629143,5.170338,5.1654663,5.1636686,5.165104,5.1644974
2011-05-09,5.1606593,5.162647,5.157348,5.1556273,5.1548786,5.1493444,5.150753
2011-05-10,5.1746917,5.1647987,5.1669426,5.166025,5.162057,5.1661024,5.161943
2011-05-11,5.156861,5.158365,5.1557407,5.1601415,5.1595592,5.164714,5.1557584
