,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD,USDHKD
,0,1,2,3,4,5,6
2011-01-16,7.8129654,7.8193893,7.9602966,7.764267,7.7712936,7.863983,7.804878
2011-01-17,7.7047577,7.723732,7.7939835,7.756401,7.79747,7.738907,7.7915955
2011-01-18,7.8257294,7.8088913,7.796707,7.6695633,7.811203,7.7546997,7.804741
2011-01-19,7.8425217,7.744316,7.7756653,7.785576,7.737442,7.8280563,7.7667007
2011-01-20,7.730583,7.754181,7.795311,7.76725,7.8128815,7.7523727,7.80072
2011-01-21,7.713684,7.816124,7.759613,7.7987366,7.8046722,7.761017,7.7671814
2011-01-23,7.8114853,7.750511,7.8078766,7.765953,7.746361,7.818962,7.786888
2011-01-24,7.82782,7.757614,7.7591095,7.787941,7.8083572,7.75721,7.7650375
2011-01-25,7.740402,7.820038,7.799965,7.772629,7.801529,7.7635193,7.7812576
2011-01-26,7.737137,7.7533875,7.795906,7.7961273,7.751007,7.814369,7.784218
2011-01-27,7.818817,7.780098,7.79171,7.796707,7.8061676,7.7593384,7.7824326
2011-01-28,7.834114,7.7933197,7.7467957,7.767082,7.8006134,7.7654037,7.780861
2011-01-30,7.751663,7.7685776,7.770462,7.775612,7.7539062,7.811798,7.7779617
2011-01-31,7.7412796,7.7918396,7.7705917,7.78434,7.8048096,7.760948,7.788162
2011-02-01,7.8109665,7.781807,7.7820053,7.7789917,7.799324,7.7689056,7.7866516
2011-02-02,7.829689,7.7782288,7.7785873,7.775894,7.753975,7.811592,7.779976
2011-02-03,7.7570877,7.7804337,7.7800903,7.7811203,7.8034744,7.762474,7.7966766
2011-02-04,7.7385025,7.779915,7.786087,7.7949524,7.795685,7.7675934,7.7725143
2011-02-06,7.8134003,7.779915,7.7838135,7.769989,7.755783,7.8118668,7.7998123
2011-02-07,7.7892,7.779915,7.77932,7.7956924,7.8017883,7.7643127,7.783905
2011-02-08,7.7821274,7.7782288,7.7888107,7.768715,7.7973404,7.7702484,7.7853394
2011-02-09,7.7807236,7.7673645,7.7781754,7.7849503,7.779396,7.8092117,7.783142
2011-02-10,7.7820663,7.787697,7.777321,7.777458,7.7806168,7.763603,7.7845383
2011-02-11,7.7760086,7.7754593,7.7925262,7.7847137,7.7824783,7.7845154,7.78508
2011-02-13,7.776779,7.774063,7.783371,7.7827454,7.7843857,7.784912,7.792328
2011-02-14,7.7826157,7.7800446,7.7813644,7.786621,7.7861557,7.7861404,7.785431
2011-02-15,7.782898,7.7879715,7.7832336,7.7838516,7.7821503,7.785309,7.807976
2011-02-16,7.7817917,7.781784,7.7798004,7.784363,7.785919,7.7821503,7.783905
2011-02-17,7.7845306,7.7850113,7.779892,7.7927322,7.7879105,7.7823257,7.781311
2011-02-18,7.786751,7.786064,7.7370453,7.7978516,7.794731,7.785309,7.76194
2011-02-20,7.7808533,7.781929,7.7807236,7.787834,7.7895584,7.792,7.78244
2011-02-21,7.7836075,7.8013077,7.775955,7.76931,7.771385,7.795212,7.8087616
2011-02-22,7.7845154,7.8004227,7.760063,7.763695,7.801399,7.789871,7.796364
2011-02-23,7.764656,7.7708206,7.769745,7.8065414,7.7870255,7.7893295,7.7673187
2011-02-24,7.763695,7.798294,7.825348,7.809326,7.775429,7.8167343,7.757782
2011-02-25,7.790802,7.771591,7.7664566,7.7578354,7.794029,7.7938995,7.7655945
2011-02-27,7.770851,7.797455,7.7727127,7.8137054,7.816864,7.7908325,7.8160477
2011-02-28,7.7975616,7.7726364,7.8221283,7.807205,7.805748,7.8048325,7.760887
2011-03-01,7.771759,7.7968826,7.7685013,7.7609253,7.752121,7.7983017,7.766754
2011-03-02,7.7965927,7.7733307,7.774437,7.8121033,7.806526,7.7541046,7.8135986
2011-03-03,7.780731,7.7969894,7.8202515,7.807007,7.8007126,7.807907,7.763008
2011-03-04,7.8001404,7.7741547,7.7702484,7.7626877,7.754448,7.80217,7.7683716
2011-03-06,7.7786255,7.794899,7.7753525,7.811264,7.8049088,7.756607,7.8122406
2011-03-07,7.8041077,7.836815,7.8189545,7.806488,7.799675,7.8065567,7.7641068
2011-03-08,7.7792053,7.839218,7.7712784,7.764229,7.755745,7.801712,7.769272
2011-03-09,7.803673,7.8081894,7.776306,7.810814,7.803749,7.7579117,7.811348
2011-03-10,7.779663,7.745163,7.818054,7.805855,7.7988434,7.805969,7.764824
2011-03-11,7.8034744,7.7755356,7.7723083,7.765068,7.756775,7.8012543,7.780525
2011-03-13,7.7799835,7.83683,7.7768936,7.8099823,7.80278,7.759575,7.8213043
2011-03-14,7.803215,7.8070908,7.8174744,7.8056564,7.8087463,7.8103867,7.776016
