,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF,USDHUF
,0,1,2,3,4,5,6
2011-01-16,60.12607,59.4218,59.76036,60.36051,61.25403,62.04406,61.873177
2011-01-17,99.59821,98.71003,99.19584,99.93135,101.05477,102.05854,101.850784
2011-01-18,131.53714,130.55869,131.11664,131.91954,133.15228,134.25844,134.03271
2011-01-19,159.35492,158.32146,158.92294,159.76703,161.06618,162.23535,161.99902
2011-01-20,184.5037,183.43262,184.06458,184.93542,186.28119,187.49289,187.24933
2011-01-21,207.44394,206.43289,206.87341,207.35881,207.93748,208.1865,207.93866
2011-01-23,209.51108,209.27818,208.93547,208.45554,208.44846,208.4673,208.4573
2011-01-24,209.3114,208.79382,208.47064,208.47098,208.47018,208.47006,208.47003
2011-01-25,208.80548,208.47095,208.47168,208.47168,208.47102,208.4718,208.4708
2011-01-26,208.46349,208.47165,208.46967,208.4711,208.4705,208.46962,208.47473
2011-01-27,208.4689,208.47037,208.46979,208.47083,208.47205,208.4697,208.32022
2011-01-28,208.47018,208.47153,208.4718,208.47366,208.46861,208.32062,207.6361
2011-01-30,208.47324,208.47012,208.46967,208.47061,208.325,207.6127,207.04938
2011-01-31,208.47186,208.47098,208.46992,208.32361,207.57663,207.05632,206.75415
2011-02-01,208.46814,208.47162,208.32025,207.5553,207.06435,206.75244,206.6579
2011-02-02,208.46974,208.32266,207.55289,207.0545,206.7575,206.65665,206.29965
2011-02-03,208.31964,207.51541,207.05914,206.7502,206.65672,206.29846,205.476
2011-02-04,207.49023,207.061,206.75476,206.65445,206.30228,205.41417,203.7061
2011-02-06,207.06161,206.75159,206.64883,206.29529,205.38513,203.73102,202.91525
2011-02-07,206.75412,206.6532,206.29364,205.4039,203.7328,202.9209,202.25208
2011-02-08,206.65173,206.29623,205.33243,203.76097,202.9049,202.25519,201.59964
2011-02-09,206.30125,205.33054,203.78136,202.82623,202.25342,201.6033,201.54874
2011-02-10,205.2958,203.80042,202.76396,202.25934,201.60318,201.54846,201.48395
2011-02-11,203.81566,202.67786,202.26035,201.58304,201.55092,201.48361,201.32587
2011-02-13,202.62074,202.26141,201.57938,201.54607,201.48169,201.31915,200.95682
2011-02-14,202.25829,201.5924,201.54602,201.48502,201.32007,200.94772,200.80765
2011-02-15,201.57999,201.54874,201.48141,201.31418,200.95808,200.80934,200.80225
2011-02-16,201.5428,201.48557,201.31589,200.96341,200.8086,200.80289,200.69577
2011-02-17,201.48196,201.31927,200.94955,200.80637,200.80139,200.69794,200.22974
2011-02-18,201.31763,200.95264,200.8028,200.79663,200.70001,200.2341,200.17441
2011-02-20,200.95618,200.80595,200.79892,200.69737,200.24371,200.17337,199.78586
2011-02-21,200.80025,200.801,200.69666,200.23087,200.17107,199.77649,199.63843
2011-02-22,200.79366,200.69554,200.23051,200.1747,199.78607,199.64069,199.5537
2011-02-23,200.70108,200.23056,200.17175,199.7846,199.63727,199.55685,199.19781
2011-02-24,200.23096,200.174,199.77386,199.63821,199.55125,199.19089,199.07599
