,USDJPY,USDJPY,USDJPY,USDJPY,USDJPY,USDJPY,USDJPY
,0,1,2,3,4,5,6
2011-01-16,82.28658,82.42966,82.42863,82.25809,82.552895,82.24719,82.40017
2011-01-17,83.141785,83.0748,83.10648,83.091965,83.02338,83.01801,82.946335
2011-01-18,83.05182,83.05237,83.0445,83.01554,82.95494,82.913704,82.90931
2011-01-19,83.0468,83.05177,83.01525,82.94616,82.91526,82.91035,82.89406
2011-01-20,83.05012,83.01111,82.9471,82.90978,82.91175,82.90485,82.82778
2011-01-21,83.02128,82.94738,82.919044,82.91613,82.90666,82.8271,82.80228
2011-01-23,82.94748,82.91805,82.90622,82.90636,82.83549,82.804794,82.785484
2011-01-24,82.90651,82.90751,82.89906,82.82917,82.81051,82.780495,82.77278
2011-01-25,82.92059,82.90543,82.83873,82.81215,82.782104,82.781586,82.76931
2011-01-26,82.87115,82.84219,82.79754,82.77869,82.77629,82.76148,82.72574
2011-01-27,82.83701,82.80586,82.78271,82.76789,82.76577,82.726944,82.691
2011-01-28,82.807274,82.79191,82.76924,82.740715,82.7245,82.699875,82.68327
2011-01-30,82.77934,82.774666,82.77046,82.70336,82.67342,82.679825,82.64767
2011-01-31,82.77588,82.749084,82.708496,82.69089,82.679436,82.61603,82.63126
2011-02-01,82.765236,82.73323,82.69328,82.653336,82.66002,82.623665,82.5041
2011-02-02,82.71853,82.6763,82.673225,82.637985,82.61519,82.50527,82.36989
2011-02-03,82.69026,82.68318,82.66605,82.603516,82.51501,82.35741,82.31488
2011-02-04,82.69444,82.66685,82.617294,82.50961,82.37732,82.33756,82.35824
2011-02-06,82.610146,82.59338,82.52274,82.38425,82.32359,82.35546,82.45511
2011-02-07,82.61447,82.50621,82.35558,82.30733,82.358795,82.44638,82.521805
2011-02-08,82.514565,82.38002,82.31209,82.342705,82.441666,82.51046,82.61268
2011-02-09,82.364334,82.303764,82.35462,82.47379,82.5176,82.597275,82.653625
2011-02-10,82.32813,82.3654,82.45004,82.51078,82.57987,82.657005,82.688095
2011-02-11,82.385445,82.46654,82.51515,82.58188,82.61561,82.675095,82.69278
2011-02-13,82.45751,82.5165,82.61623,82.64441,82.669106,82.715866,82.66911
2011-02-14,82.53648,82.61902,82.64905,82.64988,82.67615,82.71861,82.68058
2011-02-15,82.61195,82.625755,82.652626,82.68872,82.70761,82.675,82.701385
2011-02-16,82.63048,82.65142,82.69673,82.681244,82.675545,82.655426,82.68368
2011-02-17,82.67537,82.67002,82.67921,82.692024,82.70941,82.71552,82.6864
2011-02-18,82.65877,82.68206,82.68082,82.67277,82.680756,82.735535,82.70056
2011-02-20,82.70981,82.67909,82.6982,82.685,82.67422,82.67313,82.64968
2011-02-21,82.717735,82.68418,82.67814,82.71239,82.666504,82.68176,82.617004
2011-02-22,82.71695,82.69205,82.6795,82.6708,82.67966,82.60662,82.56555
2011-02-23,82.708824,82.685814,82.685036,82.66314,82.622116,82.54419,82.51055
2011-02-24,82.69376,82.67104,82.661835,82.58792,82.50868,82.52212,82.45656
2011-02-25,82.66443,82.624405,82.63148,82.535065,82.47969,82.456055,82.34847
2011-02-27,82.629,82.59159,82.5235,82.49377,82.44681,82.358444,82.35809
2011-02-28,82.5962,82.5317,82.52196,82.469124,82.34383,82.34973,82.39212
2011-03-01,82.57713,82.48053,82.43652,82.358864,82.35807,82.37552,82.322685
2011-03-02,82.50391,82.4385,82.33203,82.352196,82.37932,82.29176,82.30871
2011-03-03,82.45529,82.36213,82.40537,82.367935,82.290985,82.2977,82.30134
2011-03-04,82.39517,82.33291,82.34666,82.337975,82.30019,82.30427,82.3264
2011-03-06,82.32432,82.36918,82.27625,82.2995,82.30653,82.31715,82.395874
2011-03-07,82.380165,82.31979,82.31188,82.28516,82.332596,82.37686,82.33537
2011-03-08,82.33838,82.30731,82.31335,82.33501,82.37674,82.32314,82.31159
2011-03-09,82.32666,82.322105,82.30874,82.397095,82.315704,82.30884,82.29904
2011-03-10,82.31461,82.330475,82.401764,82.29543,82.32314,82.317245,82.311844
2011-03-11,82.30495,82.3404,82.298355,82.30979,82.28308,82.30489,82.298004
2011-03-13,82.346886,82.29057,82.31224,82.3305,82.30083,82.31188,82.31169
2011-03-14,82.326866,82.2979,82.29837,82.27304,82.2868,82.29973,82.29729
2011-03-15,82.291245,82.32594,82.31239,82.31331,82.30038,82.31196,82.31182
2011-03-16,82.30452,82.33554,82.29804,82.27672,82.29015,82.30034,82.29695
2011-03-17,82.29029,82.31944,82.31221,82.28753,82.29815,82.28974,82.26846
2011-03-18,82.304306,82.29822,82.297066,82.275314,82.329285,82.23108,82.26201
2011-03-20,82.2889,82.27721,82.31115,82.27865,82.22004,82.236786,82.1926
2011-03-21,82.289665,82.3207,82.295876,82.2735,82.282394,82.20906,82.161575
2011-03-22,82.30722,82.31845,82.257965,82.27345,82.19436,82.18902,82.06798
2011-03-23,82.30422,82.28136,82.310295,82.14198,82.14766,81.99865,81.86969
2011-03-24,82.27928,82.28058,82.207504,82.156105,82.05821,81.83236,81.823395
