,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN,USDMXN
,0,1,2,3,4,5,6
2011-01-16,12.313558,12.514431,12.480257,12.516364,12.530008,12.497581,12.489074
2011-01-17,12.353309,12.353619,12.35272,12.35235,12.344187,12.3362465,12.335699
2011-01-18,12.351046,12.355698,12.352331,12.348537,12.33827,12.328697,12.3236065
2011-01-19,12.360741,12.349026,12.349321,12.346277,12.329857,12.330914,12.289299
2011-01-20,12.351637,12.344464,12.341253,12.333116,12.324459,12.289432,12.233942
2011-01-21,12.344785,12.342109,12.328887,12.315254,12.285411,12.242323,12.239436
2011-01-23,12.34601,12.329252,12.3207035,12.28917,12.239312,12.238077,12.22617
2011-01-24,12.329845,12.325327,12.294814,12.2403755,12.232047,12.231688,12.224004
2011-01-25,12.333148,12.289494,12.236737,12.237003,12.230915,12.2219305,12.215393
2011-01-26,12.287671,12.251666,12.237368,12.226829,12.221118,12.214451,12.2122345
2011-01-27,12.243188,12.232024,12.223482,12.215751,12.214658,12.218008,12.204386
2011-01-28,12.238415,12.221752,12.223841,12.220232,12.214191,12.190435,12.178235
2011-01-30,12.224994,12.229022,12.222232,12.216421,12.197078,12.188815,12.150329
2011-01-31,12.231799,12.220276,12.218832,12.205952,12.189297,12.145443,12.150684
2011-02-01,12.206407,12.212681,12.21151,12.192593,12.149937,12.099192,12.098918
2011-02-02,12.210564,12.184312,12.189001,12.142121,12.131386,12.112033,12.1096525
2011-02-03,12.181441,12.186511,12.154708,12.100231,12.0961075,12.103918,12.087134
2011-02-04,12.18083,12.156422,12.119086,12.095888,12.097548,12.107799,12.081537
2011-02-06,12.150627,12.153597,12.100769,12.089035,12.092695,12.088268,12.08542
2011-02-07,12.10854,12.098007,12.110158,12.080958,12.066487,12.086148,12.095421
2011-02-08,12.118143,12.092802,12.078116,12.086847,12.089987,12.066191,12.073652
2011-02-09,12.075962,12.083003,12.068575,12.104542,12.067695,12.037211,12.046388
2011-02-10,12.091996,12.105703,12.079783,12.089584,12.079147,12.05235,12.06012
2011-02-11,12.072068,12.08364,12.082219,12.10189,12.068966,12.085525,12.051314
2011-02-13,12.0879345,12.075446,12.086722,12.028944,12.056636,12.063742,12.03141
2011-02-14,12.076883,12.072816,12.081284,12.069235,12.053477,12.078568,12.038656
2011-02-15,12.062891,12.056159,12.078519,12.1104765,12.047268,12.062516,12.062315
2011-02-16,12.074172,12.060903,12.071091,12.051758,12.057526,12.062008,12.046661
2011-02-17,12.061323,12.069019,12.068207,12.068674,12.0518,12.051405,12.050447
2011-02-18,12.073169,12.093054,12.083395,12.048758,12.042175,12.055528,12.056868
2011-02-20,12.080204,12.037966,12.043571,12.073088,12.061165,12.036224,12.022722
2011-02-21,12.058322,12.049438,12.030391,12.033795,12.045877,12.072301,12.059002
2011-02-22,12.041698,12.053276,12.052375,12.052604,12.064568,12.036608,12.055884
2011-02-23,12.072783,12.025248,12.045003,12.035584,12.053264,12.040019,12.059837
2011-02-24,12.042922,12.071167,12.036297,12.031924,12.037008,12.055286,12.060446
2011-02-25,12.064544,12.04646,12.07177,12.034878,12.090441,12.053493,12.079612
2011-02-27,12.038883,12.050921,12.056062,12.059442,12.089731,12.070196,12.073713
2011-02-28,12.070385,12.037633,12.066323,12.069605,12.064025,12.069436,12.05036
2011-03-01,12.040177,12.0558605,12.051697,12.070425,12.05322,12.038246,12.104189
2011-03-02,12.048327,12.055567,12.048854,12.058059,12.1141815,12.062312,12.064464
2011-03-03,12.057964,12.066548,12.05182,12.068238,12.0486355,12.091607,12.083644
2011-03-04,12.06941,12.053717,12.047517,12.065397,12.038542,12.050575,12.027071
2011-03-06,12.062084,12.035288,12.039881,12.029584,12.045965,12.049719,12.041069
2011-03-07,12.0563345,12.043827,12.049687,12.082447,12.0608225,12.049062,12.046479
2011-03-08,12.031103,12.090528,12.054105,12.059334,12.040463,12.035733,12.033166
2011-03-09,12.033598,12.048804,12.033784,12.040769,12.049274,12.020268,12.034051
2011-03-10,12.053156,12.053447,12.05794,12.028201,12.033247,12.020839,12.023271
2011-03-11,12.02364,12.033058,12.058036,12.043312,12.038999,12.025627,12.032041
2011-03-13,12.023843,12.049449,12.037297,12.042191,12.016316,12.033367,12.021126
2011-03-14,12.052283,12.0416975,12.038053,12.029297,12.032022,12.03874,12.0475235
2011-03-15,12.0431,12.026634,12.027643,12.0107565,12.014357,12.037735,12.0314455
2011-03-16,12.0357485,12.027024,12.0276985,12.02352,12.02793,12.037664,12.050486
2011-03-17,12.028801,12.027206,12.027783,12.011412,12.049493,12.0374365,12.030711
2011-03-18,12.034782,12.032707,12.035658,12.022086,12.026218,12.037327,12.050351
2011-03-20,12.042241,12.040019,12.055859,12.049852,12.045963,12.037429,12.061872
2011-03-21,12.027351,12.056865,12.030227,12.027627,12.023761,12.032591,12.031486
2011-03-22,12.046472,12.041748,12.05128,12.063319,12.023575,12.052074,12.042776
2011-03-23,12.033568,12.0255575,12.0333185,12.061519,12.034859,12.031368,12.022472
2011-03-24,12.047337,12.045974,12.044194,12.043057,12.026737,12.025908,12.025718
2011-03-25,12.055097,12.022253,12.048972,12.03882,12.041284,12.024878,12.030282
2011-03-27,12.023661,12.01072,12.008481,12.045461,12.016281,12.014898,12.020152
2011-03-28,12.015055,12.028564,12.050029,12.0298,12.024135,12.003626,12.005467
2011-03-29,12.032053,12.037963,12.017247,12.012169,12.008123,12.010925,11.996617
2011-03-30,12.027878,12.025606,12.014959,12.021444,12.021144,12.024242,11.987089
2011-03-31,12.024213,12.017991,12.011395,12.00976,12.026716,11.998772,11.994447
2011-04-01,12.02895,12.015591,12.005378,12.008232,11.998713,11.996157,11.99842
