,USDNOK,USDNOK,USDNOK,USDNOK,USDNOK,USDNOK,USDNOK
,0,1,2,3,4,5,6
2011-01-16,5.9532766,5.923191,5.9623995,5.9096155,5.9352236,5.9028506,5.891902
2011-01-17,5.9543595,5.957361,5.963385,5.952388,5.9477797,5.943784,5.94212
2011-01-18,5.9547296,5.948348,5.9497967,5.9450765,5.947904,5.93991,5.933512
2011-01-19,5.950928,5.9503064,5.951288,5.9431767,5.9419036,5.93462,5.923721
2011-01-20,5.953706,5.9487,5.944264,5.939868,5.93471,5.929766,5.917797
2011-01-21,5.9461565,5.953465,5.9335375,5.934622,5.930194,5.9249597,5.9158444
2011-01-23,5.950096,5.940116,5.939382,5.9318285,5.9222426,5.926722,5.902021
2011-01-24,5.940919,5.934265,5.931193,5.9193535,5.911292,5.9015927,5.876758
2011-01-25,5.936742,5.9336686,5.925108,5.9223614,5.903062,5.8914347,5.8853846
2011-01-26,5.9283757,5.920867,5.9170866,5.9006896,5.8896327,5.876794,5.8610673
2011-01-27,5.9226794,5.915154,5.9065986,5.8940787,5.885347,5.861389,5.850574
2011-01-28,5.917868,5.9059477,5.889867,5.8811107,5.870724,5.854896,5.86363
2011-01-30,5.8937316,5.8983393,5.8851824,5.86629,5.851355,5.8514504,5.8538494
2011-01-31,5.888963,5.881969,5.879581,5.8617454,5.8573933,5.8481045,5.8617687
2011-02-01,5.8816714,5.860176,5.8647084,5.8565474,5.854251,5.84602,5.85342
2011-02-02,5.8632407,5.8654714,5.8542,5.852129,5.8530903,5.8249435,5.8419137
2011-02-03,5.861756,5.85526,5.851033,5.849526,5.8597083,5.833862,5.840376
2011-02-04,5.84725,5.849137,5.848719,5.839549,5.8327246,5.8391724,5.831155
2011-02-06,5.840951,5.852554,5.836282,5.835451,5.837287,5.832934,5.820773
2011-02-07,5.836307,5.851611,5.8393292,5.8410006,5.814538,5.833725,5.8292413
2011-02-08,5.865849,5.851325,5.8482313,5.8484936,5.8256135,5.8352904,5.8444166
2011-02-09,5.847726,5.8355,5.8249645,5.8205276,5.836169,5.8303604,5.8291087
2011-02-10,5.8296037,5.8310637,5.8351793,5.8051825,5.8212204,5.8280196,5.8220205
2011-02-11,5.8289137,5.847453,5.8245664,5.8309994,5.8280263,5.845175,5.7971387
2011-02-13,5.831503,5.8388863,5.83791,5.816125,5.821493,5.8405247,5.7957683
2011-02-14,5.822019,5.8317747,5.823202,5.8271513,5.845462,5.8117266,5.825095
2011-02-15,5.8210797,5.8295574,5.8104305,5.8233113,5.802546,5.8128424,5.799644
2011-02-16,5.833055,5.844984,5.7971706,5.8003855,5.79058,5.813151,5.8038044
2011-02-17,5.831379,5.816084,5.8094525,5.830399,5.7997384,5.8002768,5.7915196
2011-02-18,5.83897,5.805933,5.807199,5.794186,5.805683,5.7898335,5.7883253
2011-02-20,5.8150477,5.8152018,5.8032947,5.8113294,5.7884583,5.7974224,5.7889857
2011-02-21,5.838041,5.823332,5.7694283,5.799165,5.7863955,5.787068,5.7714095
2011-02-22,5.8110495,5.802869,5.803373,5.7896376,5.7718053,5.7748055,5.7592835
2011-02-23,5.7967744,5.798743,5.794832,5.782795,5.776486,5.7883844,5.770691
2011-02-24,5.7913404,5.782145,5.7791133,5.771105,5.771498,5.7763233,5.765672
2011-02-25,5.781446,5.784985,5.765484,5.7560873,5.787024,5.7711835,5.754966
2011-02-27,5.790041,5.789939,5.778102,5.788787,5.7631197,5.772233,5.7574425
2011-02-28,5.7781997,5.769024,5.776488,5.742913,5.7579374,5.775866,5.7369947
2011-03-01,5.764828,5.7676415,5.785572,5.734442,5.759971,5.7468424,5.755853
2011-03-02,5.773721,5.7756915,5.77865,5.7453403,5.7364297,5.7189746,5.734451
2011-03-03,5.788837,5.7621975,5.741925,5.757296,5.7205954,5.716865,5.716405
2011-03-04,5.762153,5.775728,5.7440996,5.741628,5.7368326,5.726411,5.728651
2011-03-06,5.742342,5.734122,5.7461243,5.727946,5.758252,5.701114,5.7365103
2011-03-07,5.762209,5.7527523,5.7388043,5.702603,5.718341,5.7310195,5.7016916
2011-03-08,5.7494626,5.696905,5.72528,5.738,5.7175107,5.6878676,5.694968
2011-03-09,5.7320685,5.7043824,5.710773,5.726763,5.688872,5.677757,5.6788497
2011-03-10,5.6985335,5.711933,5.6938415,5.688119,5.690607,5.683178,5.6628404
2011-03-11,5.715817,5.700712,5.7084236,5.687299,5.676336,5.6806173,5.6741614
2011-03-13,5.723516,5.7074385,5.6986365,5.6964355,5.665032,5.6609654,5.664502
2011-03-14,5.70306,5.6591196,5.689151,5.6684465,5.6711497,5.6607203,5.654083
2011-03-15,5.677057,5.6922164,5.6692305,5.6744876,5.6631055,5.6226106,5.6378036
2011-03-16,5.66111,5.6804514,5.6622944,5.655955,5.6632533,5.659815,5.6143227
2011-03-17,5.6649356,5.6575212,5.6663632,5.646108,5.64439,5.630274,5.6178904
2011-03-18,5.6720977,5.6729417,5.63454,5.6359,5.6245213,5.6424465,5.609219
2011-03-20,5.656096,5.65513,5.6563864,5.636643,5.6061835,5.628619,5.6314244
2011-03-21,5.648882,5.6413355,5.609481,5.6558614,5.637371,5.580129,5.608896
2011-03-22,5.6580944,5.644101,5.6208644,5.648176,5.5856867,5.6062784,5.572084
2011-03-23,5.6459107,5.6403465,5.638929,5.583413,5.6171546,5.611615,5.6007113
2011-03-24,5.639283,5.6370773,5.663299,5.651636,5.6871886,5.589364,5.581979
2011-03-25,5.6355553,5.6469636,5.605775,5.6160746,5.5941596,5.5913787,5.6141024
2011-03-27,5.600876,5.614528,5.6002693,5.6208363,5.593173,5.6058273,5.6106606
2011-03-28,5.6154847,5.6090765,5.5777745,5.5965667,5.608563,5.5885034,5.5984187
2011-03-29,5.6154914,5.567154,5.6184454,5.650115,5.594494,5.5846534,5.580208
2011-03-30,5.655254,5.626055,5.5979424,5.603636,5.582782,5.5866556,5.590443
2011-03-31,5.6049657,5.5903053,5.5993595,5.5942125,5.5914273,5.577718,5.5779614
2011-04-01,5.608669,5.601625,5.5867066,5.5920153,5.598001,5.593659,5.5858517
2011-04-03,5.5984645,5.575839,5.5809336,5.5906296,5.5799384,5.5738463,5.5867906
2011-04-04,5.6046844,5.596225,5.6039643,5.599091,5.590774,5.581493,5.574369
2011-04-05,5.593336,5.5698457,5.5768147,5.593247,5.5821905,5.583651,5.574654
2011-04-06,5.595342,5.5857844,5.5781555,5.5613074,5.5686984,5.5922365,5.552445
2011-04-07,5.5876894,5.5907607,5.58203,5.567447,5.5834036,5.5755396,5.557369
2011-04-08,5.5890074,5.5901494,5.576302,5.572186,5.571987,5.5814743,5.5938673
2011-04-10,5.581915,5.579494,5.5747323,5.5809183,5.5543756,5.5735683,5.5575895
2011-04-11,5.5689073,5.569646,5.5751333,5.5518045,5.559768,5.556419,5.566114
2011-04-12,5.570571,5.5779943,5.5803094,5.5608764,5.5569344,5.562982,5.5677166
2011-04-13,5.5775747,5.5818944,5.582005,5.5641003,5.560589,5.5578403,5.5515537
2011-04-14,5.5562963,5.56376,5.5651965,5.57196,5.568053,5.5572724,5.5625625
2011-04-15,5.570744,5.571995,5.559345,5.5561132,5.5643845,5.555573,5.54716
2011-04-17,5.5696754,5.5598946,5.551478,5.5637074,5.5541067,5.5636187,5.5103
2011-04-18,5.5618725,5.5657554,5.567709,5.560908,5.541003,5.5210495,5.519474
2011-04-19,5.568329,5.5645113,5.5451293,5.550197,5.533213,5.510912,5.497254
2011-04-20,5.560118,5.555979,5.552916,5.5235424,5.517681,5.4850225,5.475312
2011-04-21,5.5519233,5.544148,5.532661,5.4986386,5.4921556,5.4900417,5.485986
2011-04-24,5.548468,5.5333486,5.518625,5.5101523,5.4853806,5.472851,5.4621253
2011-04-25,5.5244274,5.515381,5.484341,5.4958835,5.476783,5.4721427,5.4653854
2011-04-26,5.5143504,5.497701,5.484469,5.4742284,5.4812784,5.471711,5.468273
2011-04-27,5.486507,5.4739575,5.465705,5.4794297,5.4612565,5.4442215,5.44153
2011-04-28,5.487645,5.4757667,5.47038,5.45993,5.449456,5.4378033,5.4390345
2011-04-29,5.480449,5.45422,5.4565754,5.458964,5.4443264,5.4423323,5.4386883
2011-05-01,5.4592166,5.4517407,5.4358115,5.4568367,5.4296994,5.4289823,5.425456
2011-05-02,5.460513,5.4460826,5.455157,5.4334855,5.4485607,5.426572,5.433773
2011-05-03,5.470968,5.4647665,5.4426546,5.4388285,5.429351,5.416559,5.421948
2011-05-04,5.4411197,5.444334,5.4486065,5.436901,5.431146,5.4304695,5.422255
2011-05-05,5.449382,5.4316907,5.4162774,5.4331923,5.4425006,5.4384055,5.4087343
2011-05-06,5.4261203,5.4243546,5.430477,5.4378543,5.4058285,5.4429164,5.401979
2011-05-08,5.4266243,5.4539137,5.4338365,5.427739,5.4191356,5.4220653,5.437954
2011-05-09,5.4284525,5.413171,5.4274454,5.427621,5.435572,5.4077487,5.415532
2011-05-10,5.4362335,5.432454,5.4481792,5.4325438,5.416099,5.4220057,5.409104
2011-05-11,5.444347,5.4228683,5.4466205,5.41596,5.433781,5.422903,5.445888
2011-05-12,5.4165654,5.4166474,5.4297066,5.4437804,5.4275174,5.421147,5.4149337
2011-05-13,5.4285955,5.4348516,5.428856,5.443198,5.43489,5.443837,5.413687
2011-05-15,5.442894,5.4384975,5.4203997,5.4184527,5.4415736,5.432102,5.4262195
2011-05-16,5.3780613,5.429542,5.4332533,5.380967,5.4187093,5.4035363,5.4264336
2011-05-17,5.424251,5.418455,5.412436,5.4302197,5.4127164,5.4290047,5.452627
2011-05-18,5.4348936,5.43296,5.4362335,5.417355,5.434413,5.423429,5.4225755
2011-05-19,5.421839,5.4431863,5.4479036,5.4231954,5.436096,5.4288063,5.4668326
2011-05-20,5.4420023,5.4261966,5.412483,5.4312606,5.4246764,5.44576,5.449624
2011-05-22,5.430175,5.436035,5.433106,5.4250355,5.455504,5.4595695,5.4569993
2011-05-23,5.4197364,5.43578,5.4028006,5.439866,5.453256,5.438414,5.461904
2011-05-24,5.431338,5.4522095,5.4504256,5.4494586,5.436229,5.4349637,5.4462147
2011-05-25,5.4169445,5.4245586,5.447603,5.4502597,5.450187,5.4383197,5.4495
2011-05-26,5.445186,5.4245815,5.4474273,5.4495454,5.4377584,5.4441447,5.4448247
2011-05-27,5.4517922,5.4769077,5.4495463,5.4622307,5.4526553,5.450306,5.438853
2011-05-29,5.4402633,5.446215,5.447209,5.4501505,5.437408,5.4507647,5.478205
2011-05-30,5.4606366,5.4542074,5.4484506,5.451023,5.465573,5.429178,5.429652
2011-05-31,5.446187,5.448493,5.44668,5.4408445,5.4464116,5.4469705,5.4631124
2011-06-01,5.457245,5.445415,5.4240313,5.468212,5.452105,5.440788,5.446988
2011-06-02,5.4407682,5.4325027,5.4580894,5.453146,5.421124,5.4283924,5.4198527
2011-06-03,5.4587135,5.4396634,5.4272766,5.439794,5.451786,5.461681,5.4325094
2011-06-05,5.449315,5.4500055,5.4571366,5.43721,5.4577956,5.4379787,5.4087033
2011-06-06,5.437878,5.451804,5.4541993,5.44854,5.458587,5.447535,5.441951
2011-06-07,5.4139085,5.4395475,5.4452224,5.4422398,5.4415984,5.4420676,5.4654703
2011-06-08,5.4471226,5.432956,5.4556866,5.4485097,5.4757094,5.4337616,5.478677
2011-06-09,5.4202385,5.4678054,5.4437337,5.4663415,5.454375,5.4749584,5.425348
2011-06-10,5.414831,5.489566,5.428465,5.4447494,5.462814,5.4187665,5.481281
2011-06-12,5.415001,5.443208,5.4550023,5.4337015,5.4610314,5.4505706,5.464429
2011-06-13,5.451081,5.4543457,5.465597,5.4515777,5.4624376,5.4823117,5.46984
2011-06-14,5.453796,5.4872746,5.465163,5.485345,5.473925,5.45129,5.489951
2011-06-15,5.430969,5.477396,5.4092603,5.467116,5.492455,5.49766,5.4775424
2011-06-16,5.4607673,5.4968266,5.4866285,5.4887843,5.495839,5.4846177,5.4829655
2011-06-17,5.46439,5.470603,5.486195,5.478885,5.504202,5.502363,5.4678764
2011-06-19,5.465715,5.487408,5.4732747,5.49257,5.5064025,5.4561505,5.496138
2011-06-20,5.49368,5.4807568,5.4841704,5.452918,5.49152,5.4630017,5.498755
2011-06-21,5.484613,5.506953,5.5079455,5.510255,5.5023623,5.4786944,5.502208
2011-06-22,5.496929,5.498627,5.478958,5.4617095,5.487283,5.4743824,5.494065
2011-06-23,5.4708714,5.4976974,5.462589,5.465782,5.482121,5.485948,5.4684806
2011-06-24,5.5031767,5.4987807,5.490073,5.491568,5.4890585,5.4850945,5.4681625
2011-06-26,5.473977,5.487896,5.4872675,5.476622,5.47804,5.4858413,5.4616337
2011-06-27,5.4801254,5.4928427,5.450692,5.4779053,5.4798594,5.458378,5.451883
2011-06-28,5.480655,5.494314,5.4703894,5.4807687,5.464721,5.4586077,5.440848
2011-06-29,5.484942,5.473111,5.4727063,5.440182,5.456303,5.443289,5.4593773
2011-06-30,5.487531,5.4684906,5.4530554,5.4482603,5.4619713,5.4500713,5.422695
2011-07-01,5.476875,5.445826,5.473338,5.4468603,5.4520946,5.4462347,5.4224515
2011-07-03,5.4553022,5.456757,5.4727263,5.4479947,5.435205,5.4246764,5.424786
2011-07-04,5.469616,5.4571686,5.430107,5.4396605,5.4374595,5.3730097,5.4423633
2011-07-05,5.4264607,5.4316316,5.4309616,5.4105515,5.419754,5.426134,5.412899
2011-07-06,5.4380317,5.455034,5.4218755,5.4297595,5.422885,5.4043903,5.4158235
2011-07-07,5.423732,5.441443,5.426119,5.4137545,5.3977284,5.4088464,5.4107504
2011-07-08,5.414635,5.4238386,5.4134684,5.423344,5.420721,5.429474,5.439657
2011-07-10,5.4280834,5.4313855,5.4171543,5.4159374,5.430224,5.448091,5.4483013
2011-07-11,5.4097247,5.415183,5.4150853,5.4106865,5.4222918,5.448279,5.433758
2011-07-12,5.4030876,5.4110312,5.4253926,5.445866,5.4490795,5.4741197,5.470598
2011-07-13,5.4677105,5.4160323,5.4322195,5.442941,5.4552455,5.463375,5.482901
2011-07-14,5.3868527,5.4222507,5.452522,5.458385,5.4598045,5.4588895,5.466728
2011-07-15,5.447531,5.4467444,5.4139953,5.4419994,5.452217,5.4667044,5.4657187
2011-07-17,5.4538608,5.4499593,5.4575744,5.469597,5.4650345,5.4806585,5.4737496
2011-07-18,5.4614453,5.4593625,5.45865,5.44252,5.4883566,5.484659,5.4671717
2011-07-19,5.4506135,5.467658,5.463722,5.468778,5.473639,5.480913,5.477239
2011-07-20,5.4705424,5.4762974,5.4903793,5.485456,5.489489,5.4877625,5.476688
2011-07-21,5.47392,5.482684,5.477514,5.468501,5.4595466,5.465958,5.46959
2011-07-22,5.4709973,5.4889665,5.495981,5.485792,5.459068,5.4581623,5.4769826
2011-07-24,5.4873457,5.472624,5.4721117,5.4722576,5.4679475,5.46219,5.465434
2011-07-25,5.473098,5.467235,5.468478,5.4828095,5.4804397,5.4744124,5.4328628
2011-07-26,5.4802046,5.4616814,5.475033,5.47863,5.4606576,5.4431353,5.4388375
2011-07-27,5.4810457,5.468721,5.46111,5.458303,5.4422154,5.4629965,5.436286
2011-07-28,5.472931,5.491873,5.4632087,5.435385,5.4247212,5.35922,5.4499583
2011-07-29,5.4663506,5.4658127,5.402717,5.4413953,5.4390936,5.47295,5.4316487
2011-07-31,5.462297,5.451891,5.456199,5.507807,5.4372845,5.4416018,5.4280534
2011-08-01,5.4331703,5.4308505,5.4197445,5.421092,5.415322,5.4229307,5.424642
2011-08-02,5.4422984,5.479948,5.4499807,5.4351974,5.439987,5.4004545,5.4070773
2011-08-03,5.4196234,5.4289117,5.460898,5.4274497,5.418566,5.3862085,5.446124
2011-08-04,5.5159655,5.417333,5.4164014,5.3877745,5.399926,5.4065676,5.406177
2011-08-05,5.422573,5.437688,5.4100995,5.417309,5.430048,5.40906,5.3828425
2011-08-07,5.430512,5.419594,5.417126,5.4160247,5.418535,5.4306087,5.415607
2011-08-08,5.4221773,5.4551625,5.4414907,5.4352703,5.3913126,5.38669,5.4368143
2011-08-09,5.392903,5.4245977,5.4131284,5.4297004,5.44035,5.4292426,5.4446354
2011-08-10,5.4316835,5.4286795,5.4126096,5.449149,5.425689,5.442052,5.4588995
2011-08-11,5.423916,5.3814945,5.444546,5.4279423,5.431808,5.457899,5.458614
2011-08-12,5.394989,5.4042654,5.4178205,5.4457026,5.4648952,5.4572973,5.4593124
2011-08-14,5.4594607,5.4551325,5.4361215,5.4598284,5.459357,5.461717,5.4593573
2011-08-15,5.4257817,5.4432654,5.4658294,5.4620166,5.4543476,5.4577217,5.4698143
2011-08-16,5.4486384,5.4531946,5.457598,5.455342,5.457805,5.4434056,5.4770446
2011-08-17,5.465068,5.4659233,5.458688,5.465351,5.4735394,5.4653034,5.481927
2011-08-18,5.459107,5.4548507,5.452473,5.4773045,5.4561057,5.463395,5.47117
2011-08-19,5.4637823,5.45322,5.4618716,5.4770384,5.468954,5.4814343,5.4622197
2011-08-21,5.444624,5.461605,5.4629307,5.4648447,5.4571834,5.425506,5.437455
2011-08-22,5.472317,5.4655547,5.4740787,5.4551024,5.464454,5.4773297,5.4461966
2011-08-23,5.4659286,5.4512625,5.48103,5.4499598,5.455422,5.4445767,5.4384284
2011-08-24,5.4525056,5.46247,5.4768424,5.4581156,5.4522996,5.434423,5.4151864
2011-08-25,5.479784,5.4543552,5.4620404,5.4407296,5.4314933,5.445984,5.436315
2011-08-26,5.4567876,5.453051,5.452742,5.435004,5.4299006,5.436224,5.433765
2011-08-28,5.446269,5.455775,5.4294043,5.4411473,5.433168,5.434843,5.412953
2011-08-29,5.4547358,5.4260154,5.4363184,5.43583,5.434151,5.448493,5.4483943
2011-08-30,5.4499226,5.422254,5.4332438,5.424692,5.4258904,5.4355683,5.421284
2011-08-31,5.4485826,5.43847,5.4369936,5.4107456,5.452538,5.3947134,5.4171376
2011-09-01,5.428975,5.427713,5.423335,5.3751135,5.4456263,5.432065,5.420013
2011-09-02,5.424639,5.423087,5.3846555,5.448924,5.424425,5.4279866,5.4150667
2011-09-04,5.4360294,5.429899,5.4433413,5.421461,5.41862,5.4063125,5.4185157
2011-09-05,5.427974,5.4584074,5.408412,5.4302607,5.417919,5.4148784,5.4287353
2011-09-06,5.4161534,5.417208,5.4179425,5.4221883,5.4196205,5.416716,5.4392395
2011-09-07,5.3949223,5.426744,5.420706,5.4134626,5.420923,5.4307733,5.433834
2011-09-08,5.387538,5.4053416,5.4122624,5.431887,5.4356537,5.4519773,5.443217
2011-09-09,5.4238124,5.420034,5.428215,5.441109,5.4453473,5.444119,5.43857
2011-09-11,5.4172597,5.414932,5.4284487,5.454626,5.4360766,5.444574,5.4348865
2011-09-12,5.421842,5.4176464,5.4420123,5.424479,5.4536214,5.456309,5.447207
2011-09-13,5.430963,5.4446473,5.4318876,5.437726,5.449321,5.4624643,5.4758873
2011-09-14,5.4453173,5.431218,5.440571,5.453642,5.4551272,5.4648967,5.469567
2011-09-15,5.449271,5.448808,5.4431796,5.4533257,5.4574924,5.4493594,5.438637
