,USDPLN,USDPLN,USDPLN,USDPLN,USDPLN,USDPLN,USDPLN
,0,1,2,3,4,5,6
2011-01-16,2.9992447,2.9934738,3.0037692,3.0056472,3.0194354,3.0187008,2.996695
2011-01-17,3.01496,3.0113554,3.0096574,3.0069358,3.0060804,3.0023556,2.988356
2011-01-18,3.0157828,3.0176754,3.001786,3.0074596,3.004078,2.999399,2.9868662
2011-01-19,3.0043623,3.0031848,3.0043864,2.9956937,2.987398,2.991316,2.980168
2011-01-20,3.01111,3.0109076,3.0010295,2.9882617,2.98795,2.9837968,2.974654
2011-01-21,3.0048273,3.0021908,2.9929612,2.9891086,2.9918177,2.9744983,2.9735587
2011-01-23,2.9970322,2.9872777,2.991121,2.9843128,2.9737341,2.9747143,2.9779234
2011-01-24,2.984846,2.9895597,2.9837904,2.9668224,2.9713848,2.9691076,2.9638422
2011-01-25,2.9882452,2.98149,2.9725807,2.9759307,2.9654117,2.9709778,2.9537923
2011-01-26,2.9853935,2.985322,2.9745593,2.967037,2.9502804,2.9636488,2.954516
2011-01-27,2.9795096,2.9695306,2.9700034,2.9667516,2.9559245,2.9468057,2.9344978
2011-01-28,2.981206,2.9679747,2.9539974,2.9580832,2.9590683,2.943038,2.932515
2011-01-30,2.9703124,2.9655378,2.958134,2.9466627,2.9412117,2.9304922,2.9158766
2011-01-31,2.9522,2.9484193,2.9432886,2.9451334,2.9420824,2.9157703,2.9174826
2011-02-01,2.9510713,2.9456193,2.9342234,2.914897,2.9217203,2.916995,2.9007704
2011-02-02,2.9659355,2.9322817,2.9227319,2.9255292,2.9086294,2.8911197,2.891726
2011-02-03,2.9381843,2.954226,2.9202602,2.90733,2.9028172,2.8984146,2.8935933
2011-02-04,2.9462042,2.9145224,2.9358728,2.9048235,2.9028852,2.8916383,2.894807
2011-02-06,2.9135628,2.907071,2.9037592,2.8994653,2.890719,2.889254,2.8587155
2011-02-07,2.9136143,2.9042158,2.886697,2.8806672,2.8768141,2.8890789,2.888515
2011-02-08,2.897037,2.9065888,2.9084291,2.904103,2.9165177,2.8835866,2.8899894
2011-02-09,2.9033203,2.891967,2.900233,2.905993,2.880723,2.8867843,2.8868442
2011-02-10,2.8840852,2.8831213,2.884724,2.887991,2.888304,2.91467,2.8645082
2011-02-11,2.8973887,2.888115,2.8998883,2.8732595,2.8871677,2.882358,2.888175
2011-02-13,2.8822923,2.8853009,2.8899848,2.889788,2.8944237,2.8993492,2.8977
2011-02-14,2.8857062,2.8823483,2.8966653,2.906044,2.9031549,2.8738325,2.8833196
2011-02-15,2.8886762,2.8618758,2.8888822,2.8818629,2.8810916,2.8770761,2.8836634
2011-02-16,2.8762827,2.8839605,2.8839405,2.8799665,2.8767955,2.8641229,2.8693295
2011-02-17,2.8635693,2.88667,2.8885965,2.8892782,2.876928,2.8780954,2.8756902
2011-02-18,2.88592,2.8780713,2.8839266,2.8777308,2.8865404,2.866988,2.864066
2011-02-20,2.9036424,2.8804326,2.8703575,2.8845274,2.888751,2.873968,2.8917034
2011-02-21,2.869297,2.8654583,2.8465834,2.862843,2.8754454,2.8723805,2.8638477
2011-02-22,2.8687038,2.8795726,2.8748052,2.861948,2.870558,2.8711734,2.8870027
2011-02-23,2.8624997,2.8718574,2.881287,2.866362,2.8726814,2.8768284,2.8768387
2011-02-24,2.8721619,2.8712325,2.8788116,2.8740964,2.8674161,2.8731565,2.8761973
2011-02-25,2.8780837,2.9062393,2.8807461,2.8710294,2.8768365,2.878725,2.872532
2011-02-27,2.9099083,2.8755028,2.8727884,2.8735082,2.8743534,2.8689842,2.8822637
2011-02-28,2.8672507,2.8811073,2.8729007,2.8659103,2.8644993,2.850262,2.8765373
2011-03-01,2.8683796,2.8745255,2.8737967,2.8695025,2.8594427,2.8554509,2.8632913
2011-03-02,2.8688865,2.8863976,2.8646011,2.876243,2.860965,2.8680112,2.8744376
2011-03-03,2.8736186,2.8584955,2.8671563,2.8648481,2.8674092,2.8713317,2.8615155
2011-03-04,2.8661602,2.869273,2.865518,2.8751028,2.861134,2.864028,2.871506
2011-03-06,2.8793826,2.8608024,2.870637,2.861058,2.8732698,2.8583016,2.8787222
2011-03-07,2.8763428,2.86338,2.8630884,2.8789186,2.865067,2.8645363,2.8801794
2011-03-08,2.8630157,2.8626127,2.857555,2.8748562,2.8730068,2.8671548,2.8744004
2011-03-09,2.8823807,2.8749745,2.8812687,2.8695028,2.8824346,2.8842573,2.8906913
2011-03-10,2.8684983,2.8658707,2.8702204,2.873097,2.8723884,2.8587835,2.8841465
2011-03-11,2.8611035,2.8744926,2.8793283,2.8661747,2.8761024,2.8831153,2.873894
2011-03-13,2.8618443,2.885551,2.8672106,2.864671,2.8841875,2.8737764,2.8681118
2011-03-14,2.87638,2.8773441,2.8849564,2.8755524,2.8760285,2.8838947,2.8955145
2011-03-15,2.873319,2.85943,2.8608823,2.871521,2.8851624,2.867797,2.8712409
2011-03-16,2.8712337,2.8688886,2.879737,2.873841,2.876808,2.882177,2.8793116
