,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK,USDSEK
,0,1,2,3,4,5,6
2011-01-16,6.83403,6.8336334,6.8437576,6.8418427,6.810379,6.8259354,6.81057
2011-01-17,6.837219,6.827057,6.8314743,6.8309555,6.8301315,6.8260727,6.8233643
2011-01-18,6.830513,6.8344116,6.828186,6.828026,6.8242645,6.8228607,6.81472
2011-01-19,6.825218,6.830414,6.8294907,6.824791,6.8227844,6.81427,6.807358
2011-01-20,6.8262634,6.823433,6.825096,6.81987,6.814125,6.8091736,6.8046417
2011-01-21,6.8274384,6.82473,6.824135,6.815094,6.8068924,6.8049164,6.780113
2011-01-23,6.8238907,6.8232346,6.815033,6.8076706,6.805336,6.779892,6.7716064
2011-01-24,6.82428,6.8128586,6.8073654,6.803589,6.778763,6.7701416,6.7571106
2011-01-25,6.8155823,6.807373,6.8050385,6.778763,6.770569,6.755684,6.7270355
2011-01-26,6.805588,6.804405,6.7794952,6.770569,6.7584534,6.726387,6.7204056
2011-01-27,6.804352,6.778206,6.770195,6.755287,6.723671,6.7202454,6.71595
2011-01-28,6.7780914,6.7690353,6.755501,6.7267,6.7221146,6.717018,6.710449
2011-01-30,6.7709427,6.75634,6.725769,6.724449,6.7179794,6.712372,6.710518
2011-01-31,6.758301,6.726326,6.7229004,6.7166595,6.712181,6.7106323,6.708954
2011-02-01,6.7256546,6.7210617,6.718979,6.710556,6.710434,6.708679,6.6963043
2011-02-02,6.71933,6.7194443,6.713684,6.7098465,6.7082825,6.6932983,6.680237
2011-02-03,6.7142334,6.715065,6.70961,6.7058716,6.6963425,6.6782074,6.6533966
2011-02-04,6.711838,6.710289,6.707596,6.695755,6.680786,6.6554947,6.645401
2011-02-06,6.7116013,6.711029,6.695778,6.6786575,6.653702,6.644203,6.6175537
2011-02-07,6.7074585,6.6952286,6.679596,6.6549835,6.6490326,6.621681,6.618141
2011-02-08,6.6959915,6.6801834,6.655136,6.646591,6.619911,6.616249,6.5949707
2011-02-09,6.682831,6.655365,6.644043,6.6198807,6.6162415,6.5946274,6.5799713
2011-02-10,6.652313,6.646721,6.62693,6.616333,6.5956573,6.5801315,6.5388947
