,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD,USDSGD
,0,1,2,3,4,5,6
2011-01-16,1.3128275,1.3105922,1.3134902,1.2976462,1.300842,1.3085445,1.3000822
2011-01-17,1.3016201,1.3007064,1.2979593,1.2964222,1.2968186,1.2963479,1.2954335
2011-01-18,1.3035378,1.2988391,1.2959735,1.298512,1.2915134,1.2942327,1.2959882
2011-01-19,1.3030097,1.2969888,1.3011217,1.2966667,1.2927635,1.2930353,1.2932868
2011-01-20,1.292425,1.297647,1.3012767,1.2980742,1.2898599,1.2883446,1.2878689
2011-01-21,1.2927375,1.2956514,1.2926923,1.2944171,1.2702614,1.2930082,1.2877388
2011-01-23,1.2904301,1.2935824,1.2931478,1.2821506,1.2818471,1.2782481,1.278317
2011-01-24,1.2941371,1.292763,1.2973424,1.2964919,1.2938046,1.2889374,1.2913266
2011-01-25,1.2927856,1.2892334,1.2952694,1.2943928,1.2935405,1.2883002,1.286115
2011-01-26,1.2981414,1.2924654,1.2834767,1.2971667,1.2849734,1.2938933,1.2888713
2011-01-27,1.2970265,1.3002205,1.2987026,1.2924157,1.2923267,1.2942816,1.286513
2011-01-28,1.2957495,1.2870203,1.2938869,1.2926018,1.2862978,1.2906519,1.2811291
2011-01-30,1.2991503,1.2945778,1.28694,1.2887336,1.2935534,1.2893741,1.2917032
2011-01-31,1.2920002,1.2906358,1.2926888,1.2917124,1.288343,1.2860508,1.2904859
2011-02-01,1.278266,1.2820128,1.2945307,1.2769352,1.2729456,1.2685682,1.2732369
2011-02-02,1.288128,1.291992,1.289186,1.2887052,1.2868166,1.2900925,1.285482
2011-02-03,1.292567,1.2906152,1.303537,1.2949758,1.2869406,1.2905873,1.2868047
2011-02-04,1.2849783,1.2950293,1.2960835,1.289671,1.2827814,1.2882233,1.2728809
2011-02-06,1.2883499,1.2873975,1.2839712,1.285471,1.2888651,1.2887722,1.2885528
2011-02-07,1.2847131,1.2828187,1.2823899,1.2821898,1.2825007,1.2790871,1.285724
2011-02-08,1.2874527,1.2893662,1.2883357,1.2868992,1.2840254,1.2834246,1.2833916
2011-02-09,1.2830555,1.2833471,1.284356,1.285401,1.2832084,1.2813812,1.2811651
2011-02-10,1.2849085,1.2849712,1.2848041,1.2867475,1.281504,1.2849815,1.282859
2011-02-11,1.2830101,1.2759821,1.2800261,1.2761383,1.2759888,1.2773321,1.2709757
2011-02-13,1.2873535,1.2823701,1.3019786,1.2828254,1.2770859,1.2897298,1.2862903
