,USDTRY,USDTRY,USDTRY,USDTRY,USDTRY,USDTRY,USDTRY
,0,1,2,3,4,5,6
2011-01-16,1.5387874,1.5287914,1.5313973,1.5550147,1.5414445,1.5378569,1.5356869
2011-01-17,1.5270402,1.5510118,1.5485213,1.5343028,1.5436913,1.5499094,1.5544386
2011-01-18,1.5572568,1.5459316,1.5494837,1.5563152,1.5491157,1.5513543,1.5464075
2011-01-19,1.5354371,1.5493531,1.5442946,1.5507984,1.5475897,1.5513403,1.5391212
2011-01-20,1.5449374,1.5488446,1.5438714,1.5618073,1.5538162,1.5635002,1.5623907
2011-01-21,1.5499666,1.552428,1.5543845,1.554157,1.5648878,1.5423923,1.5489601
2011-01-23,1.5362867,1.5530467,1.5383618,1.5531092,1.543165,1.5599711,1.5476251
2011-01-24,1.5405773,1.5403913,1.5353045,1.5592636,1.5578238,1.5600601,1.5602243
2011-01-25,1.5435696,1.5497942,1.5486529,1.5619332,1.5619059,1.5565478,1.5619628
2011-01-26,1.5400131,1.540973,1.5537919,1.5629932,1.5520986,1.5492619,1.5633619
2011-01-27,1.547614,1.5595593,1.5579131,1.5550548,1.5627595,1.5583934,1.5615534
2011-01-28,1.5564742,1.5536627,1.5563778,1.5491986,1.5558319,1.5615997,1.5624009
2011-01-30,1.5525951,1.5482816,1.537328,1.5451213,1.5472618,1.5577177,1.552177
2011-01-31,1.540856,1.5535564,1.558095,1.5443269,1.5607382,1.5549724,1.5536544
2011-02-01,1.5524054,1.5566922,1.5628732,1.5552365,1.5624417,1.5679336,1.5686594
2011-02-02,1.5576975,1.5547395,1.55244,1.560947,1.5623759,1.5625575,1.5676249
2011-02-03,1.5516349,1.5537419,1.5602138,1.561657,1.564051,1.5620812,1.5687895
2011-02-04,1.5542045,1.5554098,1.5608702,1.5612833,1.5679007,1.5677375,1.5675917
2011-02-06,1.5650752,1.5689543,1.5650318,1.5608103,1.5708163,1.5683471,1.5691141
2011-02-07,1.5639002,1.5663428,1.5670953,1.5695571,1.5719929,1.5799502,1.5686423
