,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR,USDZAR
,0,1,2,3,4,5,6
2011-01-16,6.7820277,6.755582,6.7545033,6.797692,6.808384,6.8211856,6.7637267
2011-01-17,6.8325167,6.8286324,6.832339,6.8247666,6.8219843,6.824814,6.8291335
2011-01-18,6.8296514,6.8313127,6.8336315,6.83165,6.8318686,6.823736,6.8313355
2011-01-19,6.833309,6.83337,6.8283277,6.828243,6.8319554,6.8324423,6.832503
2011-01-20,6.8329597,6.8322206,6.82665,6.8319807,6.8320193,6.824895,6.8351784
2011-01-21,6.828463,6.8300915,6.833477,6.8245335,6.8320637,6.8336916,6.828469
2011-01-23,6.833557,6.815488,6.825622,6.830884,6.8321066,6.8327856,6.8393865
2011-01-24,6.8330684,6.835449,6.8318186,6.830927,6.8425236,6.835779,6.8408203
2011-01-25,6.826854,6.8178673,6.8286734,6.8267493,6.832541,6.8432655,6.8305535
2011-01-26,6.8329487,6.8356085,6.843728,6.835973,6.8325405,6.834795,6.8394847
2011-01-27,6.8361106,6.834704,6.8342805,6.831124,6.830077,6.834126,6.829133
2011-01-28,6.824774,6.8378534,6.8292985,6.829833,6.840226,6.8285747,6.8482623
2011-01-30,6.832938,6.831987,6.8389363,6.829565,6.8434124,6.840535,6.855612
2011-01-31,6.839133,6.8438387,6.833686,6.8414917,6.8434525,6.8572035,6.8820887
2011-02-01,6.812418,6.8258557,6.827737,6.8264227,6.8564277,6.8883815,6.883575
2011-02-02,6.8328223,6.820464,6.8432207,6.866814,6.88969,6.8869686,6.9113975
2011-02-03,6.8467736,6.8619914,6.8554277,6.8846793,6.8977327,6.9055543,6.91983
2011-02-04,6.8576612,6.851254,6.8833575,6.89375,6.90816,6.9379745,6.9532466
2011-02-06,6.851609,6.875484,6.9077516,6.916384,6.9328585,6.9583263,7.0132074
2011-02-07,6.888776,6.9056683,6.8952584,6.927913,6.9452243,7.0355277,7.059215
2011-02-08,6.8997173,6.9091105,6.9373183,6.952137,7.025791,7.0495234,7.0379376
2011-02-09,6.9030147,6.923665,6.955375,7.0343986,7.06054,7.033077,7.064349
2011-02-10,6.9156423,6.944463,7.0218205,7.029676,7.0454497,7.0171456,7.069059
2011-02-11,6.951931,7.0391917,7.0289345,7.058177,7.050421,7.052085,7.084612
2011-02-13,6.9755864,7.0432167,7.0098457,7.0324006,7.0906196,7.0558186,7.1072536
2011-02-14,7.018913,7.0417747,7.087785,7.061436,7.0827503,7.0972753,7.1223774
2011-02-15,7.032728,7.0135765,7.0445304,7.0809073,7.0868244,7.120655,7.1193256
2011-02-16,7.0293746,7.0735745,7.091275,7.090095,7.1358137,7.1077533,7.1494365
2011-02-17,7.0719833,7.079583,7.0908065,7.1236653,7.1209197,7.1411467,7.149967
2011-02-18,7.050418,7.0879025,7.128741,7.1570935,7.1375546,7.13866,7.1418347
2011-02-20,7.0897746,7.1154804,7.128163,7.144121,7.1465635,7.170613,7.1423674
2011-02-21,7.121107,7.124305,7.143136,7.135511,7.140702,7.120577,7.1554313
2011-02-22,7.1419077,7.1394024,7.1307187,7.143517,7.155384,7.1541605,7.1522713
2011-02-23,7.159795,7.1164503,7.1296234,7.151414,7.1509047,7.179485,7.1554794
2011-02-24,7.125401,7.1536956,7.169341,7.152215,7.146371,7.126859,7.1339607
2011-02-25,7.1519427,7.12203,7.1637774,7.1381426,7.1379433,7.139935,7.145793
2011-02-27,7.1528616,7.152069,7.172878,7.1541505,7.137414,7.1548533,7.1766
2011-02-28,7.129962,7.137861,7.143799,7.1456037,7.145753,7.1537123,7.1461205
2011-03-01,7.148567,7.1427627,7.1399684,7.1441,7.14597,7.153531,7.1456513
2011-03-02,7.1837416,7.145932,7.151214,7.135289,7.14124,7.1455383,7.1572113
2011-03-03,7.134217,7.1517525,7.146529,7.131773,7.1377826,7.145013,7.1305346
2011-03-04,7.1466093,7.1299253,7.1421776,7.153105,7.120868,7.139637,7.1529136
2011-03-06,7.138178,7.1335697,7.152424,7.1369414,7.1464906,7.1594768,7.145906
2011-03-07,7.1583843,7.1436644,7.1433263,7.146105,7.1326714,7.1584916,7.140679
2011-03-08,7.1380568,7.1431904,7.142041,7.1488433,7.14731,7.0844045,7.155723
2011-03-09,7.133249,7.145326,7.1576905,7.142326,7.1799326,7.120443,7.137203
2011-03-10,7.15092,7.1354237,7.1281776,7.1471496,7.139949,7.137115,7.1221104
2011-03-11,7.144144,7.1328573,7.1336656,7.1375656,7.1235704,7.127568,7.114942
2011-03-13,7.141057,7.147743,7.1586013,7.1369624,7.1333475,7.1118503,7.082184
2011-03-14,7.1449776,7.140012,7.1414976,7.115375,7.1128235,7.0783925,7.063198
2011-03-15,7.1447716,7.129639,7.128647,7.1159163,7.0819283,7.070403,7.0526743
2011-03-16,7.13451,7.124975,7.1075,7.0761604,7.072703,7.0471396,7.034709
2011-03-17,7.1451387,7.109489,7.0719247,7.0834327,7.0467553,7.0287714,7.029313
2011-03-18,7.123688,7.089561,7.0645175,7.046868,7.031107,7.0130916,7.0018606
2011-03-20,7.0721164,7.072821,7.0340886,7.023999,7.0242643,6.996537,6.998077
2011-03-21,7.0745234,7.0369673,7.023331,6.999851,6.96381,6.9853435,6.9665384
2011-03-22,7.0517373,7.0433364,7.0420723,7.006414,6.9961095,6.9866314,6.9432435
2011-03-23,7.0502563,6.9804616,7.010481,6.9820185,6.9773912,6.9800243,6.938921
2011-03-24,7.0114117,6.995119,7.0014706,6.952246,6.9775114,6.9556403,6.967091
2011-03-25,6.9796095,7.016377,7.0066295,6.97464,6.968253,6.9173546,6.9469995
2011-03-27,6.9868383,6.968262,6.958437,6.8909607,6.9331975,6.9430842,6.948973
2011-03-28,6.9811144,6.983075,6.9562755,6.9535465,6.895685,6.924467,6.917236
2011-03-29,6.947021,6.99748,6.949702,6.9379845,6.9442673,6.8975096,6.905316
2011-03-30,6.9277782,6.966084,6.9417896,6.9267325,6.9348316,6.936695,6.901778
2011-03-31,6.936333,6.937892,6.9645343,6.931745,6.890728,6.92701,6.9045424
2011-04-01,6.9486003,6.9282665,6.984189,6.9048853,6.9017887,6.8995585,6.906348
2011-04-03,6.924753,6.9827976,6.916568,6.9097323,6.915755,6.9311123,6.895103
2011-04-04,6.9248877,6.90722,6.9122057,6.8901277,6.898023,6.886598,6.8518534
2011-04-05,6.9206843,6.9033065,6.9078016,6.893263,6.8790355,6.8896413,6.8916326
2011-04-06,6.913314,6.9069023,6.9069,6.88947,6.9118347,6.8883357,6.878065
2011-04-07,6.8976655,6.8882275,6.898214,6.8785014,6.900793,6.908222,6.8630624
2011-04-08,6.8940253,6.9071736,6.859968,6.892478,6.892946,6.8726544,6.860288
2011-04-10,6.8922133,6.881208,6.8724723,6.8782535,6.8847623,6.8684773,6.8400025
2011-04-11,6.888045,6.8882265,6.8730206,6.854808,6.8744373,6.883896,6.8569956
2011-04-12,6.892282,6.8786225,6.8771167,6.873214,6.8739815,6.8167458,6.835856
2011-04-13,6.8686676,6.895095,6.861089,6.8679094,6.8384666,6.8621287,6.854086
2011-04-14,6.842914,6.8696356,6.8397007,6.8520794,6.8674335,6.876644,6.8573565
2011-04-15,6.8614416,6.8888283,6.8883424,6.83873,6.8711634,6.8636746,6.8431883
2011-04-17,6.844214,6.834942,6.8744454,6.8533535,6.859565,6.8410177,6.8424196
2011-04-18,6.8691916,6.8639517,6.847677,6.8732467,6.852136,6.8467193,6.8611417
2011-04-19,6.8934584,6.859382,6.848241,6.8567424,6.846365,6.820836,6.835729
2011-04-20,6.8408465,6.8576035,6.8443933,6.8512616,6.835399,6.8523607,6.8175054
2011-04-21,6.8512063,6.841122,6.848758,6.8377132,6.839466,6.8024325,6.816843
2011-04-24,6.846999,6.8478255,6.855145,6.8418236,6.8224363,6.8041663,6.787754
2011-04-25,6.834955,6.8437915,6.814114,6.8120995,6.810075,6.791796,6.782908
2011-04-26,6.8333893,6.8287153,6.8261127,6.8075795,6.773951,6.7662706,6.765517
2011-04-27,6.8145633,6.8244987,6.801795,6.779387,6.7744465,6.778124,6.733768
2011-04-28,6.8140182,6.811171,6.7792406,6.7697043,6.7803717,6.7380557,6.727635
2011-04-29,6.806279,6.7829924,6.777707,6.749367,6.742115,6.73779,6.7225375
2011-05-01,6.786451,6.784433,6.7658243,6.7482862,6.7429547,6.729002,6.742078
2011-05-02,6.7893662,6.7735586,6.7562256,6.7245374,6.7198205,6.752178,6.720757
2011-05-03,6.758055,6.723338,6.727339,6.717557,6.7216897,6.7350874,6.7752595
2011-05-04,6.740795,6.7237983,6.7248335,6.6949263,6.7372737,6.692073,6.712312
2011-05-05,6.74552,6.710199,6.703751,6.698583,6.701026,6.6891675,6.7006946
2011-05-06,6.7285423,6.7408037,6.752936,6.7315154,6.7089157,6.672449,6.738918
2011-05-08,6.7223263,6.745943,6.682046,6.669714,6.700023,6.7441525,6.7516413
2011-05-09,6.709363,6.698736,6.709904,6.7474217,6.707339,6.7226086,6.7146263
2011-05-10,6.6835785,6.725952,6.6971602,6.689175,6.6918173,6.704161,6.715442
2011-05-11,6.6980157,6.7488203,6.7441306,6.7136507,6.747159,6.700715,6.7187424
2011-05-12,6.703252,6.7052274,6.698723,6.7411823,6.697641,6.7039766,6.7126417
2011-05-13,6.745027,6.708351,6.694362,6.7181005,6.6961803,6.732958,6.719137
2011-05-15,6.712676,6.7346673,6.7081885,6.7075095,6.7086825,6.7201986,6.710426
2011-05-16,6.7294054,6.714022,6.7108574,6.714967,6.7218075,6.70978,6.727916
2011-05-17,6.7197065,6.7265105,6.705074,6.7260284,6.719277,6.718255,6.733707
2011-05-18,6.7128015,6.7193403,6.7074776,6.707656,6.725127,6.729912,6.755873
2011-05-19,6.7303443,6.710245,6.7240653,6.721548,6.734925,6.7628665,6.7635884
2011-05-20,6.7283373,6.724625,6.7232213,6.7334223,6.755953,6.765818,6.789187
2011-05-22,6.719733,6.72875,6.7329984,6.7514124,6.768153,6.782887,6.8126855
2011-05-23,6.72361,6.72396,6.752123,6.7583413,6.7923207,6.810263,6.8169804
2011-05-24,6.734614,6.7604523,6.7612505,6.7851043,6.8120227,6.816652,6.8258924
2011-05-25,6.7497315,6.7597375,6.7892585,6.800732,6.819184,6.8160086,6.826821
2011-05-26,6.7658362,6.7929716,6.817209,6.8131857,6.8223424,6.8193154,6.84025
2011-05-27,6.783632,6.79714,6.819472,6.8256507,6.8246746,6.848408,6.8039923
2011-05-29,6.804328,6.819146,6.816649,6.803117,6.835541,6.8157988,6.8054705
2011-05-30,6.824376,6.8241873,6.800806,6.825121,6.8174076,6.7870846,6.7913804
2011-05-31,6.823163,6.8191476,6.8204746,6.82205,6.798422,6.801703,6.8047423
2011-06-01,6.820364,6.8327146,6.8129044,6.8019505,6.808351,6.8028593,6.8064976
2011-06-02,6.8375015,6.815831,6.800876,6.80636,6.793358,6.791891,6.7889338
2011-06-03,6.8175635,6.8025055,6.801926,6.800702,6.791568,6.815973,6.8100863
2011-06-05,6.793156,6.805268,6.8186855,6.8063,6.81192,6.806312,6.8111534
2011-06-06,6.798701,6.8088455,6.810066,6.800016,6.8174844,6.808539,6.802963
2011-06-07,6.787358,6.789872,6.790596,6.8048644,6.798438,6.8045807,6.7847695
2011-06-08,6.801644,6.8022585,6.7987313,6.7983947,6.795525,6.7953506,6.8520474
2011-06-09,6.8014426,6.8165803,6.816484,6.8037214,6.816113,6.786165,6.8036413
2011-06-10,6.794024,6.810389,6.8064327,6.796412,6.807781,6.8186564,6.8037586
2011-06-12,6.807335,6.80659,6.804638,6.8029847,6.8023906,6.8223066,6.812214
2011-06-13,6.825277,6.806883,6.7961287,6.7953734,6.816871,6.811982,6.8145294
2011-06-14,6.803392,6.8114767,6.803865,6.8199205,6.8268876,6.828117,6.823733
2011-06-15,6.797777,6.807891,6.8157907,6.8421183,6.843311,6.811618,6.8398113
2011-06-16,6.806166,6.8061934,6.8364673,6.819011,6.843556,6.8282824,6.8322034
2011-06-17,6.823553,6.8285975,6.81309,6.826708,6.820743,6.810748,6.811853
2011-06-19,6.8381104,6.820088,6.821678,6.829575,6.8056273,6.828232,6.8181157
2011-06-20,6.829482,6.828639,6.82458,6.826585,6.8487587,6.8074865,6.8311815
2011-06-21,6.815142,6.82002,6.8264823,6.8355703,6.851535,6.8391633,6.85365
2011-06-22,6.8237376,6.829028,6.8207855,6.843381,6.8371406,6.8318653,6.842597
2011-06-23,6.8475885,6.819387,6.8301287,6.8249846,6.848644,6.82712,6.84647
2011-06-24,6.830863,6.807983,6.8306074,6.843298,6.8248878,6.842702,6.8250594
2011-06-26,6.824623,6.8109965,6.828294,6.84198,6.834999,6.8280916,6.814407
2011-06-27,6.8312745,6.8224945,6.806932,6.8230395,6.8176584,6.822556,6.84259
2011-06-28,6.8252873,6.8196235,6.825112,6.829661,6.8156114,6.799296,6.786394
2011-06-29,6.837555,6.856168,6.8146477,6.8292994,6.7833943,6.78615,6.8134456
2011-06-30,6.8367476,6.832885,6.8216,6.8333197,6.82699,6.788251,6.7765937
2011-07-01,6.795065,6.7862153,6.803492,6.8005023,6.8044024,6.7796497,6.8059297
2011-07-03,6.8032703,6.780643,6.8067613,6.786562,6.787736,6.7631116,6.759507
2011-07-04,6.8074317,6.8101974,6.8052244,6.7807484,6.775837,6.784703,6.766809
2011-07-05,6.8108172,6.7728243,6.7890415,6.788427,6.7711496,6.7929945,6.7721233
2011-07-06,6.7911954,6.8027134,6.7867894,6.7993565,6.770322,6.7670584,6.7703805
2011-07-07,6.766482,6.786152,6.794706,6.7757015,6.805184,6.7840514,6.7642946
2011-07-08,6.7871013,6.7622447,6.779317,6.7796383,6.755458,6.7667675,6.758069
2011-07-10,6.765048,6.771178,6.7588816,6.7726855,6.785904,6.7747006,6.750276
2011-07-11,6.77995,6.828975,6.767269,6.7651286,6.756738,6.7614646,6.7702885
2011-07-12,6.741562,6.7637334,6.7745733,6.7733755,6.76999,6.7707853,6.7651753
2011-07-13,6.7595005,6.7416706,6.7791243,6.7603216,6.7744865,6.7754297,6.7732034
2011-07-14,6.764695,6.7783327,6.7543674,6.781375,6.7744393,6.7808127,6.8130674
2011-07-15,6.7682533,6.7729306,6.770258,6.785956,6.784967,6.773329,6.7903824
2011-07-17,6.7512455,6.758516,6.743367,6.7856145,6.799397,6.7981305,6.790543
2011-07-18,6.7661657,6.7709804,6.8033032,6.792891,6.7905045,6.8011365,6.807024
2011-07-19,6.795848,6.775476,6.7952476,6.7926593,6.8164043,6.802421,6.822913
2011-07-20,6.777311,6.7885714,6.7957463,6.793457,6.8186297,6.8047934,6.7925253
2011-07-21,6.805439,6.777091,6.8048687,6.817875,6.7999816,6.7948713,6.805866
2011-07-22,6.7917695,6.794065,6.8054466,6.809788,6.819174,6.7921543,6.798864
2011-07-24,6.807241,6.7963753,6.79608,6.8084536,6.8064184,6.78978,6.793088
2011-07-25,6.7760725,6.8053155,6.8060203,6.798525,6.8007946,6.785276,6.7808223
2011-07-26,6.796216,6.809255,6.787517,6.8087144,6.790491,6.7605877,6.7796316
2011-07-27,6.799803,6.7931867,6.804297,6.802637,6.7805123,6.789153,6.7849255
2011-07-28,6.8030047,6.8167133,6.784761,6.7789307,6.7775807,6.761153,6.7615633
2011-07-29,6.810804,6.8049874,6.787783,6.7775855,6.7857494,6.7660565,6.770279
