,WTIUSD,WTIUSD,WTIUSD,WTIUSD,WTIUSD,WTIUSD,WTIUSD
,0,1,2,3,4,5,6
2011-01-16,19.946115,20.921654,19.862053,20.592102,20.608446,20.783754,20.356009
2011-01-17,40.849735,41.797142,40.60048,41.430687,41.415462,41.60339,41.176033
2011-01-18,60.687534,61.63518,60.43822,61.268562,61.25346,61.44143,61.013912
2011-01-19,80.148315,81.09603,79.89899,80.729355,80.7143,80.90228,80.47471
2011-01-20,89.97604,90.07549,90.27201,90.16524,90.17611,90.14332,90.18958
2011-01-21,90.18849,90.194824,90.193016,90.19837,90.19649,90.198296,90.19778
2011-01-23,90.202385,90.2002,90.2015,90.198784,90.2011,90.19963,90.2008
2011-01-24,90.1995,90.20089,90.201355,90.201485,90.200035,90.19937,90.20208
2011-01-25,90.19874,90.2013,90.19926,90.19993,90.2012,90.20114,90.201126
2011-01-26,90.20259,90.20216,90.20172,90.20079,90.19994,90.20126,90.289734
2011-01-27,90.19866,90.2007,90.20152,90.201225,90.201294,90.28779,90.30192
2011-01-28,90.20079,90.19841,90.19894,90.19976,90.288765,90.30014,90.32278
2011-01-30,90.202354,90.19905,90.201965,90.28939,90.30413,90.32583,90.55509
2011-01-31,90.19834,90.20049,90.289055,90.30278,90.32661,90.555595,90.30359
2011-02-01,90.20029,90.28966,90.30079,90.32011,90.55424,90.300705,90.28835
2011-02-02,90.29307,90.30265,90.32669,90.55519,90.30006,90.29074,90.25022
2011-02-03,90.29856,90.32482,90.55717,90.31036,90.287865,90.24431,90.19954
2011-02-04,90.32736,90.55488,90.30998,90.29161,90.25402,90.19724,90.19328
2011-02-06,90.55382,90.303535,90.28677,90.254196,90.20305,90.191696,90.14063
2011-02-07,90.30889,90.28944,90.2531,90.19951,90.19396,90.140724,89.94358
2011-02-08,90.29118,90.252304,90.20184,90.193306,90.14403,89.93712,89.926636
2011-02-09,90.25357,90.19656,90.19376,90.140045,89.93546,89.92954,89.891426
2011-02-10,90.20453,90.189674,90.14308,89.931946,89.93062,89.89617,89.56194
2011-02-11,90.18766,90.14758,89.93138,89.937225,89.895294,89.56178,89.40929
2011-02-13,90.14188,89.93869,89.928116,89.88932,89.55942,89.40636,89.35152
2011-02-14,89.93947,89.92752,89.89171,89.56044,89.40613,89.34001,89.45991
2011-02-15,89.9308,89.89859,89.56049,89.40913,89.33986,89.46384,89.56279
2011-02-16,89.89648,89.57403,89.39903,89.34251,89.465355,89.564186,89.89014
2011-02-17,89.56324,89.406456,89.34066,89.45971,89.56151,89.88877,89.93326
2011-02-18,89.41922,89.34735,89.46828,89.57961,89.890495,89.924614,89.932724
2011-02-20,89.34423,89.46841,89.55807,89.89601,89.92393,89.92988,89.92623
2011-02-21,89.4617,89.561424,89.89635,89.92498,89.93067,89.92903,89.933685
2011-02-22,89.54947,89.894226,89.91678,89.93395,89.927,89.92942,89.93304
2011-02-23,89.89584,89.93153,89.940475,89.93436,89.9372,89.93439,89.92572
2011-02-24,89.922104,89.93278,89.92163,89.9277,89.91918,89.93378,89.9341
2011-02-25,89.9299,89.922745,89.92573,89.92915,89.93263,89.94162,89.93335
2011-02-27,89.94428,89.92595,89.93919,89.930435,89.93767,89.93056,89.92511
2011-02-28,89.94035,89.92686,89.914215,89.923645,89.92228,89.92986,89.93454
2011-03-01,89.91976,89.917534,89.94298,89.935005,89.93111,89.93684,90.14472
2011-03-02,89.91114,89.93823,89.92014,89.935486,89.91648,90.15657,90.24514
2011-03-03,89.922104,89.929695,89.925125,89.92712,90.14156,90.24256,90.545654
2011-03-04,89.94078,89.93159,89.941444,90.14828,90.26435,90.5333,90.92686
2011-03-06,89.93711,89.94025,90.142,90.260445,90.55736,90.92574,91.05666
2011-03-07,89.92412,90.13296,90.25112,90.57218,90.92885,91.04182,91.37585
2011-03-08,90.12929,90.252205,90.5554,90.91504,91.0424,91.36995,91.39606
2011-03-09,90.24537,90.55063,90.92928,91.046875,91.38349,91.40268,94.304634
2011-03-10,90.54994,90.93713,91.08082,91.3753,91.42092,94.24233,96.02981
2011-03-11,90.92884,91.06021,91.36542,91.38264,94.239914,96.011215,97.39433
2011-03-13,91.06475,91.35694,91.39267,94.23185,95.99228,97.39999,97.69456
2011-03-14,91.37413,91.38091,94.22641,95.9858,97.41366,97.71321,97.87189
2011-03-15,91.39698,94.26047,96.02214,97.41185,97.700005,97.85794,98.537186
2011-03-16,94.31147,96.02004,97.388405,97.710144,97.899506,98.5421,98.99487
2011-03-17,96.02009,97.40782,97.70293,97.86688,98.53873,98.978195,99.06059
2011-03-18,97.38477,97.71491,97.85333,98.53792,98.9711,99.05436,99.10761
2011-03-20,97.70433,97.86456,98.51467,98.96532,99.06778,99.130775,99.55202
2011-03-21,97.881676,98.53974,99.000534,99.04352,99.12007,99.53571,100.950424
2011-03-22,98.507545,98.98875,99.062836,99.10956,99.55231,100.94241,101.04184
2011-03-23,98.9762,99.04498,99.10518,99.544754,100.96748,101.048874,101.138626
2011-03-24,99.04922,99.11454,99.54026,101.03252,101.04327,101.14488,101.44989
2011-03-25,99.15179,99.52307,100.95975,101.096054,101.15104,101.470535,101.60928
2011-03-27,99.51982,100.966,101.06218,101.14113,101.44385,101.59675,102.08966
2011-03-28,100.97591,101.05517,101.12587,101.47124,101.63812,102.08721,102.898384
2011-03-29,101.060104,101.140366,101.45387,101.58123,102.10411,102.8694,103.24357
2011-03-30,101.14393,101.45723,101.61263,102.076385,102.87129,103.256454,103.41945
2011-03-31,101.443474,101.6199,102.066124,102.92708,103.24052,103.39992,103.730606
2011-04-01,101.60812,102.08702,102.86607,103.22887,103.391045,103.732895,103.89287
2011-04-03,102.07879,102.875916,103.24007,103.42271,103.745575,103.88486,103.9971
2011-04-04,102.91957,103.257355,103.38415,103.753746,103.89537,103.93217,104.30058
2011-04-05,103.24156,103.426155,103.73345,103.92028,103.91495,104.31886,104.3421
2011-04-06,103.37996,103.73996,103.89496,103.959785,104.30567,104.35952,104.42865
2011-04-07,103.796455,103.90534,103.961815,104.29456,104.33195,104.45302,104.72114
2011-04-08,103.90924,103.94411,104.310425,104.36136,104.43609,104.698044,105.166824
2011-04-10,104.01537,104.29243,104.33526,104.46656,104.69689,105.1517,105.290375
2011-04-11,104.26525,104.3282,104.43589,104.66701,105.12744,105.23359,105.354355
2011-04-12,104.33904,104.45316,104.71179,105.130394,105.31735,105.37205,105.44347
2011-04-13,104.43678,104.70354,105.15494,105.309265,105.35776,105.4679,105.446915
2011-04-14,104.70524,105.10582,105.31747,105.31073,105.49956,105.44609,105.44939
2011-04-15,105.11793,105.27123,105.40927,105.47011,105.5294,105.45528,105.698715
2011-04-17,105.32936,105.40123,105.43662,105.47582,105.36593,105.73391,105.89306
2011-04-18,105.366394,105.46098,105.461266,105.4797,105.73826,105.93127,106.895744
2011-04-19,105.42936,105.46677,105.45468,105.7336,105.91365,106.89209,107.31526
2011-04-20,105.43776,105.47775,105.71507,105.91304,106.958046,107.35194,107.4941
2011-04-21,105.47508,105.72986,105.881134,106.92973,107.3214,107.48499,107.68796
2011-04-24,105.68689,105.888176,106.921814,107.31085,107.525764,107.62627,108.03011
2011-04-25,105.92188,106.943375,107.2777,107.49059,107.64978,108.006325,108.19567
2011-04-26,106.9421,107.32198,107.4826,107.64187,108.023125,108.17278,108.30494
2011-04-27,107.309364,107.5161,107.63592,108.001236,108.167786,108.25127,108.34808
2011-04-28,107.46052,107.60216,108.006226,108.1964,108.22614,108.31467,108.49057
2011-04-29,107.64643,108.02492,108.15955,108.278786,108.355156,108.42599,108.52269
2011-05-01,108.02731,108.058464,108.30654,108.323044,108.4349,108.56811,108.50775
2011-05-02,108.19304,108.25368,108.33873,108.389114,108.47622,108.474236,108.52909
