,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD,XAGUSD
,0,1,2,3,4,5,6
2011-01-16,25.922096,23.441055,23.721344,20.453545,21.365768,21.286697,19.653206
2011-01-17,29.287453,29.263382,29.24884,29.317406,29.201927,29.19912,29.310654
2011-01-18,29.273987,29.258476,29.256096,29.217781,29.219933,29.22187,29.223938
2011-01-19,29.255936,29.257126,29.223175,29.22242,29.22219,29.221802,29.22181
2011-01-20,29.256775,29.222893,29.224594,29.221756,29.222908,29.224258,29.161415
2011-01-21,29.222313,29.22316,29.221367,29.223663,29.221413,29.16269,29.144897
2011-01-23,29.223,29.225388,29.22474,29.223396,29.16172,29.146378,29.145866
2011-01-24,29.225197,29.225319,29.222412,29.163841,29.148048,29.145538,29.148834
2011-01-25,29.220085,29.222015,29.159302,29.145515,29.146965,29.147728,29.14354
2011-01-26,29.223854,29.160095,29.149223,29.146477,29.14595,29.147469,29.0682
2011-01-27,29.166527,29.143898,29.143433,29.147064,29.14653,29.064835,28.991745
2011-01-28,29.149094,29.142746,29.146667,29.145515,29.06984,28.993172,28.945625
2011-01-30,29.146011,29.147064,29.143486,29.068703,28.987183,28.947266,28.905418
2011-01-31,29.147346,29.147308,29.064255,28.992645,28.944397,28.902824,28.905159
2011-02-01,29.145065,29.069412,28.991394,28.939812,28.902916,28.90483,28.9058
2011-02-02,29.070335,28.994019,28.94786,28.904533,28.905762,28.90567,28.903023
2011-02-03,28.989616,28.938751,28.902267,28.90451,28.905624,28.901741,28.90387
2011-02-04,28.945236,28.907127,28.901817,28.903122,28.902916,28.90342,28.905418
2011-02-06,28.902863,28.903915,28.904068,28.902878,28.906136,28.907806,28.90268
2011-02-07,28.911957,28.901443,28.901665,28.908188,28.905937,28.90593,28.900963
2011-02-08,28.903877,28.907066,28.904724,28.904846,28.902779,28.901352,28.90377
2011-02-09,28.907303,28.903069,28.904045,28.903694,28.906326,28.90342,28.902908
2011-02-10,28.902184,28.90345,28.902855,28.90371,28.905937,28.908195,28.902893
2011-02-11,28.907639,28.907265,28.905502,28.908997,28.902336,28.9058,28.904228
2011-02-13,28.906769,28.902939,28.901176,28.90654,28.906395,28.900314,28.904999
2011-02-14,28.90763,28.903519,28.901375,28.900986,28.906136,28.90258,28.904999
2011-02-15,28.90242,28.907845,28.905693,28.90345,28.902267,28.908325,28.948341
2011-02-16,28.907837,28.902939,28.900787,28.909134,28.906593,28.940697,28.946579
2011-02-17,28.907509,28.90326,28.901176,28.906425,28.943169,28.951721,28.993217
2011-02-18,28.90203,28.908287,28.905952,28.944458,28.94735,28.991577,28.992111
2011-02-20,28.907967,28.90261,28.941566,28.948395,28.977417,28.991577,28.988441
2011-02-21,28.907509,28.942795,28.95543,28.988525,28.999542,28.992584,28.992142
2011-02-22,28.920982,28.95427,28.98442,28.994041,29.004578,28.992943,29.133247
2011-02-23,28.951576,28.991234,28.990303,28.993973,28.978065,29.13298,29.293419
2011-02-24,28.992188,28.997505,28.988747,28.993065,29.134987,29.297081,29.882591
2011-02-25,28.99768,28.977753,28.99147,29.13398,29.299843,29.886757,29.900406
2011-02-27,28.988503,28.985374,29.132729,29.29628,29.88086,29.906517,30.019669
2011-02-28,28.985687,29.141808,29.301529,29.88102,29.904472,30.01883,30.027657
2011-03-01,29.131851,29.30606,29.888977,29.903038,30.028984,30.0373,30.221703
2011-03-02,29.296883,29.880936,29.902702,30.017883,30.0233,30.222725,30.37886
2011-03-03,29.89701,29.909088,30.017525,30.030624,30.222107,30.372536,30.697464
2011-03-04,29.915077,30.013985,30.026459,30.229279,30.383408,30.696098,30.707184
2011-03-06,29.983727,30.029572,30.23079,30.369713,30.711327,30.711044,31.180786
2011-03-07,30.03714,30.233345,30.373207,30.695168,30.708298,31.172607,32.05935
2011-03-08,30.214783,30.372818,30.69757,30.699722,31.191643,32.0728,32.890488
2011-03-09,30.3816,30.697891,30.702362,31.186836,32.064873,32.891647,32.907837
2011-03-10,30.694397,30.704033,31.17469,32.070267,32.88793,32.906364,33.01645
2011-03-11,30.722824,31.186272,32.083023,32.87935,32.91169,33.03392,33.035927
2011-03-13,31.185982,32.083992,32.8863,32.90007,33.02207,33.050827,33.303825
2011-03-14,32.064278,32.88961,32.90661,33.016907,33.034225,33.304276,33.4933
2011-03-15,32.879562,32.896805,33.035637,33.04178,33.31109,33.499046,33.6053
2011-03-16,32.906296,33.01763,33.027077,33.308067,33.496666,33.584663,33.66513
2011-03-17,33.02072,33.03518,33.3087,33.4982,33.592316,33.66729,34.28018
2011-03-18,33.037376,33.304695,33.49655,33.599907,33.670494,34.270805,34.36724
2011-03-20,33.32231,33.513123,33.591225,33.675743,34.287994,34.373207,34.375504
2011-03-21,33.492638,33.599113,33.670525,34.281685,34.35852,34.3854,34.453087
2011-03-22,33.60443,33.66696,34.271126,34.362053,34.403984,34.445457,34.511215
2011-03-23,33.67521,34.27083,34.359383,34.368515,34.4348,34.493027,34.677147
2011-03-24,34.277367,34.36538,34.384216,34.424004,34.5066,34.661957,34.869286
2011-03-25,34.371452,34.373466,34.4261,34.510826,34.649864,34.888046,34.971245
2011-03-27,34.364006,34.43952,34.512344,34.65777,34.88935,34.957848,35.11566
2011-03-28,34.449234,34.49311,34.6613,34.853477,34.957672,35.12805,35.402565
2011-03-29,34.517372,34.657013,34.89399,34.956085,35.125397,35.414085,35.758476
2011-03-30,34.648132,34.861786,34.961334,35.129898,35.3973,35.758934,35.85987
2011-03-31,34.86866,34.975784,35.102104,35.393234,35.733337,35.886337,35.934258
2011-04-01,34.95028,35.14116,35.38949,35.77784,35.86152,35.95848,35.99259
2011-04-03,35.137825,35.413666,35.752045,35.861824,35.955566,35.983437,36.013557
2011-04-04,35.402733,35.749374,35.887733,35.97178,35.970848,36.024162,36.06401
2011-04-05,35.75596,35.846916,35.926003,35.96044,36.052933,36.036446,36.131134
2011-04-06,35.848114,35.949608,35.962578,36.050896,36.067123,36.14866,36.16153
2011-04-07,35.983307,35.97004,36.06134,36.05272,36.11641,36.14675,36.19153
2011-04-08,35.947334,36.041893,36.076767,36.140068,36.165787,36.198517,36.810486
2011-04-10,36.020622,36.06595,36.12252,36.177864,36.186462,36.83262,36.917397
2011-04-11,36.069626,36.137756,36.174408,36.202713,36.790924,36.877663,36.949272
2011-04-12,36.123062,36.173393,36.204933,36.799706,36.92878,36.94639,37.1948
2011-04-13,36.159576,36.203392,36.80197,36.90957,36.94609,37.22738,37.39109
2011-04-14,36.206573,36.827827,36.884125,36.947975,37.176468,37.387802,37.465485
2011-04-15,36.80307,36.925354,36.933174,37.218582,37.40072,37.427193,37.509804
2011-04-17,36.887894,36.948364,37.167656,37.430397,37.46364,37.48671,37.59807
2011-04-18,36.96443,37.209724,37.409622,37.425102,37.49112,37.586014,37.69359
2011-04-19,37.191948,37.41201,37.41546,37.475266,37.613,37.693573,37.984955
2011-04-20,37.347412,37.421104,37.47927,37.596954,37.71702,37.979866,38.48002
2011-04-21,37.422844,37.51158,37.61168,37.698036,37.978394,38.463623,38.84748
2011-04-24,37.49182,37.659668,37.686195,37.96614,38.46694,38.862236,39.505737
2011-04-25,37.610985,37.688934,37.985092,38.442215,38.85634,39.44478,39.52919
2011-04-26,37.690315,37.964966,38.443794,38.80404,39.509117,39.52703,40.21711
2011-04-27,38.002296,38.464462,38.900826,39.44748,39.55571,40.2163,40.31459
2011-04-28,38.467728,38.86225,39.450768,39.531395,40.24878,40.31225,40.46884
2011-04-29,38.85298,39.430008,39.543564,40.212814,40.314888,40.48413,40.481056
2011-05-01,39.461052,39.53337,40.233948,40.303474,40.470818,40.479416,40.441177
2011-05-02,39.548927,40.26635,40.305298,40.47384,40.503967,40.469772,40.479233
2011-05-03,40.24958,40.328743,40.47316,40.47119,40.491714,40.46142,40.487617
2011-05-04,40.287903,40.441612,40.480904,40.44557,40.443436,40.456497,40.44381
2011-05-05,40.430244,40.469673,40.466774,40.474472,40.44436,40.479897,40.486244
