,XAUAUD,XAUAUD,XAUAUD,XAUAUD,XAUAUD,XAUAUD,XAUAUD
,0,1,2,3,4,5,6
2011-01-16,4.42652,4.44044,4.4208927,4.412028,4.4480906,4.504977,4.464076
2011-01-17,6.678269,6.6958604,6.6704745,6.6610217,6.7022834,6.76904,6.722293
2011-01-18,8.459326,8.478571,8.450552,8.440833,8.484443,8.555631,8.506263
2011-01-19,9.995467,10.015694,9.986114,9.976241,10.021241,10.095043,10.044128
2011-01-20,11.376623,11.397507,11.36688,11.356896,11.40284,11.478398,11.426444
2011-01-21,12.649348,12.670709,12.639322,12.629261,12.675881,12.752725,12.70001
2011-01-23,13.841386,13.863114,13.831143,13.821022,13.868161,13.94598,13.892693
2011-01-24,14.97081,14.992825,14.960395,14.95023,14.997776,15.0763645,15.022621
2011-01-25,16.050152,16.072405,16.039597,16.029394,16.077278,16.156483,16.10237
2011-01-26,17.088503,17.110952,17.077831,17.067596,17.115759,17.195477,17.14106
2011-01-27,18.092707,18.115309,18.081928,18.071672,18.120058,18.200216,18.145544
2011-01-28,19.068033,19.090769,19.057169,19.04689,19.095474,19.175999,19.121107
2011-01-30,20.01866,20.04152,20.007732,19.99743,20.046183,20.127024,20.071949
2011-01-31,20.947964,20.970936,20.936974,20.926647,20.97555,21.05667,21.001425
2011-02-01,21.858694,21.881758,21.847654,21.837315,21.886345,21.967703,21.91232
2011-02-02,22.753155,22.776293,22.74206,22.731712,22.780848,22.862421,22.80692
2011-02-03,23.633245,23.65645,23.622108,23.611752,23.660986,23.742746,23.687128
2011-02-04,24.500595,24.523869,24.48943,24.479061,24.52838,24.610306,24.55459
2011-02-06,25.356615,25.37992,25.345436,25.335032,25.384418,25.466492,25.410694
2011-02-07,26.202475,26.225836,26.191269,26.180855,26.230316,26.312521,26.256645
2011-02-08,27.03923,27.06264,27.028002,27.017574,27.067102,27.149424,27.09348
2011-02-09,27.867788,27.891237,27.856539,27.846098,27.895683,27.978111,27.922104
2011-02-10,28.688944,28.712431,28.677673,28.667225,28.716862,28.799389,28.743322
2011-02-11,29.503399,29.526922,29.492115,29.481653,29.53134,29.613953,29.557837
2011-02-13,30.31178,30.335333,30.300476,30.290012,30.339743,30.422434,30.366274
2011-02-14,31.114632,31.138233,31.103315,31.09285,31.142618,31.225386,31.16918
2011-02-15,31.912464,31.93609,31.901133,31.890661,31.940468,32.0233,31.967054
2011-02-16,32.705715,32.729362,32.694363,32.683887,32.733727,32.816616,32.760338
2011-02-17,33.494778,33.518436,33.483406,33.472923,33.522797,33.605743,33.549423
2011-02-18,34.28001,34.303677,34.26862,34.258133,34.308037,34.391033,34.334682
2011-02-20,35.061737,35.085415,35.050323,35.039837,35.08977,35.172813,35.116432
2011-02-21,35.84025,35.863934,35.82882,35.818325,35.868286,35.95137,35.894962
2011-02-22,36.615803,36.6395,36.604366,36.59387,36.64385,36.726974,36.670544
2011-02-23,37.38864,37.41235,37.3772,37.366703,37.416695,37.49986,37.443413
2011-02-24,38.15899,38.182713,38.147545,38.13704,38.187057,38.270252,38.21378
2011-02-25,38.927048,38.95078,38.915596,38.90509,38.95512,39.038345,38.981857
2011-02-27,39.692997,39.716732,39.68154,39.671032,39.721073,39.804325,39.747826
2011-02-28,40.456997,40.480747,40.445534,40.435024,40.48509,40.568367,40.511845
2011-03-01,41.219204,41.24297,41.207737,41.197227,41.247303,41.330605,41.27407
2011-03-02,41.97977,42.00354,41.968296,41.957787,42.007874,42.091194,42.034645
2011-03-03,42.7388,42.762573,42.727318,42.71681,42.766907,42.85025,42.79369
2011-03-04,43.496426,43.520203,43.484943,43.474434,43.524536,43.607895,43.55133
2011-03-06,44.252743,44.276524,44.241253,44.23074,44.280857,44.364235,44.307655
2011-03-07,45.007862,45.031647,44.996372,44.985855,45.03598,45.119373,45.062786
2011-03-08,45.76187,45.78566,45.75038,45.739864,45.789993,45.8734,45.81681
2011-03-09,46.51485,46.538647,46.50336,46.492844,46.54298,46.6264,46.5698
2011-03-10,47.266888,47.290688,47.25539,47.244873,47.29502,47.378456,47.321846
2011-03-11,48.01804,48.04184,48.00654,47.99602,48.046173,48.12962,48.073006
2011-03-13,48.76837,48.79217,48.75687,48.74635,48.796505,48.87996,48.82334
2011-03-14,49.517952,49.541756,49.506443,49.495922,49.546085,49.62955,49.572926
2011-03-15,50.26684,50.290646,50.255333,50.244804,50.294975,50.37845,50.321815
2011-03-16,51.01509,51.038895,51.003582,50.993053,51.043224,51.126705,51.070072
2011-03-17,51.762733,51.78654,51.751225,51.740696,51.79087,51.87436,51.817722
2011-03-18,52.50981,52.533623,52.498302,52.487774,52.537952,52.62145,52.564808
2011-03-20,53.25637,53.280186,53.24486,53.234333,53.284515,53.36802,53.311375
2011-03-21,54.00247,54.026287,53.990955,53.980427,54.030617,54.11413,54.057476
2011-03-22,54.748123,54.771946,54.73661,54.72608,54.77627,54.859787,54.803135
2011-03-23,55.493374,55.517197,55.481853,55.471325,55.521523,55.605045,55.548386
2011-03-24,56.238228,56.26205,56.226707,56.21618,56.266376,56.349903,56.29324
2011-03-25,56.982742,57.00657,56.971222,56.960693,57.010895,57.094425,57.037758
2011-03-27,57.726936,57.750763,57.715416,57.704884,57.75509,57.838623,57.78195
2011-03-28,58.470825,58.49465,58.4593,58.44877,58.498978,58.582516,58.52584
2011-03-29,59.214424,59.238255,59.2029,59.192368,59.242577,59.326122,59.269444
