,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF,XAUCHF
,0,1,2,3,4,5,6
2011-01-16,21.784369,21.609339,21.773554,21.303932,21.04769,21.256214,21.544764
2011-01-17,43.449493,43.270054,43.439407,42.96129,42.70595,42.9167,43.207073
2011-01-18,63.688564,63.508625,63.67846,63.19952,62.944016,63.155087,63.44581
2011-01-19,83.42336,83.24327,83.41326,82.93405,82.6785,82.88967,83.180504
2011-01-20,102.89927,102.71911,102.88916,102.409874,102.154274,102.36549,102.65636
2011-01-21,122.217636,122.037445,122.20752,121.72818,121.47257,121.68381,121.9747
2011-01-23,141.43016,141.24995,141.42006,140.94067,140.68506,140.89632,141.18721
2011-01-24,160.56686,160.38663,160.55675,160.07735,159.82173,160.03299,160.32391
2011-01-25,179.64665,179.46643,179.63654,179.15715,178.90152,179.11278,179.4037
2011-01-26,198.68228,198.50206,198.67218,198.19276,197.93715,198.1484,198.43933
2011-01-27,217.68275,217.50252,217.67264,217.19322,216.9376,217.14886,217.43979
2011-01-28,236.65459,236.47435,236.64445,236.16504,235.90942,236.12067,236.4116
2011-01-30,255.60274,255.42249,255.5926,255.11319,254.85756,255.06882,255.35976
2011-01-31,274.53098,274.35077,274.52087,274.04147,273.78583,273.99707,274.28802
2011-02-01,293.44238,293.26215,293.43228,292.95285,292.69724,292.90848,293.19943
2011-02-02,312.33932,312.15912,312.32922,311.8498,311.59418,311.80542,312.09637
2011-02-03,331.2238,331.04355,331.21365,330.73422,330.47858,330.68985,330.9808
2011-02-04,350.0973,349.91705,350.08716,349.60776,349.35214,349.5634,349.85434
2011-02-06,368.9613,368.78104,368.95117,368.4717,368.2161,368.42737,368.71832
2011-02-07,387.81683,387.6366,387.80673,387.32727,387.07162,387.28293,387.57388
2011-02-08,406.6649,406.48468,406.65482,406.1754,405.9197,406.131,406.42197
2011-02-09,425.5064,425.32614,425.4963,425.01688,424.76123,424.9725,425.2634
2011-02-10,444.34192,444.16168,444.33182,443.85242,443.59677,443.808,444.09897
2011-02-11,463.17218,462.9919,463.16208,462.68268,462.427,462.63828,462.9292
2011-02-13,481.99765,481.8174,481.98755,481.50812,481.25247,481.46375,481.75467
2011-02-14,500.81885,500.6386,500.80875,500.3293,500.0737,500.28494,500.5759
2011-02-15,519.6361,519.4559,519.62604,519.1466,518.8909,519.1022,519.3931
2011-02-16,538.44995,538.26965,538.43976,537.9604,537.7047,537.91595,538.2069
2011-02-17,557.2605,557.0803,557.2505,556.771,556.5154,556.7267,557.0176
2011-02-18,576.0682,575.88794,576.05804,575.5786,575.32306,575.53424,575.8252
2011-02-20,594.8732,594.693,594.86316,594.38367,594.128,594.33936,594.6302
2011-02-21,613.6758,613.4955,613.66565,613.1862,612.93054,613.14185,613.43286
2011-02-22,632.47626,632.2959,632.4662,631.98663,631.7311,631.9423,632.2333
2011-02-23,651.27454,651.09436,651.26447,650.7851,650.5294,650.74066,651.0316
2011-02-24,670.0711,669.8908,670.06104,669.58154,669.326,669.5372,669.8281
