,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR,XAUEUR
,0,1,2,3,4,5,6
2011-01-16,41.795563,41.49606,41.434326,41.018013,41.92925,41.35211,42.098186
2011-01-17,82.181,81.88047,81.81891,81.40196,82.31505,81.735954,82.48425
2011-01-18,120.884,120.5833,120.52177,120.10471,121.018135,120.438705,121.1874
2011-01-19,158.9538,158.65303,158.59152,158.17442,159.08795,158.5084,159.25723
2011-01-20,196.69077,196.38995,196.32846,195.91138,196.82494,196.24533,196.99423
2011-01-21,234.22261,233.92181,233.8603,233.44319,234.3568,233.77718,234.5261
2011-01-23,271.6156,271.31482,271.2533,270.83615,271.7498,271.17014,271.91907
2011-01-24,308.90854,308.6077,308.5462,308.1291,309.0427,308.46307,309.212
2011-01-25,346.1261,345.82523,345.76376,345.34665,346.26025,345.68063,346.42957
2011-01-26,383.2894,382.98856,382.92703,382.50995,383.42355,382.8439,383.5929
2011-01-27,420.40155,420.10074,420.03918,419.6221,420.5357,419.95605,420.705
2011-01-28,457.47525,457.17444,457.1129,456.6958,457.60944,457.02975,457.77872
2011-01-30,494.51727,494.21646,494.15497,493.73782,494.6515,494.0718,494.82077
2011-01-31,531.5327,531.23193,531.17035,530.75336,531.6669,531.0873,531.8362
2011-02-01,568.5256,568.2248,568.16327,567.74615,568.65985,568.08014,568.8291
2011-02-02,605.4991,605.19836,605.1368,604.7197,605.63324,605.0536,605.8026
2011-02-03,642.45593,642.1551,642.0936,641.67645,642.5901,642.0104,642.7594
2011-02-04,679.3981,679.0972,679.0357,678.6185,679.5322,678.9525,679.70154
2011-02-06,716.3274,716.02655,715.9651,715.548,716.46155,715.8819,716.63086
2011-02-07,753.2455,752.94464,752.8832,752.466,753.3797,752.8,753.54895
2011-02-08,790.1535,789.85266,789.79114,789.3741,790.28766,789.70807,790.457
2011-02-09,827.05273,826.7519,826.6903,826.2732,827.1869,826.60724,827.35614
2011-02-10,863.9439,863.64307,863.5815,863.1644,864.07806,863.4984,864.2474
2011-02-11,900.82806,900.52716,900.4657,900.04846,900.96216,900.3825,901.1314
2011-02-13,937.70575,937.4049,937.3434,936.9262,937.8399,937.2602,938.0092
2011-02-14,973.91724,973.63165,973.61206,973.22864,974.03094,973.5289,974.15717
2011-02-15,994.4159,994.3471,994.33624,994.20386,994.4669,994.2966,994.5059
