,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP,XAUGBP
,0,1,2,3,4,5,6
2011-01-16,202.59033,202.2179,203.03693,203.26337,203.59167,203.31935,203.51932
2011-01-17,260.23395,259.79605,260.7589,261.03564,261.41953,261.11026,261.3391
2011-01-18,305.65186,305.18475,306.21164,306.51077,306.91943,306.59357,306.8354
2011-01-19,344.7617,344.27734,345.34204,345.65445,346.07748,345.74194,345.99146
2011-01-20,379.8946,379.3987,380.48877,380.81012,381.24277,380.9008,381.15533
2011-01-21,412.25128,411.74695,412.85556,413.1833,413.62286,413.2762,413.53467
2011-01-23,442.54517,442.03433,443.15707,443.4897,443.9346,443.5843,443.84564
2011-01-24,471.2397,470.72394,471.8578,472.1943,472.64337,472.2901,472.55383
2011-01-25,498.65628,498.13647,499.27896,499.61884,500.0713,499.71564,499.9811
2011-01-26,525.02716,524.5039,525.6537,525.99615,526.45166,526.09393,526.36096
2011-01-27,550.5271,550.00085,551.157,551.50165,551.95935,551.60034,551.8684
2011-01-28,575.29114,574.7627,575.92395,576.27057,576.7303,576.3699,576.63873
2011-01-30,599.4263,598.89557,600.0613,600.4095,600.87103,600.50934,600.77924
2011-01-31,623.0177,622.4859,623.6554,624.00446,624.46814,624.10486,624.376
2011-02-01,646.1366,645.6031,646.77606,647.1262,647.5913,647.2273,647.499
2011-02-02,668.8408,668.3058,669.48193,669.8331,670.2992,669.9347,670.2068
2011-02-03,691.17944,690.643,691.82184,692.17395,692.6411,692.27594,692.5486
2011-02-04,713.1936,712.65625,713.8375,714.1904,714.65845,714.29266,714.5658
2011-02-06,734.9193,734.3815,735.56384,735.9177,736.3873,736.0204,736.29456
2011-02-07,756.3867,755.84796,757.0323,757.38684,757.8571,757.48975,757.76416
2011-02-08,777.6223,777.0828,778.2689,778.624,779.095,778.7271,779.0021
2011-02-09,798.64954,798.10925,799.2969,799.65247,800.12396,799.75574,800.03107
2011-02-10,819.48816,818.94727,820.1365,820.4927,820.96454,820.5962,820.8715
2011-02-11,837.969,837.63135,838.3747,838.59357,838.86316,838.6382,838.7991
2011-02-13,845.9868,845.88794,846.08044,846.1253,846.1842,846.1405,846.1743
2011-02-14,847.68964,846.97675,846.9986,846.9951,847.0197,847.0105,847.0171
2011-02-15,847.25073,847.28033,847.2813,847.27826,847.27936,847.28357,847.27814
2011-02-16,847.2769,847.27985,847.28296,847.2807,847.27826,847.279,847.2781
2011-02-17,847.27997,847.2773,847.28143,847.2786,847.28015,847.2794,847.2806
2011-02-18,847.28033,847.2807,847.2764,847.27893,847.27997,847.2778,847.27936
2011-02-20,847.2775,847.2815,847.27423,847.2808,847.27814,847.2782,847.2767
2011-02-21,847.2788,847.2814,847.27606,847.2785,847.28046,847.27783,847.28217
2011-02-22,847.282,847.27844,847.2816,847.27893,847.28015,847.2812,847.28076
2011-02-23,847.2806,847.27985,847.2842,847.28094,847.278,847.27747,847.27814
2011-02-24,847.2773,847.2783,847.2821,847.2785,847.28046,847.27765,847.2777
2011-02-25,847.27997,847.2783,847.2759,847.27875,847.28033,847.2827,847.27997
2011-02-27,847.27893,847.27704,847.27277,847.28107,847.27795,847.27954,847.2809
2011-02-28,847.28253,847.2766,847.27515,847.2784,847.28064,847.27954,847.2776
2011-03-01,847.2809,847.2802,847.2818,847.2786,847.28033,847.2792,848.13904
2011-03-02,847.2769,847.2788,847.285,847.28143,847.2777,848.15875,849.6317
2011-03-03,847.2788,847.27985,847.28253,847.2784,848.20984,849.64154,850.6421
2011-03-04,847.28314,847.2787,847.2747,848.2293,849.6448,850.6696,851.9996
2011-03-06,847.28125,847.2806,848.27106,849.6492,850.7011,852.0479,854.75226
2011-03-07,847.27655,848.2933,849.66254,850.7515,852.10205,854.81,855.4087
2011-03-08,848.3463,849.6616,850.7605,852.13904,854.8314,855.4066,856.48
2011-03-09,849.6504,850.7393,852.1992,854.8466,855.3947,856.5361,858.9162
